,0,1,2,3,4,5,6,7,8,9,10,11,12
t1,29.025537,-4.849658,19.311754,-3.4850953,33.149403,10.597038,-0.3187546,20.431984,24.508125,-5.737148,21.659689,10.111335,-4.619736
t31,27.72157,-4.3995547,17.216644,-4.2441673,33.49636,8.056951,-1.7287978,19.97035,27.936163,-5.717101,27.762724,17.231728,-5.8784666
t113,30.40012,-4.890792,18.784288,-4.439381,36.40539,9.378588,-1.7654288,21.691397,30.115719,-6.3413825,29.290363,18.402626,-6.171641
t114,30.457346,-4.8911076,18.802868,-4.445201,36.465702,9.447415,-1.7566143,21.75446,30.096643,-6.3440547,29.344135,18.446783,-6.1752644
t3,19.624666,-2.5443368,10.516581,-3.7794797,25.145666,4.672961,-1.5470046,12.101971,19.39088,-3.335448,23.541563,14.633585,-4.8098445
t39,21.673351,-3.2781549,12.510782,-4.805347,30.632877,3.0821507,-2.2753508,18.021753,26.85969,-4.457573,27.831865,21.312515,-6.1449237
t71,23.444532,-3.6494763,13.849573,-5.140654,33.0042,3.4619868,-2.3746037,19.584843,28.733212,-4.896224,29.695698,22.69625,-6.553505
t72,23.476978,-3.7126389,13.666219,-5.1570077,32.921787,3.5233161,-2.313031,19.72604,28.616133,-4.8822026,29.734701,22.6036,-6.5290704
t93,23.60037,-3.6883411,13.58459,-5.0904217,33.2823,3.170797,-2.3356664,19.437927,28.937729,-4.8849773,29.236181,22.650415,-6.3960624
t94,23.4631,-3.7176716,13.711514,-5.1013618,33.33597,3.0642245,-2.2888927,19.455887,28.942333,-4.837995,29.039991,22.662308,-6.33163
t58,23.566032,-3.6912656,13.826574,-5.059746,33.214733,3.6292531,-2.3357186,19.484947,28.9669,-4.897876,29.343164,22.354511,-6.420326
t37,23.838085,-3.7941074,13.989142,-5.0834737,33.27798,4.211303,-2.263287,19.855076,29.090094,-4.951001,29.773817,22.239193,-6.3853374
t38,23.804026,-3.7409418,14.221575,-5.086639,33.3662,4.007735,-2.3269358,19.59978,29.141012,-4.93207,29.826126,22.01294,-6.457288
t105,24.162477,-3.6562092,14.013298,-5.1144195,33.76726,3.9736822,-2.2678654,19.472025,29.176708,-4.86279,30.19001,22.055557,-6.3866796
t106,24.261528,-3.6507435,14.08453,-5.107725,33.828094,4.016055,-2.2688484,19.44426,29.199474,-4.8721976,30.126762,21.981482,-6.389506
t10,19.890352,-2.680065,11.253145,-4.4958506,27.57833,2.751918,-2.0778358,14.774755,23.863062,-3.819648,25.803183,18.502848,-5.6932793
t55,22.040274,-3.133266,13.164573,-5.0641637,30.939436,3.0304005,-2.0652006,16.283817,26.71296,-4.2042623,27.828976,20.24678,-6.0513024
t100,24.320162,-3.489723,14.633211,-5.39445,33.741024,3.628194,-2.093638,18.018658,28.899426,-4.6932964,29.67507,21.263918,-6.412688
t101,24.440336,-3.5345604,14.771001,-5.4294424,33.860874,3.6025903,-2.0850866,18.038652,29.108644,-4.7085333,29.654814,21.218035,-6.4355845
t99,24.519152,-3.5343282,14.751032,-5.4148874,33.80453,3.7395113,-2.067949,18.252449,28.980122,-4.748362,29.74777,21.214869,-6.43463
t8,16.956274,-2.2199256,9.456684,-4.1270633,24.324656,1.666654,-2.0327969,12.356321,21.098562,-3.1671112,23.366419,17.386625,-5.18095
t109,24.381594,-3.5323231,15.89544,-5.2884617,34.57959,3.450823,-2.288387,18.293896,28.457813,-4.944054,29.412508,21.19648,-6.598985
t129,24.161894,-3.5158978,15.8954735,-5.2978473,34.493835,3.4615695,-2.2815363,18.259426,28.3855,-4.9063854,29.427912,21.160368,-6.5904884
t130,24.148571,-3.5186138,15.901871,-5.2987795,34.499645,3.4635003,-2.2814736,18.257465,28.386883,-4.904091,29.42274,21.173853,-6.5893364
t88,24.834637,-3.6003263,16.090717,-5.2245016,34.29216,4.0206127,-2.3154664,18.557943,28.848825,-5.160165,29.779213,20.747782,-6.706924
t89,24.777105,-3.6137722,16.013805,-5.2262397,34.1944,3.975002,-2.2978246,18.596167,28.835674,-5.138166,29.78998,20.788174,-6.6747956
t60,24.709795,-3.5618749,16.040972,-5.1413155,34.84602,4.4009147,-2.3090284,18.877367,28.631325,-5.1207905,29.655107,21.274364,-6.584413
t61,24.746305,-3.6446054,15.769484,-5.1163626,35.02222,4.051522,-2.2868857,18.82287,28.678432,-5.1044474,29.436548,21.313057,-6.465618
t23,25.072039,-3.5608685,15.493818,-5.0696588,34.645107,4.6219716,-2.3251007,19.107683,28.456053,-5.200314,30.392797,20.43823,-6.6349177
t19,21.346773,-2.5951345,12.996463,-4.5820746,29.455359,2.415292,-2.264581,13.224056,24.487993,-3.8301961,26.105583,18.015184,-5.7499075
t90,25.897514,-3.188523,16.287237,-5.2698073,34.524643,2.8747628,-2.502625,15.728077,29.300737,-4.7789173,29.428576,19.909832,-6.560661
t97,25.915949,-3.189952,16.345621,-5.2663355,34.635742,2.8038504,-2.5482273,15.459874,29.29315,-4.7651553,29.233541,19.999699,-6.5712395
t98,25.929678,-3.1676297,16.322962,-5.2653213,34.747967,2.7291534,-2.5588596,15.502804,29.329535,-4.7654414,29.310923,19.92676,-6.589193
t125,25.787315,-3.1980534,16.047606,-5.1673446,34.6913,2.6286013,-2.636839,15.663427,29.247564,-4.829179,29.482157,19.766708,-6.603948
t126,25.782179,-3.2025113,16.054281,-5.1682506,34.69337,2.6202748,-2.6357648,15.67412,29.253387,-4.829113,29.474962,19.757162,-6.6041427
t26,26.09331,-3.0862596,16.053692,-5.4561844,36.09371,3.3216507,-2.3090198,16.404896,28.553307,-4.5576053,30.210272,19.843784,-6.6702332
t36,25.763988,-2.8660219,16.203135,-5.5202613,35.517212,2.5094435,-2.5159318,16.231152,28.510004,-4.575556,30.192583,19.604902,-6.8455577
t123,25.896683,-2.7564743,16.086376,-5.49677,35.731884,2.7062304,-2.4744515,16.229275,28.740013,-4.570765,30.357107,19.197632,-6.793761
t124,25.907879,-2.756375,16.099161,-5.490088,35.741802,2.6956093,-2.475931,16.22433,28.73537,-4.575914,30.325718,19.165497,-6.788888
t112,25.886795,-2.7667,16.072622,-5.4890985,35.837765,2.7257764,-2.477153,16.250042,28.772402,-4.5660343,30.36519,19.342644,-6.780076
t43,25.667786,-2.8293602,15.670141,-5.408031,35.753056,2.3510377,-2.5332105,16.633242,28.601986,-4.6148314,30.46253,19.31297,-6.752806
t44,22.828424,-2.3774803,14.027547,-5.0880356,32.25043,1.5643529,-2.4400792,14.031185,25.779215,-3.945158,27.769445,18.25619,-6.317365
