"accepted_species","Medicinal"
"Psychotria_psychotriifolia",1
"Lasianthus_thwaitesii",0
"Mandevilla_scabra",1
"Centaurium_littorale",1
"Orianthera_callosa",0
"Neanotis_urophylla",NA
"Plocama_thymoides",0
"Canthium_perakanthus",0
"Malouetia_flavescens",1
"Swertia_sarmentosa",0
"Ancylobothrys_tayloris",0
"Cynanchum_decorsei",0
"Mitracarpus_megapotamicus",1
"Ixora_minor",0
"Gynochthodes_gjellerupii",0
"Gentiana_latidens",0
"Tournefortiopsis_crassifolia",0
"Wendlandia_thyrsoidea",1
"Guettarda_baracoensis",0
"Mycetia_bracteata",0
"Mycetia_anlongensis",0
"Symbolanthus_pascoensis",0
"Oxypetalum_deltoideum",0
"Tarenna_crassifolia",0
"Carvalhoa_macrophylla",0
"Chaetostachydium_filiforme",0
"Urophyllum_acuminatissimum",0
"Houstonia_pusilla",0
"Deppea_ehrenbergii",0
"Houstonia_croftiae",0
"Geophila_croatii",0
"Pittoniotis_rotata",0
"Chiococca_lucens",0
"Cynanchum_paramorum",0
"Gardenia_resinosa",0
"Ceropegia_abyssinica",0
"Swertia_wolfgangiana",0
"Retiniphyllum_scabrum",0
"Ceropegia_marronina",0
"Galium_anfractum",0
"Galium_malickyi",0
"Phialanthus_stillans",0
"Psychotria_tayabensis",NA
"Psychotria_subobliqua",NA
"Galium_confertum",0
"Galium_fissurense",0
"Psychotria_elliptilimba",0
"Psychotria_hebecarpa",0
"Galium_adhaerens",NA
"Psychotria_tenuipes",0
"Gaertnera_oblanceolata",0
"Gaertnera_humblotii",0
"Huernia_keniensis",1
"Hillia_killipii",0
"Landolphia_dewevrei",0
"Hedyotis_protrusa",0
"Hedyotis_lancea",NA
"Hedyotis_longipedunculata",0
"Hoya_daimenglongensis",0
"Hoya_carrii",0
"Hedyotis_cryptantha",0
"Tabernaemontana_bufalina",1
"Conomitra_linearis",0
"Mussaenda_malacotricha",0
"Platycarpum_loretensis",0
"Palicourea_jambosioides",0
"Faramea_fanshawei",0
"Palicourea_calophylla",0
"Macrocarpaea_jocularis",0
"Logania_scabrella",0
"Spermacoce_constricta",0
"Cruckshanksia_hymenodon",0
"Pachycarpus_appendiculatus",1
"Timonius_oblanceolatus",0
"Dischidia_rimicola",0
"Prestonia_tomentosa",0
"Chironia_elgonensis",0
"Echidnopsis_bentii",0
"Randia_veracruzana",0
"Craterispermum_montanum",0
"Carapichea_adinantha",0
"Faroa_malaissei",0
"Coffea_benghalensis",1
"Wendlandia_jingdongensis",0
"Diplospora_velutina",0
"Sabicea_camporum",0
"Ophiorrhiza_parviflora",0
"Oldenlandia_duemmeri",NA
"Oldenlandia_tenuis",NA
"Sabicea_calophylla",0
"Ophiorrhiza_obcuneata",0
"Machaonia_tiffina",0
"Xysmalobium_alatum",0
"Argostemma_carstensense",NA
"Chassalia_petrinensis",NA
"Argostemma_buwaldae",NA
"Argostemma_parvifolium",0
"Faramea_brevipes",0
"Faramea_quinqueflora",0
"Coffea_lulandoensis",0
