"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131","c132","c133","c134","c135","c136","c137","c138","c139","c140","c141","c142","c143","c144","c145","c146","c147","c148","c149","c150","c151","c152","c153","c154","c155","c156","c157","c158","c159","c160","c161","c162","c163","c164","c165"
"t1",0.0294009132432922,0.0179587914318214,-0.010426485350629,0.0292321274138855,0.00107173813449636,-0.0382446571447657,-0.265884901073058,-0.0237885222226445,-0.0424147749578396,-0.0197845989691636,0.00695077221902296,0.000126440032780972,-0.00810466475353053,0.00233494873043667,-0.0030185802869774,-0.000571794491712919,0.00347738107595863,-0.14190671904619,0.017389420733187,0.00118291120164067,0.0040271331782402,-0.00226018641582313,6.97809869309026e-05,-1.30811540205385e-05,0.000127883360071457,-0.000339225577754099,0.003772201489425,-0.00731334447498268,0.00261086713160177,-0.0660672191006771,0.000580656694288864,0.0296955937977339,0.139551676887563,0.0933278788525961,-0.00485813181361963,0.00414165417247392,0.0729948557812999,0.687099876570633,-0.316921696121913,0.497542734774244,-0.0073353447208215,-0.00109075659326435,0.108181319903199,0.0533124941386353,0.0144284450862057,-0.00466007742643478,-0.0307208895413831,0.00241000667385603,0.00157793875343882,0.00600722623358293,0.0032057029518632,-0.000177058494196781,-0.00580215980026377,0.069559924816572,0.000497047375980626,-0.000348335846785486,-3.12054684878611e-06,0.01411852620573,-0.0527098827390731,-4.39837048577147e-05,-0.0867666702358085,-3.44240071529027e-15,-0.0214365569615455,-0.00315963621030607,0.0275861361205769,0.0281146418171965,0.00053806629965775,0.00042160952688545,-0.000154380857452646,3.55437700411345e-07,0.000178273696278115,0.000464186814250452,5.93091627984831e-16,3.43737544623636e-07,2.25886409396702e-15,0.0577290190270442,-1.38520013857055e-05,-0.000171611510296046,-4.4992904648535e-07,8.62569404890044e-05,6.34177747104881e-06,-2.68264586882009e-06,3.41871852862793e-05,-1.03939682171267e-06,0.00075607189347251,-1.42353490224692e-05,0.000109111456580707,-3.34756595493125e-05,2.44980484358245e-07,-0.000325590096049974,2.04763639187145e-05,6.29410684440782e-06,-1.06952511300487e-05,5.5111382643084e-06,3.79833968615339e-05,-2.58869994367189e-06,5.79251856504155e-08,6.42482471202089e-06,-3.94694586068214e-05,8.09003012324686e-06,4.60809226578386e-05,-4.54521613238508e-06,7.68174894198037e-08,2.93040129653292e-16,1.12317170430956e-07,7.28755296728098e-16,-3.10612876539225e-07,-3.82114004679242e-07,0.000258374521833096,0.00015792295953036,0.000166829336390312,-0.00012737909312868,2.65844779813198e-07,-0.000123543004285636,-0.0026580406337933,0.000467906139567889,0.000166927979072217,-0.000654097508329419,1.78497415989576e-16,2.07049534530688e-15,-6.08105206385374e-06,0.000578053432464654,-0.00637851857485254,0.00366554016218542,0.000104381277315097,-0.0266210838220264,-1.00702532803903e-07,1.48109307470983e-06,1.16150824032544e-16,-9.62276847611601e-08,-2.73905098602786e-17,7.40644414094987e-05,6.83438909240799e-05,-0.0016345381957495,1.12148529785142e-09,-2.54108381820725e-16,4.913429762867e-16,-3.86177525507104e-06,2.22492700700061e-11,-2.3053144130512e-16,8.09238706175043e-11,4.2527902058611e-05,1.41596849251811e-05,4.24890597793454e-17,-1.35606008415515e-16,1.59497895397191e-05,4.08168684786288e-19,-1.24170324931437e-16,-5.83496312045182e-16,8.45859049923041e-05,-7.5554800996016e-07,1.39644595879278e-08,-1.13700214657615e-16,-1.85771879356743e-16,-8.88204298288162e-16,-2.06763511149108e-16,-6.81935469230484e-16,0.000783515363479138,1.20426002220807e-15,-0.000652266994810565,-5.7116524794893e-16,5.70457532765132e-07,-7.44121370175493e-15,5.96917094336901e-15,2.32328539101873e-14
"t5",0.0299437065841747,0.0185587113482302,-0.0109267949936408,0.0316544600833744,0.00116503824732556,-0.042399919171334,-0.309844639792503,-0.0289155957627215,-0.056240524715576,-0.0265287588724514,0.00987485610893145,0.000186010832120299,-0.0120912293343777,0.00366798758610954,-0.00479123097651259,-0.000910330773622469,0.00569947161908918,-0.298871035487027,0.0382279197244836,0.00267530188774081,0.00967253821853546,-0.00998219113127191,0.000504982470369868,-0.000549034707890269,-0.00112905668594275,0.00197859797662584,-0.0159918996739382,0.0149300510394517,-0.00379637907279886,0.0808999957231673,-0.000431893545901885,-0.0119447849673997,-0.0494725562473454,-0.0262889968873886,0.000981553979762226,-0.000666539336511209,-0.00980457882928461,-0.0792529106527536,0.0338054944894578,-0.0481678211756598,0.000576685191222442,6.17800680546102e-05,-0.00584150836437274,-0.00151631597766497,-7.44635962441637e-05,2.14539922959974e-07,-0.000208053389844561,2.9462018196422e-05,2.77725321650209e-05,0.000127162763802908,9.61685386510242e-05,-7.22332528917286e-06,-0.000268692285208304,0.0420247221428439,-3.80150024167614e-05,2.29558030686493e-05,4.87381089163749e-08,-1.05655395068495e-05,0.000484053056028746,4.86162199580774e-07,0.00126167955207222,7.21543567490582e-15,0.00103000681514959,0.000215963828021367,-0.00233349042342015,-0.00404948240644847,-7.82836220294398e-05,-9.84397147967228e-05,4.15047331475946e-05,-2.07449670316336e-07,-0.000180531527401213,-0.000672103891144044,-6.78954175119556e-15,-9.77346725901149e-07,-3.50735093704415e-14,-0.79862385399823,0.000231073095453647,0.00673981165796058,-3.09484895890871e-05,0.00142240141219911,2.37031830728609e-05,-7.27887205380682e-06,6.77612657596262e-05,-1.79277540927128e-06,0.00122690741490203,-2.28744930529538e-05,0.00015543968329301,-4.06033761485634e-05,2.85452439316481e-07,-0.000339108362579961,2.12483898625345e-05,6.35239961299616e-06,-1.07839138380673e-05,5.52958429659653e-06,3.8024494404081e-05,-2.55437157286739e-06,5.68407845776323e-08,6.31637457831816e-06,-3.88382831695849e-05,7.9762055427578e-06,4.55988912131493e-05,-4.52282194570035e-06,7.65581149688541e-08,-8.45711556568522e-16,1.14944927609089e-07,-9.40441533469508e-15,-3.21838458354885e-07,-4.09634592757096e-07,0.000279205667174683,0.000177235548037606,0.000191706999453882,-0.000147475682638184,3.31708197164685e-07,-0.000170483746883683,-0.00375201886339538,0.000680314791928648,0.000251623056463685,-0.00100739774592356,-1.77383151930902e-15,2.20489647060925e-14,-2.18874902565082e-05,0.00216322688317405,-0.0255739194281597,0.0155076739673414,0.000621121895948952,-0.37020116051808,1.36694331441974e-07,-1.6734798349313e-06,2.34512469850507e-16,4.46608596862499e-08,-1.31631777486058e-15,6.08539704869741e-06,8.31309141752449e-06,-0.000227218042056553,1.84634474725693e-10,-1.01565188661845e-15,4.72685109898331e-15,-7.21713625602657e-07,5.59486170882961e-12,9.76553113563792e-16,2.19411551218961e-11,1.23125657473293e-05,4.15881240497954e-06,1.86023049248755e-15,-1.6322867474133e-15,5.09372536614636e-06,-6.46268993628112e-16,-1.3673768738074e-15,-4.70930720836207e-16,2.91542830219051e-05,-2.76380501827036e-07,5.21360543252322e-09,1.65050845595602e-15,1.88722478145784e-15,-4.21984569250909e-15,4.54378195642668e-15,-1.71480800201761e-16,0.000327485176808275,4.09483330851885e-15,-0.000290974563172863,-1.04296810312332e-15,2.57231286588963e-07,-7.67691423426104e-15,2.94477664118286e-15,2.5205656079095e-14
"t6",0.0301591963578772,0.0187956825896071,-0.0111234862943182,0.0325966899313638,0.00120128558975366,-0.0440044499706968,-0.326573305177872,-0.0308443766203116,-0.0613309754021469,-0.0290054845950167,0.0109351866853913,0.000207458342589859,-0.013522549977524,0.00414193866683188,-0.00542029904422425,-0.00103040312589803,0.006483579274684,-0.352248344042763,0.0452772982709985,0.00317848658534514,0.0115633490290071,-0.0124507758466143,0.000641306220171214,-0.00071272558157209,-0.0015020276782776,0.00265828697603208,-0.0217139003673212,0.0210691442400915,-0.00550445005502916,0.119243843998653,-0.00067552797302991,-0.0206049477954318,-0.087349209653662,-0.048534918613231,0.0019408698736866,-0.00138381761611871,-0.0211680975325324,-0.176831867993703,0.0767047560732947,-0.111572309676589,0.00139503939768573,0.000159432164790602,-0.0152102938923764,-0.00438717460616497,-0.000249097859203231,7.49224356599897e-07,-0.00077710343375008,0.000117381128070704,0.000119421994172216,0.000580296000106884,0.000527304951651086,-5.10725484361155e-05,-0.00210442858091224,0.541647376675764,-0.000602519883734955,0.000372711071908467,1.16514124129025e-06,0.000255245665931951,-0.0049708348728882,-4.57033430032048e-06,-0.0103579088482887,-8.11781529127819e-15,-0.00446428550037482,-0.000769239684743051,0.00738117787902937,0.0095606557755749,0.000183823054980824,0.000180209772636849,-7.07634192638129e-05,2.48163147276976e-07,0.000176226325353341,0.000589509921369838,3.9316815112601e-15,7.3805932870803e-07,2.30470887565292e-14,0.515287152494709,-0.000147914139823332,-0.00421736248306028,1.8842013056424e-05,-0.0008377617909154,-1.17264115072777e-05,3.23839181430109e-06,-2.52422476594464e-05,5.89915988061458e-07,-0.000376505862068816,6.93314954416749e-06,-3.90375908267129e-05,6.4388108608259e-06,-3.67748776357751e-08,4.92358160223156e-06,-1.97700921735747e-07,2.40050256358122e-07,-4.2894151399805e-07,2.79329505892481e-07,2.12377301860304e-06,-2.5960875317108e-07,8.40513819572135e-09,1.15355359304767e-06,-7.33783579658137e-06,1.59302919360261e-06,9.80558290055525e-06,-1.05328276542552e-06,1.81579099367395e-08,1.99800734669254e-15,3.34201754691383e-08,1.55894798059235e-14,-9.95793145447181e-08,-1.43976028963193e-07,0.000100523851381936,7.02181298125745e-05,7.97517732753916e-05,-6.22285341273198e-05,1.57409849879671e-07,-9.06844734265922e-05,-0.00203861364917132,0.000379325101489066,0.000144433547452563,-0.000587673949594016,-3.79699215663632e-16,1.73735586232135e-14,-1.75989718776591e-05,0.00175205423659223,-0.0209634966489572,0.0128228707251439,0.000536636882655687,-0.338869495057108,1.81330014291065e-07,-2.34246120000243e-06,3.27952152556261e-16,9.00236903508653e-08,-2.88820845727742e-15,-2.8622658631247e-05,-2.35500358390374e-05,0.000532769785305392,-3.34416583233237e-10,-9.49082064196177e-16,6.12158206868778e-15,1.05733994426677e-06,-4.4768837697217e-12,5.17470471562304e-16,-1.4410235927191e-11,-6.64255520950993e-06,-2.14019231553669e-06,3.72989517829959e-16,-2.03832346439604e-15,-1.90867816604245e-06,-1.44407940161552e-15,-1.31394910227724e-15,-5.97274506362671e-16,-7.39493713579382e-06,4.48578008294093e-08,-6.84979862582314e-10,1.34918953814792e-15,4.14829626732845e-16,-5.2007958310817e-16,9.22639694933755e-16,-1.5146303520205e-15,1.26966494288351e-05,2.04740707788543e-15,-4.06824240982782e-05,-1.59925469318116e-16,4.0385329597031e-08,-7.75037883223188e-15,6.37323669502384e-15,2.36614289650534e-14
"t7",0.0299307703548973,0.0185449259543456,-0.0109156922921959,0.0316048682400321,0.00116314607913297,-0.0423195877868178,-0.309090925012791,-0.0288360880961653,-0.05606595673715,-0.0264458242763989,0.00984349800429114,0.000185423005048846,-0.0120531903498214,0.00365676297370125,-0.00477667833953549,-0.000907572144480546,0.00568262114923723,-0.298272809203169,0.0381587469870429,0.00267080549276696,0.00965894049558851,-0.00999308430044833,0.000506232654814879,-0.000551464235747856,-0.00113689152351949,0.00199452939090106,-0.016140777815448,0.0151459143435637,-0.00386699750293095,0.0826257084217766,-0.000445941491708489,-0.0126092483568722,-0.0525385426583827,-0.0282629742052752,0.00107743776425029,-0.000743571800129342,-0.0110895546895677,-0.0907344187825256,0.0389506786750176,-0.055945778449024,0.000681612685292708,7.50595359425552e-05,-0.00712520356061358,-0.00194238436648022,-0.000102762147805462,3.03125711350726e-07,-0.000305374635535293,4.49178246109148e-05,4.43626265764232e-05,0.000210899290375021,0.000180255398750548,-1.62678358075352e-05,-0.000654183775590456,0.153636781596315,-0.000166279751383964,0.000102564032215484,3.08617284058579e-07,5.69697094190214e-05,-0.000977587039918466,-8.79836224451029e-07,-0.00192087249273894,-6.76498159764981e-16,-0.000616014933623663,-9.03862545149768e-05,0.000763801489865034,0.000604050224582854,1.14615434556117e-05,3.7815642358217e-06,-5.6273197204599e-07,-1.60760346980874e-08,-1.97137474763207e-05,-8.13076766469485e-05,-1.21373194862396e-15,-1.29560548026744e-07,-3.82716916576578e-15,-0.11134896255167,3.22680040763865e-05,0.000944958949700908,-4.35636062436704e-06,0.000200932707438145,3.34517017079659e-06,-1.01239415341999e-06,9.01964765283223e-06,-2.28545102572123e-07,0.000152046879895841,-2.81977937403747e-06,1.75127306714697e-05,-3.45074863083244e-06,2.08874969234163e-08,-3.510023123784e-06,1.4242816534256e-07,-1.90189243496498e-07,3.41214918675917e-07,-2.27083552819546e-07,-1.74529396678714e-06,2.34031790345803e-07,-8.31368944968811e-09,-1.22224140287353e-06,7.87138302752486e-06,-1.74518785458096e-06,-1.10650540877444e-05,1.22978506309655e-06,-2.1373917484691e-08,-1.94694536729094e-15,-4.34222624787988e-08,-1.75815435134943e-14,1.33730543362368e-07,2.07710940887436e-07,-0.000147075695195187,-0.00010879058190759,-0.000127316892142258,0.000100218684315198,-2.72833865867541e-07,0.000168881668795374,0.00384725169656162,-0.000727483842830261,-0.000282028444796491,0.00115899937412065,3.24398346154909e-15,-4.86085895958566e-14,4.17311422627549e-05,-0.00417031389020696,0.0502105460576977,-0.0308503617104939,-0.00132006317090179,0.857343234968034,-5.33438699267277e-07,7.01497032866151e-06,-9.58747013604268e-16,-2.9752329944301e-07,6.45072383024894e-15,0.000128255297798718,0.000111561892676156,-0.00259658017796928,1.70902491203348e-09,1.04931233905382e-15,-1.62279517746038e-14,-5.667680582543e-06,2.90210667630463e-11,-2.40485384442796e-15,1.01464161507963e-10,5.1327634603671e-05,1.69382478399414e-05,-1.8536981211684e-15,3.30001088811814e-15,1.80356416111768e-05,2.45612118645781e-15,2.97011906906259e-15,-3.10422567890956e-16,9.01839068035063e-05,-7.64875859938121e-07,1.38690438730597e-08,-4.38210542467598e-15,-2.21645803880267e-15,7.62572301439328e-16,-5.53143519523008e-15,6.65878204669211e-16,0.000690370131150362,-4.19117482210399e-15,-0.000530502161330457,-2.08049918239061e-15,4.57582110123795e-07,-6.90821690946423e-15,6.45838874138726e-15,2.2195190940553e-14
"t4",0.0299987506632131,0.0186190499466824,-0.0109767262511063,0.0318920072662577,0.00117416933846324,-0.0428024978348321,-0.314000876772708,-0.0293910252137851,-0.0574762978576215,-0.0271288984074094,0.0101294143970842,0.000191132457676504,-0.0124323143615604,0.00378009550181049,-0.00493981602874528,-0.000938679844770002,0.00588386982712581,-0.311058984595142,0.0398306209553355,0.00278938851464979,0.0100988597965545,-0.0105166524877089,0.00053395266561912,-0.000582997848700424,-0.00120427350067239,0.002114038367888,-0.0171171490606758,0.0160766576198599,-0.00410298434068864,0.0876084325711061,-0.000470309708430492,-0.0130373892643227,-0.0539461647294668,-0.0285586133347769,0.00105412046669015,-0.000706458581739297,-0.0102458109317429,-0.0816083447536848,0.0345112527773497,-0.0485999580486754,0.000565136799555944,5.7189836915347e-05,-0.00535693196496118,-0.0011992834219348,-3.93359301986973e-05,9.13751071396005e-08,-4.97324041616974e-05,7.30675516289175e-07,-7.75306387557051e-06,-7.11635401212454e-05,-0.000165762939623352,3.14994422098482e-05,0.00158130639508513,-0.822009468447974,0.00113680203056052,-0.000719878575706222,-3.13185311385531e-06,0.00704986193528635,-0.023666595558794,-1.95664397563826e-05,-0.0381120379701611,1.61916865648643e-15,-0.00921441229047203,-0.00137329449614,0.0121342273061036,0.0129959369402478,0.000249026747186662,0.000209624534300914,-7.88534987395183e-05,2.22209679306946e-07,0.000137538697080409,0.000425029051864135,3.14931783466227e-15,4.70438187694824e-07,1.0574408837724e-14,0.282077821713665,-8.02861095060794e-05,-0.00223298471653004,9.67132967333413e-06,-0.00041345485790382,-4.51752855196765e-06,1.0201199013524e-06,-4.74414156207868e-06,5.33663147636e-08,-1.20166316651144e-05,1.47079881435638e-07,6.00842681063756e-06,-4.59820160731674e-06,3.86894091550751e-08,-7.20995284630874e-05,4.58496013840246e-06,1.54252414778585e-06,-2.6302430881182e-06,1.38043195557133e-06,9.59892123281337e-06,-7.01960232448939e-07,1.67296905075543e-08,1.93821977655459e-06,-1.19981842738814e-05,2.49116279772908e-06,1.44470596204834e-05,-1.4545524491647e-06,2.47034625122075e-08,4.65374742585151e-16,3.8342265965326e-08,9.12396106886493e-15,-1.082325857009e-07,-1.39467207887405e-07,9.52068159250777e-05,6.06231683710045e-05,6.55380421590792e-05,-5.03939109728827e-05,1.12261417686697e-07,-5.64905944171213e-05,-0.00123651845508348,0.000222571488299992,8.15690014949557e-05,-0.000324757427268749,8.98122217802382e-16,5.31901426257077e-15,-5.78099363434827e-06,0.000567338092815085,-0.00662702034181883,0.00398275043629023,0.000151919715617849,-0.0840343958594969,9.49808310363629e-09,-6.62138619420341e-08,5.62230710221243e-16,-9.89422828694477e-09,-1.10304960836788e-15,1.72655899891878e-05,1.66512572813628e-05,-0.000405982369220537,2.86543913012695e-10,-2.26445319800964e-16,3.71827054952896e-15,-1.01120778359188e-06,6.2576653865551e-12,-1.51787900233393e-16,2.32830058704653e-11,1.2497237884215e-05,4.18137554002486e-06,-5.16748766756366e-16,-2.99124808809597e-16,4.85610717615669e-06,-3.15165826353141e-16,-6.96062276505324e-16,-4.24818620246234e-16,2.6575537501156e-05,-2.44021830091492e-07,4.55652453343978e-09,4.42572021508336e-16,-1.52567561631082e-15,-6.23775651758556e-16,-2.13824502670491e-19,-9.09476707837191e-16,0.000273139958675924,5.74452874695749e-16,-0.000238768341407269,-2.05535362862505e-16,2.10737626250122e-07,-6.46987994647928e-15,6.48314373456524e-15,2.31120509180983e-14
"t84",0.137355806624182,-0.0497494298213456,0.012803510222668,-0.166014886609932,0.00224297736225321,-0.000456240433110544,0.0174468969224253,-0.00898312916947349,0.000100692202410164,-5.76549591525255e-05,0.000275300734624241,1.34853855043441e-05,-0.0195226236751254,0.00105476626298561,-0.118623231118355,0.000982085007149535,-0.000559865915104599,0.000346017551959843,9.68359881140385e-05,1.17755862515975e-05,7.2058732148177e-05,-0.000150560991425519,6.22568566669592e-06,-5.8607485908711e-07,4.0623154968472e-05,-0.000147599591229695,0.00811205192173723,-0.167468838526957,-0.00222909672007942,0.0406365009638808,0.491806894743179,-0.00141374737958097,-0.00801381034158884,-0.00676333946982374,0.000639241216559695,-0.0599623830553108,0.0462424235661356,0.00689794657420091,-0.000729940361269198,-0.0109747153885706,-0.00017687003769945,-0.0885570436974,-0.000172487379931578,-0.000165605169961551,-8.97967866319346e-05,0.000117718510487367,0.000317356070254529,-0.00963368870155916,7.70070977567771e-07,-1.06863608363775e-05,-1.18978538646885e-05,1.47184543643295e-06,0.00279334636688602,5.34712898445089e-07,-5.90064254398859e-08,4.41832932189697e-08,-0.0844356906755748,2.44996134361741e-06,-2.71450575869553e-05,-4.51977402402963e-08,-8.93830363522252e-05,1.8587236816586e-15,-4.49670574934648e-05,-8.2210756844189e-06,8.19333610265205e-05,0.000380094921598691,-0.0149423261279145,1.8952502702182e-06,0.000196027866245763,-2.13872207177687e-05,1.27647568196819e-06,3.50574844251532e-06,-3.76857189227098e-16,8.08407884804556e-07,-4.72045465926923e-15,1.58174435384018e-05,2.7622618558044e-08,3.55002420275184e-06,-0.00332356892380167,2.29689754222467e-06,2.74118893822763e-05,-0.593702723266976,0.000699755321102551,-9.35738667413327e-09,7.63379910823331e-06,-1.46052414954296e-07,1.32756556549501e-06,-5.10467144683525e-07,4.01345301312221e-09,-0.000615451190577709,3.39581173910617e-07,1.65824256798167e-07,-2.84560692405566e-07,1.54785637018285e-07,1.09687073436309e-06,-9.93114956599792e-08,3.50610843549349e-09,7.63240222759486e-07,-0.000390087492240058,0.00263301319661639,0.533377318934287,8.95185676743274e-07,-1.21022333574905e-08,1.17126827203256e-14,-4.74733831742291e-09,3.52178913593961e-14,1.03145583117566e-08,8.90155998929305e-09,-5.81353703466318e-06,-4.47759681152882e-06,-0.0105753379074474,-6.05174499028526e-06,1.21522189727591e-10,-2.74120388887855e-08,-9.93097852826016e-07,2.73452233997282e-07,1.40621249685195e-07,-6.48846326992657e-07,-9.60716023497879e-16,-1.92085218308333e-15,-4.69265064199748e-08,5.64294508801147e-06,-0.000154717564643185,-0.000150299249980331,-3.22875725667412e-10,-3.42758508671548e-06,-5.77286838878956e-10,8.68627367243414e-09,3.04284939498483e-15,-6.35288099353515e-10,-1.22891763306264e-16,3.05823125430426e-05,2.77742017928125e-05,-1.44424617962687e-05,1.01846654587044e-11,5.10999785646103e-17,-4.49473775209566e-15,-3.59638783394135e-08,2.24540561095399e-13,-8.71452820781337e-16,8.52085117084712e-13,0.000392481424368971,6.57583353548947e-06,8.89128961937848e-16,-8.22139641748503e-16,1.84629762284446e-07,-3.44107360213834e-16,1.03643105132376e-15,2.93594711860787e-16,0.00239588598506332,-8.26447488732511e-09,1.58886440604879e-10,-5.6164458743872e-16,-2.08614229707584e-15,-1.83795007886056e-15,5.53683108154936e-16,-1.34376993678575e-15,1.03798216638173e-05,-8.29199926271369e-16,-1.88255520523024e-06,-2.10305551335169e-15,8.49800286773799e-09,-7.52479791738659e-15,4.25238701121921e-15,2.42215166100981e-14
"t85",0.137061014590182,-0.0495609673013305,0.0127354649043986,-0.164571688755845,0.00222262193554534,-0.000451235281954095,0.0171778039683448,-0.00881389804729306,9.81720301005138e-05,-5.61702601152296e-05,0.000267246159999579,1.3064615542428e-05,-0.0188988956177883,0.00101832343433909,-0.114466064317818,0.000947527205901071,-0.000539416603946503,0.000330164933643774,9.22770965020789e-05,1.12118488331384e-05,6.84949867934422e-05,-0.000141524066964041,5.82492302846674e-06,-5.45300011130283e-07,3.75665590348243e-05,-0.000136162783723982,0.00746417248897877,-0.152675837330681,-0.00201938257903302,0.0366746800657232,0.438032411564136,-0.00123371727236085,-0.00696118127129673,-0.00582476018689247,0.000543662322006351,-0.0505670053294935,0.038742847804526,0.00574859802586749,-0.000606706006006541,-0.009092693082286,-0.000145583513893026,-0.0722194228829321,-0.000140491446143532,-0.000133030361357757,-7.09214225953558e-05,9.25483866171088e-05,0.000247808350536849,-0.00747651857675854,5.93605079823444e-07,-8.19693891431227e-06,-9.00324098408387e-06,1.09698362434578e-06,0.00207129470237553,3.891556320159e-07,-4.27117324689787e-08,3.1964046325564e-08,-0.0606336717356935,1.70509712831804e-06,-1.84965320252856e-05,-3.06928274464295e-08,-6.03441372723362e-05,-1.34522386060597e-16,-2.9127164244711e-05,-5.22456757302126e-06,5.13707999098331e-05,0.000228726061715344,-0.00898376669509143,1.08815837662684e-06,0.000110826686929827,-1.099049946711e-05,6.10386288748285e-07,1.6040596455602e-06,-1.05215377676925e-15,3.4486573349274e-07,-1.67444716119937e-15,6.19383087806583e-06,1.07660005827869e-08,1.36492943436626e-06,-0.00125652905900435,8.50360414759672e-07,8.97742416637755e-06,-0.178414270117956,0.00017787401599193,-2.07128074092095e-09,1.54843609641205e-06,-2.9145422971134e-08,1.99201759938132e-07,-1.85306075693489e-08,-3.82187244054729e-11,0.000154211694600217,-8.99394455969893e-08,-6.83477549865444e-08,1.19289068195372e-07,-7.09745396900056e-08,-5.25336483325075e-07,6.76672880399992e-08,-3.33164246173976e-09,-9.25613139261389e-07,0.000494438322471989,-0.00359993316379956,-0.812483311288913,-1.54869317146252e-06,2.15952389599771e-08,-1.65079483339808e-14,1.26561159028778e-08,-3.08341785483506e-14,-3.1941950500691e-08,-3.98914569111033e-08,2.82979205238012e-05,3.22744363932725e-05,0.0988354600929283,6.17120130160499e-05,-4.15500269797674e-09,-9.42829693655575e-07,-2.54518773452524e-05,5.38698396453029e-06,2.21542183676457e-06,-9.22575199503308e-06,-5.29105970430468e-16,3.07364917872091e-15,-2.63599518989435e-07,3.13654964991205e-05,-0.000845509194483906,-0.000811655163849713,-1.6490123718691e-09,-1.64210813036088e-05,-2.1437774621424e-09,3.15206450482376e-08,-2.87669906995949e-15,-2.06533511792408e-09,2.1111658099925e-16,7.98605022678498e-05,7.0539875205018e-05,-3.62001923391637e-05,2.50319491257532e-11,1.38883215848409e-15,4.06349364549637e-15,-8.66261897809e-08,5.21450661620607e-13,2.49402389116282e-15,1.88519889131569e-12,0.000848452981169154,1.41405536333015e-05,-9.68132180894949e-16,3.47036358835506e-16,3.83672848643499e-07,-6.13282016779508e-16,-2.30696256020848e-15,-4.46833704636153e-15,0.00479642223272612,-1.59868227265944e-08,3.03366016023148e-10,-1.05551362637159e-15,2.37617869168055e-15,-1.10297113964459e-15,-1.13775418869713e-15,-2.28186192175519e-16,1.81693572506299e-05,1.15344246110121e-15,-3.08921307909567e-06,2.72690600648599e-16,1.37802570687864e-08,-7.58633253876762e-15,8.26958675269219e-15,2.33106222361416e-14
