"","t1","t8","t9","t7","t15","t16","t35","t84","t85","t63","t56","t29","t73","t74","t28","t45","t114","t115","t67","t62","t76","t77","t131","t132","t2","t3","t92","t93","t41","t31","t42","t43","t26","t59","t68","t69","t58","t39","t40","t75","t137","t138","t82","t83","t30","t60","t61","t36","t20","t22","t50","t51","t54","t143","t144","t105","t106","t121","t122","t109","t125","t126","t108","t57","t123","t124","t52","t53","t14","t11","t27","t139","t140","t88","t89","t101","t102","t33","t34","t94","t95","t103","t149","t150","t133","t134","t99","t90","t91","t104","t151","t152","t55","t25","t32","t107","t112","t113","t64","t79","t80","t13","t70","t71","t10","t147","t148","t120","t129","t130","t72","t44","t65","t66","t37","t17","t6","t18","t19","t21","t46","t47","t38","t117","t135","t136","t100","t127","t128","t81","t97","t98","t145","t146","t116","t12","t86","t87","t48","t49","t23","t96","t141","t142","t78","t118","t119","t110","t111","t24","t5","t4"
"t1",0,1.726062556,2.8175431831,3.4393582975,2.9942632082,4.317906712,3.9236710635,5.1642006997,5.3226609132,5.3226609132,5.3226609132,4.71245465327,5.10714204407,4.81778974607,4.9895319161,5.32266091337,5.10536860111,5.32266091315,5.32266091315,5.25002723367,4.76947706947,5.32266091317,5.32266091367,5.32266091367,1.4934834689,1.2607180208,5.9248760983,5.9248760983,5.9248760984,4.37937397132,5.9248760976,4.69562348626,4.357829232,5.924876097913,5.373043246913,5.279425681703,5.9248760979,4.6753459087,5.9248760974,5.9248760979,5.9248760979,5.9248760979,5.4341786,5.9248760979,5.924876098,5.07456960478,5.92487609788,4.47043196452,3.65945917839,4.07036358215,5.32522129875,5.92487609885,5.68778411999,5.92487609829,5.92487609829,5.9248760982,5.9248760982,5.9248760983,5.9248760983,5.92487609839,5.92487609829,5.92487609829,5.92487609839,5.62201046149,5.92487609859,5.92487609859,5.92487609807,5.36524139247,3.30271254268,5.92487609792,5.49305715327,5.92487609856,5.92487609856,5.92487609831,5.92487609831,5.92487609837,5.92487609837,5.92487609882,5.92487609882,5.92487609836,5.92487609836,5.92487609832,5.92487609834,5.92487609834,5.92487609832,5.92487609832,5.92487609832,5.92487609841,5.92487609841,5.54231180692,5.924876098436,5.924876098436,5.92487609842,4.9908319798,4.5733252073,5.9248760984,5.9248760984,5.9248760984,5.3069207299,5.9248760984,5.9248760984,4.6759223087,5.9248760983,5.9248760983,3.2604258374,5.92487609811,5.92487609811,5.92487609812,5.92487609815,5.92487609815,5.9248760981,5.9248760987,5.9248760983,5.9248760983,4.6735828356,5.3683443112,3.4978944901,4.5775018102,5.8521794221,3.7898315041,4.97751311708,5.924876098,5.9248760979,5.9248760981,5.9248760981,5.9248760981,5.9248760983,5.9248760983,5.9248760983,5.92487609842,5.92487609838,5.92487609838,5.92487609846,5.92487609846,5.92487609846,3.15529518208,5.9248760986,5.9248760986,5.9248760981,5.9248760981,4.2633599945,5.7744691637,5.92487609782,5.92487609782,5.9248760978,5.9248760978,5.9248760978,5.9248760979,5.9248760979,5.9248760977,1.7100826748,2.1296611545
"t8",1.726062556,0,1.7195485809,2.7758798425,3.4402309796,4.7638744834,4.3696388349,5.6101684711,5.7686286846,5.7686286846,5.7686286846,5.15842242467,5.55310981547,5.26375751747,5.4354996875,5.76862868477,5.55133637251,5.76862868455,5.76862868455,5.69599500507,5.21544484087,5.76862868457,5.76862868507,5.76862868507,2.9713374195,2.7385719714,7.4027300489,7.4027300489,7.402730049,5.85722792192,7.4027300482,6.17347743686,5.8356831826,7.402730048513,6.850897197513,6.757279632303,7.4027300485,6.1531998593,7.402730048,7.4027300485,7.4027300485,7.4027300485,6.9120325506,7.4027300485,7.4027300486,6.55242355538,7.40273004848,5.94828591512,5.13731312899,5.54821753275,6.80307524935,7.40273004945,7.16563807059,7.40273004889,7.40273004889,7.4027300488,7.4027300488,7.4027300489,7.4027300489,7.40273004899,7.40273004889,7.40273004889,7.40273004899,7.09986441209,7.40273004919,7.40273004919,7.40273004867,6.84309534307,4.78056649328,7.40273004852,6.97091110387,7.40273004916,7.40273004916,7.40273004891,7.40273004891,7.40273004897,7.40273004897,7.40273004942,7.40273004942,7.40273004896,7.40273004896,7.40273004892,7.40273004894,7.40273004894,7.40273004892,7.40273004892,7.40273004892,7.40273004901,7.40273004901,7.02016575752,7.402730049036,7.402730049036,7.40273004902,6.4686859304,6.0511791579,7.402730049,7.402730049,7.402730049,6.7847746805,7.402730049,7.402730049,6.1537762593,7.4027300489,7.4027300489,4.738279788,7.40273004871,7.40273004871,7.40273004872,7.40273004875,7.40273004875,7.4027300487,7.4027300493,7.4027300489,7.4027300489,6.1514367862,6.8461982618,4.9757484407,6.0553557608,7.3300333727,5.2676854547,6.45536706768,7.4027300486,7.4027300485,7.4027300487,7.4027300487,7.4027300487,7.4027300489,7.4027300489,7.4027300489,7.40273004902,7.40273004898,7.40273004898,7.40273004906,7.40273004906,7.40273004906,4.63314913268,7.4027300492,7.4027300492,7.4027300487,7.4027300487,5.7412139451,7.2523231143,7.40273004842,7.40273004842,7.4027300484,7.4027300484,7.4027300484,7.4027300485,7.4027300485,7.4027300483,3.1879366254,3.6075151051
"t9",2.8175431831,1.7195485809,0,3.8673604696,4.5317116067,5.8553551105,5.461119462,6.7016490982,6.8601093117,6.8601093117,6.8601093117,6.24990305177,6.64459044257,6.35523814457,6.5269803146,6.86010931187,6.64281699961,6.86010931165,6.86010931165,6.78747563217,6.30692546797,6.86010931167,6.86010931217,6.86010931217,4.0628180466,3.8300525985,8.494210676,8.494210676,8.4942106761,6.94870854902,8.4942106753,7.26495806396,6.9271638097,8.494210675613,7.942377824613,7.848760259403,8.4942106756,7.2446804864,8.4942106751,8.4942106756,8.4942106756,8.4942106756,8.0035131777,8.4942106756,8.4942106757,7.64390418248,8.49421067558,7.03976654222,6.22879375609,6.63969815985,7.89455587645,8.49421067655,8.25711869769,8.49421067599,8.49421067599,8.4942106759,8.4942106759,8.494210676,8.494210676,8.49421067609,8.49421067599,8.49421067599,8.49421067609,8.19134503919,8.49421067629,8.49421067629,8.49421067577,7.93457597017,5.87204712038,8.49421067562,8.06239173097,8.49421067626,8.49421067626,8.49421067601,8.49421067601,8.49421067607,8.49421067607,8.49421067652,8.49421067652,8.49421067606,8.49421067606,8.49421067602,8.49421067604,8.49421067604,8.49421067602,8.49421067602,8.49421067602,8.49421067611,8.49421067611,8.11164638462,8.494210676136,8.494210676136,8.49421067612,7.5601665575,7.142659785,8.4942106761,8.4942106761,8.4942106761,7.8762553076,8.4942106761,8.4942106761,7.2452568864,8.494210676,8.494210676,5.8297604151,8.49421067581,8.49421067581,8.49421067582,8.49421067585,8.49421067585,8.4942106758,8.4942106764,8.494210676,8.494210676,7.2429174133,7.9376788889,6.0672290678,7.1468363879,8.4215139998,6.3591660818,7.54684769478,8.4942106757,8.4942106756,8.4942106758,8.4942106758,8.4942106758,8.494210676,8.494210676,8.494210676,8.49421067612,8.49421067608,8.49421067608,8.49421067616,8.49421067616,8.49421067616,5.72462975978,8.4942106763,8.4942106763,8.4942106758,8.4942106758,6.8326945722,8.3438037414,8.49421067552,8.49421067552,8.4942106755,8.4942106755,8.4942106755,8.4942106756,8.4942106756,8.4942106754,4.2794172525,4.6989957322
"t7",3.4393582975,2.7758798425,3.8673604696,0,5.1535267211,6.4771702249,6.0829345764,7.3234642126,7.4819244261,7.4819244261,7.4819244261,6.87171816617,7.26640555697,6.97705325897,7.148795429,7.48192442627,7.26463211401,7.48192442605,7.48192442605,7.40929074657,6.92874058237,7.48192442607,7.48192442657,7.48192442657,4.684633161,4.4518677129,9.1160257904,9.1160257904,9.1160257905,7.57052366342,9.1160257897,7.88677317836,7.5489789241,9.116025790013,8.564192939013,8.470575373803,9.11602579,7.8664956008,9.1160257895,9.11602579,9.11602579,9.11602579,8.6253282921,9.11602579,9.1160257901,8.26571929688,9.11602578998,7.66158165662,6.85060887049,7.26151327425,8.51637099085,9.11602579095,8.87893381209,9.11602579039,9.11602579039,9.1160257903,9.1160257903,9.1160257904,9.1160257904,9.11602579049,9.11602579039,9.11602579039,9.11602579049,8.81316015359,9.11602579069,9.11602579069,9.11602579017,8.55639108457,6.49386223478,9.11602579002,8.68420684537,9.11602579066,9.11602579066,9.11602579041,9.11602579041,9.11602579047,9.11602579047,9.11602579092,9.11602579092,9.11602579046,9.11602579046,9.11602579042,9.11602579044,9.11602579044,9.11602579042,9.11602579042,9.11602579042,9.11602579051,9.11602579051,8.73346149902,9.116025790536,9.116025790536,9.11602579052,8.1819816719,7.7644748994,9.1160257905,9.1160257905,9.1160257905,8.498070422,9.1160257905,9.1160257905,7.8670720008,9.1160257904,9.1160257904,6.4515755295,9.11602579021,9.11602579021,9.11602579022,9.11602579025,9.11602579025,9.1160257902,9.1160257908,9.1160257904,9.1160257904,7.8647325277,8.5594940033,6.6890441822,7.7686515023,9.0433291142,6.9809811962,8.16866280918,9.1160257901,9.11602579,9.1160257902,9.1160257902,9.1160257902,9.1160257904,9.1160257904,9.1160257904,9.11602579052,9.11602579048,9.11602579048,9.11602579056,9.11602579056,9.11602579056,6.34644487418,9.1160257907,9.1160257907,9.1160257902,9.1160257902,7.4545096866,8.9656188558,9.11602578992,9.11602578992,9.1160257899,9.1160257899,9.1160257899,9.11602579,9.11602579,9.1160257898,4.9012323669,5.3208108466
"t15",2.9942632082,3.4402309796,4.5317116067,5.1535267211,0,1.7669830722,1.9899238991,3.2304535353,3.3889137488,3.3889137488,3.3889137488,2.77870748887,3.17339487967,2.88404258167,3.0557847517,3.38891374897,3.17162143671,3.38891374875,3.38891374875,3.31628006927,2.83572990507,3.38891374877,3.38891374927,3.38891374927,4.2395380717,4.0067726236,8.6709307011,8.6709307011,8.6709307012,7.12542857412,8.6709307004,7.44167808906,7.1038838348,8.670930700713,8.119097849713,8.025480284503,8.6709307007,7.4214005115,8.6709307002,8.6709307007,8.6709307007,8.6709307007,8.1802332028,8.6709307007,8.6709307008,7.82062420758,8.67093070068,7.21648656732,6.40551378119,6.81641818495,8.07127590155,8.67093070165,8.43383872279,8.67093070109,8.67093070109,8.670930701,8.670930701,8.6709307011,8.6709307011,8.67093070119,8.67093070109,8.67093070109,8.67093070119,8.36806506429,8.67093070139,8.67093070139,8.67093070087,8.11129599527,6.04876714548,8.67093070072,8.23911175607,8.67093070136,8.67093070136,8.67093070111,8.67093070111,8.67093070117,8.67093070117,8.67093070162,8.67093070162,8.67093070116,8.67093070116,8.67093070112,8.67093070114,8.67093070114,8.67093070112,8.67093070112,8.67093070112,8.67093070121,8.67093070121,8.28836640972,8.670930701236,8.670930701236,8.67093070122,7.7368865826,7.3193798101,8.6709307012,8.6709307012,8.6709307012,8.0529753327,8.6709307012,8.6709307012,7.4219769115,8.6709307011,8.6709307011,6.0064804402,8.67093070091,8.67093070091,8.67093070092,8.67093070095,8.67093070095,8.6709307009,8.6709307015,8.6709307011,8.6709307011,7.4196374384,8.114398914,6.2439490929,7.323556413,8.5982340249,6.5358861069,7.72356771988,8.6709307008,8.6709307007,8.6709307009,8.6709307009,8.6709307009,8.6709307011,8.6709307011,8.6709307011,8.67093070122,8.67093070118,8.67093070118,8.67093070126,8.67093070126,8.67093070126,5.90134978488,8.6709307014,8.6709307014,8.6709307009,8.6709307009,7.0094145973,8.5205237665,8.67093070062,8.67093070062,8.6709307006,8.6709307006,8.6709307006,8.6709307007,8.6709307007,8.6709307005,4.4561372776,4.8757157573
"t16",4.317906712,4.7638744834,5.8553551105,6.4771702249,1.7669830722,0,3.3135674029,4.5540970391,4.7125572526,4.7125572526,4.7125572526,4.10235099267,4.49703838347,4.20768608547,4.3794282555,4.71255725277,4.49526494051,4.71255725255,4.71255725255,4.63992357307,4.15937340887,4.71255725257,4.71255725307,4.71255725307,5.5631815755,5.3304161274,9.9945742049,9.9945742049,9.994574205,8.44907207792,9.9945742042,8.76532159286,8.4275273386,9.994574204513,9.442741353513,9.349123788303,9.9945742045,8.7450440153,9.994574204,9.9945742045,9.9945742045,9.9945742045,9.5038767066,9.9945742045,9.9945742046,9.14426771138,9.99457420448,8.54013007112,7.72915728499,8.14006168875,9.39491940535,9.99457420545,9.75748222659,9.99457420489,9.99457420489,9.9945742048,9.9945742048,9.9945742049,9.9945742049,9.99457420499,9.99457420489,9.99457420489,9.99457420499,9.69170856809,9.99457420519,9.99457420519,9.99457420467,9.43493949907,7.37241064928,9.99457420452,9.56275525987,9.99457420516,9.99457420516,9.99457420491,9.99457420491,9.99457420497,9.99457420497,9.99457420542,9.99457420542,9.99457420496,9.99457420496,9.99457420492,9.99457420494,9.99457420494,9.99457420492,9.99457420492,9.99457420492,9.99457420501,9.99457420501,9.61200991352,9.994574205036,9.994574205036,9.99457420502,9.0605300864,8.6430233139,9.994574205,9.994574205,9.994574205,9.3766188365,9.994574205,9.994574205,8.7456204153,9.9945742049,9.9945742049,7.330123944,9.99457420471,9.99457420471,9.99457420472,9.99457420475,9.99457420475,9.9945742047,9.9945742053,9.9945742049,9.9945742049,8.7432809422,9.4380424178,7.5675925967,8.6471999168,9.9218775287,7.8595296107,9.04721122368,9.9945742046,9.9945742045,9.9945742047,9.9945742047,9.9945742047,9.9945742049,9.9945742049,9.9945742049,9.99457420502,9.99457420498,9.99457420498,9.99457420506,9.99457420506,9.99457420506,7.22499328868,9.9945742052,9.9945742052,9.9945742047,9.9945742047,8.3330581011,9.8441672703,9.99457420442,9.99457420442,9.9945742044,9.9945742044,9.9945742044,9.9945742045,9.9945742045,9.9945742043,5.7797807814,6.1993592611
"t35",3.9236710635,4.3696388349,5.461119462,6.0829345764,1.9899238991,3.3135674029,0,1.608058636,1.7665188495,1.7665188495,1.7665188495,1.36258437657,1.75727176737,1.46791946937,2.3321923962,2.66532139347,2.44802908121,2.66532139325,2.66532139325,2.59268771377,2.11213754957,2.66532139327,2.66532139377,2.66532139377,5.168945927,4.9361804789,9.6003385564,9.6003385564,9.6003385565,8.05483642942,9.6003385557,8.37108594436,8.0332916901,9.600338556013,9.048505705013,8.954888139803,9.600338556,8.3508083668,9.6003385555,9.600338556,9.600338556,9.600338556,9.1096410581,9.600338556,9.6003385561,8.75003206288,9.60033855598,8.14589442262,7.33492163649,7.74582604025,9.00068375685,9.60033855695,9.36324657809,9.60033855639,9.60033855639,9.6003385563,9.6003385563,9.6003385564,9.6003385564,9.60033855649,9.60033855639,9.60033855639,9.60033855649,9.29747291959,9.60033855669,9.60033855669,9.60033855617,9.04070385057,6.97817500078,9.60033855602,9.16851961137,9.60033855666,9.60033855666,9.60033855641,9.60033855641,9.60033855647,9.60033855647,9.60033855692,9.60033855692,9.60033855646,9.60033855646,9.60033855642,9.60033855644,9.60033855644,9.60033855642,9.60033855642,9.60033855642,9.60033855651,9.60033855651,9.21777426502,9.600338556536,9.600338556536,9.60033855652,8.6662944379,8.2487876654,9.6003385565,9.6003385565,9.6003385565,8.982383188,9.6003385565,9.6003385565,8.3513847668,9.6003385564,9.6003385564,6.9358882955,9.60033855621,9.60033855621,9.60033855622,9.60033855625,9.60033855625,9.6003385562,9.6003385568,9.6003385564,9.6003385564,8.3490452937,9.0438067693,7.1733569482,8.2529642683,9.5276418802,7.4652939622,8.65297557518,9.6003385561,9.600338556,9.6003385562,9.6003385562,9.6003385562,9.6003385564,9.6003385564,9.6003385564,9.60033855652,9.60033855648,9.60033855648,9.60033855656,9.60033855656,9.60033855656,6.83075764018,9.6003385567,9.6003385567,9.6003385562,9.6003385562,7.9388224526,9.4499316218,9.60033855592,9.60033855592,9.6003385559,9.6003385559,9.6003385559,9.600338556,9.600338556,9.6003385558,5.3855451329,5.8051236126
"t84",5.1642006997,5.6101684711,6.7016490982,7.3234642126,3.2304535353,4.5540970391,1.608058636,0,1.0447130811,1.4958250157,1.7955496935,2.60311401277,2.99780140357,2.70844910557,3.5727220324,3.90585102967,3.68855871741,3.90585102945,3.90585102945,3.83321734997,3.35266718577,3.90585102947,3.90585102997,3.90585102997,6.4094755632,6.1767101151,10.8408681926,10.8408681926,10.8408681927,9.29536606562,10.8408681919,9.61161558056,9.2738213263,10.840868192213,10.289035341213,10.195417776003,10.8408681922,9.591338003,10.8408681917,10.8408681922,10.8408681922,10.8408681922,10.3501706943,10.8408681922,10.8408681923,9.99056169908,10.84086819218,9.38642405882,8.57545127269,8.98635567645,10.24121339305,10.84086819315,10.60377621429,10.84086819259,10.84086819259,10.8408681925,10.8408681925,10.8408681926,10.8408681926,10.84086819269,10.84086819259,10.84086819259,10.84086819269,10.53800255579,10.84086819289,10.84086819289,10.84086819237,10.28123348677,8.21870463698,10.84086819222,10.40904924757,10.84086819286,10.84086819286,10.84086819261,10.84086819261,10.84086819267,10.84086819267,10.84086819312,10.84086819312,10.84086819266,10.84086819266,10.84086819262,10.84086819264,10.84086819264,10.84086819262,10.84086819262,10.84086819262,10.84086819271,10.84086819271,10.45830390122,10.840868192736,10.840868192736,10.84086819272,9.9068240741,9.4893173016,10.8408681927,10.8408681927,10.8408681927,10.2229128242,10.8408681927,10.8408681927,9.591914403,10.8408681926,10.8408681926,8.1764179317,10.84086819241,10.84086819241,10.84086819242,10.84086819245,10.84086819245,10.8408681924,10.840868193,10.8408681926,10.8408681926,9.5895749299,10.2843364055,8.4138865844,9.4934939045,10.7681715164,8.7058235984,9.89350521138,10.8408681923,10.8408681922,10.8408681924,10.8408681924,10.8408681924,10.8408681926,10.8408681926,10.8408681926,10.84086819272,10.84086819268,10.84086819268,10.84086819276,10.84086819276,10.84086819276,8.07128727638,10.8408681929,10.8408681929,10.8408681924,10.8408681924,9.1793520888,10.690461258,10.84086819212,10.84086819212,10.8408681921,10.8408681921,10.8408681921,10.8408681922,10.8408681922,10.840868192,6.6260747691,7.0456532488
"t85",5.3226609132,5.7686286846,6.8601093117,7.4819244261,3.3889137488,4.7125572526,1.7665188495,1.0447130811,0,1.6542852292,1.954009907,2.76157422627,3.15626161707,2.86690931907,3.7311822459,4.06431124317,3.84701893091,4.06431124295,4.06431124295,3.99167756347,3.51112739927,4.06431124297,4.06431124347,4.06431124347,6.5679357767,6.3351703286,10.9993284061,10.9993284061,10.9993284062,9.45382627912,10.9993284054,9.77007579406,9.4322815398,10.999328405713,10.447495554713,10.353877989503,10.9993284057,9.7497982165,10.9993284052,10.9993284057,10.9993284057,10.9993284057,10.5086309078,10.9993284057,10.9993284058,10.14902191258,10.99932840568,9.54488427232,8.73391148619,9.14481588995,10.39967360655,10.99932840665,10.76223642779,10.99932840609,10.99932840609,10.999328406,10.999328406,10.9993284061,10.9993284061,10.99932840619,10.99932840609,10.99932840609,10.99932840619,10.69646276929,10.99932840639,10.99932840639,10.99932840587,10.43969370027,8.37716485048,10.99932840572,10.56750946107,10.99932840636,10.99932840636,10.99932840611,10.99932840611,10.99932840617,10.99932840617,10.99932840662,10.99932840662,10.99932840616,10.99932840616,10.99932840612,10.99932840614,10.99932840614,10.99932840612,10.99932840612,10.99932840612,10.99932840621,10.99932840621,10.61676411472,10.999328406236,10.999328406236,10.99932840622,10.0652842876,9.6477775151,10.9993284062,10.9993284062,10.9993284062,10.3813730377,10.9993284062,10.9993284062,9.7503746165,10.9993284061,10.9993284061,8.3348781452,10.99932840591,10.99932840591,10.99932840592,10.99932840595,10.99932840595,10.9993284059,10.9993284065,10.9993284061,10.9993284061,9.7480351434,10.442796619,8.5723467979,9.651954118,10.9266317299,8.8642838119,10.05196542488,10.9993284058,10.9993284057,10.9993284059,10.9993284059,10.9993284059,10.9993284061,10.9993284061,10.9993284061,10.99932840622,10.99932840618,10.99932840618,10.99932840626,10.99932840626,10.99932840626,8.22974748988,10.9993284064,10.9993284064,10.9993284059,10.9993284059,9.3378123023,10.8489214715,10.99932840562,10.99932840562,10.9993284056,10.9993284056,10.9993284056,10.9993284057,10.9993284057,10.9993284055,6.7845349826,7.2041134623
"t63",5.3226609132,5.7686286846,6.8601093117,7.4819244261,3.3889137488,4.7125572526,1.7665188495,1.4958250157,1.6542852292,0,1.954009907,2.76157422627,3.15626161707,2.86690931907,3.7311822459,4.06431124317,3.84701893091,4.06431124295,4.06431124295,3.99167756347,3.51112739927,4.06431124297,4.06431124347,4.06431124347,6.5679357767,6.3351703286,10.9993284061,10.9993284061,10.9993284062,9.45382627912,10.9993284054,9.77007579406,9.4322815398,10.999328405713,10.447495554713,10.353877989503,10.9993284057,9.7497982165,10.9993284052,10.9993284057,10.9993284057,10.9993284057,10.5086309078,10.9993284057,10.9993284058,10.14902191258,10.99932840568,9.54488427232,8.73391148619,9.14481588995,10.39967360655,10.99932840665,10.76223642779,10.99932840609,10.99932840609,10.999328406,10.999328406,10.9993284061,10.9993284061,10.99932840619,10.99932840609,10.99932840609,10.99932840619,10.69646276929,10.99932840639,10.99932840639,10.99932840587,10.43969370027,8.37716485048,10.99932840572,10.56750946107,10.99932840636,10.99932840636,10.99932840611,10.99932840611,10.99932840617,10.99932840617,10.99932840662,10.99932840662,10.99932840616,10.99932840616,10.99932840612,10.99932840614,10.99932840614,10.99932840612,10.99932840612,10.99932840612,10.99932840621,10.99932840621,10.61676411472,10.999328406236,10.999328406236,10.99932840622,10.0652842876,9.6477775151,10.9993284062,10.9993284062,10.9993284062,10.3813730377,10.9993284062,10.9993284062,9.7503746165,10.9993284061,10.9993284061,8.3348781452,10.99932840591,10.99932840591,10.99932840592,10.99932840595,10.99932840595,10.9993284059,10.9993284065,10.9993284061,10.9993284061,9.7480351434,10.442796619,8.5723467979,9.651954118,10.9266317299,8.8642838119,10.05196542488,10.9993284058,10.9993284057,10.9993284059,10.9993284059,10.9993284059,10.9993284061,10.9993284061,10.9993284061,10.99932840622,10.99932840618,10.99932840618,10.99932840626,10.99932840626,10.99932840626,8.22974748988,10.9993284064,10.9993284064,10.9993284059,10.9993284059,9.3378123023,10.8489214715,10.99932840562,10.99932840562,10.9993284056,10.9993284056,10.9993284056,10.9993284057,10.9993284057,10.9993284055,6.7845349826,7.2041134623
