"accepted_species","traits"
"sp23",0
"sp29",1
"sp47",0
"sp48",0
"sp51",1
"sp54",1
"sp60",0
"sp75",0
"sp79",1
"sp88",0
"sp89",1
"sp92",0
"sp94",0
"sp95",1
"sp97",1
"sp98",1
"sp99",1
"sp102",1
"sp103",1
"sp104",0
"sp108",0
"sp109",0
"sp110",0
"sp113",1
"sp114",1
"sp115",0
"sp117",NA
"sp118",NA
"sp119",1
"sp120",0
"sp121",0
"sp122",0
"sp123",0
"sp124",1
"sp125",0
"sp126",0
"sp127",0
"sp128",0
"sp129",NA
"sp132",1
"sp133",0
"sp134",1
"sp135",1
"sp136",1
"sp138",1
"sp139",NA
"sp140",0
"sp141",0
"sp142",0
"sp143",1
"sp144",NA
"sp145",0
"sp146",0
"sp147",NA
"sp148",1
"sp149",1
"sp150",0
"sp152",0
"sp153",0
"sp154",0
"sp156",0
"sp157",1
"sp158",0
"sp159",0
"sp160",1
"sp161",1
"sp162",1
"sp163",1
"sp164",NA
"sp165",1
"sp166",1
"sp167",1
"sp168",1
"sp169",1
"sp170",1
"sp171",0
"sp172",NA
"sp173",0
"sp174",1
"sp176",0
"sp177",1
"sp178",1
"sp179",0
"sp180",0
"sp181",0
"sp182",0
"sp183",1
"sp184",1
"sp185",NA
"sp186",1
"sp187",1
"sp188",1
"sp189",0
"sp190",0
"sp191",0
"sp192",NA
"sp193",0
"sp194",0
"sp195",1
"sp196",1
