"accepted_species","traits"
"t19",1
"t24",1
"t27",1
"t33",1
"t34",1
"t39",0
"t42",1
"t50",1
"t51",0
"t52",1
"t53",1
"t55",1
"t57",1
"t58",0
"t60",0
"t62",1
"t63",1
"t64",1
"t65",1
"t67",1
"t77",1
"t78",1
"t79",1
"t80",1
"t82",0
"t83",1
"t86",1
"t87",0
"t88",1
"t89",1
"t92",0
"t95",1
"t97",0
"t98",0
"t100",1
"t101",1
"t102",0
"t103",0
"t104",1
"t105",1
"t106",1
"t108",1
"t110",1
"t111",0
"t112",1
"t113",1
"t114",1
"t115",1
"t116",1
"t117",1
"t118",1
"t119",1
"t120",1
"t122",0
"t123",0
"t124",1
"t125",0
"t126",0
"t127",0
"t128",0
"t129",1
"t130",0
"t131",1
"t132",1
"t133",1
"t135",1
"t136",0
"t137",1
"t138",1
"t139",0
"t140",0
"t141",1
"t142",1
"t143",1
"t144",1
"t145",1
"t146",0
"t148",0
"t149",0
"t150",1
"t151",1
"t152",1
"t153",1
"t154",0
"t155",0
"t156",0
"t157",1
"t158",1
"t159",1
"t160",1
"t161",1
"t162",1
"t163",0
"t164",1
"t165",0
"t166",0
"t167",1
"t168",1
"t169",1
"t170",1
