"accepted_species","I1.1/1"
"t10","0"
"t11","0"
"t65","0"
"t76","0"
"t77","0"
"t35","0"
"t24","1"
"t6","1"
"t93","1"
"t94","1"
"t27","0"
"t61","1"
"t87","1"
"t88","1"
"t66","0"
"t67","0"
"t99","1"
"t100","0"
"t39","1"
"t40","1"
"t41","1"
"t19","1"
"t16","1"
"t25","1"
"t32","1"
"t33","1"
"t29","0"
"t53","1"
"t70","1"
"t81","1"
"t82","1"
"t42","1"
"t71","1"
"t72","0"
"t20","1"
"t43","0"
"t91","1"
"t92","1"
"t21","0"
"t22","1"
"t4","0"
"t34","1"
"t97","1"
"t98","0"
"t64","1"
"t2","1"
"t17","0"
"t95","0"
"t96","0"
"t80","0"
"t51","1"
"t52","0"
"t59","1"
"t60","1"
"t54","1"
"t55","0"
"t68","0"
"t69","1"
"t44","1"
"t45","1"
"t56","0"
"t57",NA
"t36",NA
"t37","0"
"t15","1"
"t30",NA
"t26","1"
"t46",NA
"t47",NA
"t38",NA
"t28","1"
"t58","1"
"t85","1"
"t86",NA
"t14",NA
"t23",NA
"t5",NA
"t3","0"
"t89","0"
"t90","1"
"t8","1"
"t9","0"
"t12","1"
"t73","0"
"t83","0"
"t84","1"
"t31","0"
"t74","0"
"t75","0"
"t62","1"
"t63","1"
"t49","0"
"t50","1"
"t78","0"
"t79","0"
"t48","0"
"t18","1"
"t13","0"
"t7","0"
"t1","0"
