,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,corHMM,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised
count,1200.0,1200,1200,1200,1200,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
unique,,6,2,1,1,,,,,,,,,,,,
top,,ER,mcar,ultrametric,binary,,,,,,,,,,,,
freq,,200,600,1200,1200,,,,,,,,,,,,
mean,182.0,,,,,0.11904527996396105,0.13862537078836493,0.1510980801434192,0.15481251812748556,0.16305185299293265,0.15730390991597015,0.15627160739636844,0.1405186641580296,0.14876525499483967,0.18318471864017913,0.14415421368304163,0.13962325496432257
std,114.18347028973227,,,,,0.0935668298268784,0.10049601916997321,0.10296629123694209,0.10697850780685805,0.12112163962598704,0.10531713163897023,0.10576856436150828,0.1147792376391368,0.11315435204434034,0.1456621726335586,0.11684995573757573,0.1119089910314607
min,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,84.75,,,,,0.027366165559903427,0.06633382492418748,0.0773296608290065,0.0780252589021652,0.07302820544896918,0.0868698182319005,0.08210584519162606,0.03494713618838227,0.055356695442814526,0.07145141496959391,0.04298851243318045,0.03627361570726542
50%,169.5,,,,,0.10277701370270975,0.1361975308641975,0.16109372314013876,0.1634145086754178,0.16356589625389356,0.1642244048192614,0.16394250623037343,0.11850784547112655,0.14324515834334506,0.16856136524162768,0.12290703693642185,0.11922774851316575
75%,277.75,,,,,0.18567021652362464,0.20711111111111102,0.23365478882702465,0.2351218407133443,0.24042533549481393,0.24132009208518646,0.23862021974648084,0.21867255083083675,0.22999104656841618,0.27648244448427595,0.22138688961801534,0.2151254304286118
max,397.0,,,,,0.4173171522200357,0.6223456790123457,0.5999924646771604,0.6649985347123388,0.7261739178262274,0.7980373816621219,0.933671781748092,0.6673288378080401,0.7872545988707584,0.7934080848207681,0.8843692413460056,0.7396554158669479
