,lambda,kappa,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,,,3,,,,,,,,,,,,,,1,1
top,,,SYM,,,,,,,,,,,,,,simulations,phyloNa
freq,,,38,,,,,,,,,,,,,,100,100
mean,0.5391406199126504,0.47094651980791236,,0.16062443129540616,0.17094096118272165,0.16317973592094684,0.1826199797878758,0.17406188012162482,0.2099500915297115,0.1721203240426146,0.1767862386536947,0.17102325902091922,0.17537741205518903,0.21262659611449983,0.17520766144463082,0.1616020781280497,,
std,0.2862861186305082,0.28647906913083565,,0.1111243464592658,0.13056994150350645,0.12276517517013849,0.13748124644900267,0.1262540412358252,0.17109491160875318,0.11801907944490483,0.12840889702949113,0.13778164010982105,0.14316685235846843,0.17184115604826727,0.14091505729053674,0.1225686422874341,,
min,0.0242157834582031,0.007343360921368,,3.1017287517366704e-05,0.0,0.0,7.546621301691913e-09,1.2591205875340864e-06,7.0663947115506346e-09,6.1965138982342305e-09,1.1746857740300532e-06,1.0152577599999948e-06,5.874120916919192e-06,5.523840502562687e-06,3.6100401906321003e-07,0.00012345654321000088,,
25%,0.27390489232493526,0.21118869894416975,,0.07635020418246029,0.07642203441215,0.09048774415696322,0.09114632265644095,0.08971565558830137,0.09493494279988657,0.09108782266651441,0.09013021089362382,0.08327631406977795,0.0654477182912749,0.0913456658253595,0.07908902322053239,0.08756236269785132,,
50%,0.572185829980299,0.47680770047009,,0.16156016093422326,0.18202451713767803,0.1508155562798002,0.19457662295448477,0.18165299558837456,0.19033961088049403,0.17725215269222713,0.18742698962699128,0.16105553488999202,0.16450490690725156,0.18213998336376014,0.17225124704145944,0.16736244810843598,,
75%,0.8008687342517076,0.6757558466051705,,0.24834430137271238,0.25,0.23777777777777778,0.25102425532874534,0.2543174933039643,0.2901703500657099,0.25259539830926314,0.26092954654232836,0.24999518499887582,0.2610823484782965,0.32041993420859893,0.26069452873937726,0.23423464141064554,,
max,0.980084053007886,0.973335451446474,,0.4667830096589306,0.5837177200845465,0.7,0.6999796583410305,0.5637229357503346,0.7999946957571409,0.5240312332027218,0.622068657121895,0.5815234598843506,0.5913827222671936,0.6571746690054401,0.5848175791669286,0.531185823739886,,
