"accepted_species","I1.1/1"
"t79","0"
"t80","0"
"t83","1"
"t84","1"
"t12","1"
"t45","0"
"t46","1"
"t47","1"
"t48","0"
"t40","0"
"t41","0"
"t54","1"
"t70","1"
"t81","0"
"t82","0"
"t43","0"
"t44","1"
"t88","0"
"t89","0"
"t87","0"
"t22","1"
"t68","0"
"t69","1"
"t51","0"
"t95","1"
"t96","0"
"t35","1"
"t28","0"
"t26","0"
"t27","1"
"t85","1"
"t86","0"
"t53","0"
"t92","0"
"t93","0"
"t94","0"
"t15","1"
"t59","0"
"t60","0"
"t6","1"
"t24","0"
"t30","0"
"t31","1"
"t64","1"
"t65","0"
"t90","0"
"t91","1"
"t29","0"
"t25","0"
"t36","0"
"t97","0"
"t98","0"
"t4","0"
"t8","0"
"t9","1"
"t11","1"
"t72","1"
"t73","1"
"t23","0"
"t21","0"
"t63","1"
"t71","1"
"t78","1"
"t17","1"
"t13","0"
"t14","0"
"t5","1"
"t20","1"
"t49","0"
"t50","0"
"t1","1"
"t3","0"
"t18","0"
"t34","1"
"t66","0"
"t67","1"
"t76","1"
"t77","1"
"t39","0"
"t32","1"
"t33","0"
"t99","0"
"t100","1"
"t16","1"
"t7","0"
"t37","0"
"t38","1"
"t57","1"
"t58","0"
"t2","0"
"t61","1"
"t62","1"
"t10","1"
"t55","1"
"t56","1"
"t74","0"
"t75","0"
"t52","0"
"t42","1"
"t19","0"
