"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131","c132","c133","c134","c135","c136","c137","c138","c139","c140","c141","c142","c143"
"t54",0.0159015272747962,0.00570929328614625,0.0354915391183586,-0.000949548649727085,-0.0190307134876077,0.00621159945099836,-0.0258651218801098,0.0129161407044853,-0.0640729615877167,-0.463568132947698,0.218145414573346,0.0172904523563178,-0.0474586354293335,0.0821823769590608,-0.00794709450479282,0.00885558612932473,-0.0173514831966675,0.021471919480344,-0.0519736697794332,-0.0027521623558388,0.022625303402737,-0.00223627100465287,-0.0436991314883832,0.0118851302443784,0.00554068636054729,0.0171909645942462,-0.000138480572523762,-0.0285715687367434,0.0185464748902368,0.00318327896298084,0.000824030540279152,0.00358885223311884,-0.00435659983760411,-0.0334675716914943,-0.00172861309930523,0.00294866079289447,1.90483604207273e-06,-0.000135428299493957,0.000242159053403963,0.000280314811280028,0.00015804853781068,0.0011525964155161,2.54096669775371e-05,-5.44795025675078e-05,0.00132134679701935,-0.000526318331675852,2.26687491936672e-06,-0.000186830798638883,0.000230457690961568,0.000269005890672559,-0.000207001254800611,3.22545836856629e-05,-1.60364835278051e-05,-0.00173157410817469,1.56642370873093e-05,2.82347508805609e-16,-4.17270364542579e-06,0.000515969582381724,-0.00326784838754998,0.000260263423588548,0.00166807715554106,0.00158097989479084,0.0408510545697374,-0.000112911782320029,0.00062432171233778,0.813692004456627,0.0423321609802637,1.55203516418937e-05,-3.91447890498062e-14,0.0125111317818036,-0.00444373292560147,0.00825447783304428,0.0998522457945798,-9.51106963153226e-15,0.132205711852186,0.100762023314125,0.000388979283423732,0.0450278664071532,-0.00126135532428259,0.00108701086383849,2.52398743833529e-07,4.306280013336e-05,-1.01623548111162e-15,0.000283003653785409,-4.19554631664472e-06,-0.000399107561511758,0.00238172138138999,2.29851668995795e-06,6.20416147338838e-05,-5.27073215257826e-05,0.0048621940554016,4.53509959818807e-16,-6.35359998420359e-07,4.79318453873927e-05,-0.00213225567401561,8.88796053105711e-07,2.39658674373461e-16,-5.85477635895062e-16,1.13137108938349e-05,1.46574880411301e-05,-1.40253071946436e-16,9.73146537048539e-07,-3.84881739820809e-07,5.26218334100951e-07,-1.09729022061156e-05,-3.28450755429098e-06,-1.98995293054198e-08,3.89174287729899e-07,9.03656196233436e-06,1.18842944690605e-16,4.90962445785331e-07,-9.01927352276993e-07,-8.06722058571755e-05,1.31745401700588e-15,-7.63790999430686e-07,2.88152737564904e-06,-1.01529658075775e-05,2.70159597142524e-17,3.60134825166911e-05,-1.12097017457459e-07,3.17391389841129e-16,-3.37405987359533e-16,-2.5963114429724e-06,-1.50396424483549e-16,-2.94545696704281e-16,9.88163884204415e-06,-6.17153500335368e-17,9.33434469496473e-17,1.54790865774372e-06,9.57871064538368e-16,-5.13081166930438e-08,-1.90678523628717e-16,-8.79839758591902e-16,1.72672018243496e-15,-1.0298311350121e-16,5.50699275125196e-15,-2.96179223476207e-16,2.09528415517961e-15,3.26779962380002e-15,1.06786708163188e-15,3.86149449735729e-15,-1.70618373771954e-14,-0.0836242010007106
"t55",0.0159049614452041,0.00571086190275603,0.0355057939589797,-0.00095000351871574,-0.0190428399110847,0.00621620492844084,-0.025886175051718,0.0129269169328645,-0.0641381182246028,-0.464097033181996,0.218402787738387,0.0173116315701343,-0.0475345373852658,0.0823251455171212,-0.00796126464443074,0.00887294363922174,-0.0173866267230203,0.0215415940767793,-0.052176747409134,-0.002764810681189,0.0227303244034094,-0.00224683585554302,-0.043939116270951,0.011955644922784,0.00557389401712243,0.0173021485726523,-0.000139388037190612,-0.0287612962373559,0.0186727366164761,0.00320691483678128,0.000831164710604497,0.00362027871952338,-0.00439539479729363,-0.033790205043811,-0.00174732624519751,0.00298245613933175,1.92894391517784e-06,-0.000137146331957805,0.000245285628739985,0.000284972579908632,0.000160791075764502,0.00117330902646964,2.58922330730123e-05,-5.55182875863011e-05,0.00134687830700105,-0.000537222595171609,2.31488735839698e-06,-0.000191613006487854,0.000236362465558762,0.000277489866448312,-0.000213540752273471,3.34718432688722e-05,-1.66633094001959e-05,-0.00180451546728585,1.64586085047703e-05,9.8674157400933e-15,-4.39125057300069e-06,0.000543560731802324,-0.00346154926885666,0.000282670967634908,0.00183136960342336,0.0017408440083023,0.0453793474616525,-0.000152141954461764,0.000912928882301387,-0.409642992423303,-0.0144365713574303,4.57983486649943e-06,-0.707106781186529,0.00724875757360623,-0.00393757667743426,0.0074571571068349,0.0927542847075585,-9.19307997334927e-15,0.123433616486644,0.0941691102407351,0.000364373492744872,0.0421963692351244,-0.00118644305787209,0.00102272876923173,2.38546909037852e-07,4.08627636423879e-05,-2.01971190765025e-15,0.000273004983053165,-4.05683704585448e-06,-0.000386274271506379,0.00230834529522822,2.22923928370928e-06,6.02235334981807e-05,-5.12924213404267e-05,0.0047326516695737,-4.68168803197686e-16,-6.18689776686151e-07,4.66919619859568e-05,-0.00207860562858441,8.66555093937175e-07,1.01123480145284e-15,1.12352505418952e-15,1.1045136384771e-05,1.43192016758619e-05,-4.82833243037944e-16,9.52317141773425e-07,-3.7690002459584e-07,5.1567272435693e-07,-1.07555195650693e-05,-3.22016455687705e-06,-1.95258624556012e-08,3.81897169368708e-07,8.86881507420787e-06,9.97066438724083e-17,4.82003295094849e-07,-8.85556421078292e-07,-7.92090712180275e-05,-1.60200843403193e-15,-7.50287181742223e-07,2.83062368643992e-06,-9.97985586551057e-06,3.69559667103406e-16,3.54183743628068e-05,-1.10248588833844e-07,-8.38609621539584e-17,6.76816527122635e-16,-2.55426229098175e-06,-5.75773009595608e-16,-2.18454480133174e-15,9.72800283971887e-06,1.65642543410315e-16,1.40989263506642e-16,1.52479666876988e-06,6.15050439945526e-17,-5.05670169394087e-08,4.5394532442041e-16,-1.12866298726152e-15,7.90877958964418e-16,5.55376669056354e-18,8.82914341401287e-15,4.85848892378936e-16,1.92799921822569e-15,2.90578621035219e-15,1.80902300434504e-16,3.74046588986274e-15,-1.68210566927095e-14,-0.0836242010007084
"t56",0.015904961445204,0.0057108619027565,0.0355057939589802,-0.000950003518715582,-0.0190428399110847,0.00621620492844105,-0.025886175051718,0.0129269169328645,-0.0641381182246034,-0.464097033181995,0.218402787738387,0.0173116315701342,-0.0475345373852661,0.0823251455171209,-0.00796126464443067,0.00887294363922083,-0.0173866267230199,0.0215415940767783,-0.0521767474091357,-0.00276481068118911,0.0227303244034117,-0.00224683585554371,-0.0439391162709476,0.0119556449227847,0.00557389401712178,0.0173021485726524,-0.000139388037191029,-0.0287612962373552,0.0186727366164753,0.00320691483678528,0.000831164710604264,0.00362027871952518,-0.00439539479729354,-0.0337902050438093,-0.00174732624519714,0.00298245613933189,1.9289439139609e-06,-0.000137146331955311,0.000245285628740662,0.000284972579905248,0.000160791075766841,0.00117330902646881,2.58922330630309e-05,-5.5518287585926e-05,0.00134687830700093,-0.000537222595171464,2.31488736021699e-06,-0.000191613006486371,0.000236362465560965,0.000277489866454047,-0.000213540752277979,3.34718432683217e-05,-1.66633094057395e-05,-0.00180451546729027,1.64586085028067e-05,-8.40172709283339e-15,-4.39125058112372e-06,0.000543560731798737,-0.00346154926886731,0.000282670967642468,0.00183136960341538,0.00174084400831028,0.0453793474616839,-0.000152141954299987,0.000912928882271883,-0.409642992423235,-0.0144365713574654,4.57983530261331e-06,0.707106781186566,0.00724875757382295,-0.00393757667735765,0.00745715710683225,0.0927542847075563,-9.03876822051291e-15,0.123433616486634,0.0941691102407294,0.000364373492741129,0.0421963692351339,-0.00118644305787673,0.00102272876925716,2.38546906151151e-07,4.08627636359232e-05,3.34975371341633e-15,0.000273004983055319,-4.05683706022964e-06,-0.000386274271510759,0.00230834529522481,2.22923928277301e-06,6.02235335023839e-05,-5.12924213332928e-05,0.00473265166957531,1.48994875248146e-16,-6.18689761871828e-07,4.66919619842426e-05,-0.00207860562858601,8.66555090503386e-07,4.09752770698175e-16,-1.1764082040373e-16,1.10451363875229e-05,1.43192016764989e-05,1.40939810589138e-16,9.52317144778286e-07,-3.76900026868186e-07,5.15672727385547e-07,-1.07555195648256e-05,-3.22016455742638e-06,-1.95258660556721e-08,3.81897166429457e-07,8.86881507471362e-06,-7.58523693649427e-17,4.82003298190404e-07,-8.85556422235975e-07,-7.92090712179661e-05,2.2611744087084e-15,-7.50287181146986e-07,2.83062368121849e-06,-9.97985586655187e-06,3.99060906518134e-17,3.54183743654436e-05,-1.10248589182492e-07,1.2341924741708e-16,3.20731233493687e-16,-2.55426228864267e-06,4.51311604738871e-16,1.01817305832763e-15,9.72800284061353e-06,1.03537783780352e-16,5.02919171375661e-16,1.52479666997645e-06,8.29982079260161e-16,-5.05670170126701e-08,-5.62846833543191e-16,-2.35398783403578e-17,3.26909637180101e-15,-1.09170224248334e-17,1.8858372280354e-15,-8.16065277497753e-16,9.33694967095687e-16,2.93720641980587e-15,1.52033973157879e-15,2.72549334906326e-15,-1.77994663752607e-14,-0.0836242010007163
"t18",0.0147584246102767,0.00518933510148541,0.0308084878941267,-0.000800920720346097,-0.0151116772196973,0.00473382464020962,-0.0191431256583896,0.00948020497281213,-0.0435532123863469,-0.298379098590618,0.137969081763521,0.0107124679876219,-0.0244553285943128,0.0392964052410159,-0.00370302054710428,0.00371499528042678,-0.00698616303762802,0.00238506115606434,0.00158864242114733,0.000459781594611009,-0.00397791133819656,0.000428095368336895,0.0144314811437388,-0.00481615342146954,-0.00230066702723073,-0.00845338631785818,6.99525226513674e-05,0.0148215049906014,-0.0100984076619066,-0.00202430617862673,-0.000662268175029833,-0.00292990597601864,0.003638558955558,0.0309569279854974,0.00183000061387702,-0.00331805254343653,-2.36583099703721e-06,0.000168579899087308,-0.000306479967491331,-0.000438650254842344,-0.000255418941374274,-0.00191019728459404,-4.37587197543205e-05,9.40751920824958e-05,-0.00230219942124144,0.000959662058177573,-4.19101604392783e-06,0.000385493228561099,-0.000475764495712098,-0.000615816868310868,0.000474241652356079,-7.97638800555842e-05,4.02140030090628e-05,0.00446794065783723,-4.31139923200807e-05,-2.2182073880076e-15,1.16050049357268e-05,-0.00144446974610069,0.00943942897922092,-0.000829507088630568,-0.00547636993552998,-0.00522805910949121,-0.137818668432423,0.00048372044419887,-0.00287594842511983,0.0106649160752751,-0.0164369844573473,-3.07927416782906e-05,2.4980018054066e-16,-0.0343009510804504,0.0176275313281589,-0.0341839785533671,-0.45370498072421,4.52339082671085e-14,-0.615382438135296,-0.471410488379389,-0.00184281620968056,-0.213802473487346,0.00612442226312126,-0.0052870129686002,-1.26669308582303e-06,-0.00022324940282289,-8.25362669673971e-16,-0.00182859780979036,2.85791462988491e-05,0.00278394446614247,-0.0172683491393473,-1.70165188073205e-05,-0.000472314903010721,0.000441865600012748,-0.0411316905704466,5.71089450554824e-16,5.47669639939051e-06,-0.000420622039898211,0.0194045647380017,-8.14888250408908e-06,-2.32297781387058e-15,-1.93806950715144e-15,-0.00011193291612823,-0.000151600542911218,9.53915243275343e-16,-1.15131740926371e-05,4.85718626109532e-06,-7.16979061046095e-06,0.000153688491292443,4.73014378268307e-05,3.21405463268102e-07,-6.36355444686119e-06,-0.000151016280805447,5.41907050182392e-16,-8.65630926796795e-06,1.61816715238998e-05,0.00145112323839699,-1.8509128129077e-16,1.50173779387249e-05,-5.6826587712252e-05,0.000230743429355368,-1.34044325110089e-16,-0.000948814104507871,2.98590172536292e-06,7.58813924653746e-16,-1.63720830442109e-15,7.6329008284426e-05,-1.23826440820931e-15,1.20901210992846e-15,-0.000382119870394953,1.95750161759969e-16,3.116036863026e-16,-8.80206917457994e-05,9.78860286051788e-16,4.81372857103982e-06,-6.06873965532946e-16,-5.44655077807876e-16,1.24780407433757e-15,-3.70356003422179e-16,2.89916491914097e-15,-1.15278558032786e-16,3.05437058983873e-15,3.29621372954861e-15,1.98995050458767e-15,3.89082417531146e-15,-1.85247028520702e-14,-0.0836242010006945
"t52",0.0238134416982148,0.0101704672104932,0.178978671643633,0.00869130053313029,0.0156881358775703,-0.00188816337070963,-0.00762492167740046,0.153208113382648,0.00809229129623642,0.0195568341968358,-0.00575883387529914,-0.000212314376521746,0.00172570221768554,-0.0122308578161281,0.00178351199581302,-0.0128147952878636,0.436193356429317,0.0109531338671655,-0.031191575972133,-0.00610038921990934,0.0770373067335115,0.0623802404669058,0.00197892750030299,0.000632996162928596,0.000334274389583285,0.00177474683068668,-1.50310043574496e-05,-0.00326803243587324,0.00233718140349355,-0.00392719155712497,6.95608232560103e-05,0.000299707893388868,-0.00036470113537474,-0.00255866074350114,-0.000101287839262892,0.000135005017920783,4.74048016238404e-08,-2.78917819077726e-06,3.71963444162573e-06,-1.92844705688338e-05,-0.000246651570972666,-0.000117061066553665,-4.89831958533971e-05,7.08272189210772e-06,-0.00017950469801115,8.95200235926475e-05,-4.25827734512316e-07,6.03294633798219e-05,-7.34173632362911e-05,-0.000148941537958478,0.000115132741959171,-3.02514549517847e-05,1.68026221001219e-05,0.00231517102754181,-5.26416265799057e-05,-4.64483166336775e-14,1.78419614601593e-05,-0.00270838775385829,0.851968729372719,0.000506954982417833,0.00256639278969665,0.00232491903284375,0.053550112742333,0.0016923511102703,0.000472989577600627,-0.000144630449827866,0.0024827489910393,3.85431732700634e-06,6.8512903683704e-15,0.00418580942083018,-0.0472060466975952,0.000610998313275185,0.00905775913448192,9.17181488564306e-16,0.0109395691452765,0.00842614104455511,7.1064100133887e-05,-0.0555399082421102,-4.35721035244327e-05,3.44362925019548e-05,4.16460513417598e-09,-2.62729685645747e-07,9.18116399775389e-17,-5.06133056147631e-05,9.40616924040787e-07,0.000100012792861527,-0.000677245254226887,-6.9803927689908e-07,-2.0152380121345e-05,0.000476060948244671,-0.00208223479529161,4.51646595423448e-16,3.28583076378908e-07,-2.24123713539357e-05,0.00110035962908366,-4.88758685782805e-07,8.91231443108455e-16,-1.33698975682277e-15,-6.90625269197003e-06,-9.7317818000739e-06,-9.44116405190355e-16,-8.03533664771664e-07,3.59055671852101e-07,-5.52965346296861e-07,1.18262046941007e-05,3.77034673324833e-06,2.67984822729539e-08,-5.36026647401457e-07,-1.28301052807072e-05,-4.71193568389564e-16,-7.35042262784521e-07,1.41159780994154e-06,0.000126705638655881,-1.14800618756266e-15,1.32545307676366e-06,-5.1426730564892e-05,2.14168552241853e-05,1.18000247566084e-15,-0.00404418770687693,1.86329743890988e-07,3.17891358905053e-16,1.573468750247e-16,0.000327668510017235,-5.62632579293093e-16,-1.04049437611294e-15,-3.8402510773767e-05,-1.11309841547771e-15,9.06551896266101e-17,-9.24347162939353e-06,1.69130222442949e-16,5.22537516673808e-07,3.47287247685169e-16,1.47956965267704e-16,1.57202733758869e-15,-3.69984100906558e-16,6.07288432790647e-15,-5.72423058106949e-16,2.26463806839581e-15,2.82141459875439e-15,6.84896175347583e-16,3.35319172766527e-15,-1.813231453565e-14,-0.0836242010007185
"t130",0.0242328526541206,0.0103993482242708,0.184923000236522,0.00903760339212869,0.0165296953543106,-0.00200696715544195,-0.00815458341512096,0.164134176849154,0.00880583272281689,0.0215107050793273,-0.00635564593925377,-0.000235240865316192,0.00197655025506404,-0.0141843069804427,0.00207700850116997,-0.0151679540626319,0.519424163239666,0.014692744745714,-0.0448837899686777,-0.00948874952949732,0.12047417908527,0.0985084047107472,0.00343604352206044,0.00116520108297566,0.000620414025638916,0.00352185279029871,-3.02029833470696e-05,-0.0066522128395071,0.00487887299444286,-0.00904454058571674,0.000201173332860482,0.000884787934184841,-0.001111157739288,-0.00925917796153739,-0.000522705185423262,0.000899842432769644,6.88998253219918e-07,-4.17576295886207e-05,7.20503647506774e-05,0.000100701655340313,0.00103440442751679,0.00042183327215704,0.000143486430679839,-2.04643468819931e-05,0.000496003378780716,-0.00020003077671757,8.95444324380315e-07,-8.20306785388205e-05,9.96287797174109e-05,0.000139995125570572,-0.000107928535839305,2.18712203982395e-05,-1.15908473348202e-05,-0.00145082723530035,2.65373703425393e-05,1.94938017578121e-14,-8.68317027253358e-06,0.00128904139738047,-0.364553577858067,-0.000155030687137985,-0.000710208884563984,-0.000628083644315014,-0.0135448778320291,-0.00024251782202211,-6.23287963249871e-05,1.27810623932415e-05,-0.000216453457830807,-2.98182378895773e-07,3.87710696880816e-16,-0.000266524556382945,-0.000920978160796468,2.32176629096955e-05,0.000715625114956894,-3.7322544762548e-16,0.000978985078041298,0.000772482779792316,6.89621719894026e-06,-0.0054427195048207,-4.67870326442358e-06,3.72239011727105e-06,5.03519870854612e-10,-3.51362326046364e-08,-8.57168365448287e-16,-1.0544255919384e-05,2.099604012691e-07,2.29600102140072e-05,-0.000162197679365946,-1.70771526711402e-07,-5.06453832797439e-06,0.000129740787695674,-0.000571332631921502,-7.63101609389377e-16,9.14013417232152e-08,-6.31329756756911e-06,0.000317562137647124,-1.4172660419299e-07,-8.52519093349287e-16,1.41245013251419e-15,-2.09468464021455e-06,-3.02177621297068e-06,3.76590028966838e-16,-2.65184847232266e-07,1.21472558175839e-07,-1.92069268331179e-07,4.14387299714485e-06,1.33235697637716e-06,9.77285827750622e-09,-1.9608119391869e-07,-4.71837894818615e-06,1.55181744945277e-15,-2.73697181832613e-07,5.27642600998039e-07,4.73882419352623e-05,5.05978025438163e-15,5.04840241789983e-07,-1.95988482964801e-05,8.36757462505159e-06,-1.52356793227281e-15,-0.00161447307231496,7.44920867561878e-08,7.8788546842364e-16,2.15647305825308e-15,0.000132602156469489,4.27319851642337e-15,-2.12461548801436e-14,-1.59691264682893e-05,-4.4379972868276e-15,9.8577722055496e-16,-3.94615299911513e-06,-9.69130761726882e-15,2.27829546231286e-07,4.83849045931543e-15,-2.33199605769588e-14,-3.91115121559989e-14,1.86323769647221e-15,0.70710678118655,-6.61364324245426e-14,1.09734986713759e-13,3.04061181642578e-14,1.88712182900083e-14,1.49294313743332e-14,-3.06105930452838e-14,-0.0836242010006625
"t131",0.0242328526541207,0.0103993482242713,0.184923000236522,0.00903760339212883,0.0165296953543106,-0.00200696715544212,-0.0081545834151216,0.164134176849154,0.00880583272281696,0.0215107050793272,-0.00635564593925383,-0.000235240865315941,0.00197655025506457,-0.0141843069804429,0.0020770085011704,-0.0151679540626314,0.519424163239664,0.0146927447457139,-0.0448837899686761,-0.009488749529498,0.12047417908527,0.0985084047107471,0.00343604352206094,0.00116520108297484,0.000620414025639167,0.00352185279029903,-3.02029833481034e-05,-0.00665221283950947,0.00487887299444451,-0.00904454058571999,0.000201173332860488,0.000884787934185418,-0.00111115773928839,-0.00925917796153671,-0.000522705185423299,0.000899842432770336,6.88998252360287e-07,-4.17576295883265e-05,7.20503647509559e-05,0.000100701655341417,0.00103440442751854,0.000421833272157272,0.000143486430684851,-2.04643468789164e-05,0.000496003378781727,-0.000200030776718986,8.9544432352894e-07,-8.20306785404305e-05,9.96287797191381e-05,0.000139995125570711,-0.000107928535840468,2.18712203985899e-05,-1.15908473356668e-05,-0.00145082723530194,2.65373703421921e-05,2.07891491885779e-14,-8.68317027334541e-06,0.00128904139738011,-0.364553577858064,-0.000155030687137447,-0.000710208884561054,-0.000628083644315758,-0.0135448778320262,-0.000242517822027937,-6.23287963238266e-05,1.27810623933196e-05,-0.000216453457829544,-2.98182379240639e-07,-6.73506389547995e-15,-0.000266524556384136,-0.00092097816079384,2.32176629098085e-05,0.000715625114958812,3.71458075993079e-17,0.000978985078043092,0.0007724827797915,6.89621720163993e-06,-0.00544271950481771,-4.67870326449116e-06,3.72239011412213e-06,5.03520053733452e-10,-3.51362334875144e-08,-1.13903220481199e-17,-1.05442559203098e-05,2.09960397336492e-07,2.29600102114899e-05,-0.000162197679368977,-1.70771524477168e-07,-5.06453833098911e-06,0.000129740787694144,-0.000571332631916218,8.35188651987651e-16,9.14013311272038e-08,-6.31329755750053e-06,0.000317562137644848,-1.41726609212726e-07,2.79022695540517e-16,-1.11162136094015e-15,-2.09468463690722e-06,-3.02177620890978e-06,3.78686612573599e-16,-2.6518484938087e-07,1.2147256661839e-07,-1.92069254676187e-07,4.14387299577533e-06,1.33235698258218e-06,9.77286804826845e-09,-1.96081179132222e-07,-4.71837896133995e-06,-6.8470548454068e-16,-2.73697185209142e-07,5.27642586559529e-07,4.73882419340798e-05,-3.2374835616863e-15,5.04840240985203e-07,-1.95988483179403e-05,8.36757462243767e-06,7.28724020290672e-16,-0.00161447307231114,7.44920795649373e-08,-7.88607873935308e-17,-2.49037012715101e-15,0.000132602156469021,-4.32312069062705e-15,2.23625102840344e-14,-1.59691264766444e-05,5.38058494305396e-15,-3.19142202950296e-16,-3.94615300259919e-06,1.14237695141494e-14,2.27829437509856e-07,-5.89214872061767e-15,2.0944665294865e-14,4.28164652810181e-14,-1.99681074062162e-15,-0.707106781186544,6.58713850328433e-14,-1.06158018009503e-13,-2.38682654461635e-14,-1.63921714892692e-14,-7.80770657021127e-15,-3.54125676457355e-15,-0.0836242010007461
"t20",0.0236356028687873,0.0100896279723627,0.177946054046065,0.00867687309121928,0.0159443690416792,-0.00196115764930157,-0.00809511934224607,0.163867205404964,0.00959718763423654,0.0265362240985084,-0.00831155922892879,-0.000335195288771628,-0.00299465404529726,0.00664203999746756,-0.000710886526462758,0.00161328761451656,-0.0344998046973172,-0.00241397733868244,0.020144823919028,0.010007425939659,-0.135085200188542,-0.123765012151403,-0.0311615769063258,0.00580946581460717,0.002569868323007,0.00627710882038399,-4.87229509832388e-05,-0.00976895628621141,0.00609052885033241,-0.00693694386104838,6.54015200527632e-05,0.000266430139122918,-0.000296743498589035,-0.00113626270961989,2.87132997221782e-05,-0.000119583189197817,-1.77723438421221e-07,1.08891390014819e-05,-2.03001949667e-05,-5.52776366565698e-05,-0.000608758974127789,-0.000261105527749978,-9.53098688641342e-05,1.36573550665764e-05,-0.000336110133131857,0.000145579071316512,-6.64647529266073e-07,6.84680910161015e-05,-8.31882304550935e-05,-0.000119646779623206,9.2213262753815e-05,-1.71308139206842e-05,8.78687682720482e-06,0.00100254446734647,-1.16582554734789e-05,-2.64007266973726e-15,3.31933500889611e-06,-0.000442637187604914,0.0454864103098603,-0.000161488957398098,-0.00112073625347076,-0.00108267212355463,-0.0292373006773249,-0.00218824672266784,-0.00066673299669572,0.000285557927652665,-0.00494955521782922,-8.33509225237337e-06,-2.89239118766993e-14,-0.010190751169237,0.452900721647726,0.00226140913517533,-0.0734968746858482,-6.2491877304659e-15,-0.120354754548974,-0.0992190376688117,-0.000999901565450121,0.808332375489145,0.000931149937275226,-0.000761802215641209,-2.27466769358533e-07,-4.12723229103122e-05,7.59223830092847e-15,-0.000404076157020302,6.45370629938963e-06,0.000648369824472268,-0.00404916975820092,-4.01483221129966e-06,-0.00011055794898698,0.0303713724269641,-0.00967474756591922,5.79597869822741e-17,1.51446755104765e-06,-0.000101583468256091,0.00481766013287055,-2.12535208662972e-06,-2.16610030986582e-16,1.49697494727242e-15,-2.81800037793586e-05,-3.8448379994222e-05,-1.28444047885502e-15,-2.9299087106113e-06,1.2692539387721e-06,-1.89377305235816e-06,4.00917820786084e-05,1.26589846677528e-05,8.7001641857292e-08,-1.73495501063821e-06,-4.13165858119403e-05,1.06079375162384e-15,-2.34135900783588e-06,4.48280441164143e-06,0.000402205912813535,-3.00659644764809e-15,4.16370495437247e-06,-0.000161519413700953,6.83957703266085e-05,1.22000211658958e-15,-0.0591768546910488,-6.04266632691825e-07,1.28137598112789e-15,2.77887071391878e-15,0.0113383056567907,-1.60990126297627e-15,-7.00705660772151e-15,-9.88035194401618e-05,4.41398952959008e-16,-4.39573315494877e-16,-2.35805973339684e-05,1.63820098946884e-15,1.3117280535798e-06,-7.02018722116359e-16,-2.27777407881631e-16,1.04495891084634e-15,3.04564559990963e-16,7.17142073649403e-15,-9.28757915379883e-18,1.99871301683874e-15,2.90379737221952e-15,7.97734988682185e-16,3.66428657045008e-15,-1.81276123347449e-14,-0.0836242010007027
"t69",0.0259883761129898,0.0114028635531334,0.213965693499574,0.0108566374078538,0.0217541908002208,-0.00284540080213872,-0.0122872215601388,0.251993270358053,0.0167293966625316,0.0508752349463951,-0.0164502213812481,-0.000689264211485793,-0.00911063813680988,0.0245533446388726,-0.00283051494110663,0.00915153842372142,-0.232145543418116,0.00646218721812673,-0.0303823533568208,-0.0103194821952597,0.136383061140498,0.120419284888646,0.0225825478160664,-0.00366005959640178,-0.00159031337097675,-0.00340421374546526,2.58403576735172e-05,0.00506609967772721,-0.00302903810187121,0.00298914351099425,-2.19968615213149e-05,-8.79938845878649e-05,9.54103986377904e-05,0.000321769079093063,-6.74077827492999e-06,2.55541663592444e-05,3.21063280226396e-08,-1.95917008955421e-06,3.54218841110789e-06,5.9504115507033e-06,5.95664216692632e-05,2.35609679144837e-05,7.50094015380124e-06,-1.06375493822986e-06,2.52789819900103e-05,-8.97233191750753e-06,3.82160453303238e-08,-1.69031496144762e-06,2.04031299926316e-06,-8.48408120639578e-07,6.76235762570525e-07,-5.44538920867825e-07,3.19791411205724e-07,4.6122674188872e-05,-8.01855897611405e-07,-5.35213783684693e-15,2.41001460793507e-07,-3.3219049072902e-05,0.00395507075749875,-2.05831808008724e-05,-0.000157455929102351,-0.00015559003695212,-0.00446343894704017,-0.000526320608053618,-0.000170164166605828,9.461335313957e-05,-0.00165348607600383,-2.98951064762774e-06,-3.60232677021344e-14,-0.00407710481653273,0.742373266071526,0.0171261631998596,0.068568546767965,-9.38774029637572e-16,0.0845266737332828,0.066136941403867,0.000590891089668407,-0.468036883768311,-0.000447098650043561,0.000360904400128607,8.61087111552373e-08,1.27631103342645e-05,-3.26236070191779e-15,4.39445090537463e-05,-5.57792981859194e-07,-5.04110454130467e-05,0.00026336941041809,2.36121523581922e-07,5.64599887134589e-06,-0.000864950002774509,0.000257654881771626,-1.06154617103779e-15,-3.47076416732256e-08,1.98343846880472e-06,-6.2774767735776e-05,2.50007275758435e-08,-4.37052055127471e-16,1.11783653259374e-15,-4.31024137754547e-09,-2.43769516718391e-07,3.93358107673455e-16,-6.56354477972395e-08,3.67837186512824e-08,-6.82496064416464e-08,1.53979585501154e-06,5.15380548563183e-07,4.30322768186181e-09,-8.73346442259064e-08,-2.14292494882816e-06,5.10023512438501e-16,-1.29947268977202e-07,2.53957897627577e-07,2.28541630690061e-05,2.40546108552705e-15,2.60364451932503e-07,-1.01309558593354e-05,4.9277724442341e-06,-2.45906245131281e-16,-0.00520225025200184,-5.45288386506531e-08,4.27389495816324e-15,-4.17071364760411e-15,0.0532244104940971,-2.8916529986618e-15,2.96363449977943e-15,-7.38295074168987e-06,-6.38540814437584e-16,-8.32926602887876e-16,-2.03433129441081e-06,2.27436705239e-16,1.22763339854039e-07,-2.05088861720859e-16,-4.25239734241383e-16,1.24054804802176e-15,-1.00893241185989e-15,5.75122969792489e-15,2.96204655770859e-16,1.47921496151698e-15,2.16835549213859e-15,2.77151850092458e-16,3.10759944314467e-15,-1.60961700477371e-14,-0.0836242010007249
