"","t29","t33","t34","t61","t62","t77","t78","t1","t73","t74","t9","t19","t20","t21","t5","t27","t28","t56","t57","t38","t37","t75","t76","t30","t31","t87","t88","t22","t10","t67","t68","t45","t15","t24","t25","t18","t42","t43","t7","t6","t58","t85","t86","t80","t51","t52","t41","t17","t12","t13","t95","t96","t79","t55","t99","t100","t8","t83","t84","t71","t72","t23","t39","t40","t59","t60","t2","t35","t36","t97","t98","t89","t70","t16","t81","t82","t3","t53","t54","t91","t92","t90","t26","t69","t93","t94","t32","t11","t46","t63","t64","t44","t4","t14","t49","t50","t65","t66","t47","t48"
"t29",0,1.08937717317,1.08937717317,1.6935710879,1.6935710879,1.9082305,1.9082305,5.788948804,5.93866012627,5.93866012627,5.93866012589,5.93866012579,5.93866012579,5.93866012579,5.93866012559,5.93866012598,5.93866012598,5.938660126,5.938660126,5.93866012596,5.93866012599,5.93866012609,5.93866012609,5.93866012599,5.93866012599,5.93866012574,5.93866012574,5.93866012569,5.93866012608,5.93866012608,5.93866012608,5.93866012608,5.93866012638,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012579,6.55209263729,6.55209263697,6.55209263697,6.55209263697,6.55209263697,6.55209263687,6.55209263687,6.55209263687,6.55209263697,6.55209263717,6.55209263717,6.55209263704,6.55209263704,6.55209263702,6.55209263682,6.552092636836,6.552092636836,6.55209263652,6.55209263702,6.55209263702,6.55209263702,6.55209263702,6.55209263696,6.55209263686,6.55209263686,6.552092637,6.552092637,6.55209263749,6.55209263719,6.55209263719,6.55209263725,6.55209263725,6.55209263726,6.55209263719,6.55209263729,8.26222443559,8.26222443559,8.26222443509,8.26222443509,8.26222443509,8.26222443512,8.26222443512,8.26222443511,8.26222443519,8.26222443523,8.26222443515,8.26222443515,8.26222443513,8.26222443489,8.262224435,8.2622244349,8.2622244349,8.26222443499,8.26222443499,8.26222443509,8.26222443547,8.26222443547,8.26222443549,8.26222443549,8.26222443549,8.26222443549
"t33",1.08937717317,0,0.9786091066,1.69357108787,1.69357108787,1.90823049997,1.90823049997,5.78894880397,5.93866012624,5.93866012624,5.93866012586,5.93866012576,5.93866012576,5.93866012576,5.93866012556,5.93866012595,5.93866012595,5.93866012597,5.93866012597,5.93866012593,5.93866012596,5.93866012606,5.93866012606,5.93866012596,5.93866012596,5.93866012571,5.93866012571,5.93866012566,5.93866012605,5.93866012605,5.93866012605,5.93866012605,5.93866012635,5.93866012604,5.93866012604,5.93866012604,5.93866012604,5.93866012604,5.93866012576,6.55209263726,6.55209263694,6.55209263694,6.55209263694,6.55209263694,6.55209263684,6.55209263684,6.55209263684,6.55209263694,6.55209263714,6.55209263714,6.55209263701,6.55209263701,6.55209263699,6.55209263679,6.552092636806,6.552092636806,6.55209263649,6.55209263699,6.55209263699,6.55209263699,6.55209263699,6.55209263693,6.55209263683,6.55209263683,6.55209263697,6.55209263697,6.55209263746,6.55209263716,6.55209263716,6.55209263722,6.55209263722,6.55209263723,6.55209263716,6.55209263726,8.26222443556,8.26222443556,8.26222443506,8.26222443506,8.26222443506,8.26222443509,8.26222443509,8.26222443508,8.26222443516,8.2622244352,8.26222443512,8.26222443512,8.2622244351,8.26222443486,8.26222443497,8.26222443487,8.26222443487,8.26222443496,8.26222443496,8.26222443506,8.26222443544,8.26222443544,8.26222443546,8.26222443546,8.26222443546,8.26222443546
"t34",1.08937717317,0.9786091066,0,1.69357108787,1.69357108787,1.90823049997,1.90823049997,5.78894880397,5.93866012624,5.93866012624,5.93866012586,5.93866012576,5.93866012576,5.93866012576,5.93866012556,5.93866012595,5.93866012595,5.93866012597,5.93866012597,5.93866012593,5.93866012596,5.93866012606,5.93866012606,5.93866012596,5.93866012596,5.93866012571,5.93866012571,5.93866012566,5.93866012605,5.93866012605,5.93866012605,5.93866012605,5.93866012635,5.93866012604,5.93866012604,5.93866012604,5.93866012604,5.93866012604,5.93866012576,6.55209263726,6.55209263694,6.55209263694,6.55209263694,6.55209263694,6.55209263684,6.55209263684,6.55209263684,6.55209263694,6.55209263714,6.55209263714,6.55209263701,6.55209263701,6.55209263699,6.55209263679,6.552092636806,6.552092636806,6.55209263649,6.55209263699,6.55209263699,6.55209263699,6.55209263699,6.55209263693,6.55209263683,6.55209263683,6.55209263697,6.55209263697,6.55209263746,6.55209263716,6.55209263716,6.55209263722,6.55209263722,6.55209263723,6.55209263716,6.55209263726,8.26222443556,8.26222443556,8.26222443506,8.26222443506,8.26222443506,8.26222443509,8.26222443509,8.26222443508,8.26222443516,8.2622244352,8.26222443512,8.26222443512,8.2622244351,8.26222443486,8.26222443497,8.26222443487,8.26222443487,8.26222443496,8.26222443496,8.26222443506,8.26222443544,8.26222443544,8.26222443546,8.26222443546,8.26222443546,8.26222443546
"t61",1.6935710879,1.69357108787,1.69357108787,0,0.6513145722,1.9082305001,1.9082305001,5.7889488041,5.93866012637,5.93866012637,5.93866012599,5.93866012589,5.93866012589,5.93866012589,5.93866012569,5.93866012608,5.93866012608,5.9386601261,5.9386601261,5.93866012606,5.93866012609,5.93866012619,5.93866012619,5.93866012609,5.93866012609,5.93866012584,5.93866012584,5.93866012579,5.93866012618,5.93866012618,5.93866012618,5.93866012618,5.93866012648,5.93866012617,5.93866012617,5.93866012617,5.93866012617,5.93866012617,5.93866012589,6.55209263739,6.55209263707,6.55209263707,6.55209263707,6.55209263707,6.55209263697,6.55209263697,6.55209263697,6.55209263707,6.55209263727,6.55209263727,6.55209263714,6.55209263714,6.55209263712,6.55209263692,6.552092636936,6.552092636936,6.55209263662,6.55209263712,6.55209263712,6.55209263712,6.55209263712,6.55209263706,6.55209263696,6.55209263696,6.5520926371,6.5520926371,6.55209263759,6.55209263729,6.55209263729,6.55209263735,6.55209263735,6.55209263736,6.55209263729,6.55209263739,8.26222443569,8.26222443569,8.26222443519,8.26222443519,8.26222443519,8.26222443522,8.26222443522,8.26222443521,8.26222443529,8.26222443533,8.26222443525,8.26222443525,8.26222443523,8.26222443499,8.2622244351,8.262224435,8.262224435,8.26222443509,8.26222443509,8.26222443519,8.26222443557,8.26222443557,8.26222443559,8.26222443559,8.26222443559,8.26222443559
"t62",1.6935710879,1.69357108787,1.69357108787,0.6513145722,0,1.9082305001,1.9082305001,5.7889488041,5.93866012637,5.93866012637,5.93866012599,5.93866012589,5.93866012589,5.93866012589,5.93866012569,5.93866012608,5.93866012608,5.9386601261,5.9386601261,5.93866012606,5.93866012609,5.93866012619,5.93866012619,5.93866012609,5.93866012609,5.93866012584,5.93866012584,5.93866012579,5.93866012618,5.93866012618,5.93866012618,5.93866012618,5.93866012648,5.93866012617,5.93866012617,5.93866012617,5.93866012617,5.93866012617,5.93866012589,6.55209263739,6.55209263707,6.55209263707,6.55209263707,6.55209263707,6.55209263697,6.55209263697,6.55209263697,6.55209263707,6.55209263727,6.55209263727,6.55209263714,6.55209263714,6.55209263712,6.55209263692,6.552092636936,6.552092636936,6.55209263662,6.55209263712,6.55209263712,6.55209263712,6.55209263712,6.55209263706,6.55209263696,6.55209263696,6.5520926371,6.5520926371,6.55209263759,6.55209263729,6.55209263729,6.55209263735,6.55209263735,6.55209263736,6.55209263729,6.55209263739,8.26222443569,8.26222443569,8.26222443519,8.26222443519,8.26222443519,8.26222443522,8.26222443522,8.26222443521,8.26222443529,8.26222443533,8.26222443525,8.26222443525,8.26222443523,8.26222443499,8.2622244351,8.262224435,8.262224435,8.26222443509,8.26222443509,8.26222443519,8.26222443557,8.26222443557,8.26222443559,8.26222443559,8.26222443559,8.26222443559
"t77",1.9082305,1.90823049997,1.90823049997,1.9082305001,1.9082305001,0,0.4965597166,5.788948804,5.93866012627,5.93866012627,5.93866012589,5.93866012579,5.93866012579,5.93866012579,5.93866012559,5.93866012598,5.93866012598,5.938660126,5.938660126,5.93866012596,5.93866012599,5.93866012609,5.93866012609,5.93866012599,5.93866012599,5.93866012574,5.93866012574,5.93866012569,5.93866012608,5.93866012608,5.93866012608,5.93866012608,5.93866012638,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012579,6.55209263729,6.55209263697,6.55209263697,6.55209263697,6.55209263697,6.55209263687,6.55209263687,6.55209263687,6.55209263697,6.55209263717,6.55209263717,6.55209263704,6.55209263704,6.55209263702,6.55209263682,6.552092636836,6.552092636836,6.55209263652,6.55209263702,6.55209263702,6.55209263702,6.55209263702,6.55209263696,6.55209263686,6.55209263686,6.552092637,6.552092637,6.55209263749,6.55209263719,6.55209263719,6.55209263725,6.55209263725,6.55209263726,6.55209263719,6.55209263729,8.26222443559,8.26222443559,8.26222443509,8.26222443509,8.26222443509,8.26222443512,8.26222443512,8.26222443511,8.26222443519,8.26222443523,8.26222443515,8.26222443515,8.26222443513,8.26222443489,8.262224435,8.2622244349,8.2622244349,8.26222443499,8.26222443499,8.26222443509,8.26222443547,8.26222443547,8.26222443549,8.26222443549,8.26222443549,8.26222443549
"t78",1.9082305,1.90823049997,1.90823049997,1.9082305001,1.9082305001,0.4965597166,0,5.788948804,5.93866012627,5.93866012627,5.93866012589,5.93866012579,5.93866012579,5.93866012579,5.93866012559,5.93866012598,5.93866012598,5.938660126,5.938660126,5.93866012596,5.93866012599,5.93866012609,5.93866012609,5.93866012599,5.93866012599,5.93866012574,5.93866012574,5.93866012569,5.93866012608,5.93866012608,5.93866012608,5.93866012608,5.93866012638,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012579,6.55209263729,6.55209263697,6.55209263697,6.55209263697,6.55209263697,6.55209263687,6.55209263687,6.55209263687,6.55209263697,6.55209263717,6.55209263717,6.55209263704,6.55209263704,6.55209263702,6.55209263682,6.552092636836,6.552092636836,6.55209263652,6.55209263702,6.55209263702,6.55209263702,6.55209263702,6.55209263696,6.55209263686,6.55209263686,6.552092637,6.552092637,6.55209263749,6.55209263719,6.55209263719,6.55209263725,6.55209263725,6.55209263726,6.55209263719,6.55209263729,8.26222443559,8.26222443559,8.26222443509,8.26222443509,8.26222443509,8.26222443512,8.26222443512,8.26222443511,8.26222443519,8.26222443523,8.26222443515,8.26222443515,8.26222443513,8.26222443489,8.262224435,8.2622244349,8.2622244349,8.26222443499,8.26222443499,8.26222443509,8.26222443547,8.26222443547,8.26222443549,8.26222443549,8.26222443549,8.26222443549
"t1",5.788948804,5.78894880397,5.78894880397,5.7889488041,5.7889488041,5.788948804,5.788948804,0,5.93866012627,5.93866012627,5.93866012589,5.93866012579,5.93866012579,5.93866012579,5.93866012559,5.93866012598,5.93866012598,5.938660126,5.938660126,5.93866012596,5.93866012599,5.93866012609,5.93866012609,5.93866012599,5.93866012599,5.93866012574,5.93866012574,5.93866012569,5.93866012608,5.93866012608,5.93866012608,5.93866012608,5.93866012638,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012607,5.93866012579,6.55209263729,6.55209263697,6.55209263697,6.55209263697,6.55209263697,6.55209263687,6.55209263687,6.55209263687,6.55209263697,6.55209263717,6.55209263717,6.55209263704,6.55209263704,6.55209263702,6.55209263682,6.552092636836,6.552092636836,6.55209263652,6.55209263702,6.55209263702,6.55209263702,6.55209263702,6.55209263696,6.55209263686,6.55209263686,6.552092637,6.552092637,6.55209263749,6.55209263719,6.55209263719,6.55209263725,6.55209263725,6.55209263726,6.55209263719,6.55209263729,8.26222443559,8.26222443559,8.26222443509,8.26222443509,8.26222443509,8.26222443512,8.26222443512,8.26222443511,8.26222443519,8.26222443523,8.26222443515,8.26222443515,8.26222443513,8.26222443489,8.262224435,8.2622244349,8.2622244349,8.26222443499,8.26222443499,8.26222443509,8.26222443547,8.26222443547,8.26222443549,8.26222443549,8.26222443549,8.26222443549
"t73",5.93866012627,5.93866012624,5.93866012624,5.93866012637,5.93866012637,5.93866012627,5.93866012627,5.93866012627,0,0.5269162676,5.79688199722,5.79688199712,5.79688199712,5.79688199712,5.79688199692,5.79688199731,5.79688199731,5.79688199733,5.79688199733,5.79688199729,5.79688199732,5.79688199742,5.79688199742,5.79688199732,5.79688199732,5.79688199707,5.79688199707,5.79688199702,5.79688199741,5.79688199741,5.79688199741,5.79688199741,5.79688199771,5.7968819974,5.7968819974,5.7968819974,5.7968819974,5.7968819974,5.79688199712,6.55209263718,6.55209263686,6.55209263686,6.55209263686,6.55209263686,6.55209263676,6.55209263676,6.55209263676,6.55209263686,6.55209263706,6.55209263706,6.55209263693,6.55209263693,6.55209263691,6.55209263671,6.552092636726,6.552092636726,6.55209263641,6.55209263691,6.55209263691,6.55209263691,6.55209263691,6.55209263685,6.55209263675,6.55209263675,6.55209263689,6.55209263689,6.55209263738,6.55209263708,6.55209263708,6.55209263714,6.55209263714,6.55209263715,6.55209263708,6.55209263718,8.26222443548,8.26222443548,8.26222443498,8.26222443498,8.26222443498,8.26222443501,8.26222443501,8.262224435,8.26222443508,8.26222443512,8.26222443504,8.26222443504,8.26222443502,8.26222443478,8.26222443489,8.26222443479,8.26222443479,8.26222443488,8.26222443488,8.26222443498,8.26222443536,8.26222443536,8.26222443538,8.26222443538,8.26222443538,8.26222443538
"t74",5.93866012627,5.93866012624,5.93866012624,5.93866012637,5.93866012637,5.93866012627,5.93866012627,5.93866012627,0.5269162676,0,5.79688199722,5.79688199712,5.79688199712,5.79688199712,5.79688199692,5.79688199731,5.79688199731,5.79688199733,5.79688199733,5.79688199729,5.79688199732,5.79688199742,5.79688199742,5.79688199732,5.79688199732,5.79688199707,5.79688199707,5.79688199702,5.79688199741,5.79688199741,5.79688199741,5.79688199741,5.79688199771,5.7968819974,5.7968819974,5.7968819974,5.7968819974,5.7968819974,5.79688199712,6.55209263718,6.55209263686,6.55209263686,6.55209263686,6.55209263686,6.55209263676,6.55209263676,6.55209263676,6.55209263686,6.55209263706,6.55209263706,6.55209263693,6.55209263693,6.55209263691,6.55209263671,6.552092636726,6.552092636726,6.55209263641,6.55209263691,6.55209263691,6.55209263691,6.55209263691,6.55209263685,6.55209263675,6.55209263675,6.55209263689,6.55209263689,6.55209263738,6.55209263708,6.55209263708,6.55209263714,6.55209263714,6.55209263715,6.55209263708,6.55209263718,8.26222443548,8.26222443548,8.26222443498,8.26222443498,8.26222443498,8.26222443501,8.26222443501,8.262224435,8.26222443508,8.26222443512,8.26222443504,8.26222443504,8.26222443502,8.26222443478,8.26222443489,8.26222443479,8.26222443479,8.26222443488,8.26222443488,8.26222443498,8.26222443536,8.26222443536,8.26222443538,8.26222443538,8.26222443538,8.26222443538
