,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,,,,,1,1
top,HISSE,,,,,,,,,,,,,,HISSE,phyloNa
freq,100,,,,,,,,,,,,,,100,100
mean,,0.2218773700665703,0.23744996455796025,0.22634456787420199,0.2367348686976736,0.23815442261063458,0.2854592137712062,0.2391062988934061,0.23811599332016595,0.2378255830267587,0.2443609730302338,0.3240249767554977,0.24512003300084995,0.24096840643887937,,
std,,0.06748100511315373,0.07297891330618422,0.07643523931911599,0.05651806708010993,0.06032942929629777,0.11699666595706741,0.06374054431627527,0.06510966004013587,0.06828279693648369,0.07608850973277763,0.11717774083755916,0.08272703728411031,0.07229801111140467,,
min,,0.019224655058780515,5.922201391559173e-05,0.0021070861400524763,0.01092824508132384,0.02666654606964109,0.045531349159575935,0.0007755821234706,0.016667397819488252,0.007811625395560001,0.016524459756250005,0.09007005716155632,0.0002764197119164901,0.01023177485660944,,
25%,,0.18133560284374406,0.19898091218782493,0.1780842325222455,0.2104279357203837,0.2100493483868951,0.22154910686598986,0.21008692380339927,0.20972898180774746,0.2020976688937997,0.20951015591011513,0.23819184302635013,0.2067522065125015,0.20901181295014098,,
50%,,0.22799630800099824,0.24225250730869846,0.21987654320987654,0.2417736524649493,0.2428151565155574,0.2625808744225585,0.24285253622500633,0.2409222228643266,0.2415916127596712,0.23937783614891034,0.31517122070182524,0.24526532901672854,0.24003709667414547,,
75%,,0.25105087170381274,0.2597305452025851,0.25209552417533354,0.25842803038694984,0.25650227930449293,0.315843643056622,0.2570815786289675,0.254744929047318,0.26618409345146105,0.26141187499607665,0.39470546515097066,0.2706645094389647,0.27320090576652667,,
max,,0.45374867697016097,0.5808861359510196,0.4897777777777777,0.3972572014661936,0.41113019545285906,0.7445670526457075,0.5301831992948832,0.5674536862637264,0.5059584335396209,0.5762669359994019,0.67017283228816,0.5581203448377346,0.46950819493900314,,
