"","t27","t91","t92","t69","t77","t78","t105","t106","t43","t10","t32","t33","t66","t67","t51","t7","t6","t16","t55","t56","t46","t28","t40","t73","t74","t75","t89","t90","t96","t97","t44","t63","t64","t53","t54","t107","t108","t88","t111","t112","t86","t3","t2","t4","t17","t61","t62","t11","t12","t24","t93","t102","t103","t37","t71","t72","t38","t109","t110","t65","t100","t101","t70","t57","t58","t5","t30","t31","t15","t19","t34","t36","t82","t83","t22","t115","t116","t42","t47","t48","t81","t119","t120","t84","t85","t45","t8","t20","t21","t29","t59","t60","t23","t14","t98","t99","t87","t39","t113","t114","t25","t26","t94","t95","t52","t76","t79","t80","t35","t49","t50","t9","t13","t41","t68","t117","t118","t104","t18","t1"
"t27",0,1.17183966715,1.17183966715,1.17183966715,1.17183966708,1.17183966708,1.21597230448,1.21597230448,1.21597230454,4.30429889054,5.07677368214,5.07677368214,5.07677368204,5.07677368204,5.07677368214,3.17576087249,3.32655632002,5.25515106492,5.25515106474,5.25515106474,5.25515106464,5.25515106464,4.86377131292,5.25515106472,5.25515106467,5.19834076657,6.76552005869,6.76552005869,6.76552005859,6.76552005859,6.76552005859,6.76552005809,6.76552005809,6.7655200587,6.7655200587,6.76552005867,6.76552005867,6.7655200587,6.76552005877,6.76552005877,6.7655200588,4.2541527109,4.29991428822,5.57814048375,5.36623601555,6.76552005885,6.76552005885,6.76552005935,6.13900760335,6.7655200581,6.765520058,6.76552005799,6.76552005799,6.4790983038,6.76552005843,6.76552005843,6.76552005853,6.76552005856,6.76552005856,6.7655200586,6.76552005853,6.76552005853,6.76552005854,6.76552005856,6.76552005856,6.76552005863,6.16553724943,6.11630732753,6.76552005832,6.76552005874,6.76552005854,6.10843180131,6.76552005851,6.76552005851,6.76552005837,6.76552005873,6.76552005873,6.76552005854,6.76552005856,6.76552005856,6.76552005854,6.765520058447,6.765520058447,6.76552005854,6.76552005854,6.76552005854,6.76552005837,6.76552005824,6.76552005824,6.7655200585,6.7655200585,6.7655200585,6.7655200585,6.7655200586,6.7655200586,6.7655200586,6.7655200586,6.6307668318,6.76552005868,6.76552005868,5.8960658126,6.765520059,6.7655200589,6.7655200589,6.7655200586,6.7655200586,6.765520058606,6.765520058606,6.7655200586,6.7655200587,6.7655200587,5.9197335765,6.7655200582,6.2858984277,6.7655200586,6.765520058569,6.765520058569,6.76552005857,6.7655200581,3.52789971102
"t91",1.17183966715,0,0.2487952122,0.6319533644,0.68416465503,0.68416465503,2.09470356623,2.09470356623,2.09470356629,5.18303015229,5.95550494389,5.95550494389,5.95550494379,5.95550494379,5.95550494389,4.05449213424,4.20528758177,6.13388232667,6.13388232649,6.13388232649,6.13388232639,6.13388232639,5.74250257467,6.13388232647,6.13388232642,6.07707202832,7.64425132044,7.64425132044,7.64425132034,7.64425132034,7.64425132034,7.64425131984,7.64425131984,7.64425132045,7.64425132045,7.64425132042,7.64425132042,7.64425132045,7.64425132052,7.64425132052,7.64425132055,5.13288397265,5.17864554997,6.4568717455,6.2449672773,7.6442513206,7.6442513206,7.6442513211,7.0177388651,7.64425131985,7.64425131975,7.64425131974,7.64425131974,7.35782956555,7.64425132018,7.64425132018,7.64425132028,7.64425132031,7.64425132031,7.64425132035,7.64425132028,7.64425132028,7.64425132029,7.64425132031,7.64425132031,7.64425132038,7.04426851118,6.99503858928,7.64425132007,7.64425132049,7.64425132029,6.98716306306,7.64425132026,7.64425132026,7.64425132012,7.64425132048,7.64425132048,7.64425132029,7.64425132031,7.64425132031,7.64425132029,7.644251320197,7.644251320197,7.64425132029,7.64425132029,7.64425132029,7.64425132012,7.64425131999,7.64425131999,7.64425132025,7.64425132025,7.64425132025,7.64425132025,7.64425132035,7.64425132035,7.64425132035,7.64425132035,7.50949809355,7.64425132043,7.64425132043,6.77479707435,7.64425132075,7.64425132065,7.64425132065,7.64425132035,7.64425132035,7.644251320356,7.644251320356,7.64425132035,7.64425132045,7.64425132045,6.79846483825,7.64425131995,7.16462968945,7.64425132035,7.644251320319,7.644251320319,7.64425132032,7.64425131985,4.40663097277
"t92",1.17183966715,0.2487952122,0,0.6319533644,0.68416465503,0.68416465503,2.09470356623,2.09470356623,2.09470356629,5.18303015229,5.95550494389,5.95550494389,5.95550494379,5.95550494379,5.95550494389,4.05449213424,4.20528758177,6.13388232667,6.13388232649,6.13388232649,6.13388232639,6.13388232639,5.74250257467,6.13388232647,6.13388232642,6.07707202832,7.64425132044,7.64425132044,7.64425132034,7.64425132034,7.64425132034,7.64425131984,7.64425131984,7.64425132045,7.64425132045,7.64425132042,7.64425132042,7.64425132045,7.64425132052,7.64425132052,7.64425132055,5.13288397265,5.17864554997,6.4568717455,6.2449672773,7.6442513206,7.6442513206,7.6442513211,7.0177388651,7.64425131985,7.64425131975,7.64425131974,7.64425131974,7.35782956555,7.64425132018,7.64425132018,7.64425132028,7.64425132031,7.64425132031,7.64425132035,7.64425132028,7.64425132028,7.64425132029,7.64425132031,7.64425132031,7.64425132038,7.04426851118,6.99503858928,7.64425132007,7.64425132049,7.64425132029,6.98716306306,7.64425132026,7.64425132026,7.64425132012,7.64425132048,7.64425132048,7.64425132029,7.64425132031,7.64425132031,7.64425132029,7.644251320197,7.644251320197,7.64425132029,7.64425132029,7.64425132029,7.64425132012,7.64425131999,7.64425131999,7.64425132025,7.64425132025,7.64425132025,7.64425132025,7.64425132035,7.64425132035,7.64425132035,7.64425132035,7.50949809355,7.64425132043,7.64425132043,6.77479707435,7.64425132075,7.64425132065,7.64425132065,7.64425132035,7.64425132035,7.644251320356,7.644251320356,7.64425132035,7.64425132045,7.64425132045,6.79846483825,7.64425131995,7.16462968945,7.64425132035,7.644251320319,7.644251320319,7.64425132032,7.64425131985,4.40663097277
"t69",1.17183966715,0.6319533644,0.6319533644,0,0.68416465503,0.68416465503,2.09470356623,2.09470356623,2.09470356629,5.18303015229,5.95550494389,5.95550494389,5.95550494379,5.95550494379,5.95550494389,4.05449213424,4.20528758177,6.13388232667,6.13388232649,6.13388232649,6.13388232639,6.13388232639,5.74250257467,6.13388232647,6.13388232642,6.07707202832,7.64425132044,7.64425132044,7.64425132034,7.64425132034,7.64425132034,7.64425131984,7.64425131984,7.64425132045,7.64425132045,7.64425132042,7.64425132042,7.64425132045,7.64425132052,7.64425132052,7.64425132055,5.13288397265,5.17864554997,6.4568717455,6.2449672773,7.6442513206,7.6442513206,7.6442513211,7.0177388651,7.64425131985,7.64425131975,7.64425131974,7.64425131974,7.35782956555,7.64425132018,7.64425132018,7.64425132028,7.64425132031,7.64425132031,7.64425132035,7.64425132028,7.64425132028,7.64425132029,7.64425132031,7.64425132031,7.64425132038,7.04426851118,6.99503858928,7.64425132007,7.64425132049,7.64425132029,6.98716306306,7.64425132026,7.64425132026,7.64425132012,7.64425132048,7.64425132048,7.64425132029,7.64425132031,7.64425132031,7.64425132029,7.644251320197,7.644251320197,7.64425132029,7.64425132029,7.64425132029,7.64425132012,7.64425131999,7.64425131999,7.64425132025,7.64425132025,7.64425132025,7.64425132025,7.64425132035,7.64425132035,7.64425132035,7.64425132035,7.50949809355,7.64425132043,7.64425132043,6.77479707435,7.64425132075,7.64425132065,7.64425132065,7.64425132035,7.64425132035,7.644251320356,7.644251320356,7.64425132035,7.64425132045,7.64425132045,6.79846483825,7.64425131995,7.16462968945,7.64425132035,7.644251320319,7.644251320319,7.64425132032,7.64425131985,4.40663097277
"t77",1.17183966708,0.68416465503,0.68416465503,0.68416465503,0,0.5111075204,2.09470356616,2.09470356616,2.09470356622,5.18303015222,5.95550494382,5.95550494382,5.95550494372,5.95550494372,5.95550494382,4.05449213417,4.2052875817,6.1338823266,6.13388232642,6.13388232642,6.13388232632,6.13388232632,5.7425025746,6.1338823264,6.13388232635,6.07707202825,7.64425132037,7.64425132037,7.64425132027,7.64425132027,7.64425132027,7.64425131977,7.64425131977,7.64425132038,7.64425132038,7.64425132035,7.64425132035,7.64425132038,7.64425132045,7.64425132045,7.64425132048,5.13288397258,5.1786455499,6.45687174543,6.24496727723,7.64425132053,7.64425132053,7.64425132103,7.01773886503,7.64425131978,7.64425131968,7.64425131967,7.64425131967,7.35782956548,7.64425132011,7.64425132011,7.64425132021,7.64425132024,7.64425132024,7.64425132028,7.64425132021,7.64425132021,7.64425132022,7.64425132024,7.64425132024,7.64425132031,7.04426851111,6.99503858921,7.64425132,7.64425132042,7.64425132022,6.98716306299,7.64425132019,7.64425132019,7.64425132005,7.64425132041,7.64425132041,7.64425132022,7.64425132024,7.64425132024,7.64425132022,7.644251320127,7.644251320127,7.64425132022,7.64425132022,7.64425132022,7.64425132005,7.64425131992,7.64425131992,7.64425132018,7.64425132018,7.64425132018,7.64425132018,7.64425132028,7.64425132028,7.64425132028,7.64425132028,7.50949809348,7.64425132036,7.64425132036,6.77479707428,7.64425132068,7.64425132058,7.64425132058,7.64425132028,7.64425132028,7.644251320286,7.644251320286,7.64425132028,7.64425132038,7.64425132038,6.79846483818,7.64425131988,7.16462968938,7.64425132028,7.644251320249,7.644251320249,7.64425132025,7.64425131978,4.4066309727
"t78",1.17183966708,0.68416465503,0.68416465503,0.68416465503,0.5111075204,0,2.09470356616,2.09470356616,2.09470356622,5.18303015222,5.95550494382,5.95550494382,5.95550494372,5.95550494372,5.95550494382,4.05449213417,4.2052875817,6.1338823266,6.13388232642,6.13388232642,6.13388232632,6.13388232632,5.7425025746,6.1338823264,6.13388232635,6.07707202825,7.64425132037,7.64425132037,7.64425132027,7.64425132027,7.64425132027,7.64425131977,7.64425131977,7.64425132038,7.64425132038,7.64425132035,7.64425132035,7.64425132038,7.64425132045,7.64425132045,7.64425132048,5.13288397258,5.1786455499,6.45687174543,6.24496727723,7.64425132053,7.64425132053,7.64425132103,7.01773886503,7.64425131978,7.64425131968,7.64425131967,7.64425131967,7.35782956548,7.64425132011,7.64425132011,7.64425132021,7.64425132024,7.64425132024,7.64425132028,7.64425132021,7.64425132021,7.64425132022,7.64425132024,7.64425132024,7.64425132031,7.04426851111,6.99503858921,7.64425132,7.64425132042,7.64425132022,6.98716306299,7.64425132019,7.64425132019,7.64425132005,7.64425132041,7.64425132041,7.64425132022,7.64425132024,7.64425132024,7.64425132022,7.644251320127,7.644251320127,7.64425132022,7.64425132022,7.64425132022,7.64425132005,7.64425131992,7.64425131992,7.64425132018,7.64425132018,7.64425132018,7.64425132018,7.64425132028,7.64425132028,7.64425132028,7.64425132028,7.50949809348,7.64425132036,7.64425132036,6.77479707428,7.64425132068,7.64425132058,7.64425132058,7.64425132028,7.64425132028,7.644251320286,7.644251320286,7.64425132028,7.64425132038,7.64425132038,6.79846483818,7.64425131988,7.16462968938,7.64425132028,7.644251320249,7.644251320249,7.64425132025,7.64425131978,4.4066309727
"t105",1.21597230448,2.09470356623,2.09470356623,2.09470356623,2.09470356616,2.09470356616,0,0.15010575648,1.17732842854,5.18303015214,5.95550494374,5.95550494374,5.95550494364,5.95550494364,5.95550494374,4.05449213409,4.20528758162,6.13388232652,6.13388232634,6.13388232634,6.13388232624,6.13388232624,5.74250257452,6.13388232632,6.13388232627,6.07707202817,7.64425132029,7.64425132029,7.64425132019,7.64425132019,7.64425132019,7.64425131969,7.64425131969,7.6442513203,7.6442513203,7.64425132027,7.64425132027,7.6442513203,7.64425132037,7.64425132037,7.6442513204,5.1328839725,5.17864554982,6.45687174535,6.24496727715,7.64425132045,7.64425132045,7.64425132095,7.01773886495,7.6442513197,7.6442513196,7.64425131959,7.64425131959,7.3578295654,7.64425132003,7.64425132003,7.64425132013,7.64425132016,7.64425132016,7.6442513202,7.64425132013,7.64425132013,7.64425132014,7.64425132016,7.64425132016,7.64425132023,7.04426851103,6.99503858913,7.64425131992,7.64425132034,7.64425132014,6.98716306291,7.64425132011,7.64425132011,7.64425131997,7.64425132033,7.64425132033,7.64425132014,7.64425132016,7.64425132016,7.64425132014,7.644251320047,7.644251320047,7.64425132014,7.64425132014,7.64425132014,7.64425131997,7.64425131984,7.64425131984,7.6442513201,7.6442513201,7.6442513201,7.6442513201,7.6442513202,7.6442513202,7.6442513202,7.6442513202,7.5094980934,7.64425132028,7.64425132028,6.7747970742,7.6442513206,7.6442513205,7.6442513205,7.6442513202,7.6442513202,7.644251320206,7.644251320206,7.6442513202,7.6442513203,7.6442513203,6.7984648381,7.6442513198,7.1646296893,7.6442513202,7.644251320169,7.644251320169,7.64425132017,7.6442513197,4.40663097262
"t106",1.21597230448,2.09470356623,2.09470356623,2.09470356623,2.09470356616,2.09470356616,0.15010575648,0,1.17732842854,5.18303015214,5.95550494374,5.95550494374,5.95550494364,5.95550494364,5.95550494374,4.05449213409,4.20528758162,6.13388232652,6.13388232634,6.13388232634,6.13388232624,6.13388232624,5.74250257452,6.13388232632,6.13388232627,6.07707202817,7.64425132029,7.64425132029,7.64425132019,7.64425132019,7.64425132019,7.64425131969,7.64425131969,7.6442513203,7.6442513203,7.64425132027,7.64425132027,7.6442513203,7.64425132037,7.64425132037,7.6442513204,5.1328839725,5.17864554982,6.45687174535,6.24496727715,7.64425132045,7.64425132045,7.64425132095,7.01773886495,7.6442513197,7.6442513196,7.64425131959,7.64425131959,7.3578295654,7.64425132003,7.64425132003,7.64425132013,7.64425132016,7.64425132016,7.6442513202,7.64425132013,7.64425132013,7.64425132014,7.64425132016,7.64425132016,7.64425132023,7.04426851103,6.99503858913,7.64425131992,7.64425132034,7.64425132014,6.98716306291,7.64425132011,7.64425132011,7.64425131997,7.64425132033,7.64425132033,7.64425132014,7.64425132016,7.64425132016,7.64425132014,7.644251320047,7.644251320047,7.64425132014,7.64425132014,7.64425132014,7.64425131997,7.64425131984,7.64425131984,7.6442513201,7.6442513201,7.6442513201,7.6442513201,7.6442513202,7.6442513202,7.6442513202,7.6442513202,7.5094980934,7.64425132028,7.64425132028,6.7747970742,7.6442513206,7.6442513205,7.6442513205,7.6442513202,7.6442513202,7.644251320206,7.644251320206,7.6442513202,7.6442513203,7.6442513203,6.7984648381,7.6442513198,7.1646296893,7.6442513202,7.644251320169,7.644251320169,7.64425132017,7.6442513197,4.40663097262
"t43",1.21597230454,2.09470356629,2.09470356629,2.09470356629,2.09470356622,2.09470356622,1.17732842854,1.17732842854,0,5.1830301522,5.9555049438,5.9555049438,5.9555049437,5.9555049437,5.9555049438,4.05449213415,4.20528758168,6.13388232658,6.1338823264,6.1338823264,6.1338823263,6.1338823263,5.74250257458,6.13388232638,6.13388232633,6.07707202823,7.64425132035,7.64425132035,7.64425132025,7.64425132025,7.64425132025,7.64425131975,7.64425131975,7.64425132036,7.64425132036,7.64425132033,7.64425132033,7.64425132036,7.64425132043,7.64425132043,7.64425132046,5.13288397256,5.17864554988,6.45687174541,6.24496727721,7.64425132051,7.64425132051,7.64425132101,7.01773886501,7.64425131976,7.64425131966,7.64425131965,7.64425131965,7.35782956546,7.64425132009,7.64425132009,7.64425132019,7.64425132022,7.64425132022,7.64425132026,7.64425132019,7.64425132019,7.6442513202,7.64425132022,7.64425132022,7.64425132029,7.04426851109,6.99503858919,7.64425131998,7.6442513204,7.6442513202,6.98716306297,7.64425132017,7.64425132017,7.64425132003,7.64425132039,7.64425132039,7.6442513202,7.64425132022,7.64425132022,7.6442513202,7.644251320107,7.644251320107,7.6442513202,7.6442513202,7.6442513202,7.64425132003,7.6442513199,7.6442513199,7.64425132016,7.64425132016,7.64425132016,7.64425132016,7.64425132026,7.64425132026,7.64425132026,7.64425132026,7.50949809346,7.64425132034,7.64425132034,6.77479707426,7.64425132066,7.64425132056,7.64425132056,7.64425132026,7.64425132026,7.644251320266,7.644251320266,7.64425132026,7.64425132036,7.64425132036,6.79846483816,7.64425131986,7.16462968936,7.64425132026,7.644251320229,7.644251320229,7.64425132023,7.64425131976,4.40663097268
"t10",4.30429889054,5.18303015229,5.18303015229,5.18303015229,5.18303015222,5.18303015222,5.18303015214,5.18303015214,5.1830301522,0,2.6886182104,2.6886182104,2.6886182103,2.6886182103,2.6886182104,1.32323542635,3.43281278968,5.36140753458,5.3614075344,5.3614075344,5.3614075343,5.3614075343,4.97002778258,5.36140753438,5.36140753433,5.30459723623,6.87177652835,6.87177652835,6.87177652825,6.87177652825,6.87177652825,6.87177652775,6.87177652775,6.87177652836,6.87177652836,6.87177652833,6.87177652833,6.87177652836,6.87177652843,6.87177652843,6.87177652846,4.36040918056,4.40617075788,5.68439695341,5.47249248521,6.87177652851,6.87177652851,6.87177652901,6.24526407301,6.87177652776,6.87177652766,6.87177652765,6.87177652765,6.58535477346,6.87177652809,6.87177652809,6.87177652819,6.87177652822,6.87177652822,6.87177652826,6.87177652819,6.87177652819,6.8717765282,6.87177652822,6.87177652822,6.87177652829,6.27179371909,6.22256379719,6.87177652798,6.8717765284,6.8717765282,6.21468827097,6.87177652817,6.87177652817,6.87177652803,6.87177652839,6.87177652839,6.8717765282,6.87177652822,6.87177652822,6.8717765282,6.871776528107,6.871776528107,6.8717765282,6.8717765282,6.8717765282,6.87177652803,6.8717765279,6.8717765279,6.87177652816,6.87177652816,6.87177652816,6.87177652816,6.87177652826,6.87177652826,6.87177652826,6.87177652826,6.73702330146,6.87177652834,6.87177652834,6.00232228226,6.87177652866,6.87177652856,6.87177652856,6.87177652826,6.87177652826,6.871776528266,6.871776528266,6.87177652826,6.87177652836,6.87177652836,6.02599004616,6.87177652786,6.39215489736,6.87177652826,6.871776528229,6.871776528229,6.87177652823,6.87177652776,3.63415618068
