"accepted_species","I1.1/1"
"t18","0"
"t21","0"
"t84","1"
"t85","1"
"t49","1"
"t44","1"
"t42","0"
"t40","1"
"t41","1"
"t99","0"
"t100","0"
"t69","1"
"t70","1"
"t13","0"
"t6","0"
"t68","0"
"t87","0"
"t88","0"
"t50","0"
"t39","0"
"t31","1"
"t17","1"
"t7","1"
"t12","1"
"t15","1"
"t22",NA
"t10","1"
"t11","1"
"t19",NA
"t54","1"
"t75","1"
"t76","1"
"t23","1"
"t8","1"
"t9","1"
"t1","0"
"t77","1"
"t78","0"
"t24","0"
"t20","0"
"t16","1"
"t63","1"
"t79","1"
"t93","1"
"t94","1"
"t33","1"
"t71","1"
"t72","1"
"t60","1"
"t61",NA
"t46","1"
"t62","1"
"t32",NA
"t51","1"
"t52","0"
"t43","1"
"t82","1"
"t83","0"
"t47","1"
"t5",NA
"t91","0"
"t92","0"
"t26","0"
"t34","0"
"t35","0"
"t97",NA
"t98",NA
"t4","0"
"t59","0"
"t66","0"
"t67","0"
"t53",NA
"t95","1"
"t96","1"
"t58",NA
"t38","0"
"t36","0"
"t80","0"
"t81","0"
"t27","0"
"t37","0"
"t55","1"
"t56","1"
"t28","1"
"t14","1"
"t2","1"
"t3","0"
"t29","0"
"t30","0"
"t64","0"
"t65","0"
"t57","1"
"t45","1"
"t25","0"
"t73","1"
"t74","1"
"t48",NA
"t86","1"
"t89","0"
"t90","1"
