"accepted_species","traits"
"t12",0
"t19",0
"t21",0
"t26",0
"t27",1
"t28",0
"t32",1
"t34",1
"t35",1
"t38",1
"t40",0
"t41",1
"t42",0
"t43",0
"t44",0
"t47",0
"t49",1
"t50",1
"t52",0
"t54",0
"t62",0
"t63",1
"t64",0
"t67",0
"t68",0
"t71",1
"t72",1
"t74",0
"t75",0
"t76",0
"t77",1
"t78",0
"t80",1
"t81",1
"t82",0
"t83",1
"t84",0
"t86",0
"t88",0
"t91",0
"t92",0
"t93",1
"t94",1
"t96",1
"t97",1
"t98",0
"t99",1
"t100",1
"t101",0
"t103",0
"t104",0
"t105",0
"t106",1
"t107",1
"t108",1
"t109",0
"t110",0
"t111",0
"t112",0
"t113",0
"t114",1
"t115",0
"t116",0
"t117",1
"t118",0
"t119",1
"t120",1
"t121",0
"t122",0
"t123",0
"t124",0
"t125",1
"t126",1
"t127",0
"t128",0
"t129",1
"t130",1
"t131",1
"t132",1
"t133",1
"t134",1
"t135",1
"t136",1
"t137",1
"t138",0
"t139",1
"t140",1
"t141",0
"t142",0
"t143",1
"t144",1
"t145",1
"t146",1
"t147",1
"t148",0
"t149",1
"t150",1
"t151",1
"t152",1
"t153",1
