,0,1,2,3,4,5,6,7,8,9,10,11
t1,-2.5307648,14.914352,3.2454822,7.107753,3.1725543,4.88506,1.0743788,6.964772,7.3530297,4.3687987,5.2638464,5.9192753
t13,-2.3587794,14.99685,3.3120365,7.0254307,3.1402004,4.9815907,1.207739,6.778762,7.1963563,4.4527106,5.029048,5.7751107
t25,-2.4320562,14.942935,3.2304108,6.9468555,3.1177135,5.054483,1.1097245,6.7120323,7.2020507,4.3185062,5.027135,5.872438
t26,-2.3619742,14.92915,3.2008283,6.950351,3.087121,5.0405517,1.1104169,6.7044144,7.1835423,4.313364,5.0059805,5.8523254
t123,-2.329128,14.941085,2.461836,6.8522253,2.8595765,4.874678,0.5362917,6.959889,7.412463,3.2879243,5.64922,6.6472793
t124,-2.2988913,14.969276,2.5530758,6.8443055,2.8204174,4.8270984,0.6358144,6.9904876,7.50967,3.3840146,5.555162,6.557136
t57,-2.359165,14.956363,2.5694175,6.7705398,2.8124769,4.8929234,0.72244996,6.9000435,7.4622717,3.3975172,5.543627,6.468841
t35,-2.3251588,15.02712,2.7279048,6.869544,2.846371,4.8405786,0.71054333,6.977536,7.5070887,3.5632818,5.537392,6.4877434
t71,-2.5315142,14.869576,2.486399,6.722963,2.9701915,5.0624285,0.6060285,6.8179393,7.48077,3.1375098,5.510263,6.5600653
t72,-2.451364,14.956128,2.5496862,6.8927746,2.9617958,5.0443254,0.60898316,6.7904477,7.4529095,3.262171,5.598578,6.5530562
t45,-2.461694,14.715851,2.185019,6.8051105,3.1180058,4.9682155,0.46403816,7.026416,7.5781674,3.1350977,5.3407855,6.61878
t85,-2.5567129,14.600111,2.1888275,6.638918,2.951515,4.9305964,0.54168105,6.8738437,7.486375,3.0611398,5.4649043,6.561916
t86,-2.4551294,14.732399,2.0820134,6.787558,3.0088196,4.9825788,0.5111872,6.9896345,7.51864,2.9574656,5.450883,6.5462174
t81,-2.5921242,14.747355,2.2371833,6.6117797,3.040462,5.051429,0.45520493,6.958438,7.6165037,2.8897989,5.4823174,6.666839
