"accepted_species","trait_BM_trend_scaled"
"t16",NA
"t68",1
"t79",1
"t80",1
"t62",1
"t63",1
"t31",1
"t40",1
"t144",1
"t145",1
"t9",0
"t10",0
"t1",0
"t2",0
"t8",0
"t21",0
"t22",0
"t19",1
"t130",0
"t131",0
"t61",0
"t116",0
"t117",NA
"t108",0
"t109",0
"t114",1
"t115",1
"t65",1
"t86",1
"t87",NA
"t70",1
"t49",1
"t97",NA
"t98",1
"t69",1
"t36",1
"t78",1
"t123",1
"t150",1
"t151",1
"t27",0
"t3",1
"t43",1
"t44",1
"t107",1
"t136",1
"t137",1
"t94",1
"t42",1
"t81",1
"t142",NA
"t143",1
"t138",1
"t139",NA
"t91",1
"t88",1
"t39",1
"t59",1
"t60",1
"t57",1
"t6",1
"t5",0
"t7",1
"t11",1
"t89",1
"t90",NA
"t24",1
"t23",1
"t112",1
"t113",1
"t66",1
"t67",1
"t85",1
"t120",1
"t124",1
"t125",1
"t83",1
"t26",1
"t25",1
"t29",1
"t30",NA
"t101",NA
"t128",1
"t129",1
"t99",1
"t100",1
"t74",1
"t75",1
"t64",1
"t48",1
"t13",1
"t96",NA
"t148",NA
"t149",1
"t72",1
"t73",1
"t34",1
"t35",1
"t46",1
"t110",1
"t111",NA
"t95",1
"t134",1
"t135",1
"t58",1
"t84",1
"t126",1
"t127",1
"t71",1
"t132",1
"t133",1
"t76",1
"t77",1
"t146",1
"t147",1
"t104",1
"t17",0
"t18",0
"t118",1
"t119",NA
"t140",1
"t141",1
"t51",1
"t45",1
"t121",1
"t122",1
"t20",NA
"t33",0
"t105",0
"t106",0
"t102",0
"t103",0
"t82",0
"t55",1
"t56",1
"t47",0
"t53",1
"t54",1
"t12",0
"t28",0
"t32",1
"t37",0
"t38",0
"t41",1
"t92",0
"t93",0
"t52",0
"t50",1
"t14",NA
"t15",0
"t4",0
