,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,,,,,1,1
top,real_data,,,,,,,,,,,,,,real_data,mcar
freq,100,,,,,,,,,,,,,,100,100
mean,,0.08980170879218642,0.12301878101999454,0.09780217293248519,0.08934400025504302,0.08853202258254532,0.09580961142516575,0.08883291539877414,0.08892978357203882,0.09071135547249864,0.09009081708157883,0.1190430572723654,0.09257225414205901,0.09177772879575827,,
std,,0.07030827756251981,0.09730032778897986,0.07747020914261796,0.06953020484959035,0.06863902000220976,0.06978475154122128,0.07022059243474611,0.06873919521521714,0.0700695002368395,0.07091000146341299,0.08105981944621975,0.07735167601223233,0.07020891720293673,,
min,,0.004326401758744694,1.3808937472031022e-07,0.0025705006492092388,0.00424356460470454,0.002483249845198323,0.002878947748092984,0.002504271453208174,0.002692756546257934,0.0008576650317858186,0.0017322109382934211,0.00287246460925853,0.0011011932441161456,0.0031050429758438963,,
25%,,0.021378894498279455,0.03179909706173166,0.02505585700651028,0.022071289964618608,0.021497166217917828,0.04237964928649934,0.02205450268726965,0.026871758115770555,0.024954474534196098,0.020331086520033417,0.05310453217885908,0.023704329176419427,0.027575384123211335,,
50%,,0.09012896317512525,0.10015842052447263,0.09018963237704218,0.09025925100963926,0.09004942349944262,0.08980509060072771,0.09015717565997902,0.09010670035815,0.08911454035490335,0.08901107524231314,0.10568037747314417,0.08985998646042495,0.09144461210160151,,
75%,,0.09818184858750828,0.19964661307376386,0.1130286689122961,0.09620291335645673,0.09608406130466085,0.11765874594657774,0.09641777481648181,0.09929508852639411,0.10675889338400378,0.10221768467251874,0.17034614825190042,0.10435937145943436,0.1012332710293866,,
max,,0.33350570737790236,0.4042166093589542,0.32999999999999996,0.32999112638541767,0.33320174937385844,0.34235061354480634,0.34606862255990434,0.3298040591749423,0.32973001122241785,0.33531211868684885,0.35628702520576255,0.42735969118567185,0.32569307324917396,,
