,accepted_species,Assigned_group,number_of_species_in_group
0,Acokanthera laevigata,Acokanthera,4
1,Acokanthera oblongifolia,Acokanthera,4
19,Acokanthera oppositifolia,Acokanthera,4
22,Acokanthera schimperi,Acokanthera,4
25,Adenium boehmianum,Adenium,2
28,Adenium obesum,Adenium,2
58,Adina cordifolia,Adina,6
87,Adina eurhyncha,Adina,6
95,Adina pilulifera,Adina,6
97,Adina racemosa,Adina,6
153,Adina rubella,Adina,6
159,Adina trichotoma,Adina,6
208,Afrocanthium gilfillanii,Afrocanthium,1
209,Aganosma heynei,Aganosma,1
222,Aidia canthioides,Aidia,1
227,Alafia barteri,Alafia,1
244,Alberta magna,Alberta,1
249,Alibertia edulis,Alibertia,1
271,Allamanda blanchetii,Allamanda,3
275,Allamanda cathartica,Allamanda,3
312,Allamanda schottii,Allamanda,3
355,Alstonia actinophylla,Alstonia,30
356,Alstonia angustifolia,Alstonia,30
461,Alstonia angustiloba,Alstonia,30
496,Alstonia balansae,Alstonia,30
524,Alstonia boonei,Alstonia,30
536,Alstonia boulindaensis,Alstonia,30
537,Alstonia congensis,Alstonia,30
550,Alstonia constricta,Alstonia,30
565,Alstonia coriacea,Alstonia,30
574,Alstonia costata,Alstonia,30
580,Alstonia deplanchei,Alstonia,30
584,Alstonia lanceolata,Alstonia,30
591,Alstonia lanceolifera,Alstonia,30
602,Alstonia legouixiae,Alstonia,30
607,Alstonia lenormandii,Alstonia,30
619,Alstonia longifolia,Alstonia,30
629,Alstonia macrophylla,Alstonia,30
747,Alstonia mairei,Alstonia,30
773,Alstonia muelleriana,Alstonia,30
793,Alstonia odontophora,Alstonia,30
798,Alstonia penangiana,Alstonia,30
801,Alstonia pneumatophora,Alstonia,30
820,Alstonia quaternata,Alstonia,30
827,Alstonia rostrata,Alstonia,30
859,Alstonia scholaris,Alstonia,30
965,Alstonia spatulata,Alstonia,30
994,Alstonia spectabilis,Alstonia,30
1004,Alstonia sphaerocapitata,Alstonia,30
1015,Alstonia venenata,Alstonia,30
1034,Alstonia yunnanensis,Alstonia,30
1073,Alyxia buxifolia,Alyxia,3
1076,Alyxia reinwardtii,Alyxia,3
1084,Alyxia sinensis,Alyxia,3
1087,Amaioua guianensis,Amaioua,1
1088,Amalocalyx microlobus,Amalocalyx,1
1091,Amsonia ciliata,Amsonia,6
1097,Amsonia elliptica,Amsonia,6
1119,Amsonia grandiflora,Amsonia,6
1127,Amsonia orientalis,Amsonia,6
1137,Amsonia tabernaemontana,Amsonia,6
1146,Amsonia tomentosa,Amsonia,6
1158,Anodendron affine,Anodendron,2
1222,Anodendron parviflorum,Anodendron,2
1224,Anthocleista djalonensis,Anthocleista,5
1237,Anthocleista grandiflora,Anthocleista,5
1242,Anthocleista nobilis,Anthocleista,5
1243,Anthocleista procera,Anthocleista,5
1245,Anthocleista vogelii,Anthocleista,5
1255,Antonia ovata,Antonia,1
1264,Apocynum androsaemifolium,Apocynum,4
1269,Apocynum cannabinum,Apocynum,4
1303,Apocynum pictum,Apocynum,4
1307,Apocynum venetum,Apocynum,4
1346,Apteranthes tuberculata,Apteranthes,1
1347,Araujia sericifera,Araujia,1
1383,Argostemma yappii,Argostemma,1
1387,Asclepias albicans,Asclepias,20
1391,Asclepias asperula,Asclepias,20
1397,Asclepias cordifolia,Asclepias,20
1402,Asclepias curassavica,Asclepias,20
1504,Asclepias eastwoodiana,Asclepias,20
1505,Asclepias eriocarpa,Asclepias,20
1512,Asclepias glaucescens,Asclepias,20
1516,Asclepias humistrata,Asclepias,20
1517,Asclepias incarnata,Asclepias,20
1576,Asclepias labriformis,Asclepias,20
1583,Asclepias latifolia,Asclepias,20
1586,Asclepias linaria,Asclepias,20
1593,Asclepias mellodora,Asclepias,20
1594,Asclepias ruthiae,Asclepias,20
1595,Asclepias speciosa,Asclepias,20
1612,Asclepias subulata,Asclepias,20
1624,Asclepias syriaca,Asclepias,20
1670,Asclepias tuberosa,Asclepias,20
1722,Asclepias vestita,Asclepias,20
1744,Asclepias viridis,Asclepias,20
1753,Asperula oppositifolia,Asperula,1
1758,Aspidosperma album,Aspidosperma,32
1759,Aspidosperma auriculatum,Aspidosperma,32
1761,Aspidosperma australe,Aspidosperma,32
1762,Aspidosperma carapanauba,Aspidosperma,32
1763,Aspidosperma cuspa,Aspidosperma,32
1764,Aspidosperma cylindrocarpon,Aspidosperma,32
1767,Aspidosperma desmanthum,Aspidosperma,32
1771,Aspidosperma discolor,Aspidosperma,32
1782,Aspidosperma duckei,Aspidosperma,32
1783,Aspidosperma eburneum,Aspidosperma,32
1792,Aspidosperma excelsum,Aspidosperma,32
1822,Aspidosperma formosanum,Aspidosperma,32
1827,Aspidosperma limae,Aspidosperma,32
1829,Aspidosperma macrocarpon,Aspidosperma,32
1832,Aspidosperma marcgravianum,Aspidosperma,32
1862,Aspidosperma megalocarpon,Aspidosperma,32
1866,Aspidosperma multiflorum,Aspidosperma,32
1871,Aspidosperma nigricans,Aspidosperma,32
1874,Aspidosperma oblongum,Aspidosperma,32
1882,Aspidosperma obscurinervium,Aspidosperma,32
1884,Aspidosperma olivaceum,Aspidosperma,32
1890,Aspidosperma pachypterum,Aspidosperma,32
1895,Aspidosperma parvifolium,Aspidosperma,32
1896,Aspidosperma polyneuron,Aspidosperma,32
1901,Aspidosperma pyricollum,Aspidosperma,32
1907,Aspidosperma pyrifolium,Aspidosperma,32
1925,Aspidosperma quebracho-blanco,Aspidosperma,32
1943,Aspidosperma ramiflorum,Aspidosperma,32
1947,Aspidosperma spruceanum,Aspidosperma,32
1950,Aspidosperma subincanum,Aspidosperma,32
1963,Aspidosperma tomentosum,Aspidosperma,32
1976,Aspidosperma ulei,Aspidosperma,32
1979,Baroniella acuminata,Baroniella,1
1984,Bathysa australis,Bathysa,1
1985,Beaumontia brevituba,Beaumontia,3
1992,Beaumontia grandiflora,Beaumontia,3
2001,Beaumontia murtonii,Beaumontia,3
2008,Benkara malabarica,Benkara,1
2009,Blackstonia perfoliata,Blackstonia,1
2019,Boucerosia umbellata,Boucerosia,1
2026,Bousigonia angustifolia,Bousigonia,2
2029,Bousigonia mekongensis,Bousigonia,2
2032,Bouvardia ternifolia,Bouvardia,1
2033,Breonadia salicina,Breonadia,1
2036,Breonia chinensis,Breonia,1
2048,Buchozia japonica,Buchozia,1
2049,Burchellia bubalina,Burchellia,1
2050,Callichilia barteri,Callichilia,3
2066,Callichilia inaequalis,Callichilia,3
2071,Callichilia subsessilis,Callichilia,3
2073,Calotropis gigantea,Calotropis,2
2093,Calotropis procera,Calotropis,2
2145,Calycophyllum spruceanum,Calycophyllum,1
2162,Canscora alata,Canscora,2
2189,Canscora diffusa,Canscora,2
2190,Canthium berberidifolium,Canthium,1
2221,Caralluma plicatiloba,Caralluma,2
2229,Caralluma stalagmifera,Caralluma,2
2234,Carapichea affinis,Carapichea,3
2243,Carapichea ipecacuanha,Carapichea,3
2319,Carapichea klugii,Carapichea,3
2329,Carissa carandas,Carissa,3
2337,Carissa macrocarpa,Carissa,3
2338,Carissa spinarum,Carissa,3
2386,Cascabela thevetia,Cascabela,2
2464,Cascabela thevetioides,Cascabela,2
2468,Catharanthus lanceus,Catharanthus,6
2480,Catharanthus longifolius,Catharanthus,6
2487,Catharanthus ovalis,Catharanthus,6
2509,Catharanthus pusillus,Catharanthus,6
2519,Catharanthus roseus,Catharanthus,6
2868,Catharanthus trichophyllus,Catharanthus,6
2897,Catunaregam nilotica,Catunaregam,3
2904,Catunaregam obovata,Catunaregam,3
2910,Catunaregam spinosa,Catunaregam,3
2945,Centaurium cachanlahuen,Centaurium,5
2947,Centaurium erythraea,Centaurium,5
2993,Centaurium littorale,Centaurium,5
2997,Centaurium pulchellum,Centaurium,5
3007,Centaurium quadrifolium,Centaurium,5
3012,Cephalanthus glabratus,Cephalanthus,5
3014,Cephalanthus natalensis,Cephalanthus,5
3019,Cephalanthus occidentalis,Cephalanthus,5
3044,Cephalanthus salicifolius,Cephalanthus,5
3045,Cephalanthus tetrandrus,Cephalanthus,5
3053,Cerbera floribunda,Cerbera,4
3056,Cerbera inflata,Cerbera,4
3059,Cerbera manghas,Cerbera,4
3120,Cerbera odollam,Cerbera,4
3145,Ceriscoides turgida,Ceriscoides,1
3146,Ceropegia juncea,Ceropegia,2
3148,Ceropegia variegata,Ceropegia,2
3172,Chassalia parvifolia,Chassalia,2
3175,Chassalia subcoriacea,Chassalia,2
3176,Chimarrhis cymosa,Chimarrhis,2
3177,Chimarrhis turbinata,Chimarrhis,2
3207,Chiococca alba,Chiococca,1
3230,Chione venosa,Chione,1
3241,Chironia baccifera,Chironia,4
3245,Chironia krebsii,Chironia,4
3266,Chironia palustris,Chironia,4
3271,Chironia purpurascens,Chironia,4
3276,Chonemorpha fragrans,Chonemorpha,1
3280,Ciliosemina pedunculata,Ciliosemina,2
3294,Ciliosemina purdieana,Ciliosemina,2
3325,Cinchona calisaya,Cinchona,3
3389,Cinchona officinalis,Cinchona,3
3395,Cinchona pubescens,Cinchona,3
3488,Coelospermum balansanum,Coelospermum,4
3493,Coelospermum decipiens,Coelospermum,4
3494,Coelospermum paniculatum,Coelospermum,4
3498,Coelospermum reticulatum,Coelospermum,4
3557,Coffea arabica,Coffea,22
3849,Coffea benghalensis,Coffea,22
3851,Coffea brevipes,Coffea,22
3852,Coffea canephora,Coffea,22
3957,Coffea charrieriana,Coffea,22
3965,Coffea congensis,Coffea,22
3975,Coffea eugenioides,Coffea,22
3994,Coffea homollei,Coffea,22
3996,Coffea humblotiana,Coffea,22
4004,Coffea humilis,Coffea,22
4012,Coffea kapakata,Coffea,22
4020,Coffea kianjavatensis,Coffea,22
4031,Coffea lancifolia,Coffea,22
4033,Coffea liberica,Coffea,22
4080,Coffea pseudozanguebariae,Coffea,22
4091,Coffea racemosa,Coffea,22
4113,Coffea salvatrix,Coffea,22
4135,Coffea sessiliflora,Coffea,22
4145,Coffea stenophylla,Coffea,22
4158,Coffea travancorensis,Coffea,22
4159,Coffea vianneyi,Coffea,22
4160,Coffea × heterocalyx,Coffea,22
4165,Comastoma tenellum,Comastoma,1
4172,Coprosma acerosa,Coprosma,12
4177,Coprosma arborea,Coprosma,12
4178,Coprosma areolata,Coprosma,12
4180,Coprosma linariifolia,Coprosma,12
4182,Coprosma lucida,Coprosma,12
4191,Coprosma propinqua,Coprosma,12
4194,Coprosma pyrifolia,Coprosma,12
4195,Coprosma repens,Coprosma,12
4196,Coprosma robusta,Coprosma,12
4200,Coprosma rotundifolia,Coprosma,12
4203,Coprosma tenuicaulis,Coprosma,12
4205,Coprosma tenuifolia,Coprosma,12
4207,Coptosperma nigrescens,Coptosperma,1
4208,Cordiera macrophylla,Cordiera,2
4236,Cordiera sessilis,Cordiera,2
4257,Corynanthe johimbe,Corynanthe,4
4262,Corynanthe macroceras,Corynanthe,4
4265,Corynanthe pachyceras,Corynanthe,4
4272,Corynanthe paniculata,Corynanthe,4
4273,Coussarea brevicaulis,Coussarea,4
4284,Coussarea hydrangeifolia,Coussarea,4
4290,Coussarea macrophylla,Coussarea,4
4300,Coussarea paniculata,Coussarea,4
4315,Coutarea hexandra,Coutarea,1
4331,Coutoubea spicata,Coutoubea,1
4336,Craspidospermum verticillatum,Craspidospermum,1
4338,Crioceras dipladeniiflorus,Crioceras,1
4351,Crossopteryx febrifuga,Crossopteryx,1
4365,Crucianella graeca,Crucianella,2
4372,Crucianella maritima,Crucianella,2
4375,Cruciata glabra,Cruciata,4
4379,Cruciata laevipes,Cruciata,4
4388,Cruciata pedemontana,Cruciata,4
4394,Cruciata taurica,Cruciata,4
4412,Cruckshanksia pumila,Cruckshanksia,2
4414,Cruckshanksia verticillata,Cruckshanksia,2
4416,Cryptolepis buchananii,Cryptolepis,5
4425,Cryptolepis nigrescens,Cryptolepis,5
4446,Cryptolepis obtusa,Cryptolepis,5
4449,Cryptolepis sanguinolenta,Cryptolepis,5
4472,Cryptolepis sinensis,Cryptolepis,5
4473,Cryptostegia grandiflora,Cryptostegia,2
4500,Cryptostegia madagascariensis,Cryptostegia,2
4503,Curtia tenuifolia,Curtia,1
4509,Cyclocotyla congolensis,Cyclocotyla,1
4512,Cynanchum acutum,Cynanchum,13
4516,Cynanchum boudieri,Cynanchum,13
4550,Cynanchum bungei,Cynanchum,13
4565,Cynanchum gracillimum,Cynanchum,13
4568,Cynanchum grandidieri,Cynanchum,13
4569,Cynanchum liukiuense,Cynanchum,13
4570,Cynanchum maximoviczii,Cynanchum,13
4606,Cynanchum ovalifolium,Cynanchum,13
4610,Cynanchum polyanthum,Cynanchum,13
4616,Cynanchum rostellatum,Cynanchum,13
4635,Cynanchum thesioides,Cynanchum,13
4642,Cynanchum viminale,Cynanchum,13
4665,Cynanchum wilfordii,Cynanchum,13
4688,Cyrtophyllum fragrans,Cyrtophyllum,1
4694,Damnacanthus indicus,Damnacanthus,4
4706,Damnacanthus macrophyllus,Damnacanthus,4
4707,Damnacanthus major,Damnacanthus,4
4717,Damnacanthus officinarum,Damnacanthus,4
4718,Debia ovatifolia,Debia,1
4722,Decalepis hamiltonii,Decalepis,1
4730,Deppea blumenaviensis,Deppea,1
4731,Desmidorchis flava,Desmidorchis,3
4733,Desmidorchis penicillata,Desmidorchis,3
4739,Desmidorchis retrospiciens,Desmidorchis,3
4762,Dimetia capitellata,Dimetia,3
4777,Dimetia hedyotidea,Dimetia,3
4787,Dimetia scandens,Dimetia,3
4793,Dioecrescis erythroclada,Dioecrescis,1
4800,Diplorhynchus condylocarpon,Diplorhynchus,1
4803,Diplospora dubia,Diplospora,2
4857,Diplospora fruticosa,Diplospora,2
4870,Dischidanthus thyrsiflorus,Dischidanthus,1
4885,Dischidia formosana,Dischidia,1
4895,Diyaminauclea zeylanica,Diyaminauclea,1
4896,Dolichopentas longiflora,Dolichopentas,1
4908,Dunnia sinensis,Dunnia,1
4910,Duroia hirsuta,Duroia,1
4916,Dyera costulata,Dyera,1
4920,Echites panduratus,Echites,1
4921,Emmenopterys henryi,Emmenopterys,1
4923,Enicostema axillare,Enicostema,2
4925,Enicostema verticillatum,Enicostema,2
4926,Eumachia forsteriana,Eumachia,7
4936,Eumachia frutescens,Eumachia,7
4940,Eumachia leptothyrsa,Eumachia,7
4941,Eumachia lyciiflora,Eumachia,7
4946,Eumachia montana,Eumachia,7
4948,Eumachia oleoides,Eumachia,7
4958,Eumachia rostrata,Eumachia,7
4966,Eustoma russellianum,Eustoma,1
4988,Exacum affine,Exacum,2
4993,Exacum tetragonum,Exacum,2
4994,Exallage auricularia,Exallage,2
4999,Exallage chrysotricha,Exallage,2
5004,Exostema acuminatum,Exostema,2
5011,Exostema caribaeum,Exostema,2
5023,Fadogia ancylantha,Fadogia,1
5031,Fagraea auriculata,Fagraea,5
5034,Fagraea berteroana,Fagraea,5
5037,Fagraea blumei,Fagraea,5
5048,Fagraea ceilanica,Fagraea,5
5054,Fagraea gracilipes,Fagraea,5
5063,Faramea guianensis,Faramea,3
5065,Faramea multiflora,Faramea,3
5067,Faramea occidentalis,Faramea,3
5077,Feretia apodanthera,Feretia,1
5083,Forsteronia refracta,Forsteronia,1
5086,Frasera albicaulis,Frasera,4
5089,Frasera albomarginata,Frasera,4
5096,Frasera caroliniensis,Frasera,4
5100,Frasera speciosa,Frasera,4
5106,Funastrum clausum,Funastrum,1
5110,Funtumia africana,Funtumia,2
5112,Funtumia elastica,Funtumia,2
5120,Galianthe thalictroides,Galianthe,1
5130,Galium aegeum,Galium,24
5138,Galium album,Galium,24
5154,Galium aparine,Galium,24
5176,Galium glaucum,Galium,24
5178,Galium heldreichii,Galium,24
5184,Galium humifusum,Galium,24
5191,Galium hypocarpium,Galium,24
5193,Galium lovcense,Galium,24
5205,Galium macedonicum,Galium,24
5214,Galium maximoviczii,Galium,24
5217,Galium melanantherum,Galium,24
5224,Galium mirum,Galium,24
5232,Galium mollugo,Galium,24
5265,Galium odoratum,Galium,24
5283,Galium palustre,Galium,24
5286,Galium rhodopeum,Galium,24
5298,Galium rivale,Galium,24
5316,Galium rubioides,Galium,24
5323,Galium semiamictum,Galium,24
5325,Galium sinaicum,Galium,24
5363,Galium spurium,Galium,24
5375,Galium tricornutum,Galium,24
5377,Galium triflorum,Galium,24
5378,Galium verum,Galium,24
5428,Gardenia aubryi,Gardenia,25
5440,Gardenia carinata,Gardenia,25
5449,Gardenia collinsiae,Gardenia,25
5450,Gardenia coronaria,Gardenia,25
5454,Gardenia crameri,Gardenia,25
5457,Gardenia erubescens,Gardenia,25
5458,Gardenia fosbergii,Gardenia,25
5459,Gardenia gordonii,Gardenia,25
5461,Gardenia grievei,Gardenia,25
5462,Gardenia gummifera,Gardenia,25
5469,Gardenia hillii,Gardenia,25
5471,Gardenia imperialis,Gardenia,25
5474,Gardenia jasminoides,Gardenia,25
5625,Gardenia latifolia,Gardenia,25
5634,Gardenia obtusifolia,Gardenia,25
5646,Gardenia oudiepe,Gardenia,25
5657,Gardenia resinifera,Gardenia,25
5673,Gardenia saxatilis,Gardenia,25
5679,Gardenia sootepensis,Gardenia,25
5695,Gardenia storckii,Gardenia,25
5700,Gardenia taitensis,Gardenia,25
5701,Gardenia ternifolia,Gardenia,25
5703,Gardenia thailandica,Gardenia,25
5714,Gardenia tubifera,Gardenia,25
5733,Gardenia urvillei,Gardenia,25
5738,Gardneria angustifolia,Gardneria,4
5741,Gardneria multiflora,Gardneria,4
5750,Gardneria nutans,Gardneria,4
5756,Gardneria ovata,Gardneria,4
5772,Geissospermum argenteum,Geissospermum,3
5776,Geissospermum laeve,Geissospermum,3
5792,Geissospermum sericeum,Geissospermum,3
5805,Gelsemium elegans,Gelsemium,3
5915,Gelsemium rankinii,Gelsemium,3
5934,Gelsemium sempervirens,Gelsemium,3
5984,Geniostoma antherotrichum,Geniostoma,1
5987,Genipa americana,Genipa,2
6011,Genipa spruceana,Genipa,2
6041,Gentiana acaulis,Gentiana,60
6059,Gentiana algida,Gentiana,60
6093,Gentiana andrewsii,Gentiana,60
6094,Gentiana aquatica,Gentiana,60
6096,Gentiana argentea,Gentiana,60
6099,Gentiana arisanensis,Gentiana,60
6114,Gentiana asclepiadea,Gentiana,60
6134,Gentiana bavarica,Gentiana,60
6138,Gentiana brachyphylla,Gentiana,60
6166,Gentiana burseri,Gentiana,60
6171,Gentiana cephalantha,Gentiana,60
6173,Gentiana crassa,Gentiana,60
6211,Gentiana crassicaulis,Gentiana,60
6226,Gentiana cruciata,Gentiana,60
6233,Gentiana dahurica,Gentiana,60
6256,Gentiana davidi,Gentiana,60
6273,Gentiana decumbens,Gentiana,60
6280,Gentiana depressa,Gentiana,60
6292,Gentiana elwesii,Gentiana,60
6297,Gentiana formosa,Gentiana,60
6298,Gentiana gelida,Gentiana,60
6305,Gentiana kauffmanniana,Gentiana,60
6307,Gentiana kirilowii,Gentiana,60
6308,Gentiana kurroo,Gentiana,60
6316,Gentiana lawrencei,Gentiana,60
6323,Gentiana linearis,Gentiana,60
6334,Gentiana loureiroi,Gentiana,60
6349,Gentiana lutea,Gentiana,60
6481,Gentiana macrophylla,Gentiana,60
6531,Gentiana makinoi,Gentiana,60
6532,Gentiana manshurica,Gentiana,60
6542,Gentiana nivalis,Gentiana,60
6546,Gentiana officinalis,Gentiana,60
6552,Gentiana olgae,Gentiana,60
6554,Gentiana olivieri,Gentiana,60
6577,Gentiana pannonica,Gentiana,60
6581,Gentiana pedicellata,Gentiana,60
6601,Gentiana piasezkii,Gentiana,60
6602,Gentiana prolata,Gentiana,60
6607,Gentiana prostrata,Gentiana,60
6610,Gentiana punctata,Gentiana,60
6620,Gentiana purpurea,Gentiana,60
6627,Gentiana pyrenaica,Gentiana,60
6636,Gentiana robusta,Gentiana,60
6638,Gentiana rostanii,Gentiana,60
6640,Gentiana scabra,Gentiana,60
6681,Gentiana septemfida,Gentiana,60
6690,Gentiana sikkimensis,Gentiana,60
6695,Gentiana sino-ornata,Gentiana,60
6701,Gentiana siphonantha,Gentiana,60
6712,Gentiana spathacea,Gentiana,60
6713,Gentiana straminea,Gentiana,60
6766,Gentiana taliensis,Gentiana,60
6771,Gentiana terglouensis,Gentiana,60
6773,Gentiana thunbergii,Gentiana,60
6798,Gentiana tibetica,Gentiana,60
6818,Gentiana triflora,Gentiana,60
6844,Gentiana urnula,Gentiana,60
6845,Gentiana utriculosa,Gentiana,60
