"","t1","t13","t25","t26","t123","t124","t57","t35","t71","t72","t45","t85","t86","t81","t82","t40","t106","t109","t110","t14","t21","t66","t67","t113","t114","t6","t115","t116","t104","t105","t119","t120","t101","t102","t76","t77","t70","t53","t73","t74","t68","t69","t117","t118","t37","t38","t60","t61","t17","t3","t4","t89","t90","t32","t111","t112","t78","t79","t75","t56","t87","t88","t11","t47","t48","t98","t103","t121","t122","t59","t49","t50","t91","t92","t10","t62","t63","t22","t51","t52","t107","t108","t34","t33","t12","t2","t15","t27","t43","t44","t20","t23","t93","t94","t39","t24","t28","t96","t97","t95","t80","t9","t58","t83","t84","t36","t46","t64","t65","t16","t5","t18","t19","t54","t55","t41","t8","t7","t29","t99","t100","t42","t30","t31"
"t1",0,3.3929123966,3.17332586426,3.9463891807,3.94638918064,3.94638918064,3.94638918062,3.32994930562,3.94638918072,3.94638918072,3.94638918074,3.94638918074,3.94638918074,3.94638918078,3.94638918078,3.94638918078,3.91326077679,3.946389180728,3.946389180728,3.94638918052,3.94638918072,3.94638918072,3.94638918072,3.94638918072,3.94638918072,2.5344853175,3.94638918083,3.94638918083,3.9463891808,3.9463891808,3.94638918088,3.94638918088,3.9463891808,3.9463891808,3.94638918082,3.94638918082,3.9463891808,3.9463891808,3.94638918081,3.94638918081,3.94638918085,3.94638918085,3.94638918078,3.94638918078,3.8672171503,3.6397331973,3.9463891808,3.9463891808,2.94916799923,1.535433923,2.1788075689,6.30745398665,6.30745398665,6.30745398675,6.30745398673,6.30745398673,6.307453986743,6.307453986743,6.30745398675,6.30745398675,6.30745398715,6.30745398715,5.74003005101,6.30745398671,6.14632222471,6.30745398665,6.30745398661,6.30745398664,6.30745398664,6.30745398665,6.30745398669,6.30745398669,6.30745398665,6.30745398665,5.38028907955,6.30745398605,6.30745398605,6.30745398635,6.30745398636,6.30745398636,6.30745398635,6.30745398635,6.30745398638,6.30745398635,5.41015409065,3.37968718398,5.31401455295,6.30745398695,6.30745398695,6.30745398695,6.30745398695,6.30745398645,6.30745398645,6.30745398645,6.30745398645,6.11070910795,6.30745398648,6.30745398644,6.30745398644,6.30745398644,6.30745398648,6.30745398655,6.11054309305,6.12139757921,6.30745398695,6.30745398695,6.30745398695,6.30745398705,6.30745398705,6.30745398685,4.33363215835,5.49769759915,6.30745398695,6.30745398695,6.30745398695,6.30745398695,4.55915597505,6.30745398705,6.7843324263,6.7843324263,6.68217530415,6.7843324263,6.7843324271,6.7843324271
"t13",3.3929123966,0,1.03994575306,1.8130090695,5.83321975344,5.83321975344,5.83321975342,5.21677987842,5.83321975352,5.83321975352,5.83321975354,5.83321975354,5.83321975354,5.83321975358,5.83321975358,5.83321975358,5.80009134959,5.833219753528,5.833219753528,5.83321975332,5.83321975352,5.83321975352,5.83321975352,5.83321975352,5.83321975352,4.4213158903,5.83321975363,5.83321975363,5.8332197536,5.8332197536,5.83321975368,5.83321975368,5.8332197536,5.8332197536,5.83321975362,5.83321975362,5.8332197536,5.8332197536,5.83321975361,5.83321975361,5.83321975365,5.83321975365,5.83321975358,5.83321975358,5.7540477231,5.5265637701,5.8332197536,5.8332197536,4.83599857203,3.4222644958,4.0656381417,8.79452488425,8.79452488425,8.79452488435,8.79452488433,8.79452488433,8.794524884343,8.794524884343,8.79452488435,8.79452488435,8.79452488475,8.79452488475,8.22710094861,8.79452488431,8.63339312231,8.79452488425,8.79452488421,8.79452488424,8.79452488424,8.79452488425,8.79452488429,8.79452488429,8.79452488425,8.79452488425,7.86735997715,8.79452488365,8.79452488365,8.79452488395,8.79452488396,8.79452488396,8.79452488395,8.79452488395,8.79452488398,8.79452488395,7.89722498825,5.86675808158,7.80108545055,8.79452488455,8.79452488455,8.79452488455,8.79452488455,8.79452488405,8.79452488405,8.79452488405,8.79452488405,8.59778000555,8.79452488408,8.79452488404,8.79452488404,8.79452488404,8.79452488408,8.79452488415,8.59761399065,8.60846847681,8.79452488455,8.79452488455,8.79452488455,8.79452488465,8.79452488465,8.79452488445,6.82070305595,7.98476849675,8.79452488455,8.79452488455,8.79452488455,8.79452488455,7.04622687265,8.79452488465,9.2714033239,9.2714033239,9.16924620175,9.2714033239,9.2714033247,9.2714033247
"t25",3.17332586426,1.03994575306,0,0.88906733376,5.6136332211,5.6136332211,5.61363322108,4.99719334608,5.61363322118,5.61363322118,5.6136332212,5.6136332212,5.6136332212,5.61363322124,5.61363322124,5.61363322124,5.58050481725,5.613633221188,5.613633221188,5.61363322098,5.61363322118,5.61363322118,5.61363322118,5.61363322118,5.61363322118,4.20172935796,5.61363322129,5.61363322129,5.61363322126,5.61363322126,5.61363322134,5.61363322134,5.61363322126,5.61363322126,5.61363322128,5.61363322128,5.61363322126,5.61363322126,5.61363322127,5.61363322127,5.61363322131,5.61363322131,5.61363322124,5.61363322124,5.53446119076,5.30697723776,5.61363322126,5.61363322126,4.61641203969,3.20267796346,3.84605160936,8.57493835191,8.57493835191,8.57493835201,8.57493835199,8.57493835199,8.574938352003,8.574938352003,8.57493835201,8.57493835201,8.57493835241,8.57493835241,8.00751441627,8.57493835197,8.41380658997,8.57493835191,8.57493835187,8.5749383519,8.5749383519,8.57493835191,8.57493835195,8.57493835195,8.57493835191,8.57493835191,7.64777344481,8.57493835131,8.57493835131,8.57493835161,8.57493835162,8.57493835162,8.57493835161,8.57493835161,8.57493835164,8.57493835161,7.67763845591,5.64717154924,7.58149891821,8.57493835221,8.57493835221,8.57493835221,8.57493835221,8.57493835171,8.57493835171,8.57493835171,8.57493835171,8.37819347321,8.57493835174,8.5749383517,8.5749383517,8.5749383517,8.57493835174,8.57493835181,8.37802745831,8.38888194447,8.57493835221,8.57493835221,8.57493835221,8.57493835231,8.57493835231,8.57493835211,6.60111652361,7.76518196441,8.57493835221,8.57493835221,8.57493835221,8.57493835221,6.82664034031,8.57493835231,9.05181679156,9.05181679156,8.94965966941,9.05181679156,9.05181679236,9.05181679236
"t26",3.9463891807,1.8130090695,0.88906733376,0,6.38669653754,6.38669653754,6.38669653752,5.77025666252,6.38669653762,6.38669653762,6.38669653764,6.38669653764,6.38669653764,6.38669653768,6.38669653768,6.38669653768,6.35356813369,6.386696537628,6.386696537628,6.38669653742,6.38669653762,6.38669653762,6.38669653762,6.38669653762,6.38669653762,4.9747926744,6.38669653773,6.38669653773,6.3866965377,6.3866965377,6.38669653778,6.38669653778,6.3866965377,6.3866965377,6.38669653772,6.38669653772,6.3866965377,6.3866965377,6.38669653771,6.38669653771,6.38669653775,6.38669653775,6.38669653768,6.38669653768,6.3075245072,6.0800405542,6.3866965377,6.3866965377,5.38947535613,3.9757412799,4.6191149258,9.34800166835,9.34800166835,9.34800166845,9.34800166843,9.34800166843,9.348001668443,9.348001668443,9.34800166845,9.34800166845,9.34800166885,9.34800166885,8.78057773271,9.34800166841,9.18686990641,9.34800166835,9.34800166831,9.34800166834,9.34800166834,9.34800166835,9.34800166839,9.34800166839,9.34800166835,9.34800166835,8.42083676125,9.34800166775,9.34800166775,9.34800166805,9.34800166806,9.34800166806,9.34800166805,9.34800166805,9.34800166808,9.34800166805,8.45070177235,6.42023486568,8.35456223465,9.34800166865,9.34800166865,9.34800166865,9.34800166865,9.34800166815,9.34800166815,9.34800166815,9.34800166815,9.15125678965,9.34800166818,9.34800166814,9.34800166814,9.34800166814,9.34800166818,9.34800166825,9.15109077475,9.16194526091,9.34800166865,9.34800166865,9.34800166865,9.34800166875,9.34800166875,9.34800166855,7.37417984005,8.53824528085,9.34800166865,9.34800166865,9.34800166865,9.34800166865,7.59970365675,9.34800166875,9.824880108,9.824880108,9.72272298585,9.824880108,9.8248801088,9.8248801088
"t123",3.94638918064,5.83321975344,5.6136332211,6.38669653754,0,0.03240900164,0.83612770722,0.66798852242,2.51642768872,2.51642768872,2.90461494474,2.90461494474,2.90461494474,2.90461494478,2.90461494478,2.90461494478,2.87148654079,2.904614944728,2.904614944728,2.90461494452,2.90461494472,2.90461494472,2.90461494472,4.19844751832,4.19844751832,2.86887741834,4.52490873107,4.52490873107,4.52490873104,4.52490873104,4.52490873112,4.52490873112,4.52490873104,4.52490873104,4.52490873106,4.52490873106,4.52490873104,4.52490873104,4.52490873105,4.52490873105,4.52490873109,4.52490873109,4.52490873102,4.52490873102,4.44573670054,4.21825274754,4.52490873104,4.52490873104,3.52768754947,3.36988975724,4.01326340314,9.34800166829,9.34800166829,9.34800166839,9.34800166837,9.34800166837,9.348001668383,9.348001668383,9.34800166839,9.34800166839,9.34800166879,9.34800166879,8.78057773265,9.34800166835,9.18686990635,9.34800166829,9.34800166825,9.34800166828,9.34800166828,9.34800166829,9.34800166833,9.34800166833,9.34800166829,9.34800166829,8.42083676119,9.34800166769,9.34800166769,9.34800166799,9.348001668,9.348001668,9.34800166799,9.34800166799,9.34800166802,9.34800166799,8.45070177229,6.42023486562,8.35456223459,9.34800166859,9.34800166859,9.34800166859,9.34800166859,9.34800166809,9.34800166809,9.34800166809,9.34800166809,9.15125678959,9.34800166812,9.34800166808,9.34800166808,9.34800166808,9.34800166812,9.34800166819,9.15109077469,9.16194526085,9.34800166859,9.34800166859,9.34800166859,9.34800166869,9.34800166869,9.34800166849,7.37417983999,8.53824528079,9.34800166859,9.34800166859,9.34800166859,9.34800166859,7.59970365669,9.34800166869,9.82488010794,9.82488010794,9.72272298579,9.82488010794,9.82488010874,9.82488010874
"t124",3.94638918064,5.83321975344,5.6136332211,6.38669653754,0.03240900164,0,0.83612770722,0.66798852242,2.51642768872,2.51642768872,2.90461494474,2.90461494474,2.90461494474,2.90461494478,2.90461494478,2.90461494478,2.87148654079,2.904614944728,2.904614944728,2.90461494452,2.90461494472,2.90461494472,2.90461494472,4.19844751832,4.19844751832,2.86887741834,4.52490873107,4.52490873107,4.52490873104,4.52490873104,4.52490873112,4.52490873112,4.52490873104,4.52490873104,4.52490873106,4.52490873106,4.52490873104,4.52490873104,4.52490873105,4.52490873105,4.52490873109,4.52490873109,4.52490873102,4.52490873102,4.44573670054,4.21825274754,4.52490873104,4.52490873104,3.52768754947,3.36988975724,4.01326340314,9.34800166829,9.34800166829,9.34800166839,9.34800166837,9.34800166837,9.348001668383,9.348001668383,9.34800166839,9.34800166839,9.34800166879,9.34800166879,8.78057773265,9.34800166835,9.18686990635,9.34800166829,9.34800166825,9.34800166828,9.34800166828,9.34800166829,9.34800166833,9.34800166833,9.34800166829,9.34800166829,8.42083676119,9.34800166769,9.34800166769,9.34800166799,9.348001668,9.348001668,9.34800166799,9.34800166799,9.34800166802,9.34800166799,8.45070177229,6.42023486562,8.35456223459,9.34800166859,9.34800166859,9.34800166859,9.34800166859,9.34800166809,9.34800166809,9.34800166809,9.34800166809,9.15125678959,9.34800166812,9.34800166808,9.34800166808,9.34800166808,9.34800166812,9.34800166819,9.15109077469,9.16194526085,9.34800166859,9.34800166859,9.34800166859,9.34800166869,9.34800166869,9.34800166849,7.37417983999,8.53824528079,9.34800166859,9.34800166859,9.34800166859,9.34800166859,7.59970365669,9.34800166869,9.82488010794,9.82488010794,9.72272298579,9.82488010794,9.82488010874,9.82488010874
"t57",3.94638918062,5.83321975342,5.61363322108,6.38669653752,0.83612770722,0.83612770722,0,0.6679885224,2.5164276887,2.5164276887,2.90461494472,2.90461494472,2.90461494472,2.90461494476,2.90461494476,2.90461494476,2.87148654077,2.904614944708,2.904614944708,2.9046149445,2.9046149447,2.9046149447,2.9046149447,4.1984475183,4.1984475183,2.86887741832,4.52490873105,4.52490873105,4.52490873102,4.52490873102,4.5249087311,4.5249087311,4.52490873102,4.52490873102,4.52490873104,4.52490873104,4.52490873102,4.52490873102,4.52490873103,4.52490873103,4.52490873107,4.52490873107,4.524908731,4.524908731,4.44573670052,4.21825274752,4.52490873102,4.52490873102,3.52768754945,3.36988975722,4.01326340312,9.34800166827,9.34800166827,9.34800166837,9.34800166835,9.34800166835,9.348001668363,9.348001668363,9.34800166837,9.34800166837,9.34800166877,9.34800166877,8.78057773263,9.34800166833,9.18686990633,9.34800166827,9.34800166823,9.34800166826,9.34800166826,9.34800166827,9.34800166831,9.34800166831,9.34800166827,9.34800166827,8.42083676117,9.34800166767,9.34800166767,9.34800166797,9.34800166798,9.34800166798,9.34800166797,9.34800166797,9.348001668,9.34800166797,8.45070177227,6.4202348656,8.35456223457,9.34800166857,9.34800166857,9.34800166857,9.34800166857,9.34800166807,9.34800166807,9.34800166807,9.34800166807,9.15125678957,9.3480016681,9.34800166806,9.34800166806,9.34800166806,9.3480016681,9.34800166817,9.15109077467,9.16194526083,9.34800166857,9.34800166857,9.34800166857,9.34800166867,9.34800166867,9.34800166847,7.37417983997,8.53824528077,9.34800166857,9.34800166857,9.34800166857,9.34800166857,7.59970365667,9.34800166867,9.82488010792,9.82488010792,9.72272298577,9.82488010792,9.82488010872,9.82488010872
"t35",3.32994930562,5.21677987842,4.99719334608,5.77025666252,0.66798852242,0.66798852242,0.6679885224,0,1.8999878137,1.8999878137,2.28817506972,2.28817506972,2.28817506972,2.28817506976,2.28817506976,2.28817506976,2.25504666577,2.288175069708,2.288175069708,2.2881750695,2.2881750697,2.2881750697,2.2881750697,3.5820076433,3.5820076433,2.25243754332,3.90846885605,3.90846885605,3.90846885602,3.90846885602,3.9084688561,3.9084688561,3.90846885602,3.90846885602,3.90846885604,3.90846885604,3.90846885602,3.90846885602,3.90846885603,3.90846885603,3.90846885607,3.90846885607,3.908468856,3.908468856,3.82929682552,3.60181287252,3.90846885602,3.90846885602,2.91124767445,2.75344988222,3.39682352812,8.73156179327,8.73156179327,8.73156179337,8.73156179335,8.73156179335,8.731561793363,8.731561793363,8.73156179337,8.73156179337,8.73156179377,8.73156179377,8.16413785763,8.73156179333,8.57043003133,8.73156179327,8.73156179323,8.73156179326,8.73156179326,8.73156179327,8.73156179331,8.73156179331,8.73156179327,8.73156179327,7.80439688617,8.73156179267,8.73156179267,8.73156179297,8.73156179298,8.73156179298,8.73156179297,8.73156179297,8.731561793,8.73156179297,7.83426189727,5.8037949906,7.73812235957,8.73156179357,8.73156179357,8.73156179357,8.73156179357,8.73156179307,8.73156179307,8.73156179307,8.73156179307,8.53481691457,8.7315617931,8.73156179306,8.73156179306,8.73156179306,8.7315617931,8.73156179317,8.53465089967,8.54550538583,8.73156179357,8.73156179357,8.73156179357,8.73156179367,8.73156179367,8.73156179347,6.75773996497,7.92180540577,8.73156179357,8.73156179357,8.73156179357,8.73156179357,6.98326378167,8.73156179367,9.20844023292,9.20844023292,9.10628311077,9.20844023292,9.20844023372,9.20844023372
"t71",3.94638918072,5.83321975352,5.61363322118,6.38669653762,2.51642768872,2.51642768872,2.5164276887,1.8999878137,0,0.5405098382,2.90461494482,2.90461494482,2.90461494482,2.90461494486,2.90461494486,2.90461494486,2.87148654087,2.904614944808,2.904614944808,2.9046149446,2.9046149448,2.9046149448,2.9046149448,4.1984475184,4.1984475184,2.86887741842,4.52490873115,4.52490873115,4.52490873112,4.52490873112,4.5249087312,4.5249087312,4.52490873112,4.52490873112,4.52490873114,4.52490873114,4.52490873112,4.52490873112,4.52490873113,4.52490873113,4.52490873117,4.52490873117,4.5249087311,4.5249087311,4.44573670062,4.21825274762,4.52490873112,4.52490873112,3.52768754955,3.36988975732,4.01326340322,9.34800166837,9.34800166837,9.34800166847,9.34800166845,9.34800166845,9.348001668463,9.348001668463,9.34800166847,9.34800166847,9.34800166887,9.34800166887,8.78057773273,9.34800166843,9.18686990643,9.34800166837,9.34800166833,9.34800166836,9.34800166836,9.34800166837,9.34800166841,9.34800166841,9.34800166837,9.34800166837,8.42083676127,9.34800166777,9.34800166777,9.34800166807,9.34800166808,9.34800166808,9.34800166807,9.34800166807,9.3480016681,9.34800166807,8.45070177237,6.4202348657,8.35456223467,9.34800166867,9.34800166867,9.34800166867,9.34800166867,9.34800166817,9.34800166817,9.34800166817,9.34800166817,9.15125678967,9.3480016682,9.34800166816,9.34800166816,9.34800166816,9.3480016682,9.34800166827,9.15109077477,9.16194526093,9.34800166867,9.34800166867,9.34800166867,9.34800166877,9.34800166877,9.34800166857,7.37417984007,8.53824528087,9.34800166867,9.34800166867,9.34800166867,9.34800166867,7.59970365677,9.34800166877,9.82488010802,9.82488010802,9.72272298587,9.82488010802,9.82488010882,9.82488010882
"t72",3.94638918072,5.83321975352,5.61363322118,6.38669653762,2.51642768872,2.51642768872,2.5164276887,1.8999878137,0.5405098382,0,2.90461494482,2.90461494482,2.90461494482,2.90461494486,2.90461494486,2.90461494486,2.87148654087,2.904614944808,2.904614944808,2.9046149446,2.9046149448,2.9046149448,2.9046149448,4.1984475184,4.1984475184,2.86887741842,4.52490873115,4.52490873115,4.52490873112,4.52490873112,4.5249087312,4.5249087312,4.52490873112,4.52490873112,4.52490873114,4.52490873114,4.52490873112,4.52490873112,4.52490873113,4.52490873113,4.52490873117,4.52490873117,4.5249087311,4.5249087311,4.44573670062,4.21825274762,4.52490873112,4.52490873112,3.52768754955,3.36988975732,4.01326340322,9.34800166837,9.34800166837,9.34800166847,9.34800166845,9.34800166845,9.348001668463,9.348001668463,9.34800166847,9.34800166847,9.34800166887,9.34800166887,8.78057773273,9.34800166843,9.18686990643,9.34800166837,9.34800166833,9.34800166836,9.34800166836,9.34800166837,9.34800166841,9.34800166841,9.34800166837,9.34800166837,8.42083676127,9.34800166777,9.34800166777,9.34800166807,9.34800166808,9.34800166808,9.34800166807,9.34800166807,9.3480016681,9.34800166807,8.45070177237,6.4202348657,8.35456223467,9.34800166867,9.34800166867,9.34800166867,9.34800166867,9.34800166817,9.34800166817,9.34800166817,9.34800166817,9.15125678967,9.3480016682,9.34800166816,9.34800166816,9.34800166816,9.3480016682,9.34800166827,9.15109077477,9.16194526093,9.34800166867,9.34800166867,9.34800166867,9.34800166877,9.34800166877,9.34800166857,7.37417984007,8.53824528087,9.34800166867,9.34800166867,9.34800166867,9.34800166867,7.59970365677,9.34800166877,9.82488010802,9.82488010802,9.72272298587,9.82488010802,9.82488010882,9.82488010882
