"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123"
"t1",-0.0343150520994167,0.000431527204445538,-0.0102057995005131,-0.0266965806390289,-0.000214203939343142,-0.00175861385379833,0.00217307435647011,-0.142660772564977,-0.00586804395134876,-0.00513319335851741,-0.00240296943649199,0.00617865313799431,-0.000182990674267266,0.0107935315480353,2.16639634707497e-05,0.0151914498060893,-2.51114029355018e-05,-0.0341496585172178,0.0138086762927881,0.000615880436386584,-0.0205593279890146,-0.00885033039335269,0.0331604862435816,-0.0443216567286471,-0.000247612570974274,-0.00421864761755101,0.161775696200085,0.256271738774762,0.00669125841402889,0.000848907443756272,0.000160073166455119,-0.00188184776686235,0.00756099130151119,-0.000176970268899714,-0.0648406408916226,0.000297674421470296,-0.00974435592074233,-0.00721635532908191,0.122239593627739,0.104635659243858,-0.0713146637942279,-0.197074185136367,-0.00894861411858178,-0.24769793279611,0.263257465635719,0.675907334336943,0.231331332360245,0.0024443412159254,-0.000400364035291045,0.282200001111608,-0.0236592455933833,-5.38645682807824e-05,-0.0102828242185868,0.183402561306513,-0.0329049517454393,0.0198369075070696,0.0379645603760696,-8.32484517294696e-16,0.0136681598471415,-0.104247001697659,-0.000232465534076291,-0.00269308637262959,-0.00150156449376767,0.0888090209959324,-0.000403708985633603,-0.0742250918082632,-1.25537666576007e-05,-1.32558505765091e-16,0.00168578302266082,-0.000207293110042789,-0.00128805632204595,-0.000346423113649732,-1.65226312367871e-16,0.000247813337460399,-0.00495641923203667,-1.2424211347944e-15,0.000892183304427497,2.98291225524407e-05,-1.17161233974035e-15,0.000688989839268409,0.00802453563901661,1.3466999311209e-15,-7.31883946384569e-16,-1.15834514238495e-15,0.0223097949977663,4.52667033373733e-15,0.00183548176098753,-0.0617683275934241,-0.10597507491936,3.84241811852717e-15,-0.000161586870752589,8.25598819851611e-05,-6.86470467743593e-05,-2.05555556027531e-15,1.10459938485379e-15,-0.000610777424891094,-3.35649059898546e-06,8.11784283020247e-16,4.91349497621745e-16,5.28899495260214e-15,-3.05545025508609e-15,-2.23340978470563e-16,8.94529920719439e-05,-7.97885144421949e-17,-6.54464085151921e-16,9.12619708266612e-06,1.28683824244789e-15,1.96732446672443e-16,1.56047890678085e-05,3.31777334357429e-16,-4.02708352795614e-06,-4.36225595655376e-16,-0.000393844900089409,4.53974921280583e-17,1.19227778417573e-15,-6.8791848533818e-16,2.54056007444355e-05,-3.63382496010127e-16,5.56130934249396e-16,-2.21851793272358e-15,9.31950904515913e-16,-2.40570344007089e-15,-2.30573206548349e-14
"t13",-0.0517210575017797,-0.00150638511570579,-0.00775947017907713,-0.0273175431473605,-0.000371876082113189,-0.00233061968520236,0.00486639574436139,-0.503077847002886,-0.0231183495038155,-0.0356742390332989,-0.0469971883745381,0.100378344943482,0.00343102203074319,-0.0262698052795587,-4.2993668966283e-05,-0.0482620425476464,6.51673117591448e-05,0.0651826191604798,-0.0101163326614766,-0.000326180411805889,0.0128972403403374,0.0037955030961127,-0.0133554339070021,0.0200337789287503,8.0053028820405e-05,0.00170515198589639,-0.0582202082943737,-0.0882142658955986,-0.00239494525195294,-0.000558658610469727,1.7485805772148e-06,0.00010170242110757,-4.0332036795078e-05,2.15559030908516e-08,-9.21378977586952e-05,2.64968473462728e-06,-0.000119428639779317,-0.000299951658985151,0.00848723486042793,0.00845686467786938,-0.00646892767286489,-0.0166044187414925,-0.000941721061914556,-0.0363331151167959,0.044944314957999,0.180632402972091,0.0754587134066766,0.00233422429578044,-0.0014445456646925,-0.740414335213304,0.0304024175319908,1.28731982499473e-05,0.00382494451023256,-0.0566894518223641,0.00390027064627326,-0.0022874712257074,-0.00386878157905923,2.99358929002766e-15,-0.00134679928895756,0.00962175542001792,7.51022409051168e-06,0.000211470103202616,0.000104678625894903,-0.00582032897398423,-6.61256436121673e-06,0.00456236229941406,4.1751544908355e-07,-1.79906430947381e-15,0.000128723100404628,-2.03124237541514e-05,-0.000137277201220748,3.46128248121272e-06,-8.67162121132562e-16,-2.03370453204981e-06,1.79282935801083e-05,6.60044431875424e-16,8.02900974867924e-07,4.13805684552143e-06,3.75314789620041e-15,7.91725480688851e-06,0.00144271514771731,-4.6386429849778e-16,3.23359519414363e-16,-2.7536755377497e-15,0.0074267690999425,7.42019611798109e-14,0.000462085821434641,-0.314153571446814,0.0921303952658758,4.36565452352082e-15,4.51475833547492e-05,-3.37199749949376e-07,3.38847393117501e-07,-2.08238395919154e-14,3.19425874944082e-15,-9.87188169344669e-06,-1.37808340385043e-08,-2.61215623569354e-15,-1.95951733338162e-15,5.41881471120375e-14,2.79571570923324e-16,2.62230228093428e-15,1.30631422590417e-06,2.69776652456175e-15,1.34992678096394e-15,1.61925424042953e-07,2.25931461386459e-16,1.35570559216257e-15,4.12077383669289e-07,-9.09981953000396e-16,-1.23675722976728e-07,1.32014349987973e-15,-1.32260489562354e-05,-9.69174386169039e-16,-1.45690486608413e-14,-1.77165325558905e-15,3.10973930855885e-06,-3.99060437365083e-15,-6.09860013154497e-16,6.23471420939359e-17,-5.6877757479729e-16,-2.13663823400739e-15,-1.71136473686092e-14
"t25",-0.0517846418106202,-0.00150922543887555,-0.00778718228212909,-0.027475390138008,-0.000374516616406443,-0.00235108310461246,0.00493622558712534,-0.512017058704784,-0.0235442998355769,-0.03642084074877,-0.0480840567213603,0.102983158091334,0.0035355234689679,-0.0272178908456178,-4.46995627004799e-05,-0.0502622736961338,6.80675665184667e-05,0.0684871880499278,-0.0108028578968635,-0.00035696359025793,0.0142594445381434,0.00426058045221507,-0.0152098423410384,0.0229079722613127,9.16422817010243e-05,0.00197581237288322,-0.0685875105326517,-0.104648335569318,-0.00297802171037295,-0.000737665171275178,2.73478739036936e-06,0.000253992195207372,-0.000434301560073432,1.50227265669722e-05,0.00363913519660933,-2.91838797664766e-05,0.00052524037172762,0.000353439329371658,-0.0056718802600199,-0.00484523354062421,0.00359604955682363,0.00887710304223335,0.000406232539801272,0.0124027767727898,-0.0124043668216229,-0.0300811295267608,-0.0109501706253479,-0.000200027494358965,9.50041675746264e-05,0.0371289805007183,-0.00125802249724194,-1.44901158437453e-07,-2.38801133545366e-05,-9.58550558309099e-05,0.000145102792334827,-8.56589738747399e-05,-0.000144832876581486,-1.40501273328133e-15,-4.99563671257485e-05,0.000346080228556501,2.67502865869721e-07,6.42720170877211e-06,2.46464073371569e-06,-0.000110791963542438,-1.14645025979138e-07,6.23192479431768e-05,-2.89497168980226e-08,5.10544687796641e-15,-1.04667035078601e-05,3.6663031199797e-06,3.17148156932338e-05,-9.40916255994292e-07,-2.10316475750762e-15,6.03010966337893e-07,-6.58631199664759e-06,-3.58957981816282e-15,-3.5931513375484e-07,-1.90501789332923e-06,-1.024108291019e-14,-5.28118693847495e-06,-0.00111118968534863,3.63169674225384e-15,-2.38890617341278e-15,6.6901237200855e-15,-0.0110835263665893,-1.97491998859459e-13,-0.000990342531039092,0.779621465859516,-0.27550612340565,-1.05014049875292e-14,-0.00017766530988973,1.44158101584766e-06,-4.98209689027214e-06,4.11433495612296e-14,-9.50320368209894e-15,-0.000229995378204903,-2.28154279213687e-07,7.57655095316135e-15,3.69989309410055e-15,-1.03284454169129e-13,-6.3327089687874e-15,-3.40935969694882e-15,5.67844251541638e-06,-4.04950677127922e-15,-7.17444126591113e-15,5.73149628173139e-07,-1.18393032781129e-15,-3.8735608361777e-15,9.77226418815307e-07,2.43711240995312e-15,-2.55107935515392e-07,-3.0356223080362e-15,-2.52384376793506e-05,2.02870801718439e-15,2.39881010687946e-14,5.27298293195448e-16,5.42024372473499e-06,8.80159974554294e-15,2.81303936068072e-15,-1.62517997055803e-15,4.1780155390272e-15,-4.68044861612929e-15,-3.5730374429298e-14
"t26",-0.0521492276562957,-0.00152537300049342,-0.00794146991609059,-0.0283322085984128,-0.000388647216869151,-0.00245872582304483,0.00528529511550891,-0.555486399605343,-0.0256052177351383,-0.0399670814260039,-0.0531678019130082,0.114941360354468,0.00400216246902427,-0.0313202544120123,-5.19455786638223e-05,-0.0586846783483554,8.01032578172608e-05,0.0818285540140027,-0.0133989600197238,-0.00046448991597375,0.018885828799093,0.00578173759877611,-0.0210837796350791,0.0319357006610388,0.000127958899730562,0.00280401988660083,-0.0993801867078883,-0.152892735911942,-0.00457574589680834,-0.00119544130845014,4.94612519167626e-06,0.00054112270142133,-0.00107876470240874,3.87712931167334e-05,0.00949327438486019,-7.80901812409217e-05,0.00147695694307166,0.00119570020263504,-0.0222580606483432,-0.019975173551833,0.0149764348718695,0.0374671923483466,0.00185400029202835,0.0622227746319835,-0.0684003788122983,-0.214600903997874,-0.0844686555160609,-0.00214528398964749,0.00122367853039663,0.583555475989669,-0.0229175455514309,-8.054772406968e-06,-0.00230332638899913,0.0319162624166185,-0.00107809673826741,0.000609891837411957,0.000859913317223761,-5.58914555888469e-16,0.000283027310656477,-0.00179512472902123,-1.36016485435847e-06,-2.72218681488343e-05,-9.10962251680786e-06,0.000383131842416443,3.87754248428423e-07,-0.000201702124070508,5.69697424255489e-08,-3.42635504445818e-15,1.97497333802919e-05,-5.3682208883911e-06,-4.2390053064056e-05,1.18134794875512e-06,2.39624646879539e-15,-7.31736508916465e-07,7.33681848167302e-06,2.03622586031726e-15,3.69470781066233e-07,1.93641913967515e-06,5.83871036851021e-15,4.61858135381609e-06,0.000917715461487741,-2.04468014135238e-15,1.20883229821401e-15,-4.08920160162661e-15,0.00717456736536826,1.1307962187638e-13,0.000572559617785212,-0.432705772708712,0.145802674799093,5.50900367956143e-15,8.84275169182627e-05,-7.05741020696145e-07,2.08559327770895e-06,-1.89514770460842e-14,5.96169162376528e-15,8.43315232334687e-05,8.17021870868421e-08,-3.16831132390965e-15,-1.7808929329883e-15,4.76900999189328e-14,2.92993971956591e-15,7.96186597259644e-16,-1.52541487076766e-06,2.2723405649237e-15,3.66827612041915e-15,-1.36565896892685e-07,1.62589073237386e-15,2.52178288812564e-15,-1.46491487766634e-07,-9.14042550803259e-16,2.68476573253441e-08,1.06893858565537e-15,1.91036147693232e-06,-9.5041644020806e-16,-6.82111172686757e-15,-6.08139320448856e-16,-1.95225087409304e-07,-4.99585863586029e-15,-8.42062918773856e-16,-2.0341831181471e-15,-5.75411440978988e-16,-1.43630944906745e-15,-1.7758685152933e-14
"t123",-0.112655252551399,-0.00957923358041373,0.0115666379739116,0.0142572120449558,-0.157745792186579,0.000597245321911462,-0.000479067615424712,0.0282104668670986,0.00115425316162532,0.00109057455020952,0.000857640401436438,0.00460319227075118,-0.000260796321432895,0.00213955448387554,2.35855494563434e-05,0.354859872864349,0.00046784734735273,0.200003164404946,-0.000362266196938798,-0.000128569780218768,0.217164111708142,-0.000398628172268652,-0.00118219973043258,0.00469635532923293,-3.41370407028352e-06,0.0116818201491294,-0.177111556239441,0.102505555095809,5.51998621460784e-05,-8.18396924274641e-05,5.45260709367327e-06,-0.00884894617859409,1.21743873088261e-05,0.02388916699501,-4.88923801754458e-05,-2.59111795651861e-05,1.11397329091537e-05,3.72010887956873e-05,-0.00145122982933633,-0.00331876626623801,0.0142849941707894,-0.00201298502945989,0.000129714482452849,0.0150656262608785,-0.00979861978966994,0.00980384707328315,0.00261331901277171,1.55828830295598e-05,-2.51759506038346e-06,0.000866066473754916,-7.5590420431836e-05,-3.28872732764803e-05,-2.1688156488393e-05,0.000334852223444915,-4.84462700228413e-06,1.96622921619968e-06,-4.41269536924252e-06,1.39394327928362e-15,-2.4026386671865e-06,3.35096996535258e-05,-0.00483692550894782,1.47938179335924e-06,1.15710142072504e-06,-8.43225941754204e-05,-0.00636060819332621,6.99709091915625e-05,1.15606624138075e-07,1.27110529401223e-14,0.427701069228367,4.35620330989871e-05,0.000175312163925423,-7.48249232573612e-08,1.35551581537734e-15,3.81991006022654e-08,-2.29530793445954e-07,-2.33900550371561e-15,-6.5604748899043e-09,-9.73806108437044e-07,-7.21216829631542e-16,-1.19189236051068e-09,7.70394527872365e-05,-6.59551253121554e-16,4.06285607055904e-16,4.29651900526631e-15,0.000899590092324518,2.76694758940444e-15,3.19466461028998e-06,-0.000563138027243212,-0.00172496941715206,-1.70559305620794e-15,7.81521856091641e-06,-2.62059486053103e-07,4.26211075004161e-08,3.44266211919623e-14,-1.10469227254667e-14,-0.117002394728331,2.15848707105755e-08,1.6740435380149e-14,1.70483661156835e-14,-1.57981616035158e-14,1.09754580160082e-14,4.88684071018192e-15,-1.1246178145841e-07,-6.94366129449761e-15,-4.37714777033638e-15,-9.72989175377366e-09,-1.69453285502983e-16,-6.94003185451106e-16,-1.08738352521955e-08,5.28297083976647e-16,2.18171245585573e-09,-5.90832603790807e-15,1.73258150349657e-07,-3.76253553128442e-15,-1.16288756479689e-14,1.89610734614022e-15,-2.39655419653313e-05,4.78080415163128e-15,2.97001945768188e-15,-2.77742949745741e-15,1.51752420654471e-14,4.30258385742665e-14,-0.707106781186574
"t124",-0.112655252551399,-0.00957923358041421,0.0115666379739113,0.0142572120449551,-0.157745792186579,0.000597245321911443,-0.000479067615424993,0.0282104668670987,0.00115425316162484,0.00109057455020984,0.000857640401436474,0.00460319227075097,-0.000260796321432872,0.00213955448387546,2.35855494561231e-05,0.354859872864348,0.000467847347352144,0.200003164404946,-0.000362266196940417,-0.00012856978021872,0.217164111708142,-0.000398628172269001,-0.00118219973043155,0.00469635532923187,-3.41370407099369e-06,0.011681820149129,-0.177111556239442,0.102505555095811,5.51998621458202e-05,-8.18396924293964e-05,5.45260709263813e-06,-0.00884894617859341,1.21743873096836e-05,0.023889166995009,-4.88923801753648e-05,-2.59111795647225e-05,1.1139732908486e-05,3.72010888020673e-05,-0.00145122982933511,-0.00331876626623927,0.0142849941707886,-0.00201298502945801,0.000129714482451723,0.015065626260879,-0.00979861978966739,0.00980384707328312,0.00261331901277121,1.55828830283414e-05,-2.5175950618982e-06,0.000866066473757969,-7.55904204241026e-05,-3.2887273275766e-05,-2.16881564832687e-05,0.000334852223443838,-4.84462700137958e-06,1.96622921725374e-06,-4.412695372272e-06,-6.52068919851485e-16,-2.40263866546473e-06,3.35096996507207e-05,-0.00483692550894836,1.47938179224963e-06,1.1571014195135e-06,-8.43225941734216e-05,-0.00636060819332722,6.99709091905873e-05,1.15606627530612e-07,1.1479857186161e-14,0.427701069228375,4.35620330941863e-05,0.000175312163923999,-7.48249154203041e-08,3.7421807055004e-15,3.81990947995671e-08,-2.295307927728e-07,6.43041086717708e-16,-6.56048064533055e-09,-9.73806107739545e-07,-3.75815879604974e-15,-1.19190088357811e-09,7.70394527868556e-05,3.28682636889335e-16,-4.32410168720167e-15,-9.34529483480293e-16,0.000899590092318499,4.41289613890912e-15,3.19466460628239e-06,-0.000563138027219977,-0.00172496941714895,-2.12853243865063e-15,7.81521855501088e-06,-2.62059487498187e-07,4.26211036347936e-08,2.88406455241494e-14,-8.50448636473954e-15,-0.117002394728336,2.15848684166904e-08,1.61694203778542e-14,1.03515139004916e-14,-1.73301904273352e-14,-1.08581736617241e-14,-1.86289558557788e-15,-1.12461769746887e-07,8.17388273152258e-15,2.45544666181102e-15,-9.72988932479533e-09,1.08689055362643e-16,-1.40282104520183e-15,-1.08738039396673e-08,-1.37439416296214e-16,2.18172425599267e-09,3.34683174101251e-15,1.73258147731859e-07,6.93863545662259e-15,1.73979166343838e-14,-8.3392710075319e-16,-2.3965541937094e-05,-3.49902604247837e-15,-2.67836023125505e-15,-1.4262688974191e-15,-1.16616481332785e-14,-4.87974120046377e-14,0.707106781186521
"t57",-0.112244501342576,-0.00952625903134438,0.0114487568886623,0.0140298789169028,-0.154713023361157,0.000583370305053232,-0.00046209816485356,0.0270194890316226,0.00110407829458854,0.00103810475276796,0.00081302504885152,0.00434156740235818,-0.000244081713598539,0.00198441286949917,2.17564801725195e-05,0.326488926941925,0.000428556406070109,0.181659332933049,-0.000322159950135029,-0.000111228382572398,0.185948941302875,-0.000336496168296462,-0.000985460045782502,0.00390159946330077,-2.83334753099956e-06,0.00960210826172857,-0.143773573581166,0.0827949010363133,4.32346674205497e-05,-6.20123716009911e-05,3.85210422528612e-06,-0.00560688822518055,6.93609164874053e-06,0.0132463077980734,-2.69041926854504e-05,-1.40016426439451e-05,5.8081893281326e-06,1.69277795238443e-05,-0.000590256318342419,-0.00129978181853623,0.00555117293829826,-0.000774249570166589,4.69623604984565e-05,0.00506613286133248,-0.00305895045979757,0.00249484181860859,0.000624875013650697,2.86775630403512e-06,-4.01349763946469e-07,0.000118452329268971,-9.25156200170087e-06,-1.94814487777556e-06,-9.90976805953806e-07,7.19732006332959e-06,1.21475895266301e-06,-5.2010180649119e-07,1.46756475273926e-06,-1.764863913958e-15,8.48044519440993e-07,-1.32394127724009e-05,0.00196062604445834,-7.611433101341e-07,-7.14966051344257e-07,5.71065418932641e-05,0.00444308480429616,-5.20029287547268e-05,-1.88982747355342e-07,-2.00261144317829e-14,-0.755858770688776,-0.000132757822258999,-0.000682255251365871,3.53143557321852e-07,-3.25159528540931e-15,-2.02604546830553e-07,1.72033932560199e-06,-8.44311189875227e-16,7.6198917342278e-08,1.22337617794114e-05,6.06517312994932e-15,7.9883160346989e-07,0.00305689672206605,-3.18871510646205e-15,5.04463037154391e-15,-2.4698140011935e-15,0.00732246944585973,4.63971752891144e-15,1.9898958783341e-05,-0.0032527668599052,-0.00921676735642096,1.61847732017657e-15,3.825973755337e-05,-1.25569050302969e-06,1.72435505380477e-07,1.03993721602519e-13,-3.66011233060668e-14,-0.425007776907089,7.71088212629128e-08,5.63028573671303e-14,5.97298938116732e-14,-6.9201212368145e-14,-3.9271675146483e-15,6.06062405346622e-15,-3.42612817449769e-07,2.67250141226835e-15,-1.89826341135875e-14,-2.82340595197518e-08,2.54099014493622e-15,2.15133438531974e-15,-2.77270087538094e-08,-6.23703041474745e-16,5.24243447626147e-09,-2.97922757211635e-15,4.0104211482485e-07,-4.11543906867218e-15,5.35714704324785e-15,-3.6376614650908e-15,-5.28706629801659e-05,-6.98405854623867e-15,1.95770788092673e-15,-2.85632816565945e-15,2.27118898532869e-16,-1.97453844329203e-15,-2.11963170292349e-14
"t35",-0.1111623504771,-0.00938710171122666,0.0111413282067791,0.0134422587273623,-0.146913417990036,0.00054790667715801,-0.000419530958970479,0.0240629259739288,0.00097975931610181,0.000909019241042607,0.000703916134630039,0.00370643121373247,-0.000203949859786463,0.00161664807709579,1.74536243086879e-05,0.259988598357568,0.000337019776010249,0.139419424742069,-0.000232407834664107,-7.37980343901334e-05,0.119456045672248,-0.000206508454103115,-0.000580244505107833,0.00227147137159577,-1.64434736144927e-06,0.00539154570760138,-0.077286416170735,0.0437195847772148,2.03527499818816e-05,-2.54861853324947e-05,1.11613176725466e-06,-0.000621910013216533,-4.02967515683137e-07,-0.00133680672527552,3.0395714073871e-06,1.98378895835759e-06,-1.15187770743983e-06,-7.07186976239168e-06,0.000358132332397533,0.000874341158204288,-0.00381070816206416,0.000545629228645464,-3.82460110486572e-05,-0.00483307211151614,0.00337025425805801,-0.00387568511541816,-0.00106644642239744,-7.02575256930816e-06,1.17965587237323e-06,-0.000419279500122681,3.73147150178697e-05,1.75091100910971e-05,1.1713501155725e-05,-0.00018527563239575,3.20894604161081e-06,-1.30993614409308e-06,3.01478870699508e-06,1.56380902988054e-15,1.65223317301995e-06,-2.33242258835501e-05,0.0033757428558926,-1.05615509445169e-06,-8.36706296884623e-07,6.121983208816e-05,0.00462208570358024,-5.08971935051913e-05,-7.02819323084448e-08,-8.4059446543503e-15,-0.245722358557848,-6.0051152710334e-06,3.85434024700716e-05,-4.49709538542865e-08,-3.51517526338115e-15,3.37113556239558e-08,-4.58000789406736e-07,2.85939026593737e-15,-2.76120785387404e-08,-4.60553870623668e-06,-2.18064222359595e-15,-4.53171615559134e-07,-0.00196779398614155,4.7952890123272e-15,-1.21167498428611e-15,-2.33154268135277e-15,-0.00731168447766071,-1.36836618431858e-14,-2.35289914173453e-05,0.00407348788206305,0.0123165851518103,2.40047368285076e-15,-5.54293403025317e-05,1.85827525456743e-06,-3.09236638066509e-07,-2.2585897986331e-13,7.66561963151362e-14,0.887172738277124,-1.65235221054246e-07,-1.18408316625393e-13,-1.17041783310656e-13,1.38663337860056e-13,2.28571795817287e-16,-1.17829349702837e-14,9.92687493621017e-07,-3.43393660789556e-15,2.44753264286968e-14,9.20341460814397e-08,-2.0501171676922e-15,5.33756425700327e-16,1.374284395601e-07,1.69224724163703e-15,-3.4532462130438e-08,6.13710197838984e-15,-3.34947927466288e-06,9.67503286791338e-16,-1.16525585704652e-14,5.59888553705233e-16,0.000680338339052707,7.93086146033195e-15,-1.12211646329971e-15,2.99023358856727e-15,-7.70658726421416e-16,-2.45456881172465e-15,-1.87071235162845e-14
"t71",-0.110889396721443,-0.00935026990480792,0.0110501811699019,0.0132437292835969,-0.144085598620443,0.000533937455885417,-0.000398329805409933,0.0223995127876346,0.000908266608469376,0.00082860954006919,0.000631322317440834,0.00324883283549241,-0.000171433826602505,0.00127615136958778,1.31430563510582e-05,0.190833325867708,0.000235676935438559,0.0866963985038995,-8.15061534153194e-05,2.04552779997562e-05,-0.0773501843512885,0.000282818626451463,0.00135034000938853,-0.00604422194443284,4.54023133390316e-06,-0.0217707370402424,0.518413641007719,-0.36559426715877,-0.00238060587092512,-0.000604852000933717,1.70180311727326e-05,-0.0188888122543949,2.18731055283556e-05,0.0415705015164798,-8.43666773031139e-05,-4.38649080338838e-05,1.82216811972046e-05,5.49112359656554e-05,-0.00201084870633035,-0.0045149147001128,0.0193630438418327,-0.00271573028624946,0.00017048417889532,0.0192422599875462,-0.0121970032375597,0.011509941881583,0.00302254028868865,1.71105110186563e-05,-2.7028660029052e-06,0.000911029928654043,-7.85028472376752e-05,-3.23206230505974e-05,-2.10676498523844e-05,0.000318616025632382,-3.67227823922086e-06,1.47337593105369e-06,-3.12282964076737e-06,7.26822387248522e-16,-1.67121844942388e-06,2.24856546488204e-05,-0.00321721283974021,8.9437604788363e-07,6.36676940317913e-07,-4.38650975148253e-05,-0.00324147931083615,3.41249640606069e-05,1.25394945390708e-08,2.51550845968003e-15,0.0249759209190313,-1.6692017044839e-05,-0.000113879323132275,6.73842160015686e-08,1.3635716716494e-15,-4.10066366958681e-08,3.909207245709e-07,-2.04278454127921e-15,1.86825106375776e-08,3.02612214727189e-06,3.10884716064177e-15,2.1313358158788e-07,0.000825293189927503,1.90443634429652e-15,3.52743227206329e-16,-9.89312388213819e-15,0.00189541123631136,7.47296810232191e-15,4.78832511773766e-06,-0.000754855027923697,-0.00203459814725949,8.68033554978787e-15,7.80741212606272e-06,-2.50088920536545e-07,2.48716010874525e-08,0.707106781186556,1.16805794071321e-11,-0.0363752597402731,5.70135693679804e-09,-4.6731460442606e-15,3.47487672646493e-14,-2.88004061430883e-14,1.9444699298049e-14,-3.89595782544842e-15,3.32935663126845e-08,-3.07352694245535e-15,5.00241356869253e-17,5.22549121056432e-09,-2.39155454891103e-15,-7.8899809878994e-15,1.71987857457882e-08,-3.81115189439954e-15,-5.53301871816313e-09,-4.73691394678053e-15,-6.1516972014666e-07,-2.95033716570775e-15,6.41147422649838e-15,-2.85338240852587e-15,0.000146571323005548,-1.54036927252307e-14,9.981154598903e-16,1.1096133671896e-15,1.89846417587274e-15,-3.5144071294168e-15,-2.02957152884673e-14
"t72",-0.110889396721443,-0.00935026990480792,0.0110501811699019,0.0132437292835969,-0.144085598620443,0.000533937455886137,-0.000398329805409849,0.0223995127876348,0.00090826660846916,0.000828609540068726,0.000631322317440966,0.00324883283549283,-0.000171433826602007,0.00127615136958753,1.31430563512609e-05,0.190833325867708,0.000235676935438521,0.0866963985038997,-8.15061534141003e-05,2.04552780000721e-05,-0.0773501843512887,0.000282818626452111,0.00135034000938821,-0.00604422194443281,4.54023133387796e-06,-0.0217707370402425,0.518413641007718,-0.36559426715877,-0.00238060587092576,-0.000604852000934929,1.70180311714911e-05,-0.0188888122543944,2.18731055297096e-05,0.0415705015164796,-8.43666773015621e-05,-4.38649080339924e-05,1.82216811979691e-05,5.49112359671484e-05,-0.00201084870632937,-0.00451491470011213,0.0193630438418315,-0.00271573028624973,0.000170484178899142,0.0192422599875417,-0.0121970032375586,0.0115099418815797,0.00302254028868561,1.71105110168143e-05,-2.70286600248911e-06,0.000911029928661877,-7.85028472397586e-05,-3.23206230520861e-05,-2.10676498503437e-05,0.000318616025632086,-3.67227823903622e-06,1.47337593516737e-06,-3.12282964125222e-06,2.37273001837262e-17,-1.67121844966826e-06,2.24856546476191e-05,-0.00321721283973704,8.94376047424457e-07,6.36676937425303e-07,-4.38650975093284e-05,-0.00324147931083925,3.41249640628434e-05,1.25394988380328e-08,-1.53893436388431e-15,0.0249759209190381,-1.66920170450883e-05,-0.000113879323142837,6.73842122052686e-08,-5.90767876652663e-16,-4.10066315296312e-08,3.90920741641108e-07,1.23397309110978e-15,1.86825122046292e-08,3.02612214073057e-06,-2.6927480176815e-15,2.13133591236107e-07,0.000825293189924523,-1.40956781405797e-15,-7.81656844699317e-16,9.76350432092074e-15,0.00189541123631389,-5.09913251164908e-15,4.78832515229782e-06,-0.000754855027849992,-0.00203459814726092,-9.13137068817608e-15,7.80741213738215e-06,-2.50088918533679e-07,2.48714307580285e-08,-0.707106781186539,-1.16867744239391e-11,-0.0363752597406313,5.70128851503263e-09,1.50854971899981e-14,-2.60418676278569e-14,2.0292679148169e-14,-2.15387481655675e-14,4.04109115490155e-15,3.32935819373062e-08,4.30875426031402e-15,-2.83472952887486e-15,5.22552617822256e-09,3.22392363348738e-15,8.1821697943748e-15,1.71987827511474e-08,3.74016410386159e-15,-5.53302608687328e-09,3.98168127585984e-15,-6.15169727131299e-07,2.70536628499113e-15,-4.76958463356868e-15,1.34281771441881e-15,0.000146571323007223,1.34057053095311e-14,2.01104901968265e-16,-4.30693909468539e-15,-3.58718893128606e-16,-2.16580060504404e-15,-2.59092804567283e-14
