"","t1","t2","t3","t4"
"t1",0,1.6708047157,3.8261979638,5.0530191742
"t2",1.6708047157,0,3.8449511351,5.0717723455
"t3",3.8261979638,3.8449511351,0,2.9520103296
"t4",5.0530191742,5.0717723455,2.9520103296,0
