,models,stat,p value,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-33.783175139156675,6.881528658080179e-202,5.36759235330254e-200
1,corHMM_logit_umap_supervised,-27.803430023436377,4.75542625423591e-146,3.6616782157616506e-144
2,corHMM_logit_umap,-27.78971812535893,6.307212725450168e-146,4.7934816713421277e-144
3,corHMM_logit_eigenvecs,-27.77545875516972,8.459638305315741e-146,6.344728728986805e-144
4,corHMM_logit_autoenc_supervised,-27.4863948282731,3.202659304044425e-143,2.3699678849928747e-141
5,corHMM_logit_autoencoded,-27.42796977005726,1.0592927604593758e-142,7.732837151353443e-141
6,corHMM_xgb_umap,-24.582351513692803,4.251822858733007e-118,3.0613124582877653e-116
7,xgb_umap_supervised_xgb_autoenc_supervised,24.366532455544842,2.719180881960367e-116,1.9306184261918606e-114
8,picante_xgb_umap_supervised,-24.335628687210175,4.9235877300338087e-116,3.446511411023666e-114
9,xgb_eigenvecs_xgb_umap_supervised,-22.983814094604085,6.0597993911235694e-105,4.1812615798752627e-103
10,xgb_umap_supervised_xgb_autoencoded,22.8244156392849,1.1615673345420138e-103,7.898657874885695e-102
11,xgb_umap_xgb_umap_supervised,-21.734208546008084,4.870855825400972e-95,3.2634734030186513e-93
12,corHMM_phylnn_fill_means,-20.719438087707548,2.938788948954083e-87,1.9396007063096948e-85
13,corHMM_xgb_eigenvecs,-20.7120109410343,3.343544614107774e-87,2.173303999170053e-85
14,corHMM_xgb_autoencoded,-20.50296815381754,1.247174770806345e-85,7.981918533160608e-84
15,corHMM_xgb_autoenc_supervised,-20.298888106976097,4.168181404391355e-84,2.6259542847665537e-82
16,corHMM_picante,-17.10635232404738,1.0911546454098937e-61,6.765158801541341e-60
17,phylnn_fill_means_xgb_umap_supervised,-16.552113742228247,4.355161875208702e-58,2.656648743877308e-56
18,picante_logit_umap_supervised,-15.817473573813409,1.8637133408985112e-53,1.1182280045391067e-51
19,logit_eigenvecs_xgb_umap_supervised,-14.88037917794376,8.626396869756595e-48,5.089574153156391e-46
20,logit_umap_xgb_umap_supervised,-14.747173564694922,5.230775369660762e-47,3.033849714403242e-45
21,logit_umap_supervised_xgb_autoenc_supervised,14.532905041438907,9.239364775788365e-46,5.266437922199368e-44
22,logit_autoencoded_xgb_umap_supervised,-14.174644317242178,1.0409258431006153e-43,5.829184721363445e-42
23,logit_autoenc_supervised_xgb_umap_supervised,-13.918069613827791,2.890113824435869e-42,1.5895626034397281e-40
24,picante_logit_umap,-13.466396493070233,8.887542454429232e-40,4.799272925391785e-38
25,picante_logit_autoenc_supervised,-13.202242735686008,2.354631867700928e-38,1.247954889881492e-36
26,logit_umap_supervised_xgb_eigenvecs,13.057892392036607,1.3790675245281711e-37,7.17115112754649e-36
27,picante_logit_autoencoded,-12.991771341238824,3.0820532333141836e-37,1.5718471489902337e-35
28,logit_umap_supervised_xgb_autoencoded,12.855813670068665,1.5931513101476707e-36,7.965756550738353e-35
29,picante_logit_eigenvecs,-12.833714705303636,2.077861431801204e-36,1.01815210158259e-34
30,logit_umap_supervised_xgb_umap_supervised,-12.457348860770017,1.8043619393119857e-34,8.660937308697531e-33
32,logit_umap_xgb_autoenc_supervised,11.827438499745288,2.4550391704048918e-31,1.1293180183862502e-29
31,logit_autoencoded_xgb_autoenc_supervised,11.82845497204098,2.4272512925080753e-31,1.1408081074787954e-29
33,logit_autoenc_supervised_xgb_autoenc_supervised,11.712037757921715,8.89040764591428e-31,4.0006834406614257e-29
34,logit_umap_supervised_xgb_umap,10.497947440770997,3.4418599599779167e-25,1.5144183823902834e-23
35,logit_umap_xgb_eigenvecs,10.47221539374921,4.460509129922296e-25,1.9180189258665872e-23
36,logit_eigenvecs_xgb_autoenc_supervised,10.201977947510521,6.5609893595899906e-24,2.755615531027796e-22
37,logit_autoencoded_xgb_autoencoded,10.006839535562161,4.396971868547444e-23,1.802758466104452e-21
38,logit_umap_xgb_autoencoded,9.99385694028379,4.9844144759329356e-23,1.993765790373174e-21
39,logit_autoencoded_xgb_eigenvecs,9.848872755588458,2.0021942788648358e-22,7.80855768757286e-21
40,logit_autoenc_supervised_xgb_eigenvecs,9.693092652523562,8.740717890024143e-22,3.321472798209174e-20
41,logit_eigenvecs_xgb_eigenvecs,9.677207980778759,1.0146040095010089e-21,3.754034835153733e-20
42,picante_xgb_umap,-9.585939175775573,2.379464265701823e-21,8.566071356526562e-20
43,logit_autoenc_supervised_xgb_autoencoded,9.476722940905331,6.535938720897001e-21,2.28757855231395e-19
44,picante_phylnn_fill_means,-7.873888813315834,5.352654424145617e-15,1.8199025042095098e-13
