"accepted_species","I1.1/1"
"t97","1"
"t98","0"
"t73","0"
"t5","0"
"t6","1"
"t48","0"
"t49","0"
"t14","0"
"t91","0"
"t92","0"
"t38","0"
"t25","0"
"t70","1"
"t71","0"
"t46","0"
"t47","0"
"t61","0"
"t62","0"
"t64","0"
"t65","0"
"t83","0"
"t84",NA
"t69","0"
"t74","0"
"t75","0"
"t13","0"
"t8","0"
"t87","0"
"t88","0"
"t1","1"
"t66","1"
"t67","1"
"t63","1"
"t10","1"
"t12","0"
"t16","1"
"t29",NA
"t35","0"
"t36",NA
"t50","0"
"t51",NA
"t81","0"
"t82","0"
"t41","0"
"t42","0"
"t11","0"
"t31","0"
"t32","0"
"t39","0"
"t40","1"
"t76","1"
"t77","1"
"t57","1"
"t58","1"
"t3",NA
"t59","0"
"t60","0"
"t79","0"
"t80","0"
"t20","0"
"t21","0"
"t22","0"
"t43","0"
"t52",NA
"t19","0"
"t53","0"
"t93","0"
"t94","0"
"t26","1"
"t27","1"
"t9","1"
"t34","0"
"t24","0"
"t72","0"
"t78","0"
"t89","0"
"t90","0"
"t30","0"
"t2",NA
"t17","0"
"t18","0"
"t15",NA
"t37","0"
"t85","0"
"t86","0"
"t44","0"
"t45","0"
"t95","0"
"t96","1"
"t56","0"
"t23",NA
"t4","0"
"t7","0"
"t33","0"
"t54","0"
"t55","0"
"t28","0"
"t99","0"
"t100","0"
"t68",NA
