"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118","c119","c120","c121","c122","c123","c124","c125","c126","c127","c128","c129","c130","c131","c132","c133","c134","c135","c136"
"t1",-0.00574571581175217,0.0056894138024749,0.0304563946054242,0.0119783353244728,0.0263471736372187,0.000499824720147271,-0.00817839416357117,0.00106850704009986,0.0281302476121331,-0.031776766336517,-0.00411482459330857,-0.0636955816225059,-0.0177604535399398,0.0370124695954412,-0.000434398582850583,-0.000443753694773993,0.000329107555628578,-0.0051822751009757,-0.00755644270309943,0.0439091762467468,0.0645957891098609,-0.052033759313785,-0.166562355497295,-0.0291815338536376,0.0366734962642614,-0.0172225425925932,4.0529775750963e-05,0.00516091940551223,3.72517035353739e-05,0.00229514933558234,0.0334980622272916,0.0119427305114844,0.0875791877957292,-0.12112860948658,0.0706537878795259,0.000111344962108275,0.00418715467758018,-0.000997261483027237,1.10244529080004e-05,-0.0026579182897367,-0.00136131226298042,-0.00113889044683778,-0.000235121450426686,-0.00286211519440569,0.104911293465882,-6.56358801427012e-15,-0.0391491532376011,0.000150984602006295,-0.138620790320212,0.0257026809353393,0.524892366852475,-0.00113106405686229,0.000175638928644701,0.0163869616709008,-0.100417239818366,0.123948700742981,0.694968950124755,-0.0206383937250612,0.00363105201360026,-0.285811418311029,0.0345342839803156,-0.0624131018935587,0.066497303277585,0.00156278073954107,-0.00416311376992717,-0.000150043735108353,0.045009899045462,-0.0340669414992066,0.0105462422085596,0.00715952011355861,-0.00116266474424299,2.79031536332993e-16,-1.97172077307012e-16,-0.000241202940598716,0.0014899630014768,0.00710494087102531,0.00160252777838748,0.000249002649380706,-1.69191299434117e-15,-0.00160698247082573,-0.00740522525709363,-0.000428210274044548,0.0450172199347002,0.000280617647224543,6.98190337152323e-16,-3.98277874383298e-18,0.01691343570403,0.00051044975789889,0.00697615033731701,-2.727604349244e-15,2.08558722184279e-06,-0.000263977624033047,0.0166077570427774,-0.000362593002685437,9.56722732255389e-16,-1.13938411586387e-05,3.49271158496026e-15,0.032445044485692,-0.00284533288332031,5.60531559844944e-05,1.13596527947723e-05,6.74970376756584e-05,0.000202446580860865,1.99910323666098e-16,1.10812901765987e-16,4.01212371180734e-17,-2.44381648767951e-06,1.66981474806279e-06,4.88921873100379e-17,-4.38537151746487e-05,-1.38508671358914e-05,2.47879057928592e-16,-1.33411541267137e-16,5.99437151477493e-06,-9.78756234281342e-06,-5.84286507664453e-05,-3.52853173323232e-18,1.70466004600179e-16,-5.89484507898283e-16,1.09829613865837e-16,-6.34268743959485e-17,-9.72636773885804e-16,-3.32449599619423e-16,1.40130804618159e-15,2.80527828038547e-16,-1.43261452986003e-16,-4.27681436777652e-16,9.15925765101377e-16,3.39335552338073e-16,-1.22497304684891e-15,-1.01984152113455e-06,1.74159117139774e-05,3.28282804631179e-15,1.05034699393421e-15,1.07299460439263e-14,1.23989311664481e-14
"t110",-0.102514339835668,-0.131942924359953,-0.0256615680286779,-0.00631512804291912,-0.0184700960922221,8.30502255711888e-05,0.00127828043418229,0.00274018254689242,0.16460345727866,0.258449227068454,-0.00363269517951628,-0.0115352172749017,0.051273474110924,0.0117704139244313,4.00553233306641e-05,8.46456771510899e-07,-6.6519047110398e-06,0.035090822425527,-0.00015332648974405,-0.000647096742787762,-0.0012275375694899,0.000886512703997713,0.00246369511101968,0.000436507437505548,-0.000539127960665992,0.000239287197206124,-3.12231068425373e-07,0.000381745474790316,4.48673739713509e-06,0.450028053936095,-0.0133357540545877,-0.000901163626639933,-0.00655383554506404,0.00920315897272303,-0.0066025061213941,5.6540567858356e-06,-0.000227927414041184,7.1351213555016e-05,-1.59890736168722e-07,0.0288370817242676,-8.59034900708107e-06,0.0169521692861051,-1.78029046377701e-06,-6.09475448600391e-05,-0.000139434729257363,-1.09667671682088e-15,6.36214887116256e-05,-3.85952464130269e-07,0.000652060834914404,-0.00159261001090122,-0.00214418854975439,7.1405256489472e-06,-1.56229259685182e-06,-0.000359713367359214,-0.00336747751185927,-5.71467248735059e-05,0.000222073539139445,-3.47273266937832e-06,-2.42989983013994e-05,7.64210464956755e-05,-1.18777036880197e-05,3.02257160777648e-05,0.000248852897540289,0.00144284408527126,-2.44588095898424e-05,-2.12904995366153e-08,0.000374962588311073,-2.39911799112674e-05,1.68048993949175e-05,0.000141697140882192,-0.000862996592500652,9.11699650228209e-19,8.11067119787414e-17,-1.15059752422955e-06,8.98576006234052e-06,4.68492520534574e-05,0.00013060745211644,5.34350075081347e-06,-1.37116539225879e-15,-4.05013189882227e-05,-0.00111929217820053,-2.57224223125552e-05,0.0173550024693,-5.13196709920891e-05,9.7877814376497e-16,-4.90585248299869e-16,-0.00110568220055724,-0.0196616259063308,-2.14711193419984e-05,3.20701362556725e-16,-3.34463644450944e-08,0.000247447551803685,-0.000201947283515868,6.3532705838875e-07,2.05668698659851e-14,3.630187393498e-05,-1.43326567298478e-15,-4.71799421204316e-05,3.5496611836233e-06,-6.38588638005502e-08,-1.09387664810342e-05,-6.09287004002562e-08,-1.19409911475914e-07,-1.92703459026157e-15,-2.84697972359904e-14,2.13233580569128e-14,-0.401225862670926,-3.15601084998879e-09,5.6393841390885e-14,2.38353278599388e-08,2.89386252065258e-08,2.83774945095365e-15,-1.53890684542494e-14,0.000250439160567932,-2.53262752465259e-05,-0.000156597717820782,-8.10469195270124e-15,2.50475917589246e-15,1.86000366154479e-14,1.91133366391907e-14,-1.37093388071454e-13,-0.707106781186557,-1.94734506739675e-13,1.01359877294977e-13,-6.7284129009175e-14,-2.79988489444831e-14,-1.7128801695292e-14,2.91522536187738e-14,4.78959139572554e-15,9.34703135204687e-15,-5.66853982448781e-09,2.87615593385138e-08,-1.09728941856167e-14,4.3103610558348e-15,1.09494981954719e-14,1.50410603458779e-14
"t111",-0.102514339835668,-0.131942924359953,-0.0256615680286782,-0.00631512804291936,-0.018470096092222,8.30502255717106e-05,0.00127828043418227,0.00274018254689253,0.164603457278659,0.258449227068455,-0.00363269517951645,-0.0115352172749016,0.0512734741109242,0.0117704139244316,4.00553233304514e-05,8.46456771364952e-07,-6.6519047108132e-06,0.0350908224255246,-0.000153326489743861,-0.000647096742788859,-0.00122753756949102,0.000886512703997796,0.00246369511101925,0.000436507437505432,-0.000539127960665003,0.000239287197205979,-3.12231068552925e-07,0.000381745474790884,4.48673739763161e-06,0.450028053936094,-0.0133357540545882,-0.000901163626640485,-0.0065538355450648,0.00920315897272268,-0.00660250612139596,5.65405678478488e-06,-0.000227927414041312,7.13512135545357e-05,-1.59890734311508e-07,0.0288370817242674,-8.59034900870282e-06,0.0169521692861079,-1.78029046305355e-06,-6.0947544860593e-05,-0.000139434729256905,1.13826206908796e-16,6.36214887115924e-05,-3.85952461221011e-07,0.000652060834915217,-0.00159261001089808,-0.00214418854975428,7.14052564721721e-06,-1.56229259717774e-06,-0.000359713367361431,-0.00336747751185819,-5.71467248754865e-05,0.000222073539140932,-3.47273267144209e-06,-2.42989983005498e-05,7.64210464953546e-05,-1.18777036866069e-05,3.02257160765733e-05,0.000248852897538562,0.00144284408527051,-2.44588095899757e-05,-2.12905053373981e-08,0.000374962588307969,-2.39911799096803e-05,1.68048993935813e-05,0.000141697140882181,-0.000862996592503181,2.78934973069419e-15,-1.16137513467548e-15,-1.15059753024227e-06,8.98576006156532e-06,4.68492520537757e-05,0.000130607452121603,5.34350074955556e-06,3.96271710981524e-16,-4.0501318992362e-05,-0.00111929217819857,-2.57224223135578e-05,0.0173550024692964,-5.13196709968592e-05,8.30533263643658e-17,2.51709277373031e-15,-0.00110568220055592,-0.0196616259063424,-2.14711193431012e-05,6.75740744006448e-15,-3.34463645180063e-08,0.000247447551820105,-0.000201947283515246,6.35327053183435e-07,-2.50043426580073e-14,3.63018739409151e-05,3.19966846144153e-15,-4.71799421094838e-05,3.54966119051166e-06,-6.38588560266243e-08,-1.09387664738639e-05,-6.09286962892169e-08,-1.19409918488181e-07,-7.10574005676303e-16,-3.0775439646091e-14,1.48654330193136e-14,-0.401225862670958,-3.1560076958625e-09,5.41532485937962e-14,2.38353464873463e-08,2.89386306513609e-08,-2.91515302835603e-15,-8.9554502556788e-15,0.000250439160600188,-2.53262752496423e-05,-0.00015659771781971,-7.91725630123949e-15,4.84700096102361e-15,-2.32289487994217e-14,-1.63777249351164e-14,1.39562959420013e-13,0.707106781186538,1.94911480445593e-13,-6.81461395360452e-14,6.57282209159573e-14,3.83474634794254e-14,1.61658907566994e-14,-3.31194743942434e-14,-8.88468273258841e-15,-2.22214721265666e-14,-5.66859938174844e-09,2.8761539164364e-08,1.57110826213046e-14,-1.10553650791233e-15,1.15533957141215e-14,7.92899374247337e-15
"t97",-0.102388918305706,-0.131704400992883,-0.0255897486171733,-0.00628879198183957,-0.0183719684796484,8.25901799273179e-05,0.00127099847493109,0.00271907483906771,0.163316782593918,0.25627460847955,-0.00359912652180748,-0.011418815239206,0.0505596319469148,0.0116030003856727,3.94749423397869e-05,8.32332148797854e-07,-6.53255970972864e-06,0.0344103854080924,-0.000150252223321401,-0.000632313829195662,-0.00119877369665607,0.000864675609093957,0.00240094857959154,0.000425174093809679,-0.00052452217148258,0.000232551889527277,-3.02488150805354e-07,0.000368549081875947,4.32540311483432e-06,0.433443048183706,-0.0128341220803243,-0.000864348815026679,-0.0062765261482662,0.00880969544741214,-0.00630580274347538,5.35798799742782e-06,-0.000215586551258434,6.71434237186639e-05,-1.4999266697982e-07,0.0270399681754425,-8.04251696416686e-06,0.0158549266170992,-1.6641885789182e-06,-5.68934655082899e-05,-0.000128922275179104,1.26442490198932e-16,5.87506568262509e-05,-3.54810759880542e-07,0.000597012265232367,-0.00145553672660166,-0.00195675013180081,6.49661324423259e-06,-1.41930778952806e-06,-0.000326186310039112,-0.00304766974237094,-5.15054114599055e-05,0.000198916560027412,-3.10686396405959e-06,-2.15845763905796e-05,6.7847077585898e-05,-1.0489944108417e-05,2.65753928807702e-05,0.000218617205841527,0.00126491300656274,-2.1264710599202e-05,-1.83724858135982e-08,0.000322113168682189,-2.03356333413914e-05,1.39689811722831e-05,0.00011651201726998,-0.00070605057070966,-1.85157797576913e-15,1.68164199970385e-15,-9.15778476796856e-07,7.080584302262e-06,3.67791794061234e-05,9.95359949514313e-05,4.03908738940504e-06,-3.62161529172241e-16,-3.05151654504006e-05,-0.000837902597200897,-1.91394968704321e-05,0.0128106359500314,-3.66934000452206e-05,-2.59426745502322e-16,-1.60505527926793e-15,-0.000686385192556968,-0.0120918851808737,-1.22152229040931e-05,-1.21771851789133e-14,-1.84082354677274e-08,0.000131663010147712,-9.48924573992982e-05,2.28807949486286e-07,9.08091331406381e-15,1.0818194498499e-05,-2.59825511482537e-15,-1.17490396225129e-05,5.317805790052e-07,-5.48316129710189e-09,1.46117955332267e-07,5.89675780915428e-09,5.82431075590226e-08,2.96822971191918e-15,6.08627190830125e-14,-3.7398276087043e-14,0.82336152338349,6.92247760969089e-09,-1.13796139440498e-13,-6.8266288296104e-08,-9.07714826302037e-08,-3.19575653505618e-16,2.4686217106857e-14,0.00431902978166824,-0.000323285859033709,-0.00190900749040624,1.66491478449822e-14,-7.17329582104719e-15,3.54879878424851e-15,-2.65175797437987e-15,-3.75811997357682e-15,1.81243908770057e-14,-9.54805982247403e-16,-3.18936993912842e-14,2.459569942413e-15,-9.45944867902802e-15,-1.43624021355627e-16,6.86548634333319e-15,5.65333832101636e-15,1.08574496184801e-14,-9.73736367457538e-09,4.54852981902062e-08,5.07324462749712e-15,-3.40038014059086e-16,9.50785046603441e-15,1.50260848894871e-14
"t74",-0.102817493024721,-0.132542631141273,-0.0258546186576533,-0.00639279373513855,-0.0187828256623788,8.45392090491461e-05,0.00130210380482604,0.00281948371017289,0.169475970916562,0.267036139139278,-0.00377322944448785,-0.0120531545225553,0.0555106090141766,0.0127881055632837,4.3659251723162e-05,9.51767828850107e-07,-7.64670216721595e-06,0.0415953625987895,-0.00018471435842941,-0.0008530974158661,-0.0016591114041016,0.00127245773224552,0.00372214913889075,0.00068296354209572,-0.000929187899428824,0.000465376722798405,-1.35693465588642e-06,-0.000859902892513217,-4.38826451234028e-06,-0.275864005835069,0.00544598412050345,-2.47325376358266e-05,-0.000820559281359246,0.00136955411134946,-0.00157830281567159,2.16124735597118e-06,-9.09243321294764e-05,3.05373439504036e-05,-7.00009979212825e-08,0.0126549597769673,-3.79609338440184e-06,0.00751754910002304,-7.90676147456768e-07,-2.71536891755408e-05,-6.18417576221773e-05,6.60807695030686e-16,2.81276454587469e-05,-1.68096541399982e-07,0.000278928528434579,-0.000675051057547194,-0.000901571724519868,2.94914295094514e-06,-6.39204920534788e-07,-0.000145361131823215,-0.00134221667198099,-2.20657081878661e-05,8.12655294091273e-05,-1.25645216085481e-06,-8.16664216108536e-06,2.55274196979578e-05,-3.72633485672661e-06,8.93603453695562e-06,7.27125740403547e-05,0.000409023624480944,-6.04126077900675e-06,-4.51934592845642e-09,7.1368140162636e-05,-2.90650857931831e-06,1.43226318208154e-07,-8.61192288430392e-06,8.16187643803373e-05,-2.1333248449395e-15,9.1592943265319e-17,3.47523205891951e-07,-3.48910010268897e-06,-1.97691643168558e-05,-9.52612467711817e-05,-4.42701517461943e-06,7.20401566747142e-16,3.52305402468485e-05,0.00106958597806723,2.6780089836511e-05,-0.0201656505422003,9.02640629145769e-05,4.86553876503577e-16,-5.05659195467899e-15,0.0275919946396148,0.882061315152889,-0.000230674174591272,6.27891120169742e-14,-2.58014772584792e-07,0.00152989239665202,-0.000808742738505794,1.77290954632017e-06,-2.83707970098267e-14,8.94754466921679e-05,5.75678086078593e-15,-0.000107503244217449,7.11510753519138e-06,-1.19484199770548e-07,-1.86270636530323e-05,-9.65757144878879e-08,-1.39651789802423e-07,8.95472371170009e-16,-3.47586803425556e-17,-3.50659182715049e-16,-0.0086705180531928,2.2900579734262e-10,2.55626793706443e-15,-1.22484591087457e-08,-2.00135819016976e-08,2.39086306478652e-15,-9.40091315960458e-16,0.0516480683095006,-0.000143335621229235,-0.000927306684822342,-1.10419216769551e-15,-1.72142925052717e-15,-2.85104011404442e-16,-9.97344694510235e-16,4.14196462535151e-15,5.23886489744996e-15,1.99871343677995e-15,-1.09339097371116e-14,1.03682690721232e-15,-8.90212881003033e-15,3.29499679899916e-15,1.91175322241908e-15,-1.77113800175959e-15,-4.80030664793046e-15,-1.04689799647929e-08,4.95886863135318e-08,3.57670620948389e-15,1.11979344234706e-15,9.41294517679622e-15,1.22150542889282e-14
"t102",-0.103296326383847,-0.13345799751939,-0.0261327543545603,-0.00649614927618691,-0.0191724750635099,8.6370384148252e-05,0.00133113805741527,0.00290558517106867,0.174731703273739,0.275984330316072,-0.00391282947604565,-0.0125428103913865,0.0587010837586758,0.0135404960941532,4.62806737633131e-05,1.0185576407252e-06,-8.22858238627685e-06,0.0450503317943952,-0.000200651197444519,-0.000938607129942838,-0.0018303923689581,0.00141173027669317,0.00414588633429443,0.000762506912940618,-0.00104303006887958,0.000525071318418666,-1.55428139058463e-06,-0.00100199862040411,-5.15061778996492e-06,-0.325322174430226,0.00644847520743863,-2.98047537404462e-05,-0.000996908008358164,0.00166801334692345,-0.00194633172705564,2.78662239000711e-06,-0.000118557557230953,4.10972260028953e-05,-9.61180327172365e-08,0.0174268092223935,-5.28142211924648e-06,0.0105306330905602,-1.11150765774147e-06,-3.85366969065876e-05,-9.40482787126371e-05,2.62250097504877e-16,4.31925228273986e-05,-2.67463440276392e-07,0.000459128069169182,-0.00112855799849287,-0.00152699197308601,5.13395282415637e-06,-1.1282038189437e-06,-0.000261135377738292,-0.00245756030005388,-4.2144729250924e-05,0.000166100269802514,-2.60411501425164e-06,-1.84829774206e-05,5.81896974246347e-05,-9.13146274802615e-06,2.34185365133216e-05,0.000193081394795587,0.00112338799281925,-1.93021184372757e-05,-1.69978147162705e-08,0.000301425363995603,-1.96770163696341e-05,1.41951636228963e-05,0.000121742332222394,-0.000747473112581404,9.75910988268544e-16,1.6424066842634e-15,-1.04512532267822e-06,8.31919981003349e-06,4.3694425579345e-05,0.000130033601358467,5.42974437800539e-06,6.91814890939783e-16,-4.15036041048164e-05,-0.00116702499831718,-2.72808511675892e-05,0.01884874943273,-6.22997542111419e-05,-8.24341039948393e-16,2.74254456821372e-15,-0.00718527294159875,-0.217573911945951,3.69226761177442e-05,-1.0665827826067e-14,3.45363609117886e-08,-0.000170547750651165,4.38644644248672e-05,8.12434716862678e-09,-1.05916535562844e-14,2.19722166351303e-06,-4.49088460697642e-15,-3.8818475029687e-06,3.68011840464678e-07,-6.91332287951701e-09,-1.17770423903313e-06,-6.26751685336172e-09,-7.51667685937026e-09,-3.72209396145564e-15,-1.56424714137438e-15,6.95454900782082e-17,0.000584632527004865,-1.81322255998235e-11,-3.14313052098539e-15,1.64721846729186e-09,3.12793866560022e-09,-1.33335679940409e-14,1.7213487857891e-14,-0.83453429929664,-0.0014511137555767,-0.00731488425854846,2.65694287672526e-14,2.15135812828023e-14,3.4350030548588e-15,-3.26631588730554e-15,-1.25397359659315e-14,1.6681100944993e-14,-1.06632595672187e-14,-2.22590110325808e-14,-3.31112894012601e-16,-7.88225142496422e-16,-1.58172112616621e-14,1.79362642942053e-15,2.54472455056812e-15,-4.30020175805783e-15,-5.96734759585362e-09,2.83446700760831e-08,3.66976660582556e-15,1.10392292784007e-15,2.54798463274029e-15,1.05034488858814e-14
"t114",-0.103390256819876,-0.133637362053878,-0.0261871523569426,-0.00651631109101647,-0.0192483200345782,8.67266674303952e-05,0.00133678542700542,0.00292226861239214,0.175749858653436,0.277715823712672,-0.00393979973372897,-0.0126372565020979,0.0593119630833373,0.0136844726866895,4.67820490680465e-05,1.0312779079052e-06,-8.33913435435662e-06,0.0457049053269878,-0.000203666708537062,-0.000954699335426246,-0.00186258915191414,0.00143784901338025,0.0042252230620743,0.000777385485864376,-0.00106427728100608,0.0005361895345148,-1.59081738388671e-06,-0.00102813151853936,-5.29043725587089e-06,-0.334376958866486,0.00663173327029761,-3.07260100405978e-05,-0.0010288445598384,0.00172201634490366,-0.00201263158442256,2.89760670250347e-06,-0.000123443878749685,4.29461869510416e-05,-1.00663491843356e-07,0.0182566032100892,-5.53893864555368e-06,0.011051995030106,-1.16696586502697e-06,-4.04990408999034e-05,-9.9498603953122e-05,9.28366470268563e-17,4.57357191675344e-05,-2.84092703972969e-07,0.000489046723558458,-0.00120359036554056,-0.00163016953567162,5.49226167562064e-06,-1.20816799418634e-06,-0.000279998975807842,-0.00263859627774629,-4.53774363123321e-05,0.000179593520039284,-2.81795758708356e-06,-2.00970879390716e-05,6.32945838476982e-05,-9.96752790625402e-06,2.56389602522337e-05,0.000211505595637071,0.00123228241397349,-2.12902862220277e-05,-1.88409612375567e-08,0.000335099779424264,-2.20664418813093e-05,1.61193494610203e-05,0.000139198843816295,-0.000857357746554978,2.0522447109815e-17,-1.4308124485458e-15,-1.2194198423547e-06,9.76617233756708e-06,5.14102079215168e-05,0.000155738377447835,6.53453571851635e-06,-1.40699331259016e-15,-5.00436276009631e-05,-0.00141246285466805,-3.31347943470558e-05,0.0229993515747643,-7.74081715668851e-05,-9.99143358228338e-16,1.53655808611038e-15,-0.00962096522456591,-0.292685052936794,5.15577258694338e-05,-2.01121937845774e-14,4.89615235771934e-08,-0.000245444617776129,6.64802463801913e-05,1.35261622543553e-08,1.58260996391537e-14,3.86458468186504e-06,1.01726584486592e-15,-7.13649642946246e-06,7.42190160855081e-07,-1.48346034900917e-08,-2.79417572013084e-06,-1.62552597284655e-08,-3.21640507421789e-08,6.04468833083183e-15,-1.21224203517596e-16,1.39077811132562e-15,-0.00309681694840593,8.36337627974477e-11,-1.64714522266755e-15,-4.90278245991674e-09,-8.26942925580644e-09,6.02207278470967e-15,-1.20575372973769e-14,0.387810269437556,0.000580423982822707,0.00284233882619455,-1.19123127465316e-14,-1.37247606379333e-14,-2.02893894683653e-14,1.85500870964736e-14,-1.27976412568739e-14,7.47110706633691e-14,-1.31972612817717e-13,0.707106781186566,6.56185429427974e-14,4.48166237621971e-14,-1.70241188818577e-14,3.07522265608909e-14,1.17969651344581e-14,-5.62842442989254e-14,-3.55667071679581e-09,1.86210402945666e-08,2.56872735069225e-15,-9.04606319269772e-17,9.70618505932475e-15,1.66316737774021e-14
"t115",-0.103390256819876,-0.133637362053878,-0.0261871523569426,-0.00651631109101678,-0.019248320034578,8.67266674302844e-05,0.00133678542700533,0.00292226861239196,0.175749858653436,0.277715823712671,-0.00393979973372906,-0.0126372565020982,0.0593119630833371,0.0136844726866904,4.67820490685388e-05,1.03127790804082e-06,-8.33913435389367e-06,0.0457049053269872,-0.000203666708537299,-0.000954699335426708,-0.00186258915191395,0.00143784901338022,0.00422522306207487,0.000777385485864259,-0.00106427728100609,0.000536189534514568,-1.59081738457625e-06,-0.00102813151853958,-5.29043725604375e-06,-0.334376958866487,0.00663173327029806,-3.07260100412999e-05,-0.0010288445598381,0.00172201634490331,-0.00201263158442349,2.89760670235769e-06,-0.000123443878750034,4.29461869516174e-05,-1.00663493359051e-07,0.0182566032100878,-5.53893864420559e-06,0.0110519950301063,-1.16696586474211e-06,-4.04990408992515e-05,-9.94986039526794e-05,-1.52979280689187e-16,4.57357191671524e-05,-2.84092703279592e-07,0.000489046723558655,-0.0012035903655385,-0.00163016953567311,5.49226167302391e-06,-1.20816799342342e-06,-0.000279998975807908,-0.00263859627774651,-4.53774363117582e-05,0.000179593520039426,-2.81795758786191e-06,-2.00970879407532e-05,6.32945838462649e-05,-9.96752790613606e-06,2.56389602515152e-05,0.000211505595637849,0.00123228241397284,-2.12902862201217e-05,-1.88409588887263e-08,0.00033509977942461,-2.20664418801451e-05,1.61193494646592e-05,0.000139198843817235,-0.000857357746553858,1.35535507325788e-15,-1.22370951841075e-15,-1.21941984512781e-06,9.76617234154645e-06,5.14102079183938e-05,0.000155738377446323,6.53453571751975e-06,-1.56343626378551e-15,-5.00436275996568e-05,-0.00141246285466868,-3.31347943464611e-05,0.0229993515747639,-7.74081715698322e-05,1.86338656577879e-15,5.50383614946245e-16,-0.00962096522456194,-0.292685052936817,5.15577258725868e-05,-2.56823954636586e-14,4.89615249029667e-08,-0.000245444617771906,6.64802463821598e-05,1.3526158131995e-08,1.71628886857075e-14,3.86458467351447e-06,-1.45623987911972e-15,-7.13649641429057e-06,7.42190160940746e-07,-1.48345979991553e-08,-2.794175718673e-06,-1.62552670794896e-08,-3.21640517521801e-08,-3.12961237340763e-15,4.64238701319622e-16,-4.23990371937745e-16,-0.00309681694846227,8.36462195030848e-11,4.05945266459172e-15,-4.90278096766026e-09,-8.26943729889588e-09,5.34648056082077e-15,-5.05197202197607e-15,0.387810269437602,0.000580423982809251,0.00284233882620258,-1.30592984713225e-14,-5.03224709971132e-15,1.48804810779925e-14,-1.39239730645463e-14,2.10091151215831e-14,-9.82339209976146e-14,1.39373366713999e-13,-0.707106781186529,-6.4990102229527e-14,-3.78823612087395e-14,2.65860602701834e-14,-2.97459002628995e-14,-1.16469086415546e-14,5.79799067446527e-14,-3.55663243825397e-09,1.86210588626228e-08,2.1422937088209e-15,1.85930052159207e-15,1.88164336327484e-14,1.06657126416597e-14
"t72",-0.0997117633512762,-0.126605376633348,-0.0240949055302676,-0.00583898112802489,-0.0178372254386729,8.2341224092911e-05,0.00129957096133204,-0.00136742524065488,-0.0573144172526701,-0.0102584150382703,-6.60012642676984e-05,0.000502996887369472,-0.0824077229242811,-0.0308860024350716,-0.0580121401961262,-2.26723894382267e-06,3.50255136677138e-05,-0.546290225652396,0.00657221594298449,-0.00747953149419444,-0.0122034650269714,0.00724874530872137,0.0186075961032385,0.0031961493455082,-0.00382109311738984,0.00172452963202124,-3.79781986820976e-06,-0.00142564017362641,-3.73952526374521e-06,-0.0111370322118619,-0.00560650635876895,-0.00121120523700467,-0.0101600844962185,0.0147331681280998,-0.0119035043536775,1.28299202597005e-05,-0.000543067918385463,0.00019935218413204,-5.13711353731725e-07,0.0949421221708499,-3.12380169921955e-05,0.0668022188602713,-7.35705165873754e-06,-0.000294227359022116,0.000325096562437855,5.72860485647386e-17,-9.08152243409945e-05,4.94981445775005e-09,0.000434289380240518,-0.0131837913452303,-0.000687197881040632,5.03667462550315e-06,-1.2413830479941e-06,-0.000317422676937273,-0.00322526046836237,-6.19611825876587e-05,0.000272221940761801,-4.33925771822937e-06,-3.34653355796019e-05,0.000105967426953109,-1.7607010968132e-05,4.89125662111171e-05,0.000417556483465046,0.00825082211377184,-3.90817349426807e-05,-3.68595119327857e-08,0.000679876256278235,-5.10449841937071e-05,5.64388704394615e-05,0.00112805089327495,-0.522368393560143,2.10017893693877e-14,4.39810817083678e-15,-5.57697248451325e-08,3.53796991179009e-06,2.25077886888104e-05,0.000112096022151194,4.89043299252137e-06,7.13227626142359e-17,-3.78645179395979e-05,-0.00108565740312566,-2.56932404226327e-05,0.0179118429285485,-5.77520798946521e-05,-1.20410248191487e-15,-4.56098264536579e-16,-0.000711794814778516,-0.000581344030977339,-3.97976730076301e-05,-1.47350981735738e-15,-6.00514653148542e-08,0.0019348304556944,-0.000352034887193601,1.1479439594779e-06,2.93778546431904e-15,0.000248626981190791,-1.35732813972252e-15,-8.79583878766622e-05,6.75719831125232e-06,-1.22749848098075e-07,-2.12288765368817e-05,-1.18609756424141e-07,-2.22634970477728e-07,-2.76941867480585e-15,3.24140912269438e-16,-4.02006423023507e-15,-0.00108480924427659,8.44457544158894e-10,-3.4423543178197e-14,-4.15491949245518e-08,-7.02470280759397e-08,7.20995226686451e-15,1.65198193284565e-14,0.00513856735213471,-0.0642552189479547,-0.600399490208156,5.22910876534712e-14,1.98504209625237e-14,3.63108039116753e-15,-3.57660970143577e-15,4.29207076149518e-15,-2.23085439010617e-15,-2.38605664072915e-15,-1.61980848691648e-15,1.64011086371384e-15,4.50313986918917e-15,-3.99365231276584e-15,-1.40067265363402e-15,6.30243115659849e-16,1.12270702226486e-17,1.7301124100519e-09,1.76820474501608e-09,4.22997029808358e-16,8.5639944720521e-16,1.10043157955954e-14,1.4749893324262e-14
