,0,1,2,3,4,5,6,7,8,9,10,11,12
t1,5.9163136,8.357199,3.5276847,4.696992,6.494808,5.3165984,5.573489,6.01025,3.5861826,7.04581,6.6976137,3.1128788,5.2325726
t110,13.6045265,0.6544732,-0.6479904,9.10437,6.893417,6.791443,6.4144855,9.080121,7.2712874,-0.16869861,4.9766707,2.072006,2.8732805
t111,13.513312,0.60985935,-0.56223446,9.1842375,6.927416,6.888039,6.365227,9.140531,7.3825035,-0.09616805,4.9750094,2.0763986,2.9266496
t97,13.613454,0.6127478,-0.6152878,9.131486,6.846266,6.823488,6.3900647,9.09653,7.2774563,-0.13128799,5.041888,2.1164248,2.8959832
t74,13.45647,0.55132276,-0.6576329,9.073206,6.9557858,6.764314,6.3297954,9.180378,7.392793,-0.09548488,5.0688505,2.0495815,2.7667234
t102,13.460828,0.6031846,-0.7096755,8.940306,6.964367,6.6288404,6.414179,9.281248,7.3857927,-0.17691754,5.0758905,1.9271928,2.7375827
t114,13.39733,0.5981553,-0.7054536,9.081065,7.019418,6.7708883,6.3026443,9.17313,7.3949304,-0.15727475,5.033403,2.05899,2.7193696
t115,13.412388,0.5812062,-0.7146288,8.975842,7.0012326,6.665143,6.3719873,9.248379,7.4101048,-0.14885224,5.0721545,1.9615521,2.696762
t72,14.223254,0.8128069,-0.7972603,9.559126,6.5727334,7.1962566,6.2573867,8.629247,7.0232706,-0.121983916,4.967344,2.8050232,2.9062853
t73,14.139099,0.72268045,-0.7291799,9.523336,6.624022,7.1812353,6.3177104,8.674905,7.029242,-0.28002378,4.9515815,2.711874,3.0580375
t52,14.142542,0.757893,-0.77795786,9.569897,6.6694436,7.223112,6.2664175,8.660303,7.062937,-0.26661283,4.8849072,2.709608,3.0087519
t134,14.280634,0.9732705,-0.87013996,9.7296915,6.5985456,7.3242188,6.0895267,8.565032,6.9709086,-0.34173632,4.9932075,3.2337365,2.8808486
t135,14.301829,0.8970613,-0.89607394,9.755668,6.4951725,7.437196,6.1566043,8.478969,7.068067,-0.37616202,4.9024415,3.2453043,2.9821699
t126,14.326034,1.0325394,-0.88530964,9.761852,6.595013,7.3172717,6.1654167,8.521326,7.0098524,-0.30881402,5.048808,3.1980257,2.8426564
t127,14.314317,0.9708536,-0.9751538,9.8257,6.514957,7.458323,6.0385137,8.482301,7.0695477,-0.3013445,4.8992357,3.2731345,2.903661
t75,14.2394905,0.9773493,-0.85419476,9.6987,6.5330544,7.380399,6.109104,8.527853,7.0852437,-0.30149385,4.973681,3.2735503,2.8988326
t76,14.377001,1.0213295,-0.9312017,9.840992,6.4940186,7.4233127,6.118608,8.492544,7.0959454,-0.20479856,5.0600567,3.2985084,2.7619274
t39,14.278782,0.6801829,-0.91687006,9.741651,6.510928,7.370535,6.365559,8.53224,6.8728957,-0.33798808,4.8787985,2.7174711,3.1382778
t80,14.306069,0.69603103,-0.9964948,9.809882,6.468552,7.436875,6.340244,8.494077,6.913211,-0.34107542,4.841854,2.7791746,3.092549
t118,14.395824,0.7327907,-1.0039054,9.885788,6.4719534,7.5256815,6.3703284,8.39819,6.8734083,-0.418289,4.800643,2.817987,3.1499815
t119,14.33488,0.6161348,-1.0785167,9.903439,6.399892,7.5140405,6.3997993,8.462643,6.835405,-0.41468456,4.755805,2.7594976,3.1686323
t103,14.272104,0.69349825,-1.0573522,9.812682,6.42829,7.422849,6.2973204,8.527835,6.94509,-0.28645578,4.853531,2.7903118,3.0177174
t18,14.182075,0.69549453,-0.8520784,9.650672,6.5585027,7.2923336,6.2872543,8.613103,6.9616218,-0.3225534,4.9193506,2.7669723,3.1061788
t29,13.996513,0.5680606,-0.68175596,9.403411,6.7696657,7.0688453,6.3032904,8.745033,6.912516,-0.0128495265,4.9697104,2.2178323,3.1135204
t68,13.923131,0.595579,-0.62688845,9.272385,6.7319903,6.9811068,6.387834,8.880307,7.0036807,-0.16620226,4.988717,2.2727811,3.0635834
t69,13.968715,0.5851661,-0.65873504,9.314165,6.6837435,7.0176167,6.4224358,8.833151,7.0279255,-0.19961725,4.9609413,2.3075433,3.0924218
t13,5.871211,8.015057,3.5653608,4.6595016,6.5604334,5.4498253,5.664193,6.1464396,3.7288644,7.157735,6.7342863,3.1394308,5.166715
t37,14.006329,0.6477623,-0.41153562,9.211314,6.628285,6.811369,6.40958,8.93668,6.6911345,-0.062102962,5.1023145,2.3140953,3.0544167
t81,14.063958,0.602879,-0.4150569,9.255863,6.6557145,6.8838124,6.488699,8.860934,6.7370663,-0.026285337,5.1229353,2.4428453,3.1202042
t91,14.0077305,0.64358574,-0.40707228,9.215996,6.618371,6.797166,6.4091825,8.936818,6.680319,-0.06446891,5.101146,2.298717,3.0386178
