accepted_species,estimate
Alstonia_angustiloba,1.7572136
Alstonia_muelleriana,1.7572136
Asclepias_incarnata,-0.39473924
Cynanchum_acutum,-0.40077555
Exacum_affine,-0.42334235
Gentianella_campestris,-0.42207548
Gentianella_parviflora,-0.42207548
Mandevilla_benthamii,-0.07287644
Tabernaemontana_cymosa,0.65517914
Vincetoxicum_hirundinaria,-0.40077555
