,0,1,2,3,4,5,6,7,8,9,10
t74,-2.5604692,5.884879,-1.9221779,11.647255,3.279299,-2.9796298,-1.9261214,-2.5379992,34.049248,1.426409,-3.156909
t93,-2.5525246,5.7616363,-1.9464785,11.64745,3.1937916,-2.9875312,-1.8926312,-2.5265162,33.941986,1.4166911,-3.1399946
t94,-2.5583055,5.711303,-1.9478863,11.633977,3.2426932,-2.9987192,-1.8860258,-2.5216835,33.991604,1.4278171,-3.1435113
t66,-2.5433598,5.942559,-1.8884195,11.686892,3.2875264,-2.9574447,-1.9643277,-2.5132234,33.94451,1.2631013,-3.198261
t67,-2.5578156,5.97964,-1.8728468,11.716902,3.3487885,-2.983977,-1.9302634,-2.5171306,34.060116,1.4298365,-3.1897092
t30,-2.4243126,6.457596,-2.0103486,11.530929,3.074282,-2.7595623,-2.130368,-2.4686954,34.217243,1.2468402,-3.250412
t59,-2.3805182,6.021543,-1.8586117,11.139267,3.0467865,-2.6879287,-1.9253695,-2.4246688,32.186882,1.4286282,-3.0636454
t60,-2.4703891,6.4627147,-1.9512831,11.618147,3.1508095,-2.7474945,-2.093879,-2.5047512,33.95073,1.4314907,-3.217748
t2,-1.7322515,4.179532,-1.2532636,7.646361,1.7256048,-1.7874354,-1.3093525,-1.6773392,21.199293,0.6415053,-2.0657783
t14,-2.9039521,4.524642,-1.8373975,10.441049,2.954899,-2.649675,-1.7117207,-2.5784018,30.65722,2.4254255,-2.692633
t21,-3.2980561,4.532062,-1.948501,11.053738,3.2019713,-2.945515,-1.6883526,-2.9242551,32.3013,3.3387628,-2.7830515
t110,-3.3998063,4.363536,-1.9422114,11.1932955,2.95317,-2.9455376,-1.7465142,-2.8876383,32.161133,3.215473,-2.8254244
t111,-3.4011228,4.3721614,-1.941067,11.202296,2.943846,-2.9451046,-1.7469047,-2.8896022,32.14664,3.2192397,-2.8257644
t42,-3.2875454,4.5279117,-2.0109265,11.304972,3.056287,-3.0175807,-1.7428242,-2.9214432,32.350136,2.9841907,-2.8907113
t43,-3.335729,4.358217,-2.0357509,11.33217,2.8891804,-3.0047286,-1.7140017,-2.8956282,32.314465,2.9972003,-2.8557646
t33,-3.434082,4.148626,-2.017672,11.246507,2.9756377,-2.992274,-1.6863645,-2.9337363,32.30174,3.194802,-2.7884767
t61,-3.5591645,4.0628333,-2.020492,11.341084,2.8473332,-3.021531,-1.6757091,-3.0250463,32.13353,3.5599003,-2.7624958
t80,-3.6074154,4.039128,-2.0481565,11.45893,2.5980809,-3.0014625,-1.7165893,-3.0462046,32.076088,3.4550362,-2.780239
t109,-3.6254609,3.9805808,-2.054725,11.453778,2.658026,-3.0232248,-1.6997277,-3.0576391,32.07775,3.487655,-2.7857733
t116,-3.6260922,3.9788456,-2.0555818,11.458992,2.6518977,-3.022825,-1.7013512,-3.0562801,32.061504,3.4924097,-2.7872832
t117,-3.6259334,3.9800363,-2.0553854,11.458175,2.6510098,-3.0226774,-1.701771,-3.0570424,32.060135,3.4924383,-2.7871892
t24,-1.0767483,11.814021,-1.2069128,11.418499,5.3445516,-1.9762201,-2.677159,-2.0358443,30.092266,-0.22680794,-3.5804443
t25,-1.200334,12.533325,-1.3769733,12.3812065,5.548904,-2.1246707,-2.905525,-2.172435,32.77193,-0.25965095,-3.8985078
t22,-1.2660506,12.504712,-1.3745054,12.276777,5.5781975,-2.0714664,-2.9584494,-2.175185,32.86789,-0.26620984,-3.8697364
t17,-1.2734705,12.540804,-1.2533296,12.334957,5.822323,-2.1481092,-2.9670522,-2.157656,32.914524,-0.19378303,-3.896183
t8,-1.3345759,11.781286,-1.3064274,11.471206,5.823941,-2.0587306,-2.9619262,-2.0329692,34.19678,-0.16972822,-3.7187462
t70,-1.3514223,12.431013,-1.102534,12.160179,5.711119,-2.0297608,-3.0379207,-2.0027323,33.134914,-0.34349343,-3.887935
t81,-1.3042424,12.459341,-1.0843387,12.033928,5.8389635,-2.051389,-3.040732,-2.010132,33.165,-0.37428403,-3.884079
t82,-1.3314613,12.541573,-1.0800155,12.14682,5.783974,-2.0384967,-3.0689626,-2.0304835,33.09584,-0.38486132,-3.897237
t12,-1.0786957,13.946414,-1.1901857,12.122782,5.3645577,-2.001541,-2.959278,-2.294919,32.42159,-0.17627329,-3.8172665
t13,-1.0959495,13.837795,-1.1139237,12.158024,5.8162265,-2.0998027,-2.821432,-2.2925067,32.60196,-0.12361006,-3.7676322
t53,-0.99487907,13.483336,-1.2655104,11.901524,4.850819,-1.9796036,-2.7946153,-2.0800123,32.969955,-0.22391601,-3.722445
t54,-0.9922412,13.67502,-1.2522998,12.032133,4.9190574,-1.9598383,-2.8391047,-2.0970733,32.832825,-0.2137258,-3.75416
t19,-1.0066704,13.2259245,-1.2501069,11.685915,5.0389347,-2.0037017,-2.8713949,-2.0260828,33.25624,-0.27955338,-3.7662208
t45,-0.64780927,14.102185,-0.9314229,12.037833,5.646237,-2.1336632,-2.757047,-2.0116112,30.028275,-0.4638482,-3.9015694
t56,-0.7199555,14.466285,-1.0230032,12.594645,5.9009132,-2.239947,-2.8826797,-2.091584,31.801558,-0.45986,-4.07566
t57,-0.6847665,14.5844965,-1.0140005,12.534746,5.8317084,-2.2345834,-2.9167454,-2.0771961,31.920523,-0.48558623,-4.087677
t85,-0.66374135,14.861972,-0.8369112,12.273505,6.813669,-2.229554,-2.9867356,-2.1399724,31.485855,-0.47904897,-4.110346
t105,-0.64552754,14.805528,-0.840189,12.221306,6.8082104,-2.2506006,-2.956208,-2.1363988,31.460434,-0.47163272,-4.094751
t106,-0.6488461,14.8163805,-0.8384201,12.237319,6.804714,-2.251518,-2.959174,-2.1388168,31.472713,-0.47258115,-4.097872
t26,-0.7805289,14.432307,-0.9519498,12.170418,6.3748417,-2.2674887,-2.95673,-2.1577008,32.063835,-0.49613643,-4.0577927
t27,-0.7797577,14.559323,-0.94004935,12.261467,6.3714256,-2.2262037,-3.047076,-2.1620042,32.07921,-0.4804848,-4.102512
t112,-0.8296056,15.252194,-0.98874515,12.533426,6.83447,-2.1427042,-2.919459,-2.2642965,31.069313,-0.36927095,-3.9971135
t113,-0.8290334,15.254741,-0.9870108,12.528893,6.8420663,-2.1419637,-2.919958,-2.2646163,31.064716,-0.36975676,-3.9968903
t65,-0.8530707,15.159661,-1.0146313,12.514331,6.6761713,-2.103726,-2.9439728,-2.2404342,31.039238,-0.35046992,-3.9755635
t72,-0.868851,15.249159,-1.0002717,12.647108,6.6091146,-2.1356075,-2.8842335,-2.2760618,31.077438,-0.32487598,-3.9689884
t73,-0.8778864,15.047693,-1.0104139,12.5366,6.654567,-2.1219337,-2.8871834,-2.2427492,31.06768,-0.33924747,-3.9653027
t107,-0.85877115,15.390528,-0.9872754,12.656439,6.6132846,-2.1125865,-2.9191399,-2.2898927,30.89264,-0.35546538,-3.976926
t108,-0.8585413,15.408439,-0.9915272,12.664963,6.6029377,-2.11422,-2.9232094,-2.2918365,30.896214,-0.35842606,-3.9803116
t35,-0.78108186,14.451104,-0.9009021,12.006237,6.1450334,-2.0108426,-2.6942506,-2.126374,28.574793,-0.33063704,-3.7427728
