,0,1,2,3,4,5,6,7,8,9,10
t1,1.7191644,3.1509082,11.886277,3.853386,7.9962745,4.7292705,2.8797195,3.6798182,-0.93730164,1.9549315,6.149511
t68,1.7934287,-1.8649665,-4.5403304,-0.3666835,6.837662,-0.0010864382,6.352386,1.5976144,-1.7578317,5.0216627,8.453266
t69,1.7494785,-1.9219579,-4.586894,-0.48906216,6.799883,0.054405883,6.4052153,1.5565542,-1.837737,4.985459,8.571626
t48,1.6401211,-1.9129813,-4.5522933,-0.57855743,6.8372946,0.010385183,6.49247,1.6043017,-1.9324576,5.0647526,8.487865
t97,1.7736652,-1.8103772,-4.552357,-0.43217435,6.8068805,-0.08569195,6.3826895,1.6718922,-1.8190999,4.9938374,8.464692
t98,1.6900436,-1.8256665,-4.4964666,-0.601002,6.864346,-0.060357828,6.440866,1.7253344,-1.9515042,4.989421,8.489889
t23,1.7102748,-1.824045,-4.524817,-0.5599086,6.8411274,-0.054748554,6.463295,1.7066096,-1.9342898,5.0083637,8.509052
t71,1.736573,-1.9397577,-4.5061097,-0.4355859,6.844451,-0.10026667,6.559043,1.4891788,-1.6432242,4.927786,8.424596
t90,1.69167,-1.9662188,-4.350248,-0.5230214,7.000167,-0.064844,6.385966,1.5720947,-1.6875144,4.7983956,8.433601
t91,1.8277131,-1.8878218,-4.48991,-0.45445776,6.8649936,-0.004895392,6.311844,1.6340985,-1.7108766,4.8441772,8.550047
t32,1.7228057,-1.8566549,-4.457335,-0.43757322,6.9037924,-0.13730264,6.495313,1.6076391,-1.7587646,4.969825,8.3863
t36,-0.3810458,1.1675111,0.73614186,14.153111,1.6754911,4.4440346,3.9884634,1.1007252,7.897276,7.720103,0.6138972
t51,-0.42846632,1.1013174,0.67890006,14.139383,1.699276,4.4915605,4.0632463,1.0993688,7.8552394,7.759618,0.6274469
t52,-0.4132586,1.1692531,0.74740493,14.241126,1.577717,4.541841,3.94214,1.0713317,7.7882385,7.632628,0.65997833
t16,-0.15581119,1.2205361,0.9661883,14.11693,1.8160634,4.405386,3.8332443,1.2603832,8.032592,7.580968,0.614814
