"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99","c100","c101","c102","c103","c104","c105","c106","c107","c108","c109","c110","c111","c112","c113","c114","c115","c116","c117","c118"
"t1",0.0119399390318652,-0.0374241505543938,-0.00543261077837503,0.0239616772145027,0.000818252781806035,0.0014747535788135,-0.00845158516688884,0.00976543232015789,0.000528880416321139,0.00203526145449694,0.0163813089063504,-0.0025447563417764,-0.00996429406010585,0.0112499502522696,-0.00201876192697201,-0.00403507404569027,-0.0134286227266573,0.0436905178229596,-0.00965621552849355,0.0166156977720888,-0.0263350090679672,0.0013772042551269,0.0477716639570139,0.00199602185505668,-0.00162640336397368,0.00339034525064077,-0.0133243633601581,0.00149391940566855,-0.0291164879210758,0.0146630984686213,-0.0471453220236834,0.000498468942346381,0.00629492371393819,1.08458057930943e-15,-0.0102251298036961,0.0974092736895691,-0.0692804175806039,0.00342042694539289,-0.129905835872568,-0.00120151342197405,-0.0313024237784392,-0.00698993283950268,-0.00361002904281848,-0.000243018788792183,0.0678790057600142,-0.0056317519585185,0.0115297556099712,-0.0159478621094345,0.0919454930967618,0.0690596937522304,-9.7569177699749e-15,0.842033454787071,0.0414341933244019,-0.0733379514441571,0.138297158340541,0.129978563714751,0.0460536191553212,-0.00337572364504171,0.00221317467997112,0.0191895749838393,0.177771752967528,0.000121827955870755,-0.000638426372791821,-0.0038250860422534,8.86389134481025e-16,-1.64034428562278e-15,0.0266289314009503,-0.0361799001977863,0.0455322066866394,-0.000199759258989197,0.242313612480056,0.282300637266001,-1.88566572049473e-14,3.60284018256398e-15,-0.00270029309295625,2.05467673777164e-15,0.000814902551007377,4.83953109219521e-16,-0.000508931533004627,-0.00286142860766823,0.00195208902922391,-0.000647012501968218,1.31640229513258e-15,-0.00220225239247227,1.72100991097826e-16,5.21543209097354e-14,-0.0161699059931648,-0.00108617111831155,-0.00136802792987084,2.98202906998263e-07,0.000314418471591117,-0.0020456173056509,-5.10528183371571e-17,-0.00198154472026953,-5.3937323810003e-06,-0.000258069196103452,-1.56883752134017e-16,-0.0127916860160793,-3.18620410932872e-16,2.20214908671478e-16,-5.20094635678034e-17,0.000379775141543493,5.15149802731217e-16,-1.19301976925251e-15,2.00189768260363e-16,2.82233293746929e-16,7.48040784989642e-16,5.32226346993018e-16,-2.40664229731558e-16,-2.1499903738534e-16,4.11583321555896e-06,-1.54804901731795e-06,3.01830027114725e-15,-9.33902784409372e-16,4.52646224517304e-16,-2.98652638077061e-15,1.4013829855879e-15,-5.66704813206043e-15
"t68",0.0248764353001492,-0.157644770319369,-0.0405180724203352,-0.0527205732502847,0.209671346879754,1.85524355657673e-05,0.00422976399009272,-0.00390935189105011,-0.000175447916007338,-0.000607029016137744,-0.00296692722697293,0.0023723412232701,0.00104912403699461,-0.000855885224991838,-2.80603344703654e-05,-0.000124728008315592,-0.00104464943501012,0.00829377136335173,-0.00317769740414351,0.0266914513200484,-0.626922674021379,-0.00282182677461213,-0.0537175454142836,-0.116043957015746,0.000357933586558481,-0.000742495729688836,0.00267319393175134,-0.000297656451176696,0.0044452457601292,-0.00559614128928503,0.00576343149604963,-5.44049469306818e-05,-0.000653805206048267,6.13647872335577e-16,0.000997102110842152,-0.00901395196043535,0.00638269320175253,-0.000308346974119182,0.0116386003700605,0.000379876231239683,0.0796928065482833,-0.00206093912749175,-3.24925835884412e-05,8.51029895428564e-06,-0.00388356843389876,0.000180211630301062,-0.000372306197077874,0.00657878954945939,-0.00272290264075178,-0.0024541321114091,-4.52205753704218e-17,-0.0234225708756111,-0.00110069022249153,0.00193878132682546,-0.0036351751637814,-0.000734378259137166,-0.00100432598805111,8.57226571069056e-05,-6.30955628720793e-05,0.0116685975468749,0.000945507663708618,-1.36251342218088e-06,-7.1602370109327e-06,4.81042600556928e-05,-1.37800355105707e-15,2.52172912295327e-15,-0.00028775268821599,0.000387268836109408,-0.000470169164588365,1.99807807482794e-06,-0.00234328201733874,-0.00266778651848123,-6.37292886768412e-15,8.02995825870488e-15,2.28261723104535e-05,2.35184918620903e-16,-6.07399649622399e-06,-4.14884002127176e-15,2.01127604659935e-06,1.02523654278583e-05,-6.65355743823134e-06,1.69786343028199e-06,-6.83721926658297e-15,-0.0031509371117425,-6.84608030348367e-14,0.707106781186553,-0.000836734034609446,4.14132837491942e-07,-1.31607234591876e-07,4.42627843545034e-10,6.75258882177159e-07,-5.61478055421027e-06,1.57509874940243e-15,-9.87105290607411e-06,-2.87084990387023e-08,-1.42888528816815e-06,-3.09783932276159e-15,-0.00102710770310497,3.55089425356623e-16,4.5688508660629e-16,-6.62664276527795e-15,4.15864842281759e-06,1.2109331204767e-15,-4.08443157720324e-15,1.95139710015854e-16,5.12544011799268e-16,1.30062392527309e-14,1.53891309602074e-15,-1.39583233571182e-14,6.81643509479403e-16,6.89468628892684e-08,-2.59798209863438e-08,4.55140178810073e-15,-8.62291583332336e-16,-1.74735233207892e-16,-1.47222220345741e-15,2.48648233699273e-15,-6.0356813095531e-15
"t69",0.0248764353001486,-0.157644770319369,-0.0405180724203354,-0.0527205732502837,0.209671346879755,1.8552435565511e-05,0.00422976399009236,-0.00390935189104939,-0.00017544791600795,-0.000607029016137661,-0.00296692722697223,0.00237234122326858,0.00104912403699477,-0.000855885224990519,-2.80603344704868e-05,-0.000124728008315857,-0.0010446494350072,0.00829377136335357,-0.00317769740414415,0.0266914513200499,-0.626922674021387,-0.00282182677461208,-0.0537175454142817,-0.116043957015749,0.000357933586560431,-0.000742495729689402,0.00267319393175212,-0.000297656451179119,0.00444524576012996,-0.00559614128928646,0.00576343149605441,-5.44049469315474e-05,-0.000653805206049644,-2.88393152381916e-16,0.000997102110842878,-0.00901395196043335,0.00638269320175164,-0.000308346974115125,0.0116386003700585,0.00037987623124591,0.0796928065482816,-0.00206093912749388,-3.24925835904438e-05,8.51029895461734e-06,-0.00388356843388796,0.000180211630302122,-0.000372306197073806,0.00657878954946848,-0.002722902640751,-0.00245413211141201,1.32545618041745e-15,-0.0234225708756033,-0.00110069022249189,0.0019387813268221,-0.00363517516378146,-0.000734378259149191,-0.00100432598805316,8.57226571063939e-05,-6.30955628649602e-05,0.0116685975468448,0.000945507663723024,-1.36251342880382e-06,-7.16023700611054e-06,4.81042600496945e-05,1.72543331715452e-15,-2.16501961940613e-15,-0.000287752688232492,0.000387268836112788,-0.000470169164594037,1.99807807670325e-06,-0.00234328201737351,-0.00266778651852793,4.9646509142529e-15,-7.66024981733554e-15,2.28261723014705e-05,5.7130590822722e-17,-6.07399648966279e-06,4.1510894033094e-15,2.01127607682124e-06,1.02523654042591e-05,-6.65355741155107e-06,1.69786342018366e-06,6.26303327200895e-15,-0.00315093711131611,6.8993287676601e-14,-0.707106781186542,-0.000836734040067197,4.14132858924105e-07,-1.31607285681251e-07,4.42599624482127e-10,6.75258850797775e-07,-5.61478056350683e-06,-2.09270949751902e-15,-9.87105291560754e-06,-2.87085290095435e-08,-1.42888527477855e-06,3.88741689999176e-15,-0.00102710770308782,-5.2009794822582e-16,-8.87135429631904e-16,5.92177647187091e-15,4.15864842597311e-06,-2.93688645677631e-16,2.06805109765938e-15,4.77883600809799e-16,-6.09939102188218e-16,-7.74352839242353e-15,4.39365542349875e-17,1.28040630334691e-14,-5.24990767069696e-16,6.89468682606998e-08,-2.59798245286575e-08,4.5951095327542e-16,-1.27029852853018e-15,1.25220484246135e-15,-4.56689347499138e-15,5.55527760389695e-16,-5.09490408239013e-15
"t48",0.0257937549838266,-0.166381434357879,-0.0430959853766769,-0.0606529755002702,0.242339339154904,2.15400267977444e-05,0.00525181390305039,-0.00506647188423667,-0.000237463197149311,-0.000845181580199358,-0.00501341925144899,0.00407998507352023,0.00232599464974734,-0.00696153851618568,0.000306331499440502,0.000593130395004465,0.00183642821679063,-0.00568251569858059,0.00131728856201445,-0.00438483057426,0.0691902721373239,0.00017227997541848,-0.0263550900877499,0.35580555875582,-7.21685050623695e-06,-4.49573241516975e-05,0.000235266674779931,-2.67356239839017e-05,0.000731726538712882,-0.000930648002477534,0.00101252984104651,-1.04910466476398e-05,-0.000130027957817533,8.17599360494729e-16,0.000205425323104085,-0.00190893710161727,0.00135485570201581,-6.62231033585934e-05,0.00250826403649515,8.55585058371072e-05,0.0325537131603825,-0.000948824516967167,-6.25121974494661e-05,5.64775620481592e-08,1.1130874521448e-05,-1.83474891261503e-05,4.45004693099622e-05,-0.00658492461554915,0.000313145607966233,0.000371947488921191,-1.15815794777104e-15,0.00649470435216954,0.000510010662663297,-0.000952739928957079,0.00192195596820827,0.00125977501739003,0.00251228042839848,-0.000434754193687897,0.000480239014949211,-0.87471413215254,0.016140619956698,-6.7208447606241e-06,-3.00848607687421e-05,0.000161884619141497,-5.53768864586812e-15,-8.50181770641025e-15,-0.000378772461385024,0.000503494808125107,-0.000585903987410964,2.40999516591807e-06,-0.00274133123700981,-0.00306264479932595,1.12584214040724e-14,-9.06912394677832e-15,2.43336392945102e-05,1.04255777550161e-15,-6.09738283171975e-06,1.78109808678367e-15,1.75495295863261e-06,8.86665483798843e-06,-5.73431978840787e-06,1.46690726619114e-06,5.88726163018567e-15,-0.0109538426080839,1.59573675579375e-17,1.75137682134618e-14,-0.000655342193588414,3.22654312970655e-07,-1.01811369752687e-07,3.35082735253216e-10,5.06209240440004e-07,-4.17387722849848e-06,2.54390795200594e-15,-7.13811161034023e-06,-2.06846702131429e-08,-1.02726330517308e-06,-1.25455463380659e-15,-0.00072907024174486,6.69800530675987e-17,-4.73085345643225e-16,4.64226615300023e-15,2.85512906453637e-06,6.43459161870965e-17,3.82522810526349e-16,4.77448085398262e-16,7.57505683244249e-16,3.0437856166179e-15,-7.50407110137732e-16,4.47281391457415e-15,-1.22723423933686e-15,4.60295800268805e-08,-1.73424840029713e-08,2.0246683283819e-15,-1.88660684604787e-15,9.10524404698081e-16,-3.08737075104597e-15,2.12734293894864e-15,-6.12391978366645e-15
"t97",0.0259966426675072,-0.168288719328388,-0.04365564996576,-0.0622882910720284,0.249055093806102,2.21525336789449e-05,0.00545354268527528,-0.0052898850288469,-0.000249190898866683,-0.000889646927112189,-0.00536827443858831,0.00437438790621901,0.00253142420482321,-0.00780547843977089,0.000348726729085846,0.000680192632499141,0.00214568207835871,-0.0068532717438283,0.0016227139638153,-0.005606744290993,0.0895678156878314,0.000225930251200414,-0.0363083259837605,0.492071875694485,-1.01878811531214e-05,-6.55517723846722e-05,0.000350706274586025,-3.99237477193208e-05,0.00124164359696488,-0.00158727352414616,0.00178298021843946,-2.00591688980977e-05,-0.00025910679820853,8.54275484846357e-17,0.000435966868255877,-0.00432985977352446,0.00309312092134924,-0.000156532195053393,0.00599405642648169,0.00023855629114629,0.17822131613945,-0.00543018708422555,-0.000439021332603827,-6.31793883532786e-07,-7.77828884533624e-05,5.01902280066471e-05,-0.000117577548009316,0.0161702429489698,-0.000645508660438546,-0.000687764372827253,7.21970793509835e-16,-0.0088665026732367,-0.000530930764534148,0.000962193765359523,-0.00186983944813041,-0.000738760249835226,-0.00131497097231503,0.000195789156390649,-0.00020447116402632,0.332863165366478,-0.0056850109965279,1.97282912560403e-06,8.38652222590262e-06,-4.10513169810123e-05,1.6164975693392e-15,5.09207716901564e-15,1.3344049221532e-05,-1.52348353529884e-05,7.35439897314402e-06,4.43399595318151e-09,-4.3773928170599e-05,-7.66492863274416e-05,-5.83332546223736e-15,4.57399554599807e-15,1.54181949060088e-06,4.07450179993372e-17,-5.9884460322509e-07,-3.84907191766418e-16,3.52132561991352e-07,1.86294447787604e-06,-1.23009510338259e-06,3.43369354380912e-07,-1.05523637371492e-15,-0.00268478139392051,-1.09577907295493e-15,-1.88182802673964e-14,-0.000171436115747488,9.10955151619245e-08,-2.97604706054965e-08,1.07098317174077e-10,1.68018083738219e-07,-1.43008265183718e-06,-1.93345820831779e-15,-2.71084344072966e-06,-7.9630056933818e-09,-3.98728906730373e-07,-7.82478128257544e-16,-0.000296905872301028,6.7609267534763e-17,3.81373783651178e-15,2.91640535823588e-16,1.32668752010371e-06,7.69710213817964e-16,-2.40340942993656e-15,-6.30851814065105e-15,2.58011788001742e-14,0.70710678118655,5.93358165294142e-14,-2.50798355324628e-15,1.05521514504216e-14,2.43304038966527e-08,-9.17218541441663e-09,2.73968239617508e-15,-3.81490907522445e-15,4.39710063483309e-15,-3.31970517492147e-15,8.23983727885639e-15,-1.07887051699153e-14
"t98",0.0259966426675072,-0.168288719328388,-0.0436556499657601,-0.0622882910720286,0.249055093806102,2.21525336786862e-05,0.00545354268527574,-0.00528988502884714,-0.000249190898866726,-0.000889646927111995,-0.00536827443858808,0.00437438790621882,0.00253142420482331,-0.00780547843977038,0.000348726729085923,0.000680192632498948,0.00214568207835828,-0.00685327174382646,0.00162271396381501,-0.00560674429099233,0.0895678156878306,0.000225930251199797,-0.0363083259837592,0.492071875694487,-1.0187881153317e-05,-6.55517723837662e-05,0.000350706274585908,-3.99237477190828e-05,0.00124164359696321,-0.0015872735241461,0.00178298021843844,-2.00591688983859e-05,-0.000259106798208632,3.45907715199226e-16,0.000435966868255636,-0.00432985977352116,0.00309312092134653,-0.000156532195053412,0.00599405642647901,0.000238556291147017,0.178221316139449,-0.00543018708422732,-0.000439021332604558,-6.31793884196902e-07,-7.77828884531666e-05,5.01902280057901e-05,-0.000117577548010123,0.0161702429489718,-0.000645508660437622,-0.000687764372827452,1.33885935354754e-15,-0.00886650267323467,-0.000530930764533644,0.000962193765358504,-0.00186983944813314,-0.000738760249840531,-0.00131497097231426,0.000195789156390187,-0.000204471164026808,0.332863165366478,-0.00568501099653242,1.97282912283769e-06,8.38652222168326e-06,-4.10513169808901e-05,2.21228707010863e-15,1.52881609190038e-15,1.33440492229579e-05,-1.52348353543043e-05,7.35439897220011e-06,4.43399527189597e-09,-4.37739281758144e-05,-7.66492863350753e-05,-2.02559642546734e-15,3.91475008799641e-15,1.54181949234793e-06,-9.03873612866839e-16,-5.98844601461164e-07,-1.4123456865188e-15,3.52132561857392e-07,1.86294447545232e-06,-1.23009510144854e-06,3.43369357121677e-07,-4.54297064913861e-15,-0.00268478139391535,1.52105315896623e-15,1.92901250528621e-15,-0.0001714361157421,9.10955204252179e-08,-2.97604719161275e-08,1.07092735535852e-10,1.68018080827304e-07,-1.43008264773931e-06,6.65093337185195e-16,-2.71084343686921e-06,-7.96300023537087e-09,-3.98728907981887e-07,2.39843277240147e-15,-0.000296905872305393,-7.04623528511045e-16,-3.88644467727223e-15,-2.47630882580326e-15,1.32668751672455e-06,6.1777089580271e-16,-2.24439405511606e-15,6.94477015162367e-15,-2.62859969151174e-14,-0.707106781186544,-5.75235399928242e-14,-1.33688587775632e-16,-9.62877710021373e-15,2.43304111567082e-08,-9.17218565065068e-09,3.27337154855385e-15,2.71826339976356e-15,-3.50948222001885e-15,-2.1773726268606e-15,-5.97331334594107e-15,3.67585873595222e-16
"t23",0.0255198871860099,-0.163799421831672,-0.0423374092472792,-0.0584121159645482,0.233131518965636,2.06997691401271e-05,0.00497299991139604,-0.00475640434372632,-0.000221125016551696,-0.000783095040611668,-0.00451183747545207,0.00366348228195412,0.00203245755754644,-0.00573466657308674,0.000244268603567131,0.000465325109673012,0.00138029141812077,-0.0039627324959818,0.000877308549087736,-0.00287019686343044,0.0481870704639853,0.000147856743988985,0.00028167871563066,0.00107930133768468,-9.13455127566395e-08,2.48309996898425e-06,-2.92356572498053e-05,3.4811957158449e-06,-0.000507630282906326,0.000670843081319116,-0.000909320588217121,1.48943901363859e-05,0.000223569373780983,-2.61538277013324e-15,-0.00045803595715277,0.0054316632329031,-0.00394275869229156,0.000216600335428099,-0.0085020667995895,-0.000458791795503647,-0.793114404170056,0.0251427416963184,0.00240195762724354,3.19563155243189e-05,-0.0130857265851216,0.000812354198006455,-0.00204367822364981,0.513481312789141,-0.00177588594126335,-0.00279872150279879,1.21637069788841e-14,-0.0335640948018003,-0.00160001054395025,0.00281692011023803,-0.00527746309085806,-0.001079612253084,-0.00152148031344924,0.00014531206742285,-0.000119014026601273,0.0832045640717075,-5.93783997511334e-05,-1.18029457186045e-06,-6.57712316710228e-06,4.6932227835201e-05,-3.05921217600441e-16,3.72999485417202e-17,-0.000305061787332094,0.000410362907538459,-0.000497194427807619,2.10880487704417e-06,-0.00246783488256554,-0.00280542043265345,-2.61137764908484e-15,2.49863474278844e-15,2.38349589079823e-05,-3.19909458090404e-18,-6.29679356617539e-06,1.15273883290597e-15,2.04840306779384e-06,1.04543820343456e-05,-6.79427768840804e-06,1.79011994018139e-06,1.11445169884666e-15,-0.0186041249285125,3.01051115248451e-15,-1.11022302462516e-16,-0.000787745212945885,3.96825351748373e-07,-1.26189165849995e-07,4.22708830875729e-10,6.42955711803371e-07,-5.33055244892456e-06,-4.14516608771265e-16,-9.26447268167914e-06,-2.68981942917149e-08,-1.33736789379322e-06,4.26742673342757e-16,-0.000955111457386382,3.29070987255665e-17,8.98459738032788e-16,-2.22871898732364e-15,3.78911454225017e-06,-2.65323144200559e-16,9.24859277433329e-16,-9.95362767037743e-16,1.75071192239933e-16,3.49980035085675e-15,6.83546914721648e-16,-5.1966390121527e-16,-8.39285723341401e-17,6.13740312744065e-08,-2.31237563051503e-08,2.46044769913141e-15,-1.41285797689487e-15,3.60082777343892e-16,-2.71956876628387e-15,8.31202215873651e-16,-6.63143866010647e-15
"t71",0.0260837433863133,-0.169126787257238,-0.0439039959823201,-0.0630820041068486,0.252330301304084,2.24526309704519e-05,0.0055588711879078,-0.00541083681987756,-0.000255757703258838,-0.000915061615134434,-0.00559610991707911,0.00456509233478035,0.00267920443367896,-0.00856256666451184,0.000391654662323628,0.00077391012544,0.00253845337824266,-0.00891330205939236,0.00232552827552222,-0.0111740920917681,0.222471632707414,0.000850034505436845,0.0294249545056882,-0.314720170704429,1.25053405136479e-06,-1.35124457870366e-05,0.000112386163421894,-1.30779189457872e-05,0.000707435514288179,-0.000911614308380298,0.00106870943529681,-1.29536332656489e-05,-0.000171850160717533,2.43023177229396e-17,0.000298949870653064,-0.00305714597593849,0.00218968809582411,-0.0001123257479592,0.00431900370969661,0.000181220397005123,0.165531753604068,-0.00510768395760526,-0.000437170493165423,-2.44893496647306e-06,0.000761256723973433,4.17139831349292e-05,-0.000139832601391777,0.0685499585375796,0.000643707060310311,0.000360024739133738,-2.0024140751196e-17,0.00122601780787051,1.26742756628221e-05,-1.54405614385178e-05,1.37948390168347e-05,-2.74233371254343e-05,-4.4920819858686e-05,4.93431787667612e-06,-4.20458047815371e-06,0.00313174163330653,-2.31036845608655e-06,-4.83337901915921e-08,-2.7166891048474e-07,1.95810632146938e-06,1.58616494073506e-15,1.24692389740683e-15,-7.06565003763906e-06,8.93756270224199e-06,-8.03079351473874e-06,2.24241923752742e-08,-1.04068006415289e-05,1.43445980261159e-06,8.59149844621666e-15,-9.16876101256649e-15,-6.60259760761238e-07,4.68867315336556e-15,4.30207900119755e-07,5.4215324537642e-16,-1.27927875223371e-06,-8.82527509853005e-06,6.74195250174978e-06,-5.35311611915019e-06,-1.92459765973403e-14,0.843051939527496,-6.58105466741354e-14,2.62415089657964e-13,-0.00210817967498122,5.13551791377151e-07,-1.35258406092217e-07,3.28289441578253e-10,4.54580939456692e-07,-3.52831641781281e-06,-2.31174701935999e-16,-5.25438326351121e-06,-1.50266138381421e-08,-7.40698886908823e-07,1.5151718277096e-15,-0.000506460634130028,-1.86490558651416e-15,1.20254535412999e-15,-6.35026172843126e-15,1.8747849397665e-06,-3.47614014580131e-16,-9.0428537904845e-15,3.32701872182718e-16,1.37482178821257e-15,5.15984793239837e-15,3.03667138857037e-16,-2.28426306933746e-15,1.22275564592219e-16,3.00204594326517e-08,-1.13113806006373e-08,4.48763967899711e-15,-2.83184862522165e-15,-8.82879752865915e-16,-3.56824080818556e-15,1.03054862394166e-15,-6.39778159676072e-15
"t90",0.0261722378660845,-0.169959975229021,-0.0441486461384637,-0.063801636559095,0.255286756366861,2.27223738271181e-05,0.00564819573669592,-0.00551009488981966,-0.000260985234498009,-0.000934923033996919,-0.0057566879013157,0.00469845821589053,0.0027735509988883,-0.00896403352930081,0.000412295389081992,0.000816844948578483,0.00269696744292953,-0.00957258330239175,0.00251496441480023,-0.0122272730831175,0.244355968858187,0.00093728881630506,0.0329086159575731,-0.352357333906816,1.40796662119667e-06,-1.53440664339184e-05,0.000128341298197964,-1.49410966007398e-05,0.00083249011195866,-0.00107392811749288,0.00126738320997541,-1.56089249563558e-05,-0.000208621438159935,-1.17327659618221e-16,0.000366800241222192,-0.00379024161208132,0.00271741419762105,-0.000140107275869235,0.00539562903962249,0.000230967744721485,0.223195059873054,-0.00690386823946951,-0.000596807140496043,-3.57853971183786e-06,0.00112923360773951,6.56737707726262e-05,-0.000220884839246906,0.10908490033692,0.00104466673761673,0.000592382565027139,3.2019683759266e-15,0.00211168596265263,2.29798850689055e-05,-2.81760035034012e-05,2.53781267343302e-05,-5.76604867509453e-05,-9.79570302164307e-05,1.13348683752633e-05,-9.85902710872361e-06,0.00766564137627515,-5.8330959497024e-06,-1.31856319791832e-07,-7.5840324621587e-07,5.70910721106701e-06,-1.25253313001791e-15,-1.6187918708444e-15,-5.93843324019993e-05,8.08235592368571e-05,-0.00010218530769771,4.49197465672733e-07,-0.0005451361442419,-0.000634797795908217,-4.71966934304839e-15,6.16359563486073e-15,6.02249765110608e-06,-1.73540498078393e-15,-1.79081006625946e-06,-6.51778952319187e-16,1.17835900276884e-06,7.07680985423837e-06,-5.05881444471799e-06,2.93217204533788e-06,6.96956230192774e-15,-0.3788632805089,2.82077061894483e-14,-1.19459997449667e-13,0.000673005859395636,-9.20518904850645e-08,1.61753946219435e-08,7.55681473866128e-12,3.59358064076173e-08,-4.38554478412686e-07,-2.37698861603864e-16,-1.36644802832691e-06,-4.15992861611833e-09,-2.12467179207719e-07,-1.74256674608932e-15,-0.000173983451510465,-7.322678622931e-15,4.22434498576772e-16,-8.39565310288818e-15,9.08166044888121e-07,-2.38027182848273e-14,-0.707106781186545,-1.0163675751225e-14,6.36388591119284e-16,6.43345144491792e-16,1.06920755921401e-15,2.14227891326151e-15,7.88899992587724e-17,1.81170143020027e-08,-6.83187059400162e-09,5.55896068034189e-15,1.27592999129367e-15,-1.0143903135583e-15,-2.0730807120966e-15,3.29880448870498e-15,-5.99960932991137e-15
"t91",0.0261722378660845,-0.169959975229021,-0.0441486461384637,-0.063801636559095,0.255286756366861,2.27223738271107e-05,0.00564819573669666,-0.00551009488981927,-0.000260985234498154,-0.000934923033997193,-0.00575668790131586,0.00469845821589057,0.00277355099888842,-0.00896403352930097,0.00041229538908219,0.000816844948578233,0.00269696744292954,-0.00957258330239124,0.00251496441479944,-0.0122272730831179,0.244355968858187,0.000937288816305504,0.0329086159575728,-0.352357333906815,1.40796662218474e-06,-1.53440664344778e-05,0.000128341298197792,-1.49410966007579e-05,0.000832490111959361,-0.00107392811749251,0.00126738320997672,-1.56089249564268e-05,-0.000208621438159783,8.09795973944776e-16,0.000366800241222869,-0.00379024161208204,0.00271741419762281,-0.000140107275870043,0.00539562903962377,0.000230967744721716,0.223195059873057,-0.00690386823947084,-0.000596807140496481,-3.57853971450762e-06,0.00112923360773966,6.5673770772017e-05,-0.000220884839245308,0.109084900336919,0.00104466673761681,0.000592382565026292,3.00940824913546e-15,0.00211168596265392,2.29798850698838e-05,-2.81760035045782e-05,2.5378126735504e-05,-5.76604867501198e-05,-9.79570302160357e-05,1.13348683771449e-05,-9.85902710973507e-06,0.00766564137627784,-5.83309594539292e-06,-1.31856318874138e-07,-7.58403249255692e-07,5.70910721196261e-06,-8.85397205406621e-16,-2.91062970273696e-16,-5.93843324010101e-05,8.08235592381235e-05,-0.000102185307699119,4.49197466360471e-07,-0.000545136144240518,-0.00063479779591377,-5.45356496193136e-15,1.40130781995732e-16,6.02249765725414e-06,-2.54711178778353e-15,-1.79081006609282e-06,-9.58199302261077e-18,1.17835900373279e-06,7.07680985440665e-06,-5.05881444584709e-06,2.93217204348103e-06,8.59368604903731e-15,-0.378863280508887,3.04542101013878e-14,-1.13520304267922e-13,0.000673005859400723,-9.20518891490903e-08,1.61753943516451e-08,7.55069200484759e-12,3.5935807399359e-08,-4.38554476916026e-07,3.9237969635556e-16,-1.36644801563821e-06,-4.15992694343321e-09,-2.12467171813567e-07,1.01576642216974e-15,-0.000173983451509924,7.81455858017563e-15,-5.12197107609881e-17,1.46703551724753e-14,9.08166109456199e-07,2.57080905941641e-14,0.70710678118655,1.13950018167234e-14,-1.54750765136198e-15,6.74570167059374e-16,-6.14513448353066e-16,-1.88823886214516e-15,5.24881038105174e-16,1.81170297785601e-08,-6.83187626569703e-09,-1.77236582433488e-15,-2.02972557970575e-15,3.45782486232143e-15,-3.33655812170508e-15,-1.37643392693231e-16,-4.51061051024176e-15
