,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
t76,12.39562,5.8478336,2.927255,2.4389672,4.5561786,4.607651,4.7310286,3.1564004,3.7806568,4.1260138,9.290302,6.3793507,6.613939,4.068261,7.358321,7.747037
t84,12.39199,5.817269,2.9139636,2.4980376,4.5801916,4.6176786,4.7466555,3.1529481,3.7779248,4.073743,9.279385,6.3894234,6.6735373,4.0507336,7.3961487,7.7639985
t85,12.356742,5.9318295,2.923959,2.4641309,4.480592,4.5448112,4.734797,3.181007,3.727757,4.0978036,9.347773,6.322091,6.664807,4.117153,7.2908816,7.7522697
t62,12.4545,5.9689946,2.88837,2.3941393,4.500073,4.519488,4.7486806,3.2202992,3.743753,4.1589813,9.313581,6.4161983,6.577806,4.153532,7.371529,7.7525167
t82,12.4033165,5.8182364,2.9194322,2.20415,4.5959516,4.622909,4.649396,3.0651824,3.940417,4.2263374,9.187015,6.342513,6.433423,4.040589,7.344358,7.6450224
t83,12.467052,5.7468953,2.923498,2.2574222,4.65422,4.661491,4.714625,3.1134703,3.9428978,4.2006907,9.296674,6.454146,6.393081,3.942579,7.4672904,7.677161
t15,12.391145,5.828534,2.984973,2.298697,4.5767612,4.6420383,4.6694145,3.1176374,3.8455784,4.2830334,9.240742,6.353781,6.4729924,4.069248,7.269841,7.680038
t111,12.389054,5.741971,2.8358846,2.3126466,4.5147257,4.5555396,4.6376905,3.0834963,3.9643478,4.0476604,9.177056,6.3679233,6.518624,3.963342,7.378435,7.673113
t112,12.380245,5.823083,2.7756248,2.3151798,4.4737625,4.478541,4.6100774,3.160687,3.9377308,4.018831,9.17585,6.4162297,6.537124,3.9911249,7.3731947,7.6529236
t137,12.30824,5.8472333,2.809723,2.3746848,4.4450326,4.4834,4.5557733,3.1781611,3.8732443,4.073457,9.22696,6.399976,6.593218,3.9442904,7.3136435,7.6262336
t138,12.414042,5.686873,2.8841875,2.4269319,4.543488,4.5122123,4.5989833,3.065478,3.9645276,4.048509,9.186628,6.397677,6.556477,3.9380665,7.325412,7.560619
t133,12.323081,5.727487,2.7824812,2.3983774,4.4337964,4.562589,4.6101236,3.1374562,3.9109733,3.9236784,9.195462,6.3892245,6.578406,3.950971,7.3681927,7.717627
t33,12.419352,5.776207,2.7660797,2.2819371,4.451692,4.479358,4.5600204,3.1610308,3.9895442,3.996406,9.142453,6.458645,6.47729,3.9365342,7.382868,7.613421
t12,12.410188,5.7884445,2.9324286,2.3084717,4.604657,4.614593,4.6921873,3.1283104,3.8874815,4.192669,9.278727,6.404008,6.479254,4.0006127,7.3631425,7.6785617
t78,9.593697,4.995672,4.415494,2.849282,6.788969,4.4940023,2.9287918,2.7500024,4.4162755,3.4311397,8.480366,6.0941577,8.449602,5.0654593,4.5947485,5.313618
t113,9.621649,5.060582,4.331342,2.8320856,6.79117,4.466343,3.061126,2.6871483,4.387364,3.3280485,8.567949,6.1066747,8.40821,4.9697585,4.5362625,5.306874
t114,9.604444,5.0844784,4.350678,2.8444676,6.797833,4.4996347,3.066688,2.7280118,4.3291245,3.3405585,8.623582,6.087803,8.375693,4.9549446,4.5014963,5.3578234
t104,9.498042,4.9045568,4.260198,2.9642267,6.8957367,4.6454053,3.0584366,2.6842487,4.464861,3.2816608,8.621443,6.214277,8.546268,5.017025,4.4450617,5.1670046
t105,9.607622,4.9313693,4.231687,3.0327446,6.78189,4.603487,3.010243,2.6655018,4.4795003,3.3247552,8.629291,6.1757264,8.509761,5.0895557,4.5159874,5.239031
t81,9.579904,4.945079,4.313635,2.933103,6.8145757,4.5497246,3.0244622,2.7101214,4.409052,3.3357034,8.605604,6.208417,8.500488,4.99504,4.485059,5.2575493
t65,9.619558,4.9393144,4.2196674,3.073395,6.7787642,4.60318,3.056195,2.5979865,4.4249268,3.1997442,8.768557,6.2160964,8.471495,5.0634937,4.4708796,5.2905693
t98,9.615302,4.9817424,4.169959,3.0419195,6.794461,4.6489925,3.1069434,2.6692002,4.429816,3.2514675,8.749895,6.187829,8.488525,5.013741,4.4597893,5.2615542
t99,9.54909,5.005662,4.3788114,2.8683224,6.82511,4.567064,2.9522533,2.7587843,4.413111,3.4654858,8.488978,6.081018,8.461208,5.065863,4.5598955,5.2989464
t87,9.613822,4.9382353,4.315587,3.0978036,6.756117,4.5330734,2.9589438,2.6251323,4.363519,3.2376022,8.827396,6.221919,8.471325,5.09076,4.4284124,5.332038
t88,9.525701,4.9720774,4.1464806,3.0558932,6.873222,4.6446204,3.1446483,2.6368318,4.375667,3.2016196,8.819104,6.2089915,8.501795,4.990071,4.368747,5.204779
t75,9.519971,4.952337,4.41341,2.9606984,6.8449697,4.529843,2.8816128,2.6838295,4.497287,3.4290907,8.496945,6.0892115,8.498656,5.1517177,4.5270805,5.2306724
