"","t1","t2","t4","t17","t29","t133","t134","t56","t123","t124","t131","t132","t79","t80","t49","t50","t48","t22","t31","t129","t130","t96","t42","t100","t101","t77","t57","t58","t59","t91","t92","t102","t103","t21","t16","t82","t86","t87","t71","t116","t117","t7","t24","t25","t46","t47","t26","t44","t45","t68","t74","t145","t146","t88","t89","t41","t20","t94","t95","t93","t120","t121","t90","t67","t72","t73","t38","t34","t9","t10","t18","t19","t113","t125","t126","t51","t105","t106","t53","t15","t32","t33","t12","t13","t35","t36","t28","t62","t127","t128","t52","t14","t78","t97","t118","t119","t109","t114","t115","t110","t111","t122","t139","t140","t54","t55","t63","t64","t61","t23","t98","t99","t39","t40","t135","t136","t60","t85","t137","t138","t107","t108","t27","t65","t66","t112","t143","t144","t37","t3","t5","t69","t70","t43","t75","t76","t8","t141","t142","t104","t11","t6","t30","t83","t84","t81"
"t1",0,0.13294388475,5.18933580259,6.73047696809,7.65020255399,7.65020255357,7.65020255357,7.65020255355,7.65020255356,7.65020255356,7.65020255358,7.65020255358,7.65020255349,7.65020255349,7.2145184776397,7.6502025534397,7.65020255349,7.65020255389,7.65020255319,7.65020255308,7.65020255308,7.65020255309,7.65020255309,7.65020255309,7.65020255309,7.65020255309,7.65020255309,7.65020255307,7.36926295147,7.65020255313,7.47208440923,7.65020255309,7.65020255309,7.17444504249,6.36979281059,7.65020255329,7.48824517033,7.52083974493,7.65020255329,7.65020255339,7.65020255339,5.32554081078,6.47184144308,7.65020255238,7.65020255312,7.15492439712,7.65020255282,7.33392368322,6.85311145954,7.650202553,7.65020255299,7.650202552934,7.650202552934,7.650202553,7.650202553,7.65020255302,7.65020255272,7.65020255302,7.65020255302,7.65020255302,7.65020255302,7.58385808521,7.65020255302,7.48841143012,7.19529143046,7.65020255313,7.65020255302,7.35317694292,6.27425036782,5.37429345052,7.65020255361,6.73765950391,7.65020255357,7.65020255355,7.65020255355,7.65020255357,7.56661709117,7.50694021141,7.65020255357,6.16726574637,7.65020255252,7.65020255252,5.27725822892,7.65020255312,7.36248478432,7.21869378912,6.8573852931,7.507272888,7.65020255314,7.65020255314,7.6502025531,5.7641054683,7.65020255342,7.65020255332,7.65020255332,7.65020255332,7.65020255303,7.65020255304,7.65020255304,7.65020255301,7.65020255301,7.65020255302,7.65020255299,7.65020255299,7.27758841658,7.65020255298,7.650202552994,7.650202552994,7.65020255302,7.65020255282,7.65020255312,7.65020255312,7.65020255309,6.96749039059,7.65020255311,7.65020255311,7.65020255312,7.65020255302,7.65020255307,7.65020255307,7.65020255309,7.65020255309,7.36221680212,7.27649888052,7.65020255272,7.65020255272,7.65020255267,7.65020255267,6.92698772662,5.75655742192,4.80318186446,7.35407757476,7.65020255316,7.36091071496,7.65020255316,7.48778045286,4.97575438846,7.65020255325,7.65020255325,7.65020255326,7.65020255266,5.53064668726,6.60030188836,7.29245057622,7.65020255237,7.65020255236
"t2",0.13294388475,0,5.14909919142,6.69024035692,7.60996594282,7.6099659424,7.6099659424,7.60996594238,7.60996594239,7.60996594239,7.60996594241,7.60996594241,7.60996594232,7.60996594232,7.1742818664697,7.6099659422697,7.60996594232,7.60996594272,7.60996594202,7.60996594191,7.60996594191,7.60996594192,7.60996594192,7.60996594192,7.60996594192,7.60996594192,7.60996594192,7.6099659419,7.3290263403,7.60996594196,7.43184779806,7.60996594192,7.60996594192,7.13420843132,6.32955619942,7.60996594212,7.44800855916,7.48060313376,7.60996594212,7.60996594222,7.60996594222,5.28530419961,6.43160483191,7.60996594121,7.60996594195,7.11468778595,7.60996594165,7.29368707205,6.81287484837,7.60996594183,7.60996594182,7.609965941764,7.609965941764,7.60996594183,7.60996594183,7.60996594185,7.60996594155,7.60996594185,7.60996594185,7.60996594185,7.60996594185,7.54362147404,7.60996594185,7.44817481895,7.15505481929,7.60996594196,7.60996594185,7.31294033175,6.23401375665,5.33405683935,7.60996594244,6.69742289274,7.6099659424,7.60996594238,7.60996594238,7.6099659424,7.52638048,7.46670360024,7.6099659424,6.1270291352,7.60996594135,7.60996594135,5.23702161775,7.60996594195,7.32224817315,7.17845717795,6.81714868193,7.46703627683,7.60996594197,7.60996594197,7.60996594193,5.72386885713,7.60996594225,7.60996594215,7.60996594215,7.60996594215,7.60996594186,7.60996594187,7.60996594187,7.60996594184,7.60996594184,7.60996594185,7.60996594182,7.60996594182,7.23735180541,7.60996594181,7.609965941824,7.609965941824,7.60996594185,7.60996594165,7.60996594195,7.60996594195,7.60996594192,6.92725377942,7.60996594194,7.60996594194,7.60996594195,7.60996594185,7.6099659419,7.6099659419,7.60996594192,7.60996594192,7.32198019095,7.23626226935,7.60996594155,7.60996594155,7.6099659415,7.6099659415,6.88675111545,5.71632081075,4.76294525329,7.31384096359,7.60996594199,7.32067410379,7.60996594199,7.44754384169,4.93551777729,7.60996594208,7.60996594208,7.60996594209,7.60996594149,5.49041007609,6.56006527719,7.25221396505,7.6099659412,7.60996594119
"t4",5.18933580259,5.14909919142,0,2.7399140637,3.6596396496,3.65963964918,3.65963964918,3.65963964916,3.65963964917,3.65963964917,3.65963964919,3.65963964919,3.6596396491,3.6596396491,3.2239555732497,3.6596396490497,3.6596396491,3.6596396495,3.6596396488,3.65963964869,3.65963964869,3.6596396487,3.6596396487,3.6596396487,3.6596396487,3.6596396487,3.6596396487,3.65963964868,3.37870004708,3.65963964874,3.48152150484,3.6596396487,3.6596396487,3.1838821381,2.3792299062,3.6596396489,3.49768226594,3.53027684054,3.6596396489,3.659639649,3.659639649,1.33497790639,2.48127853869,3.65963964799,3.68438687247,3.18910871647,3.68438687217,3.36810800257,2.88729577889,3.68438687235,3.68438687234,3.684386872284,3.684386872284,3.68438687235,3.68438687235,3.68438687237,3.68438687207,3.68438687237,3.68438687237,3.68438687237,3.68438687237,3.61804240456,3.68438687237,3.52259574947,3.22947574981,3.68438687248,3.68438687237,3.38736126227,3.70977776197,2.80982084467,5.08572994776,4.17318689806,5.08572994772,5.0857299477,5.0857299477,5.08572994772,5.00214448532,4.94246760556,5.08572994772,3.60279314052,5.08572994667,5.08572994667,3.52849997867,5.90144430287,5.61372653407,5.46993553887,5.10862704285,5.75851463775,5.90144430289,5.90144430289,5.90144430285,4.01534721805,5.90144430317,5.90144430307,5.90144430307,5.90144430307,5.90144430278,5.90144430279,5.90144430279,5.90144430276,5.90144430276,5.90144430277,5.90144430274,5.90144430274,5.52883016633,5.90144430273,5.901444302744,5.901444302744,5.90144430277,5.90144430257,5.90144430287,5.90144430287,5.90144430284,5.21873214034,5.90144430286,5.90144430286,5.90144430287,5.90144430277,5.90144430282,5.90144430282,5.90144430284,5.90144430284,5.61345855187,5.52774063027,5.90144430247,5.90144430247,5.90144430242,5.90144430242,5.17822947637,4.00779917167,3.09601217553,5.64690788583,5.94303286423,5.65374102603,5.94303286423,5.78061076393,3.26858469953,5.94303286432,5.94303286432,5.94303286433,5.94303286373,4.05909624733,5.12875144843,5.82090013629,6.17865211244,6.17865211243
"t17",6.73047696809,6.69024035692,2.7399140637,0,2.4512814123,2.45128141188,2.45128141188,2.45128141186,2.45128141187,2.45128141187,2.45128141189,2.45128141189,2.4512814118,2.4512814118,2.3494392357497,2.7851233115497,2.7851233116,2.785123312,4.9679213293,4.96792132919,4.96792132919,4.9679213292,4.9679213292,4.9679213292,4.9679213292,4.9679213292,4.9679213292,4.96792132918,4.68698172758,4.96792132924,4.78980318534,4.9679213292,4.9679213292,4.4921638186,3.6875115867,4.9679213294,4.80596394644,4.83855852104,4.9679213294,4.9679213295,4.9679213295,2.76204186231,3.90834249461,5.08670360391,5.22552803797,4.73024988197,5.22552803767,4.90924916807,4.42843694439,5.22552803785,5.22552803784,5.225528037784,5.225528037784,5.22552803785,5.22552803785,5.22552803787,5.22552803757,5.22552803787,5.22552803787,5.22552803787,5.22552803787,5.15918357006,5.22552803787,5.06373691497,4.77061691531,5.22552803798,5.22552803787,4.92850242777,5.25091892747,4.35096201017,6.62687111326,5.71432806356,6.62687111322,6.6268711132,6.6268711132,6.62687111322,6.54328565082,6.48360877106,6.62687111322,5.14393430602,6.62687111217,6.62687111217,5.06964114417,7.44258546837,7.15486769957,7.01107670437,6.64976820835,7.29965580325,7.44258546839,7.44258546839,7.44258546835,5.55648838355,7.44258546867,7.44258546857,7.44258546857,7.44258546857,7.44258546828,7.44258546829,7.44258546829,7.44258546826,7.44258546826,7.44258546827,7.44258546824,7.44258546824,7.06997133183,7.44258546823,7.442585468244,7.442585468244,7.44258546827,7.44258546807,7.44258546837,7.44258546837,7.44258546834,6.75987330584,7.44258546836,7.44258546836,7.44258546837,7.44258546827,7.44258546832,7.44258546832,7.44258546834,7.44258546834,7.15459971737,7.06888179577,7.44258546797,7.44258546797,7.44258546792,7.44258546792,6.71937064187,5.54894033717,4.63715334103,7.18804905133,7.48417402973,7.19488219153,7.48417402973,7.32175192943,4.80972586503,7.48417402982,7.48417402982,7.48417402983,7.48417402923,5.60023741283,6.66989261393,7.36204130179,7.71979327794,7.71979327793
"t29",7.65020255399,7.60996594282,3.6596396496,2.4512814123,0,2.35603699558,2.35603699558,2.35603699556,2.35603699557,2.35603699557,2.35603699559,2.35603699559,2.7321789145,2.7321789145,3.2691648216497,3.7048488974497,3.7048488975,3.7048488979,5.8876469152,5.88764691509,5.88764691509,5.8876469151,5.8876469151,5.8876469151,5.8876469151,5.8876469151,5.8876469151,5.88764691508,5.60670731348,5.88764691514,5.70952877124,5.8876469151,5.8876469151,5.4118894045,4.6072371726,5.8876469153,5.72568953234,5.75828410694,5.8876469153,5.8876469154,5.8876469154,3.68176744821,4.82806808051,6.00642918981,6.14525362387,5.64997546787,6.14525362357,5.82897475397,5.34816253029,6.14525362375,6.14525362374,6.145253623684,6.145253623684,6.14525362375,6.14525362375,6.14525362377,6.14525362347,6.14525362377,6.14525362377,6.14525362377,6.14525362377,6.07890915596,6.14525362377,5.98346250087,5.69034250121,6.14525362388,6.14525362377,5.84822801367,6.17064451337,5.27068759607,7.54659669916,6.63405364946,7.54659669912,7.5465966991,7.5465966991,7.54659669912,7.46301123672,7.40333435696,7.54659669912,6.06365989192,7.54659669807,7.54659669807,5.98936673007,8.36231105427,8.07459328547,7.93080229027,7.56949379425,8.21938138915,8.36231105429,8.36231105429,8.36231105425,6.47621396945,8.36231105457,8.36231105447,8.36231105447,8.36231105447,8.36231105418,8.36231105419,8.36231105419,8.36231105416,8.36231105416,8.36231105417,8.36231105414,8.36231105414,7.98969691773,8.36231105413,8.362311054144,8.362311054144,8.36231105417,8.36231105397,8.36231105427,8.36231105427,8.36231105424,7.67959889174,8.36231105426,8.36231105426,8.36231105427,8.36231105417,8.36231105422,8.36231105422,8.36231105424,8.36231105424,8.07432530327,7.98860738167,8.36231105387,8.36231105387,8.36231105382,8.36231105382,7.63909622777,6.46866592307,5.55687892693,8.10777463723,8.40389961563,8.11460777743,8.40389961563,8.24147751533,5.72945145093,8.40389961572,8.40389961572,8.40389961573,8.40389961513,6.51996299873,7.58961819983,8.28176688769,8.63951886384,8.63951886383
"t133",7.65020255357,7.6099659424,3.65963964918,2.45128141188,2.35603699558,0,0.10205588876,1.25471246674,1.25471246675,1.25471246675,1.25471246677,1.25471246677,2.73217891408,2.73217891408,3.2691648212297,3.7048488970297,3.70484889708,3.70484889748,5.88764691478,5.88764691467,5.88764691467,5.88764691468,5.88764691468,5.88764691468,5.88764691468,5.88764691468,5.88764691468,5.88764691466,5.60670731306,5.88764691472,5.70952877082,5.88764691468,5.88764691468,5.41188940408,4.60723717218,5.88764691488,5.72568953192,5.75828410652,5.88764691488,5.88764691498,5.88764691498,3.68176744779,4.82806808009,6.00642918939,6.14525362345,5.64997546745,6.14525362315,5.82897475355,5.34816252987,6.14525362333,6.14525362332,6.145253623264,6.145253623264,6.14525362333,6.14525362333,6.14525362335,6.14525362305,6.14525362335,6.14525362335,6.14525362335,6.14525362335,6.07890915554,6.14525362335,5.98346250045,5.69034250079,6.14525362346,6.14525362335,5.84822801325,6.17064451295,5.27068759565,7.54659669874,6.63405364904,7.5465966987,7.54659669868,7.54659669868,7.5465966987,7.4630112363,7.40333435654,7.5465966987,6.0636598915,7.54659669765,7.54659669765,5.98936672965,8.36231105385,8.07459328505,7.93080228985,7.56949379383,8.21938138873,8.36231105387,8.36231105387,8.36231105383,6.47621396903,8.36231105415,8.36231105405,8.36231105405,8.36231105405,8.36231105376,8.36231105377,8.36231105377,8.36231105374,8.36231105374,8.36231105375,8.36231105372,8.36231105372,7.98969691731,8.36231105371,8.362311053724,8.362311053724,8.36231105375,8.36231105355,8.36231105385,8.36231105385,8.36231105382,7.67959889132,8.36231105384,8.36231105384,8.36231105385,8.36231105375,8.3623110538,8.3623110538,8.36231105382,8.36231105382,8.07432530285,7.98860738125,8.36231105345,8.36231105345,8.3623110534,8.3623110534,7.63909622735,6.46866592265,5.55687892651,8.10777463681,8.40389961521,8.11460777701,8.40389961521,8.24147751491,5.72945145051,8.4038996153,8.4038996153,8.40389961531,8.40389961471,6.51996299831,7.58961819941,8.28176688727,8.63951886342,8.63951886341
"t134",7.65020255357,7.6099659424,3.65963964918,2.45128141188,2.35603699558,0.10205588876,0,1.25471246674,1.25471246675,1.25471246675,1.25471246677,1.25471246677,2.73217891408,2.73217891408,3.2691648212297,3.7048488970297,3.70484889708,3.70484889748,5.88764691478,5.88764691467,5.88764691467,5.88764691468,5.88764691468,5.88764691468,5.88764691468,5.88764691468,5.88764691468,5.88764691466,5.60670731306,5.88764691472,5.70952877082,5.88764691468,5.88764691468,5.41188940408,4.60723717218,5.88764691488,5.72568953192,5.75828410652,5.88764691488,5.88764691498,5.88764691498,3.68176744779,4.82806808009,6.00642918939,6.14525362345,5.64997546745,6.14525362315,5.82897475355,5.34816252987,6.14525362333,6.14525362332,6.145253623264,6.145253623264,6.14525362333,6.14525362333,6.14525362335,6.14525362305,6.14525362335,6.14525362335,6.14525362335,6.14525362335,6.07890915554,6.14525362335,5.98346250045,5.69034250079,6.14525362346,6.14525362335,5.84822801325,6.17064451295,5.27068759565,7.54659669874,6.63405364904,7.5465966987,7.54659669868,7.54659669868,7.5465966987,7.4630112363,7.40333435654,7.5465966987,6.0636598915,7.54659669765,7.54659669765,5.98936672965,8.36231105385,8.07459328505,7.93080228985,7.56949379383,8.21938138873,8.36231105387,8.36231105387,8.36231105383,6.47621396903,8.36231105415,8.36231105405,8.36231105405,8.36231105405,8.36231105376,8.36231105377,8.36231105377,8.36231105374,8.36231105374,8.36231105375,8.36231105372,8.36231105372,7.98969691731,8.36231105371,8.362311053724,8.362311053724,8.36231105375,8.36231105355,8.36231105385,8.36231105385,8.36231105382,7.67959889132,8.36231105384,8.36231105384,8.36231105385,8.36231105375,8.3623110538,8.3623110538,8.36231105382,8.36231105382,8.07432530285,7.98860738125,8.36231105345,8.36231105345,8.3623110534,8.3623110534,7.63909622735,6.46866592265,5.55687892651,8.10777463681,8.40389961521,8.11460777701,8.40389961521,8.24147751491,5.72945145051,8.4038996153,8.4038996153,8.40389961531,8.40389961471,6.51996299831,7.58961819941,8.28176688727,8.63951886342,8.63951886341
"t56",7.65020255355,7.60996594238,3.65963964916,2.45128141186,2.35603699556,1.25471246674,1.25471246674,0,1.16592108661,1.16592108661,1.16592108663,1.16592108663,2.73217891406,2.73217891406,3.2691648212097,3.7048488970097,3.70484889706,3.70484889746,5.88764691476,5.88764691465,5.88764691465,5.88764691466,5.88764691466,5.88764691466,5.88764691466,5.88764691466,5.88764691466,5.88764691464,5.60670731304,5.8876469147,5.7095287708,5.88764691466,5.88764691466,5.41188940406,4.60723717216,5.88764691486,5.7256895319,5.7582841065,5.88764691486,5.88764691496,5.88764691496,3.68176744777,4.82806808007,6.00642918937,6.14525362343,5.64997546743,6.14525362313,5.82897475353,5.34816252985,6.14525362331,6.1452536233,6.145253623244,6.145253623244,6.14525362331,6.14525362331,6.14525362333,6.14525362303,6.14525362333,6.14525362333,6.14525362333,6.14525362333,6.07890915552,6.14525362333,5.98346250043,5.69034250077,6.14525362344,6.14525362333,5.84822801323,6.17064451293,5.27068759563,7.54659669872,6.63405364902,7.54659669868,7.54659669866,7.54659669866,7.54659669868,7.46301123628,7.40333435652,7.54659669868,6.06365989148,7.54659669763,7.54659669763,5.98936672963,8.36231105383,8.07459328503,7.93080228983,7.56949379381,8.21938138871,8.36231105385,8.36231105385,8.36231105381,6.47621396901,8.36231105413,8.36231105403,8.36231105403,8.36231105403,8.36231105374,8.36231105375,8.36231105375,8.36231105372,8.36231105372,8.36231105373,8.3623110537,8.3623110537,7.98969691729,8.36231105369,8.362311053704,8.362311053704,8.36231105373,8.36231105353,8.36231105383,8.36231105383,8.3623110538,7.6795988913,8.36231105382,8.36231105382,8.36231105383,8.36231105373,8.36231105378,8.36231105378,8.3623110538,8.3623110538,8.07432530283,7.98860738123,8.36231105343,8.36231105343,8.36231105338,8.36231105338,7.63909622733,6.46866592263,5.55687892649,8.10777463679,8.40389961519,8.11460777699,8.40389961519,8.24147751489,5.72945145049,8.40389961528,8.40389961528,8.40389961529,8.40389961469,6.51996299829,7.58961819939,8.28176688725,8.6395188634,8.63951886339
"t123",7.65020255356,7.60996594239,3.65963964917,2.45128141187,2.35603699557,1.25471246675,1.25471246675,1.16592108661,0,0.17820082362,0.39681825724,0.39681825724,2.73217891407,2.73217891407,3.2691648212197,3.7048488970197,3.70484889707,3.70484889747,5.88764691477,5.88764691466,5.88764691466,5.88764691467,5.88764691467,5.88764691467,5.88764691467,5.88764691467,5.88764691467,5.88764691465,5.60670731305,5.88764691471,5.70952877081,5.88764691467,5.88764691467,5.41188940407,4.60723717217,5.88764691487,5.72568953191,5.75828410651,5.88764691487,5.88764691497,5.88764691497,3.68176744778,4.82806808008,6.00642918938,6.14525362344,5.64997546744,6.14525362314,5.82897475354,5.34816252986,6.14525362332,6.14525362331,6.145253623254,6.145253623254,6.14525362332,6.14525362332,6.14525362334,6.14525362304,6.14525362334,6.14525362334,6.14525362334,6.14525362334,6.07890915553,6.14525362334,5.98346250044,5.69034250078,6.14525362345,6.14525362334,5.84822801324,6.17064451294,5.27068759564,7.54659669873,6.63405364903,7.54659669869,7.54659669867,7.54659669867,7.54659669869,7.46301123629,7.40333435653,7.54659669869,6.06365989149,7.54659669764,7.54659669764,5.98936672964,8.36231105384,8.07459328504,7.93080228984,7.56949379382,8.21938138872,8.36231105386,8.36231105386,8.36231105382,6.47621396902,8.36231105414,8.36231105404,8.36231105404,8.36231105404,8.36231105375,8.36231105376,8.36231105376,8.36231105373,8.36231105373,8.36231105374,8.36231105371,8.36231105371,7.9896969173,8.3623110537,8.362311053714,8.362311053714,8.36231105374,8.36231105354,8.36231105384,8.36231105384,8.36231105381,7.67959889131,8.36231105383,8.36231105383,8.36231105384,8.36231105374,8.36231105379,8.36231105379,8.36231105381,8.36231105381,8.07432530284,7.98860738124,8.36231105344,8.36231105344,8.36231105339,8.36231105339,7.63909622734,6.46866592264,5.5568789265,8.1077746368,8.4038996152,8.114607777,8.4038996152,8.2414775149,5.7294514505,8.40389961529,8.40389961529,8.4038996153,8.4038996147,6.5199629983,7.5896181994,8.28176688726,8.63951886341,8.6395188634
"t124",7.65020255356,7.60996594239,3.65963964917,2.45128141187,2.35603699557,1.25471246675,1.25471246675,1.16592108661,0.17820082362,0,0.39681825724,0.39681825724,2.73217891407,2.73217891407,3.2691648212197,3.7048488970197,3.70484889707,3.70484889747,5.88764691477,5.88764691466,5.88764691466,5.88764691467,5.88764691467,5.88764691467,5.88764691467,5.88764691467,5.88764691467,5.88764691465,5.60670731305,5.88764691471,5.70952877081,5.88764691467,5.88764691467,5.41188940407,4.60723717217,5.88764691487,5.72568953191,5.75828410651,5.88764691487,5.88764691497,5.88764691497,3.68176744778,4.82806808008,6.00642918938,6.14525362344,5.64997546744,6.14525362314,5.82897475354,5.34816252986,6.14525362332,6.14525362331,6.145253623254,6.145253623254,6.14525362332,6.14525362332,6.14525362334,6.14525362304,6.14525362334,6.14525362334,6.14525362334,6.14525362334,6.07890915553,6.14525362334,5.98346250044,5.69034250078,6.14525362345,6.14525362334,5.84822801324,6.17064451294,5.27068759564,7.54659669873,6.63405364903,7.54659669869,7.54659669867,7.54659669867,7.54659669869,7.46301123629,7.40333435653,7.54659669869,6.06365989149,7.54659669764,7.54659669764,5.98936672964,8.36231105384,8.07459328504,7.93080228984,7.56949379382,8.21938138872,8.36231105386,8.36231105386,8.36231105382,6.47621396902,8.36231105414,8.36231105404,8.36231105404,8.36231105404,8.36231105375,8.36231105376,8.36231105376,8.36231105373,8.36231105373,8.36231105374,8.36231105371,8.36231105371,7.9896969173,8.3623110537,8.362311053714,8.362311053714,8.36231105374,8.36231105354,8.36231105384,8.36231105384,8.36231105381,7.67959889131,8.36231105383,8.36231105383,8.36231105384,8.36231105374,8.36231105379,8.36231105379,8.36231105381,8.36231105381,8.07432530284,7.98860738124,8.36231105344,8.36231105344,8.36231105339,8.36231105339,7.63909622734,6.46866592264,5.5568789265,8.1077746368,8.4038996152,8.114607777,8.4038996152,8.2414775149,5.7294514505,8.40389961529,8.40389961529,8.4038996153,8.4038996147,6.5199629983,7.5896181994,8.28176688726,8.63951886341,8.6395188634
