"accepted_species","traits"
"sp16",1
"sp52",0
"sp69",1
"sp71",1
"sp72",0
"sp79",0
"sp81",1
"sp82",1
"sp85",1
"sp88",0
"sp91",0
"sp92",0
"sp93",0
"sp94",1
"sp97",0
"sp102",0
"sp104",1
"sp105",0
"sp110",0
"sp111",1
"sp113",0
"sp114",0
"sp115",0
"sp116",0
"sp118",0
"sp120",0
"sp121",0
"sp122",0
"sp123",1
"sp124",1
"sp125",0
"sp126",0
"sp128",0
"sp129",0
"sp130",0
"sp131",0
"sp132",1
"sp134",0
"sp135",0
"sp136",0
"sp137",1
"sp138",0
"sp140",0
"sp141",0
"sp142",0
"sp143",0
"sp145",0
"sp146",0
"sp147",0
"sp148",0
"sp149",0
"sp150",0
"sp151",0
"sp152",0
"sp153",0
"sp154",0
"sp155",1
"sp156",0
"sp157",0
"sp158",0
"sp159",1
"sp162",0
"sp163",1
"sp164",0
"sp165",0
"sp166",0
"sp167",0
"sp169",1
"sp170",0
"sp171",0
"sp172",1
"sp174",0
"sp175",0
"sp176",0
"sp177",0
"sp178",0
"sp179",0
"sp180",0
"sp181",0
"sp182",0
"sp183",0
"sp184",0
"sp185",0
"sp186",0
"sp187",0
"sp188",0
"sp189",0
"sp190",1
"sp191",0
"sp192",0
"sp193",0
"sp194",0
"sp195",0
"sp196",0
"sp197",0
"sp198",0
"sp199",0
"sp200",0
"sp201",0
"sp202",0
