"accepted_species","I1.1/1"
"t38","0"
"t39","1"
"t49","0"
"t50","0"
"t70","0"
"t71","0"
"t41","0"
"t42","0"
"t32","0"
"t33","0"
"t48","0"
"t59","0"
"t60","0"
"t8","0"
"t4","0"
"t34","1"
"t43","1"
"t62","1"
"t63","1"
"t40","1"
"t72","1"
"t73","1"
"t93","0"
"t94","0"
"t76","0"
"t77","0"
"t17","1"
"t91","0"
"t92","0"
"t74","1"
"t61","1"
"t15","1"
"t5","1"
"t6","1"
"t9","1"
"t1","1"
"t99","1"
"t100","1"
"t75","0"
"t51","1"
"t27","1"
"t78","1"
"t79","1"
"t47","1"
"t2","1"
"t3","1"
"t20","1"
"t21","1"
"t84","0"
"t85","0"
"t69","1"
"t55","0"
"t97","0"
"t98","1"
"t89","1"
"t90","1"
"t58","1"
"t80","0"
"t81","0"
"t67","1"
"t68","1"
"t24","1"
"t13","0"
"t14","0"
"t7","0"
"t25","0"
"t26","1"
"t35","1"
"t10","1"
"t11","1"
"t86","0"
"t87","0"
"t64","1"
"t82","0"
"t83","0"
"t56","1"
"t57","0"
"t22","1"
"t23","0"
"t19","1"
"t36","1"
"t30","1"
"t31","1"
"t16","1"
"t44","1"
"t45","0"
"t37","0"
"t88","1"
"t95","1"
"t96","1"
"t46","0"
"t54","0"
"t65","0"
"t66","0"
"t12","1"
"t52","1"
"t53","1"
"t18","0"
"t28","0"
"t29","0"
