,models,stat,p value,variable,hochberg_adjusted_p_value
0,corHMM_xgb_umap_supervised,-18.152573727514422,5.285886990139867e-59,binary,4.122991852309096e-57
1,xgb_eigenvecs_xgb_umap_supervised,-15.740304191393664,5.671903052186253e-47,binary,4.367365350183415e-45
2,xgb_umap_supervised_xgb_autoenc_supervised,15.559643542685794,4.253826914668538e-46,binary,3.2329084551480887e-44
3,picante_xgb_umap_supervised,-14.657613630089722,8.555661646382718e-42,binary,6.416746234787039e-40
4,phylnn_fill_means_xgb_umap_supervised,-14.55649360925993,2.555288099892828e-41,binary,1.8909131939206928e-39
5,xgb_umap_supervised_xgb_autoencoded,13.99941064740831,9.931424205688111e-39,binary,7.249939670152321e-37
6,xgb_umap_xgb_umap_supervised,-13.719348609481193,1.905235354158339e-37,binary,1.3717694549940042e-35
7,corHMM_logit_umap_supervised,-12.83977358593801,1.6601747692611163e-33,binary,1.1787240861753925e-31
8,logit_eigenvecs_xgb_umap_supervised,-12.42358937447094,1.0816656059300572e-31,binary,7.5716592415104e-30
9,logit_umap_xgb_umap_supervised,-11.927231091617442,1.4185728582126377e-29,binary,9.7881527216672e-28
10,logit_autoencoded_xgb_umap_supervised,-11.910956226435886,1.661184913093571e-29,binary,1.1296057409036283e-27
11,logit_autoenc_supervised_xgb_umap_supervised,-11.34947151756995,3.553266098231339e-27,binary,2.380688285814997e-25
12,corHMM_logit_umap,-9.351228068767476,1.7040684904716986e-19,binary,1.1246852037113211e-17
13,corHMM_logit_autoencoded,-9.26643937160812,3.4222855007269063e-19,binary,2.224485575472489e-17
14,corHMM_logit_autoenc_supervised,-9.176255312618114,7.1484306476620605e-19,binary,4.574995614503719e-17
15,corHMM_logit_eigenvecs,-9.1665723522767,7.734310022811171e-19,binary,4.8726153143710377e-17
16,logit_umap_supervised_xgb_eigenvecs,9.145029058432124,9.213854637579113e-19,binary,5.71258987529905e-17
17,corHMM_xgb_umap,-9.1226087808777,1.105138166817527e-18,binary,6.741342817586915e-17
18,logit_umap_supervised_xgb_autoenc_supervised,9.01616619032287,2.6086422444343178e-18,binary,1.5651853466605908e-16
19,corHMM_xgb_autoencoded,-8.916298105514207,5.800066025996801e-18,binary,3.422038955338113e-16
20,phylnn_fill_means_logit_umap_supervised,-8.870855828838282,8.325013882194268e-18,binary,4.828508051672675e-16
21,picante_logit_umap_supervised,-8.650315093617378,4.7161212879471477e-17,binary,2.6881891341298744e-15
22,logit_umap_supervised_xgb_autoencoded,7.722414197426503,4.816329029289975e-14,binary,2.697144256402386e-12
23,corHMM_xgb_eigenvecs,-7.610731761479712,1.0639046275266281e-13,binary,5.851475451396454e-12
24,corHMM_xgb_autoenc_supervised,-7.3753503764098705,5.485912615343796e-13,binary,2.96239281228565e-11
25,logit_eigenvecs_logit_umap_supervised,-7.341115496978289,6.940117369696194e-13,binary,3.6782622059389826e-11
26,logit_umap_supervised_logit_autoencoded,7.222761861331094,1.5540346360873868e-12,binary,8.080980107654411e-11
27,logit_umap_logit_umap_supervised,-7.1097958998515205,3.321544764482321e-12,binary,1.6939878298859836e-10
28,logit_umap_supervised_xgb_umap_supervised,-7.093548381468133,3.702030759115512e-12,binary,1.851015379557756e-10
29,logit_umap_supervised_xgb_umap,6.923079387358242,1.1411409664869742e-11,binary,5.591590735786174e-10
30,corHMM_picante,-6.661910868939311,6.130665938218779e-11,binary,2.942719650345014e-09
