,models,stat,p value,variable,hochberg_adjusted_p_value
0,phylopars_phylnn_fill_means,-20.345011253262783,2.3767241031870074e-70,continuous,8.556206771473227e-69
1,picante_phylnn_fill_means,-18.09614255166128,1.025300639339467e-58,continuous,3.588552237688134e-57
2,phylopars_xgb_umap,-16.031312704147,2.1658710301760107e-48,continuous,7.363961502598436e-47
3,phylnn_fill_means_xgb_eigenvecs,14.134460522674518,2.3645477864417132e-39,continuous,7.803007695257654e-38
4,phylnn_fill_means_xgb_autoencoded,13.05251434650395,1.9057073656741095e-34,continuous,6.0982635701571505e-33
5,picante_xgb_umap,-11.938569878801513,1.2707138545032085e-29,continuous,3.9392129489599463e-28
6,phylopars_xgb_autoencoded,-11.345628323954116,3.6841340120370366e-27,continuous,1.105240203611111e-25
7,phylnn_fill_means_xgb_umap,10.622047613860737,2.8992724098235222e-24,continuous,8.407889988488214e-23
8,phylopars_xgb_eigenvecs,-10.266679819684596,6.887802346404174e-23,continuous,1.9285846569931686e-21
9,phylopars_linear_autoencoded,-10.146736108260509,1.9735165546404409e-22,continuous,5.32849469752919e-21
10,picante_linear_autoencoded,-9.194676811814494,6.152517078284132e-19,continuous,1.5996544403538742e-17
11,picante_xgb_autoencoded,-7.459669177871273,3.062806721672245e-13,continuous,7.657016804180612e-12
12,linear_autoencoded_xgb_eigenvecs,7.048354617983294,5.000269308354189e-12,continuous,1.2000646340050055e-10
13,linear_autoencoded_xgb_autoencoded,6.58815286233668,9.762102530264454e-11,continuous,2.2452835819608244e-09
14,picante_xgb_eigenvecs,-6.254285552155419,7.59895970836585e-10,continuous,1.671771135840487e-08
15,phylopars_linear_umap,-6.230880647911967,8.745529964642003e-10,continuous,1.8365612925748208e-08
16,xgb_eigenvecs_xgb_umap,-6.1712047096602936,1.248928836319514e-09,continuous,2.497857672639028e-08
17,picante_linear_umap,-5.721589493357502,1.6681896798019422e-08,continuous,3.16956039162369e-07
18,phylopars_picante,-5.199279295395559,2.749237950939876e-07,continuous,4.948628311691777e-06
19,xgb_umap_xgb_autoencoded,5.193765139644728,2.828341849106924e-07,continuous,4.80818114348177e-06
20,linear_umap_xgb_eigenvecs,4.519802646451796,7.46090607427029e-06,continuous,0.00011937449718832464
21,linear_autoencoded_xgb_umap,4.315964337197428,1.859039170150931e-05,continuous,0.00027885587552263963
22,linear_umap_xgb_autoencoded,4.136073384344387,4.03823841209102e-05,continuous,0.0005653533776927427
23,phylopars_linear_eigenvecs,-3.354856096094799,0.0008442504892336,continuous,0.0109752563600368
24,picante_linear_eigenvecs,-3.222580679969975,0.0013393799109858,continuous,0.0160725589318296
25,linear_umap_xgb_umap,2.96650879598407,0.0031320940480641,continuous,0.0344530345287051
26,linear_eigenvecs_xgb_eigenvecs,2.9455950202970382,0.0033485293128495,continuous,0.033485293128495
27,linear_eigenvecs_xgb_autoencoded,2.8330480957729733,0.0047658364819016,continuous,0.0428925283371144
28,linear_eigenvecs_xgb_umap,2.502702844436736,0.0125901593196069,continuous,0.1007212745568552
29,phylnn_fill_means_linear_autoencoded,2.2675559245630423,0.023711694475238,continuous,0.165981861326666
30,linear_eigenvecs_linear_autoencoded,1.9486408557571149,0.0518048595823684,continuous,0.31082915749421036
31,linear_eigenvecs_linear_umap,1.7313429934095064,0.0839055033533978,continuous,0.419527516766989
32,phylnn_fill_means_linear_eigenvecs,-1.5124840265073445,0.1309381691557344,continuous,0.5237526766229376
33,xgb_eigenvecs_xgb_autoencoded,-1.4217378312201234,0.1556228180076198,continuous,0.46686845402285937
34,phylnn_fill_means_linear_umap,0.7410600690691378,0.4589474293249341,continuous,0.9178948586498682
35,linear_umap_linear_autoencoded,0.5666714896491256,0.5711496584826545,continuous,0.5711496584826545
