,models,stat,p value,variable,case,missing type,hochberg_adjusted_p_value
0,picante_phylnn_fill_means,-14.40053076412154,5.013338668460117e-26,continuous,BMT,mcar,3.609603841291284e-24
1,picante_phylnn_fill_means,-14.37222466701822,5.722940209148139e-26,continuous,EB,mcar,4.063287548495179e-24
2,phylopars_phylnn_fill_means,-14.264858276631912,9.463702058320876e-26,continuous,BMT,mcar,6.624591440824613e-24
3,phylopars_phylnn_fill_means,-14.223900592432704,1.1469527657594596e-25,continuous,EB,mcar,7.913974083740272e-24
4,picante_phylnn_fill_means,-10.021563941397568,9.816809182536147e-17,continuous,EB,phyloNa,6.67543024412458e-15
5,phylopars_phylnn_fill_means,-9.986382518222507,1.171420122637534e-16,continuous,EB,phyloNa,7.848514821671476e-15
6,picante_phylnn_fill_means,-8.648605175743526,9.599815905148605e-14,continuous,BMT,phyloNa,6.33587849739808e-12
7,phylopars_phylnn_fill_means,-8.62917135218095,1.0577149633355649e-13,continuous,BMT,phyloNa,6.8751472616811714e-12
8,corHMM_phylnn_fill_means,-6.196170925348927,1.3310141317306514e-08,binary,BISSE,mcar,8.518490443076169e-07
9,phylopars_phylnn_fill_means,-5.296116318952233,7.151348266308338e-07,continuous,Standard Simulations,mcar,4.505349407774253e-05
10,corHMM_picante,-5.139533591526721,1.3870433510952548e-06,binary,HISSE,phyloNa,8.59966877679058e-05
11,phylopars_picante,-4.715920507791735,7.89497982894259e-06,continuous,Standard Simulations,mcar,0.00048159376956549796
12,phylopars_picante,-4.05853809167636,0.0001035145032812,continuous,Standard Simulations,mcar,0.006210870196872
13,picante_phylnn_fill_means,3.998776752599538,0.0001227962177722,binary,HISSE,phyloNa,0.007244976848559801
14,corHMM_picante,-3.879255567381061,0.0001888133882812,binary,HISSE,mcar,0.0109511765203096
15,corHMM_picante,-3.770908131405952,0.0002826015691308,binary,Standard Simulations,mcar,0.0161082894404556
16,phylopars_phylnn_raw,-3.699678701674362,0.0003672294952965,continuous,Standard Simulations,mcar,0.020564851736604
17,corHMM_phylnn_fill_means,-3.6130098266834514,0.0004776470420163,binary,HISSE,mcar,0.0262705873108965
18,corHMM_picante,-3.575267784824784,0.0005429167701309,binary,Standard Simulations,mcar,0.0293175055870686
19,corHMM_phylnn_fill_means,-3.402641807972373,0.0009643185200779,binary,Standard Simulations,mcar,0.051108881564128704
20,phylopars_picante,-3.272912245610835,0.0014664425428307,continuous,Standard Simulations,phyloNa,0.0762550122271964
21,picante_phylnn_fill_means,-3.170456847192883,0.0020260663257039,binary,BISSE,mcar,0.1033293826108989
22,corHMM_phylnn_raw,-3.119140136829471,0.0024367271274066,binary,BISSE,mcar,0.12183635637033001
23,phylopars_phylnn_raw,-2.984409435417991,0.003755015026251,continuous,BMT,mcar,0.183995736286299
24,corHMM_picante,-2.914756878165719,0.0044019572932995,binary,BISSE,mcar,0.21129395007837598
25,phylopars_phylnn_fill_means,-2.8971550613722914,0.0046358257053771,continuous,Standard Simulations,phyloNa,0.2178838081527237
26,corHMM_picante,-2.8869148383232366,0.0047770852172622,binary,BISSE,phyloNa,0.2197459199940612
27,picante_phylnn_raw,-2.86454465077942,0.0053168930017111,continuous,BMT,mcar,0.23926018507699948
28,corHMM_phylnn_raw,-2.778073395623352,0.0065897670073718,binary,Standard Simulations,mcar,0.2899497483243592
29,picante_phylnn_raw,-2.7294703354540557,0.007630122224471,binary,BISSE,mcar,0.328095255652253
30,corHMM_phylnn_raw,-2.570386733252845,0.012037405719917,binary,BISSE,phyloNa,0.505571040236514
31,corHMM_picante,-2.4778802946582164,0.0149633408096119,binary,HISSE,mcar,0.6134969731940879
32,corHMM_phylnn_raw,-2.447407825564458,0.0162064293925742,binary,HISSE,mcar,0.648257175702968
33,corHMM_picante,-2.402420733503203,0.0186334592820434,binary,BISSE,phyloNa,0.7267049119996927
34,picante_phylnn_raw,-2.3175780426837957,0.0228475227037841,continuous,EB,mcar,0.8682058627437957
35,phylopars_phylnn_raw,-2.2922620041392694,0.0243324481862457,continuous,EB,mcar,0.9003005828910908
36,phylopars_phylnn_raw,-2.245006957607347,0.0278838513315423,continuous,EB,phyloNa,1.003818647935523
37,picante_phylnn_raw,-2.0436900007290464,0.0446955159030725,continuous,EB,phyloNa,1.5643430566075374
38,corHMM_picante,-1.933493725215777,0.0563183234904609,binary,BISSE,mcar,1.9148229986756706
39,phylopars_picante,-1.7764741496465877,0.0794096344228715,continuous,Standard Simulations,phyloNa,2.6205179359547595
40,picante_phylnn_raw,-1.750291118705636,0.0839505891546896,binary,BISSE,phyloNa,2.686418852950067
41,corHMM_phylnn_fill_means,-1.691441034233719,0.0938983033857946,binary,BISSE,phyloNa,2.9108474049596325
42,corHMM_picante,-1.6571037743630883,0.1006643924554473,binary,Standard Simulations,phyloNa,3.019931773663419
43,phylopars_picante,-1.4118310078673226,0.1636325270372313,continuous,BMT,phyloNa,4.745343284079707
44,picante_phylnn_fill_means,-1.3518815831531297,0.1794937465676943,continuous,Standard Simulations,phyloNa,5.02582490389544
45,picante_phylnn_fill_means,-1.340549848697446,0.1831347908354864,continuous,Standard Simulations,mcar,4.9446393525581325
46,picante_phylnn_raw,-1.338670881037806,0.183839418463225,binary,HISSE,mcar,4.77982488004385
47,phylopars_phylnn_raw,-1.3340824551281545,0.1859156088376227,continuous,Standard Simulations,phyloNa,4.6478902209405675
48,phylopars_phylnn_raw,-1.250018592036109,0.2165854899223143,continuous,BMT,phyloNa,5.198051758135543
49,phylopars_picante,1.2045983029288976,0.2312302793104515,continuous,BMT,mcar,5.318296424140384
50,corHMM_picante,-1.1203401058407318,0.2658001877544139,binary,Standard Simulations,phyloNa,5.847604130597105
51,phylopars_picante,-1.1108498097634152,0.2699196321155658,continuous,BMT,mcar,5.6683122744268815
52,phylopars_picante,1.0704345722409483,0.2870265494791548,continuous,EB,mcar,5.740530989583096
53,picante_phylnn_raw,-1.031058976416582,0.3070259961166207,continuous,BMT,phyloNa,5.833493926215793
54,corHMM_picante,-1.0014228694046976,0.319498501503285,binary,HISSE,phyloNa,5.75097302705913
55,picante_phylnn_fill_means,0.867625755445635,0.3876974612513255,binary,Standard Simulations,phyloNa,6.590856841272533
56,phylopars_picante,-0.8307510774933408,0.4088992217513687,continuous,EB,phyloNa,6.5423875480219
57,phylopars_picante,0.6827951969606354,0.496330945490209,continuous,EB,phyloNa,7.444964182353135
58,corHMM_phylnn_fill_means,0.5893288141131116,0.5569831958509445,binary,HISSE,phyloNa,7.797764741913222
59,picante_phylnn_raw,0.5685398418491716,0.5712035645555811,binary,Standard Simulations,phyloNa,7.4256463392225545
60,picante_phylnn_fill_means,-0.491267470893289,0.6243246313445507,binary,Standard Simulations,mcar,7.491895576134609
61,corHMM_phylnn_raw,-0.4513134925940473,0.6529406271974076,binary,Standard Simulations,phyloNa,7.182346899171484
62,picante_phylnn_fill_means,0.422271764575013,0.6737423276158487,binary,BISSE,phyloNa,6.737423276158488
63,corHMM_phylnn_raw,-0.3878693955209655,0.6990938558864961,binary,HISSE,phyloNa,6.291844702978465
64,corHMM_phylnn_fill_means,-0.3390580676284902,0.7352841244634205,binary,Standard Simulations,phyloNa,5.882272995707364
65,picante_phylnn_raw,0.238990506880957,0.8116445249429544,continuous,Standard Simulations,mcar,5.681511674600681
66,phylopars_picante,-0.2074346888783781,0.8361607993383056,continuous,EB,mcar,5.016964796029834
67,picante_phylnn_raw,-0.1937543603813569,0.8467819067837313,binary,Standard Simulations,mcar,4.2339095339186565
68,picante_phylnn_raw,0.1895423523052183,0.8501250227327622,binary,HISSE,phyloNa,3.400500090931049
