"accepted_species","trait_EB_scaled"
"t36",1.55144366075314
"t37",1.73675152706827
"t60",1.83848467885773
"t61",1.80857927605599
"t49",2.04252440594389
"t50",0.832333384632609
"t83",-0.252009153604602
"t84",-0.366609725030932
"t42",0.953263108065138
"t43",0.982121628515868
"t10",0.183182410859098
"t2",1.26125072708772
"t17",1.66131062985387
"t93",-0.0188863218509189
"t94",-0.193976562907341
"t81",0.469544556714753
"t82",0.309888048565587
"t18",0.224705983928626
"t25",1.88709355141631
"t26",2.01063654505922
"t55",0.931020882736987
"t56",1.92632986441568
"t35",1.06504597867435
"t15",0.915953450317199
"t40",1.56781073257904
"t41",1.43868239670302
"t31",-1.32748992869116
"t64",-1.02896001108347
"t65",-0.430276727062253
"t77",0.400236032993258
"t78",-0.156186131858586
"t51",-0.155172581293337
"t52",-0.218529891512944
"t7",0.50647859916245
"t27",0.332721862573616
"t95",0.529463529398321
"t96",0.57950985127645
"t21",1.26037550447433
"t22",0.065103318762088
"t1",2.25014685385146
"t90",0.131338851372402
"t91",-0.163380987448115
"t67",0.144298062084448
"t8",0.784232254705183
"t5",-0.964638227899147
"t72",0.277478148713306
"t73",-0.506961658527405
"t6",-0.898280665819901
"t3",0.317609530589646
"t57",1.17558212220583
"t58",0.784537724607969
"t59",0.237373263455302
"t28",0.0374084205909689
"t44",-0.675754340131497
"t87",0.360414432810143
"t88",-0.242688378708902
"t89",0.086534260558403
"t85",-0.418029803539761
"t86",-0.635048737862679
"t12",0.797776638239605
"t47",-0.652337776992637
"t48",-1.55236410028071
"t32",-1.41949395339662
"t62",-1.05305931849962
"t63",-0.322089295236318
"t23",-0.789723634470013
"t68",-0.830026888309285
"t69",-1.173478515523
"t97",-1.58445139074377
"t98",-1.59365102683261
"t92",-1.36075155190115
"t39",-0.697229483945786
"t29",-2.48926991608821
"t30",-1.47312016428496
"t24",-0.164680730713392
"t66",-0.310901400100543
"t79",-1.03611307878662
"t80",-0.677844521873312
"t33",-0.401845197192499
"t34",-0.971128381448191
"t99",-1.16535848950184
"t100",-0.830229744117812
"t74",-0.72000761292638
"t19",-0.039899771977296
"t20",-0.644335136304024
"t9",0.372312621067646
"t11",-0.349044208369463
"t16",0.474961331891158
"t70",-0.481791273727027
"t71",-0.400639089784809
"t53",0.28053745781818
"t54",-0.387913498814858
"t38",0.619185305953591
"t45",-0.609898929099961
"t46",-1.03940573849642
"t4",-0.0704825209033974
"t75",-1.54944355582536
"t76",-1.0718362278738
"t14",-0.468257305708039
"t13",-1.36859014307714
