"","c1","c2","c3","c4","c5","c6","c7","c8","c9","c10","c11","c12","c13","c14","c15","c16","c17","c18","c19","c20","c21","c22","c23","c24","c25","c26","c27","c28","c29","c30","c31","c32","c33","c34","c35","c36","c37","c38","c39","c40","c41","c42","c43","c44","c45","c46","c47","c48","c49","c50","c51","c52","c53","c54","c55","c56","c57","c58","c59","c60","c61","c62","c63","c64","c65","c66","c67","c68","c69","c70","c71","c72","c73","c74","c75","c76","c77","c78","c79","c80","c81","c82","c83","c84","c85","c86","c87","c88","c89","c90","c91","c92","c93","c94","c95","c96","c97","c98","c99"
"Galium_labradoricum",-0.103418558288796,0.0673590473182508,-0.0055002459194546,-0.116616753462031,-0.00918234303918852,-0.000718535578587716,0.0253139623730692,0.0108797704792577,8.88921896970276e-05,-4.46407749798667e-05,9.30676093165302e-05,7.69151378652169e-06,-1.95445250304579e-05,3.42654462976794e-05,0.000499216486388776,0.000126482830341513,-0.000794441925423972,-0.137471418020714,0.000286624092522253,-3.0159130507407e-05,0.000146418857948628,0.0262497872053035,-2.55127751925483e-16,-1.32494296480565e-05,2.94975650366874e-05,-1.25260711661925e-05,-0.000116677886854316,3.74443216741682e-05,-0.100841531528812,-0.0145325049560462,-0.00032412395706222,-1.92776658652261e-05,-1.06271313701558e-16,-4.42571732757344e-07,-9.11970543191935e-16,3.08101626358047e-05,-1.29962432149204e-06,2.0350276056237e-06,-6.56447544370554e-06,9.72474613320068e-16,0.0337194391828029,-0.000526510386046082,0.181526662365767,2.31199557510101e-14,-1.69609343233321e-14,2.06241336415389e-06,-1.12909119816113e-06,-4.89380451411458e-06,2.31923923545372e-15,-2.28519375554407e-06,1.56612827233297e-15,8.60763879372642e-06,-1.61173040522973e-15,7.69616962977098e-15,-0.10944967447511,6.22884959970546e-07,-0.123531307321885,-0.167029584773168,-0.240376084620352,0,0.233071290763099,0.808581713629344,0.251667834063577,-6.43646867672393e-14,-2.20861949075338e-13,0.106125686283258,-3.80934079187531e-07,0.00023414119873371,3.33591522238661e-07,-9.81311092097255e-15,0.0241462589560255,1.96473357664563e-15,-6.60171101657645e-16,-4.00903224616481e-15,-3.42529670792773e-16,-1.07494242532172e-15,-1.64460786928788e-15,-4.48534474190814e-15,-2.39825327901865e-15,-5.96550352927001e-16,0.00272620073996339,-9.15630655007759e-05,-6.09811726134205e-16,-1.86318235751324e-16,6.56599052837221e-16,1.0457193263065e-15,4.37425962604484e-17,-1.3569751934687e-15,-1.62010101835949e-16,-4.091343706444e-16,0.000604875364402892,2.51191279139132e-15,9.16866401683752e-16,7.20999435393365e-05,2.74620822676437e-15,-2.80635050866276e-16,-1.04784063823786e-15,-9.85512176027568e-07,-2.77553866817381e-15
"Galium_ciliare",-0.103418558288797,0.0673590473182507,-0.00550024591945444,-0.116616753462031,-0.00918234303918851,-0.000718535578588318,0.0253139623730684,0.0108797704792583,8.88921896962165e-05,-4.46407749812293e-05,9.30676093162216e-05,7.69151378505063e-06,-1.95445250297293e-05,3.42654462984287e-05,0.000499216486388126,0.000126482830341723,-0.00079444192542763,-0.137471418020714,0.000286624092523269,-3.01591305181437e-05,0.000146418857945095,0.0262497872053076,-2.56275381254658e-16,-1.32494296508352e-05,2.94975650335343e-05,-1.25260711684838e-05,-0.00011667788686145,3.74443216784212e-05,-0.100841531528805,-0.0145325049560428,-0.000324123957066091,-1.92776658620698e-05,1.18879438318728e-15,-4.42571733734169e-07,2.36284576062623e-15,3.08101626273532e-05,-1.29962431965676e-06,2.03502759864636e-06,-6.56447543718922e-06,-2.87888120294513e-15,0.0337194391828067,-0.000526510386043327,0.181526662365771,2.80125469083543e-14,-1.74071835405241e-14,2.06241335485042e-06,-1.12909119410836e-06,-4.89380451041686e-06,5.21364926960418e-15,-2.28519377661309e-06,6.52237869942003e-15,8.60763877781611e-06,1.70167986232856e-15,2.29102246938616e-14,-0.1094496744751,6.22885096280324e-07,-0.123531307321797,0.15072153488488,-0.498306329405629,0.448884896979856,-0.394124289276399,-0.0313571321461574,-0.477809378589898,-1.31250456974698e-13,4.51740872922977e-13,0.106125686283375,-3.80933931465092e-07,0.000234141198616052,3.33591577951416e-07,2.91179670757667e-14,0.024146258956018,4.54412938038721e-15,-1.8065879166942e-15,-2.72352119105742e-15,-4.39601256988584e-15,-6.54100894983419e-15,8.13866025026166e-15,1.13999031566583e-14,1.23189654387201e-14,-1.11069094737352e-15,0.00272620073997716,-9.15630654812558e-05,-2.13505107193991e-15,5.78015016763007e-15,-1.7816798976467e-15,3.38758199524849e-15,3.04804621621608e-15,-1.26200746558318e-15,-1.08112109341736e-14,3.37419035393362e-16,0.000604875364405329,1.76783910852051e-15,4.48799769745549e-16,7.20999435348516e-05,-1.50558695072967e-14,-1.28394452853896e-16,6.71675252825033e-15,-9.85512184631027e-07,1.19872549985134e-14
"Galium_binifolium",-0.103418558288796,0.0673590473182506,-0.00550024591945425,-0.116616753462031,-0.00918234303918868,-0.000718535578587031,0.025313962373069,0.0108797704792573,8.88921896965672e-05,-4.46407749789037e-05,9.30676093165363e-05,7.69151378623069e-06,-1.95445250301048e-05,3.42654462978627e-05,0.000499216486388667,0.000126482830342028,-0.000794441925425175,-0.137471418020715,0.000286624092523194,-3.01591305115255e-05,0.000146418857945887,0.0262497872053037,-1.89013968287884e-15,-1.32494296494337e-05,2.94975650374017e-05,-1.25260711693367e-05,-0.000116677886855218,3.74443216737169e-05,-0.100841531528809,-0.0145325049560424,-0.000324123957061458,-1.92776658652312e-05,2.56035734675039e-15,-4.42571734156059e-07,-2.56894008985713e-15,3.08101626317461e-05,-1.29962432746097e-06,2.03502760737046e-06,-6.56447544238921e-06,4.92764923711132e-16,0.0337194391828036,-0.000526510386044026,0.181526662365751,2.33031332877087e-14,-1.26777626269182e-14,2.06241335769688e-06,-1.12909119450563e-06,-4.89380451164187e-06,-9.7183565885978e-16,-2.28519376760107e-06,7.1806490995472e-15,8.6076388255898e-06,-1.48725655085836e-14,2.16670770513709e-14,-0.109449674475125,6.22885479552036e-07,-0.123531307321671,-0.537983898137527,-0.22701397896183,-0.223263578251536,-0.322072367826615,-0.401999629828246,0.448330121640813,1.74985871850392e-13,-2.53388861159258e-13,0.10612568628323,-3.80934084993101e-07,0.000234141198716071,3.33591524384606e-07,-7.41562436892562e-15,0.0241462589560187,6.26874720069189e-15,1.16870488648491e-15,-1.0223476527855e-14,2.64031179844065e-15,2.60385509261841e-15,1.13256055699576e-14,2.34278877205091e-15,-1.60405257010485e-15,1.99127695722282e-15,0.00272620073997182,-9.15630654912091e-05,-1.19881702356887e-15,-6.34545724432381e-15,-1.53004876899249e-15,-4.70790018166962e-16,-3.51193414023434e-16,9.67469906317718e-15,-4.11175283914757e-15,2.39357109096007e-15,0.0006048753644047,4.83491475449452e-16,1.90880232900741e-15,7.20999435433003e-05,-1.88599208055454e-15,2.34050813435364e-15,-4.65012270685745e-15,-9.85512183829173e-07,-1.12609330965787e-14
"Galium_eriocarpum",-0.103418558288796,0.0673590473182511,-0.00550024591945455,-0.116616753462031,-0.00918234303918895,-0.000718535578587656,0.0253139623730696,0.0108797704792581,8.88921896963504e-05,-4.46407749807727e-05,9.30676093174467e-05,7.6915137870413e-06,-1.95445250308307e-05,3.42654462978014e-05,0.000499216486388608,0.000126482830341804,-0.000794441925423747,-0.137471418020718,0.000286624092522034,-3.01591305095598e-05,0.000146418857949079,0.0262497872053024,-4.34976113151976e-16,-1.32494296468661e-05,2.94975650371063e-05,-1.25260711641485e-05,-0.000116677886852998,3.74443216737441e-05,-0.100841531528815,-0.0145325049560486,-0.000324123957064552,-1.92776658639538e-05,-5.65918911757347e-16,-4.42571733631385e-07,8.76424481615585e-16,3.08101626310064e-05,-1.29962432209532e-06,2.03502761314946e-06,-6.5644754447743e-06,2.13028849088225e-15,0.0337194391828014,-0.000526510386046933,0.181526662365772,2.07268214158289e-14,-1.29005364969807e-14,2.0624133473709e-06,-1.12909119287341e-06,-4.89380452213143e-06,-1.20485438178495e-14,-2.28519374170339e-06,-1.36591917616622e-14,8.6076387555596e-06,-9.00789999650614e-15,7.00719600525925e-15,-0.109449674475112,6.22885103874977e-07,-0.123531307322491,0.759134516089268,0.00704626720639244,-0.455788594969647,-0.143539084604521,-0.0462144332614411,0.224333474515147,5.49895725682282e-14,3.36930628242107e-14,0.106125686282763,-3.80934104841706e-07,0.000234141198766723,3.33591560764153e-07,3.73977547791865e-15,0.0241462589560547,-1.52850060006065e-14,1.44135563057005e-14,5.34537585533649e-15,5.23994404038863e-15,4.19039006126127e-16,-3.70059082108248e-15,1.61250561685489e-15,-1.45916811132573e-15,8.6171053867182e-16,0.00272620073996805,-9.15630655040682e-05,-1.3700503536005e-15,-1.96438332410331e-16,1.19914017056474e-16,-2.79183423808599e-15,-7.66645825006184e-15,-1.43033328293243e-14,8.07078982175637e-15,-4.38705845267439e-15,0.000604875364397374,3.94749020034415e-15,-3.90799906976994e-15,7.20999435385962e-05,-4.4123884156636e-16,5.4108218659367e-16,-3.3265121915548e-15,-9.85512180507611e-07,-4.80520162188e-15
"Galium_propinquum",-0.103418558288796,0.0673590473182508,-0.00550024591945394,-0.11661675346203,-0.00918234303918864,-0.000718535578587643,0.0253139623730693,0.0108797704792582,8.88921896966675e-05,-4.46407749796985e-05,9.30676093162865e-05,7.69151378667681e-06,-1.95445250302148e-05,3.42654462982429e-05,0.000499216486389002,0.00012648283034167,-0.000794441925424129,-0.137471418020716,0.000286624092522006,-3.01591305082407e-05,0.000146418857947285,0.0262497872053036,-1.16891428477337e-15,-1.32494296482971e-05,2.94975650368843e-05,-1.2526071165872e-05,-0.000116677886854043,3.74443216753564e-05,-0.100841531528812,-0.0145325049560457,-0.000324123957064137,-1.92776658655071e-05,-6.32650932661275e-16,-4.42571732403631e-07,-9.01160516058726e-16,3.08101626338248e-05,-1.2996243221059e-06,2.03502760655096e-06,-6.56447544321275e-06,7.62563055887373e-16,0.0337194391828078,-0.000526510386042337,0.181526662365779,2.2090467102159e-14,-1.29660183778454e-14,2.06241336116153e-06,-1.12909119611616e-06,-4.89380451230796e-06,1.27334611817086e-15,-2.28519376479001e-06,6.31062912984261e-16,8.60763879922421e-06,6.43905631621026e-16,-6.00126341932986e-15,-0.109449674475123,6.2288500115241e-07,-0.123531307322323,-0.0172613445932922,0.752311473810198,0.440776500329814,-0.267279752614031,0.0773601047989546,0.13843906343291,-7.71881077106961e-14,6.2650643469643e-14,0.106125686283466,-3.80934050998711e-07,0.00023414119871672,3.33591523154527e-07,6.04248893730275e-15,0.0241462589560181,3.46953258094473e-15,1.46433184772378e-15,-3.67963230940831e-15,-3.57362360703748e-15,1.94476272171291e-15,-1.93111141963897e-15,-2.02964386145853e-16,7.70187014017885e-16,-3.46075191500212e-15,0.00272620073996713,-9.15630655050092e-05,1.10372837964317e-15,7.32828719221702e-18,4.69158282950567e-16,3.24226636673081e-15,3.01518460741921e-16,2.0793555382371e-15,-3.30163047987111e-15,-1.25857764392316e-15,0.000604875364402641,5.30370418459903e-15,-3.34982411779729e-16,7.2099943540735e-05,-2.12612076217659e-16,-4.14796087473441e-15,-8.4378161315428e-16,-9.85512173370753e-07,-5.12580796479168e-16
"Galium_sterneri",-0.103418558288796,0.0673590473182508,-0.00550024591945456,-0.116616753462031,-0.00918234303918861,-0.000718535578587929,0.0253139623730692,0.0108797704792578,8.88921896972904e-05,-4.46407749802241e-05,9.3067609316162e-05,7.6915137865081e-06,-1.95445250308823e-05,3.42654462976637e-05,0.000499216486388571,0.000126482830341436,-0.000794441925425747,-0.137471418020713,0.000286624092521947,-3.01591305076317e-05,0.000146418857947342,0.0262497872053027,-4.2875131329303e-16,-1.32494296484731e-05,2.94975650365073e-05,-1.25260711663039e-05,-0.000116677886855004,3.74443216724437e-05,-0.100841531528807,-0.0145325049560415,-0.000324123957063902,-1.92776658653298e-05,5.65469584018359e-17,-4.42571731519491e-07,-3.9773981586964e-16,3.08101626370923e-05,-1.2996243227862e-06,2.0350276067885e-06,-6.5644754429736e-06,-1.45362505063789e-15,0.0337194391828113,-0.000526510386044765,0.181526662365773,1.79196631700623e-14,-1.51525576126638e-14,2.0624133592975e-06,-1.12909119776775e-06,-4.89380450933585e-06,2.81265048996156e-15,-2.28519375991922e-06,-2.33246248243819e-15,8.60763879723994e-06,8.31454759801196e-16,5.78568705501304e-15,-0.109449674475103,6.22885019785962e-07,-0.12353130732201,0.0875666831865081,-0.0627595295766606,0.297467305240542,0.759224526431627,-0.41873082756984,0.0727460611037478,9.17799380162196e-14,-7.54069525465021e-14,0.106125686283609,-3.80934035088132e-07,0.000234141198746403,3.335915261435e-07,-1.22542872268298e-14,0.0241462589560091,5.82969379989415e-16,-3.87734400386807e-16,-1.28669274480686e-15,-5.03786498061338e-15,-8.78949726963518e-15,-7.02873651232898e-16,4.56503549984455e-15,-3.18737762592713e-15,-9.25397733670252e-16,0.00272620073996274,-9.15630654886282e-05,4.31085245256072e-16,5.43229882591448e-16,3.71461102643787e-16,3.00379890514201e-15,-1.28306978273988e-15,1.04190401131629e-14,1.66728746317982e-15,6.54552180206673e-16,0.000604875364398775,-4.45368323300533e-15,1.0484034519202e-15,7.20999435340927e-05,3.63308443316913e-16,-4.6024829937129e-17,-2.55159897392048e-15,-9.85512169727141e-07,-1.84247168577605e-15
"Galium_nuttallii",-0.103418558288796,0.0673590473182508,-0.00550024591945446,-0.11661675346203,-0.00918234303918865,-0.000718535578587793,0.0253139623730703,0.0108797704792583,8.88921896971098e-05,-4.46407749802931e-05,9.30676093164263e-05,7.69151378634035e-06,-1.95445250299471e-05,3.42654462974546e-05,0.000499216486388622,0.000126482830341534,-0.000794441925425213,-0.137471418020713,0.000286624092521868,-3.01591305085888e-05,0.000146418857948383,0.0262497872053039,-3.0989185606308e-16,-1.32494296482664e-05,2.94975650369894e-05,-1.25260711660587e-05,-0.000116677886853845,3.74443216755934e-05,-0.100841531528809,-0.014532504956047,-0.000324123957063505,-1.92776658664975e-05,-2.5993273819807e-16,-4.42571732789482e-07,5.62143200161287e-16,3.08101626331269e-05,-1.29962432194528e-06,2.03502760432699e-06,-6.56447544451974e-06,1.81737309985267e-15,0.0337194391828013,-0.000526510386043653,0.181526662365754,2.46727225378625e-14,-1.65085705462326e-14,2.06241335955319e-06,-1.12909119756919e-06,-4.89380451199956e-06,2.21037498442991e-15,-2.28519376309439e-06,-6.75722353153556e-16,8.6076388055499e-06,-1.88081764392046e-15,8.4168118512671e-15,-0.109449674475095,6.22884973884247e-07,-0.123531307321883,-0.275147906656874,0.269098181547361,-0.508076529329225,0.134719677126636,0.0123602043774106,-0.657707176166178,-3.63205618930769e-13,9.48753670686493e-15,0.106125686283638,-3.80934043118478e-07,0.00023414119871522,3.3359152622142e-07,-2.29510220259789e-15,0.0241462589560455,6.08399397374475e-15,-2.09097851467474e-15,2.96479113983319e-16,-1.63865741197553e-15,-4.04824966607589e-15,-5.95834612371014e-15,-3.32512419394647e-15,2.34957400562656e-15,-1.41535905719607e-16,0.00272620073995984,-9.15630654982843e-05,-9.84183653156727e-17,5.59053670696625e-16,-1.332845488423e-16,-6.25478049837894e-15,1.46584344155817e-16,-5.07761149130812e-15,3.38365296650352e-15,7.507125367227e-16,0.000604875364402362,4.25257805188961e-15,5.36648119278692e-17,7.20999435399401e-05,2.10112946575635e-15,-1.91012394650288e-15,-3.4073547419868e-15,-9.85512177093879e-07,-3.57037593749126e-15
"Galium_bolanderi",-0.103871013309517,0.0678102752344511,-0.00558418022387992,-0.120016090928952,-0.00948933109572237,-0.000753442803347442,0.0267768399142263,0.0119928299630105,0.000101360163762374,-5.20538956105561e-05,0.000109544770185735,9.18048819953389e-06,-2.35107408933693e-05,4.15569048152191e-05,0.000607546576433177,0.000162569759561021,-0.00107364257615585,-0.187967979253596,0.000399049925698768,-4.41204769836498e-05,0.000221664772657499,0.0402091956324845,7.10277698998214e-16,-2.19450298708302e-05,6.28346311003319e-05,-2.78541595344613e-05,-0.000299442275254766,0.00010905664723384,-0.298210754546196,-0.046402410366153,-0.00106392650345132,-7.4716433774347e-05,2.31862771877933e-15,-1.92010194210697e-06,-1.59035361823555e-15,0.00060881292944115,-6.36339933656192e-05,-0.0121316991806698,0.000749779014018225,-6.17627636624454e-16,-0.217518535243199,0.00319437552840238,-0.526215441563115,-6.48556481397737e-14,4.12508332861277e-14,-3.54729137148194e-06,1.67365617565003e-06,3.74420895184039e-06,6.01046778823105e-16,1.14869320919168e-06,4.35012788509453e-16,-2.54203878327485e-06,2.58516063897516e-15,1.10655664680006e-15,0.0245909924906146,-4.69845839284464e-08,0.00594757356597859,4.46032100143157e-14,-1.20806142867025e-14,-6.35602681597902e-15,-2.28983498828939e-14,9.12811493058996e-15,2.73669975570101e-14,-3.42482053004874e-14,-1.37388472877227e-14,0.0785250613613031,-1.20331984311601e-08,7.50926942945156e-06,2.43992798794092e-08,-6.21757923302485e-16,0.00298697885272591,-2.27585397027625e-15,-1.81006487076187e-15,2.59949596192691e-16,-6.5554136071263e-15,-4.34617936195699e-15,2.79480163265739e-15,-1.00949702608241e-15,-2.9518649965411e-15,-1.85244131490766e-15,0.000944420184540613,-3.30253457628992e-05,-6.9426267463817e-16,-1.28701130342646e-15,4.37161001330861e-15,-7.28159746297872e-16,-7.84434052728211e-15,2.08984115422478e-15,3.7064743352556e-15,9.71100186141119e-16,0.000260793312067537,-7.79830632141832e-15,6.48532330274992e-15,3.20276837582139e-05,-2.12097664904102e-15,8.05418355010962e-14,-0.707106781186548,-4.56114856654146e-07,-1.01572266250146e-12
"Galium_angustifolium",-0.103871013309517,0.0678102752344511,-0.00558418022387993,-0.120016090928952,-0.00948933109572205,-0.000753442803347326,0.0267768399142265,0.0119928299630096,0.000101360163762123,-5.20538956106164e-05,0.000109544770185712,9.18048819917985e-06,-2.35107408942848e-05,4.15569048149807e-05,0.000607546576433277,0.000162569759560814,-0.00107364257615642,-0.187967979253596,0.000399049925698281,-4.41204769839272e-05,0.000221664772656333,0.0402091956324833,2.12046695114581e-16,-2.19450298691421e-05,6.28346310995659e-05,-2.78541595337374e-05,-0.000299442275253116,0.000109056647228112,-0.298210754546198,-0.0464024103661523,-0.0010639265034516,-7.47164337768612e-05,2.1110470417422e-15,-1.92010194314893e-06,-2.60262343026966e-15,0.000608812929441059,-6.36339933646816e-05,-0.0121316991806688,0.000749779014017972,-1.67405141398477e-16,-0.217518535243198,0.00319437552840249,-0.526215441563111,-6.7355048437161e-14,4.13165504935854e-14,-3.54729137123988e-06,1.67365617451884e-06,3.74420895157162e-06,5.63866746823359e-16,1.14869320886833e-06,-4.13277357358216e-16,-2.54203878251178e-06,3.89686711896771e-15,-9.03028068001792e-16,0.0245909924906118,-4.69845865637459e-08,0.00594757356597908,4.18207135588489e-14,-7.16787740273617e-15,-1.50018886202474e-14,-1.85407245112401e-14,6.36643515683488e-15,3.34732241924485e-14,-3.29489886761892e-14,-1.0237250473004e-14,0.0785250613612957,-1.20331902252666e-08,7.50926942725426e-06,2.43992794214103e-08,-1.30559509867016e-15,0.00298697885272624,1.9285253821882e-15,2.24665207020828e-16,5.10331162109936e-16,2.45758562633667e-15,1.60075819687949e-15,-4.12484517280495e-15,4.95238310881069e-16,2.81216739057295e-15,8.33706317490711e-16,0.000944420184519271,-3.30253457572635e-05,2.88683399695683e-15,3.08407605159265e-15,-4.44647245492986e-15,-1.05250163575525e-15,7.91978956731447e-15,-1.64572766149202e-15,-6.32431044822724e-15,-1.55617910004814e-15,0.000260793312074188,1.45388347296194e-14,-6.26538326518805e-15,3.20276836905569e-05,9.73373853399152e-16,-8.04769427500921e-14,0.707106781186547,-4.56113959034773e-07,1.00984412742995e-12
"Galium_palustre",-0.103487241057833,0.0674275539482634,-0.00551299592547099,-0.117133570820624,-0.00922902799942966,-0.000723848852866835,0.0255367481344967,0.0110496997807516,9.07993782089677e-05,-4.57761627715699e-05,9.55925465073615e-05,7.91985624872265e-06,-2.01530227879654e-05,3.53845937889432e-05,0.000515846870319796,0.000132038468042447,-0.000837531800168542,-0.145269063350832,0.000303999613409066,-3.2321754753698e-05,0.000158092030959661,0.0284164514935308,-4.82426100125709e-16,-1.46034245919211e-05,3.4734426072296e-05,-1.49370641292329e-05,-0.000145539352869205,4.8787709347281e-05,-0.132115537814633,-0.0195907785838642,-0.000441609050907127,-2.81089300586323e-05,4.61950580368627e-16,-6.78369054890001e-07,1.81340848955697e-15,0.000124165504910709,-1.13878343660266e-05,-0.00196440230715502,0.00011608189390618,1.23903999880276e-15,-0.00742316139640485,8.32230362271312e-05,0.0641276896617406,6.14548754766924e-15,-6.24588414005868e-15,1.11675204655194e-06,-6.53581636378635e-07,-3.36236265439368e-06,9.80993611495644e-16,-1.64608719714242e-06,6.71511640537573e-15,6.3081169429376e-06,2.36686982244649e-16,4.67279519041443e-15,-0.0794851366970538,3.45384718120588e-07,-0.0511549293920638,-4.32015534457264e-13,1.4887396870833e-13,2.76494105388991e-13,2.8389790518446e-13,-9.45285516529282e-14,-3.67553210089966e-13,3.94303941848214e-13,1.33754022064808e-13,-0.95225381094963,-3.63528753628636e-07,0.0002233284190205,3.08687192452339e-07,-2.06808070273466e-15,0.0219802525598536,-6.90989965272057e-15,5.52841599905915e-15,9.76624831084055e-15,2.62034469902154e-15,7.74588906671114e-15,2.5769569045544e-15,3.47130522607478e-16,-9.10417830986337e-16,-1.40429594363213e-16,0.00248559484558445,-8.36043961508215e-05,9.82944788550755e-16,-1.17752582671877e-15,1.41781313864921e-15,9.3579315497911e-16,-5.09163472053031e-16,-2.2518559794263e-15,8.25227981472785e-16,-2.11640983335751e-15,0.000556798820379107,3.14257100268838e-16,9.05765119375059e-16,6.6477555883734e-05,1.11229504292521e-15,1.19328427341642e-15,-6.68942396587079e-15,-9.10821941879028e-07,-1.59598773729256e-15
