"","t2","t3","t1","t4","t5"
"t2",0,3.506909752,2.393558600766,2.483509533166,2.669067236566
"t3",3.506909752,0,3.098966420766,3.188917353166,3.374475056566
"t1",2.393558600766,3.098966420766,0,1.5947184838,1.7802761872
"t4",2.483509533166,3.188917353166,1.5947184838,0,1.0128498688
"t5",2.669067236566,3.374475056566,1.7802761872,1.0128498688,0
