"accepted_species","traits"
"t11",0
"t14",1
"t16",0
"t18",1
"t19",1
"t21",1
"t26",0
"t29",0
"t31",NA
"t32",1
"t36",0
"t38",0
"t39",1
"t40",0
"t42",0
"t43",1
"t45",0
"t47",1
"t48",0
"t50",1
"t51",1
"t52",1
"t54",0
"t55",1
"t56",0
"t57",1
"t58",0
"t59",0
"t61",0
"t62",NA
"t63",0
"t64",0
"t66",1
"t67",0
"t68",0
"t69",1
"t70",1
"t71",1
"t72",0
"t74",0
"t76",1
"t78",NA
"t79",0
"t80",1
"t81",0
"t82",0
"t83",1
"t84",0
"t85",0
"t86",0
"t88",1
"t89",0
"t90",1
"t91",0
"t92",1
"t93",0
"t94",0
"t95",0
"t96",0
"t97",0
"t98",NA
"t99",1
"t100",1
"t101",0
"t102",0
"t103",1
"t104",1
"t105",0
"t106",NA
"t107",NA
"t108",NA
"t109",0
"t110",0
"t111",0
"t112",0
"t113",0
"t114",0
"t115",0
"t116",0
"t117",0
"t118",0
"t119",0
"t120",1
"t121",0
"t122",1
"t123",1
"t124",0
"t125",0
"t126",0
"t127",NA
"t128",0
"t129",NA
"t130",1
"t131",0
"t132",0
"t133",0
"t134",NA
"t135",0
"t136",0
"t137",0
