,phylopars_picante,phylopars_phylnn_fill_means,phylopars_linear_eigenvecs,phylopars_linear_umap,phylopars_linear_autoencoded,phylopars_xgb_eigenvecs,phylopars_xgb_umap,phylopars_xgb_autoencoded,picante_phylnn_fill_means,picante_linear_eigenvecs,picante_linear_umap,picante_linear_autoencoded,picante_xgb_eigenvecs,picante_xgb_umap,picante_xgb_autoencoded,phylnn_fill_means_linear_eigenvecs,phylnn_fill_means_linear_umap,phylnn_fill_means_linear_autoencoded,phylnn_fill_means_xgb_eigenvecs,phylnn_fill_means_xgb_umap,phylnn_fill_means_xgb_autoencoded,linear_eigenvecs_linear_umap,linear_eigenvecs_linear_autoencoded,linear_eigenvecs_xgb_eigenvecs,linear_eigenvecs_xgb_umap,linear_eigenvecs_xgb_autoencoded,linear_umap_linear_autoencoded,linear_umap_xgb_eigenvecs,linear_umap_xgb_umap,linear_umap_xgb_autoencoded,linear_autoencoded_xgb_eigenvecs,linear_autoencoded_xgb_umap,linear_autoencoded_xgb_autoencoded,xgb_eigenvecs_xgb_umap,xgb_eigenvecs_xgb_autoencoded,xgb_umap_xgb_autoencoded
stat,1.677205480835905,-18.004232222719278,-14.479559765068796,-16.22731603983995,-14.073712811531585,-9.243616348482414,-12.220957767138424,-8.686469240584378,-18.060179071717798,-14.696562745838367,-16.48307769188596,-14.331370271174343,-9.431000128809641,-12.439437594341832,-8.93192390224459,9.064686473708127,8.40827909615635,9.904228741027167,14.71088356471997,10.9812216281631,14.413298978307314,-1.5102056011312017,1.660121438266783,8.265634904555249,3.600104871465402,7.73901112160866,3.6454792407484455,10.028344155338374,5.7574238920362415,9.580126950431971,8.012794866746464,2.077898756715059,6.414855679446154,-5.8683135343679655,-1.2616339505880825,5.50751223436697
p value,0.09665707662169873,5.3944492294547817e-33,3.466007680508692e-26,1.2002069912943484e-29,2.3248659007349163e-25,4.884984531118719e-15,1.7328368257320802e-21,7.946847124976079e-14,4.259697135360138e-33,1.2627912225187677e-26,3.861335060850586e-30,6.928994302424879e-26,1.9071223572728744e-15,5.948843173567917e-22,2.3296908560493764e-14,1.1981766541965144e-14,3.1778000982282343e-13,1.769861657900378e-16,1.1816245193484244e-26,8.018770865994281e-19,4.722882012794997e-26,0.13417619793203694,0.10005437697800271,6.452515553349724e-13,0.0004990799407729908,8.65765265621467e-12,0.00042751052767143344,9.48814319247683e-17,9.610766254006432e-08,9.01767333945428e-16,2.253515228830551e-12,0.04030622305547311,4.862509798689433e-09,5.865443452185542e-08,0.21004505933649198,2.878977040492422e-07
