accepted_species,estimate
t10,-0.45826942
t37,-0.0032270383
t39,-0.99460953
t38,-0.65245134
t47,-0.16658379
t79,-0.934384
t97,-0.1565203
t59,-1.1039604
t89,-0.70194054
t52,-0.56739146
