,0,1,2,3,4,5,6,7,8,9,10,11,12,13
t4,2.1598642,-0.9777402,12.720065,-7.4093804,-2.8011262,-2.3391984,5.0612903,-1.5108899,-5.9635124,0.9463068,2.9971957,39.962086,-1.3126642,5.6958885
t5,4.208587,-0.5042648,15.125306,-7.220346,-2.0019908,-2.8835053,2.8876617,-1.5711915,-5.9037943,2.9623997,3.2998,36.474396,-1.2334731,4.57255
t7,4.1792984,-0.5542197,17.443575,-8.78754,-2.3176703,-3.313762,3.3399131,-1.90597,-6.8378577,3.2773929,3.9416041,43.91943,-1.5020658,4.7874923
t56,0.41319734,-0.036128122,21.50422,-13.423911,-2.1670048,-3.981495,3.5358012,-3.0416837,-7.932608,3.208831,6.122165,62.17714,-2.451678,2.1867316
t146,-0.056906164,-0.0940461,22.022522,-14.154892,-2.410606,-4.0791903,4.004306,-3.2027283,-8.290929,2.9606445,6.475778,66.19739,-2.5586786,2.3331568
t147,-0.057028044,-0.093868904,22.023033,-14.155204,-2.4106014,-4.079359,4.0040126,-3.2029057,-8.291163,2.961522,6.476538,66.1976,-2.5585444,2.333194
t76,0.045140073,-0.09336155,22.346073,-14.107612,-2.3880107,-4.0959105,3.9511755,-3.173768,-8.417703,3.1625097,6.468651,65.81387,-2.6134212,2.2712338
t108,0.06281166,-0.118213534,22.459393,-14.143085,-2.4133494,-4.101518,4.0730133,-3.2211266,-8.438269,2.9916506,6.459636,65.70959,-2.6352744,2.4205801
t109,0.09258823,-0.09899891,22.373491,-14.085101,-2.3812482,-4.087351,4.00509,-3.2132843,-8.388252,3.0709846,6.4643497,65.472786,-2.62016,2.2891362
t44,0.5915335,-0.04509705,21.048807,-13.184087,-2.1437602,-3.909584,3.646551,-3.0252366,-7.862861,3.3094358,6.430613,60.873203,-2.396486,2.0429623
t16,3.6076992,-0.89735574,20.31905,-11.739902,-3.160864,-3.7975514,5.309563,-2.5647533,-8.379863,2.522449,5.7440376,58.50133,-2.0479746,5.681343
t17,3.718315,-0.59310544,18.661772,-10.4809,-2.5393913,-3.5877233,3.6024892,-2.264003,-7.417135,3.0280972,4.9460554,50.598625,-1.7676191,4.853881
t15,3.6300704,-0.82141715,20.09401,-11.770282,-3.0459635,-3.7602544,5.2531323,-2.5217326,-8.321257,2.3958216,5.819723,57.56197,-2.0745769,5.926261
t12,3.6653545,-0.39466733,17.465855,-9.063157,-2.078438,-3.3191574,2.8882186,-2.0440571,-6.620355,3.4202366,4.272074,43.799156,-1.5475253,4.0201654
t13,2.9664085,-0.66391766,19.003204,-10.313276,-2.7352653,-3.580574,4.1901712,-2.300186,-7.5679946,2.7335835,4.651574,51.420067,-1.7798752,5.245078
t18,12.54051,-0.6577367,22.00021,-8.970443,-1.8178186,-3.5991955,2.5802467,-1.6413075,-7.9484477,2.6775951,5.63759,44.328133,-1.7278509,4.71541
t119,14.591052,-1.4010615,26.8676,-11.975999,-3.0915866,-4.1406026,5.919859,-2.1450903,-10.29756,0.829552,8.284153,61.456585,-2.3177283,6.6076584
