"accepted_species","traits"
"sp60",1
"sp62",NA
"sp73",1
"sp81",1
"sp82",NA
"sp83",0
"sp84",1
"sp92",1
"sp93",0
"sp95",1
"sp100",1
"sp108",1
"sp109",0
"sp110",1
"sp112",NA
"sp113",0
"sp115",0
"sp118",0
"sp123",0
"sp126",1
"sp129",1
"sp130",0
"sp131",0
"sp133",0
"sp134",0
"sp136",1
"sp139",0
"sp141",1
"sp142",NA
"sp143",1
"sp144",1
"sp146",0
"sp147",NA
"sp148",1
"sp149",0
"sp150",0
"sp151",0
"sp152",1
"sp153",1
"sp155",1
"sp156",1
"sp157",1
"sp158",1
"sp159",0
"sp160",1
"sp161",1
"sp162",1
"sp163",1
"sp164",1
"sp165",1
"sp166",NA
"sp167",1
"sp169",1
"sp170",1
"sp171",1
"sp172",1
"sp173",1
"sp175",1
"sp176",1
"sp178",1
"sp179",1
"sp180",1
"sp181",0
"sp182",0
"sp184",1
"sp185",1
"sp186",1
"sp187",1
"sp188",0
"sp190",1
"sp191",1
"sp192",1
"sp193",0
"sp194",1
"sp195",1
"sp196",1
"sp197",1
"sp198",1
"sp199",1
"sp200",0
"sp201",0
"sp202",0
"sp203",1
"sp204",1
"sp205",NA
"sp206",NA
"sp207",NA
"sp208",1
"sp209",1
"sp210",1
"sp211",1
"sp212",1
"sp213",1
"sp214",1
"sp215",0
"sp216",0
"sp217",1
"sp218",1
"sp219",NA
"sp220",1
