"accepted_species","traits"
"t8",1
"t15",0
"t16",0
"t17",1
"t19",NA
"t20",0
"t22",NA
"t23",0
"t24",0
"t25",1
"t27",1
"t28",1
"t29",0
"t31",0
"t32",1
"t33",0
"t34",0
"t37",NA
"t38",1
"t39",0
"t40",NA
"t41",0
"t43",0
"t44",0
"t45",1
"t46",0
"t47",0
"t48",0
"t49",1
"t50",1
"t51",1
"t52",NA
"t53",0
"t54",0
"t55",NA
"t56",0
"t57",0
"t58",0
"t59",0
"t60",0
"t61",1
"t62",1
"t63",0
"t64",1
"t66",1
"t67",1
"t68",1
"t70",0
"t71",1
"t72",1
"t73",0
"t74",1
"t75",0
"t76",1
"t77",1
"t78",0
"t79",1
"t80",0
"t81",NA
"t82",1
"t84",0
"t85",0
"t86",1
"t87",0
"t88",0
"t89",0
"t90",0
"t92",0
"t93",0
"t95",1
"t96",0
"t97",0
"t98",1
"t99",0
"t100",0
"t101",NA
"t102",0
"t103",0
"t104",0
"t105",0
"t106",NA
"t107",1
"t108",1
"t109",1
"t110",0
"t111",0
"t112",0
"t113",0
"t114",0
"t115",0
"t116",NA
"t117",0
"t118",0
"t119",0
"t120",1
"t121",1
"t122",0
"t123",0
"t124",0
"t125",0
