,lambda,kappa,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,,,3,,,,,,,,,,,,,,1,1
top,,,SYM,,,,,,,,,,,,,,simulations,mcar
freq,,,38,,,,,,,,,,,,,,100,100
mean,0.5391406199126504,0.47094651980791236,,0.1533299141666371,0.1655388451858786,0.16839093016305903,0.17563811314355499,0.1777175229640968,0.18042614156118766,0.1796781827190262,0.1828616087251734,0.15892622810414817,0.1607164367632399,0.20101253519729428,0.16252684394433267,0.16131259067726136,,
std,0.2862861186305082,0.28647906913083565,,0.10558530942590874,0.11836503746013659,0.11405679606995774,0.10248010305387831,0.10105426210332102,0.11209822519463931,0.10285244193549703,0.10298199628746317,0.11197156196025417,0.11076198663114378,0.1455413521760474,0.10944241640684263,0.11212673701618976,,
min,0.0242157834582031,0.007343360921368,,4.678141910457461e-05,0.0,6.17283950617292e-05,4.138660226594839e-05,7.149077543840234e-06,2.4709270211651575e-06,2.747420601814721e-05,1.0418799712155422e-05,0.00012345654321000088,0.00012345654321000088,0.00012345654321000088,0.00012345654321000088,0.00012345654321000088,,
25%,0.27390489232493526,0.21118869894416975,,0.05615751290479771,0.059335469607061916,0.061453004205686876,0.0919877447567536,0.09663052116517107,0.08908344343841311,0.09757394679491102,0.09651115833085396,0.0473768000518119,0.05591209045243258,0.08433044100714754,0.06375496096597019,0.05252451298513791,,
50%,0.572185829980299,0.47680770047009,,0.1783970689296584,0.19861875253947261,0.18321604938271605,0.19947743961489006,0.21714158813136042,0.19572909693590293,0.20978576824315415,0.2184656104661039,0.17823658635068834,0.18540732428199236,0.20613159667839193,0.17893713914603743,0.1823133449257457,,
75%,0.8008687342517076,0.6757558466051705,,0.2339601958429083,0.2497341839704426,0.2595320915957783,0.2536323859914879,0.25156081848630935,0.2510633575860499,0.24974986018788128,0.25368615541417544,0.25092654908397666,0.24921732628354698,0.3000110134716064,0.24611028133182464,0.24393038030971373,,
max,0.980084053007886,0.973335451446474,,0.35623805665718855,0.5571560350067737,0.3754167094710004,0.3555852072779515,0.36852435788987126,0.43481954866488365,0.3992518111972169,0.3928357508582382,0.3756486844273953,0.4733221164519993,0.6185615650659344,0.38967741789487387,0.4490044238545406,,
