"","t1","t58","t59","t135","t136","t36","t48","t49","t39","t34","t33","t65","t66","t37","t26","t83","t84","t6","t19","t20","t41","t42","t24","t25","t76","t150","t151","t73","t86","t87","t77","t46","t67","t68","t17","t2","t10","t11","t8","t9","t3","t7","t22","t43","t71","t90","t91","t96","t97","t45","t47","t152","t153","t116","t117","t92","t78","t101","t142","t143","t44","t21","t28","t29","t18","t27","t30","t104","t128","t129","t113","t162","t163","t119","t130","t170","t171","t111","t69","t32","t15","t5","t13","t14","t55","t74","t75","t99","t100","t52","t79","t105","t106","t93","t94","t51","t64","t154","t164","t165","t60","t70","t80","t81","t133","t134","t108","t109","t156","t157","t160","t161","t110","t146","t147","t141","t56","t23","t16","t31","t148","t149","t63","t126","t127","t107","t120","t121","t114","t115","t38","t40","t95","t123","t137","t138","t102","t103","t72","t174","t175","t118","t131","t132","t82","t166","t167","t168","t169","t85","t112","t144","t145","t122","t155","t172","t173","t61","t88","t89","t98","t158","t159","t139","t140","t50","t53","t54","t35","t124","t125","t57","t62","t176","t177","t12","t4"
"t1",0,6.70822646281,6.62975738051,7.0880222713,7.0880222713,5.0089361803,7.08802227105,6.02729016835,5.28918273435,5.63847153368,5.0342302668,7.0880222709,7.0880222709,5.4774364597,7.0880222708,6.8200584123,7.0880222705,3.510555203,6.2056956448,5.4597745468,7.08802227026,6.05743959946,7.08802227076,4.62708892686,7.02069559116,7.08802227086,7.07612860892,6.83822809486,7.08802227086,7.08802227086,7.08802227086,7.08802227126,7.08802227086,6.22776284176,3.99243099356,1.1619425571,4.11179619299,2.9828703296,2.69896593349,2.85595049079,1.21217017165,3.44434567169,4.72866494269,5.86528436019,7.08802227124,6.66627606057,7.08802227127,6.87704925787,7.08802227127,5.84109930785,6.47495709254,7.08802227131,7.08802227131,6.75926600713,7.08802227114,7.08802227114,7.08802227124,7.08802227134,7.08802227134,7.08802227134,5.82392498675,3.96289751961,4.91918866401,4.81708222671,3.63712094757,4.76716698369,7.08802227169,7.088022271338,7.088022271338,7.088022271338,7.08802227139,7.08802227133,7.08802227133,6.81682721087,7.08802227129,7.08802227134,7.08802227134,7.08802227129,7.08802227179,6.16882131859,3.40283767949,2.8955988055,3.5763570673,4.3517722439,5.90480388275,7.08802227125,6.85465482465,7.08802227115,7.08802227115,7.08802227085,7.08802227065,6.669089664612,7.088022270662,7.088022270662,6.933101860062,5.73028214585,7.08802227115,7.08802227151,7.08802227151,7.08802227151,5.80791487502,6.63175269655,7.08802227095,7.08802227095,7.08802227092,6.99515265612,7.00403300312,7.08802227092,7.08802227102,7.08802227102,7.08802227098,7.08802227098,7.08802227098,7.08802227147,7.08802227147,7.08802227145,5.83426856865,6.34448729885,4.1869771278,5.1281608197,6.97999630528,7.00249883106,5.88690073427,7.08802227118,7.08802227118,7.08802227118,7.08802227108,7.08802227108,7.0880222713,6.76412021948,5.11402151527,5.0720893038,6.7426208271,7.088022271,7.08802227103,7.08802227103,7.088022271,6.7870843782,6.2385592803,7.08802227108,7.08802227108,7.088022271046,7.088022271046,7.088022271046,7.088022271046,7.088022271026,7.088022271026,7.088022270976,7.088022270976,7.088022271036,7.088022271036,7.088022271036,7.088022271036,7.088022271546,7.088022271606,7.088022271611,7.088022271611,7.088022271486,7.088022271086,6.458282959256,7.088022271156,7.088022271116,7.088022271116,7.088022271146,7.088022271146,5.54858358156,6.49686193045,6.67771075355,5.1306056074,7.088022272,6.85321179581,7.0880222716,6.3740590572,7.088022271231,7.088022271231,4.0451513599,1.4184357484
"t58",6.70822646281,0,1.7541722591,2.23697347191,2.23697347191,2.67702344691,4.75610953766,3.69537743496,2.95727000096,3.30655880029,2.70231753341,6.39071951311,6.39071951311,4.78013370191,6.39071951301,7.92596851891,8.19393237711,6.41446297501,9.10960341681,8.36368231881,9.99193004227,8.96134737147,9.99193004277,7.53099669887,9.92460336317,9.99193004287,9.98003638093,9.74213586687,9.99193004287,9.99193004287,9.99193004287,9.99193004327,9.99193004287,9.13167061377,6.89633876557,6.14499067711,9.880139091,8.75121322761,8.4673088315,8.6242933888,6.98051306966,9.2126885697,10.4970078407,11.6336272582,12.85636516925,12.43461895858,12.85636516928,12.64539215588,12.85636516928,11.60944220586,12.24329999055,12.85636516932,12.85636516932,12.52760890514,12.85636516915,12.85636516915,12.85636516925,12.85636516935,12.85636516935,12.85636516935,11.59226788476,9.73124041762,10.68753156202,10.58542512472,9.40546384558,10.5355098817,12.8563651697,12.856365169348,12.856365169348,12.856365169348,12.8563651694,12.85636516934,12.85636516934,12.58517010888,12.8563651693,12.85636516935,12.85636516935,12.8563651693,12.8563651698,11.9371642166,9.1711805775,8.66394170351,9.34469996531,10.12011514191,11.67314678076,12.85636516926,12.62299772266,12.85636516916,12.85636516916,12.85636516886,12.85636516866,12.437432562622,12.856365168672,12.856365168672,12.701444758072,11.49862504386,12.85636516916,12.85636516952,12.85636516952,12.85636516952,11.57625777303,12.40009559456,12.85636516896,12.85636516896,12.85636516893,12.76349555413,12.77237590113,12.85636516893,12.85636516903,12.85636516903,12.85636516899,12.85636516899,12.85636516899,12.85636516948,12.85636516948,12.85636516946,11.60261146666,12.11283019686,9.95532002581,10.89650371771,12.74833920329,12.77084172907,11.65524363228,12.85636516919,12.85636516919,12.85636516919,12.85636516909,12.85636516909,12.85636516931,12.53246311749,10.88236441328,10.84043220181,12.51096372511,12.85636516901,12.85636516904,12.85636516904,12.85636516901,12.55542727621,12.00690217831,12.85636516909,12.85636516909,12.856365169056,12.856365169056,12.856365169056,12.856365169056,12.856365169036,12.856365169036,12.856365168986,12.856365168986,12.856365169046,12.856365169046,12.856365169046,12.856365169046,12.856365169556,12.856365169616,12.856365169621,12.856365169621,12.856365169496,12.856365169096,12.226625857266,12.856365169166,12.856365169126,12.856365169126,12.856365169156,12.856365169156,11.31692647957,12.26520482846,12.44605365156,10.89894850541,12.85636517001,12.62155469382,12.85636516961,12.14240195521,12.856365169241,12.856365169241,9.81349425791,7.18677864641
"t59",6.62975738051,1.7541722591,0,2.15850438961,2.15850438961,2.59855436461,4.67764045536,3.61690835266,2.87880091866,3.22808971799,2.62384845111,6.31225043081,6.31225043081,4.70166461961,6.31225043071,7.84749943661,8.11546329481,6.33599389271,9.03113433451,8.28521323651,9.91346095997,8.88287828917,9.91346096047,7.45252761657,9.84613428087,9.91346096057,9.90156729863,9.66366678457,9.91346096057,9.91346096057,9.91346096057,9.91346096097,9.91346096057,9.05320153147,6.81786968327,6.06652159481,9.8016700087,8.67274414531,8.3888397492,8.5458243065,6.90204398736,9.1342194874,10.4185387584,11.5551581759,12.77789608695,12.35614987628,12.77789608698,12.56692307358,12.77789608698,11.53097312356,12.16483090825,12.77789608702,12.77789608702,12.44913982284,12.77789608685,12.77789608685,12.77789608695,12.77789608705,12.77789608705,12.77789608705,11.51379880246,9.65277133532,10.60906247972,10.50695604242,9.32699476328,10.4570407994,12.7778960874,12.777896087048,12.777896087048,12.777896087048,12.7778960871,12.77789608704,12.77789608704,12.50670102658,12.777896087,12.77789608705,12.77789608705,12.777896087,12.7778960875,11.8586951343,9.0927114952,8.58547262121,9.26623088301,10.04164605961,11.59467769846,12.77789608696,12.54452864036,12.77789608686,12.77789608686,12.77789608656,12.77789608636,12.358963480322,12.777896086372,12.777896086372,12.622975675772,11.42015596156,12.77789608686,12.77789608722,12.77789608722,12.77789608722,11.49778869073,12.32162651226,12.77789608666,12.77789608666,12.77789608663,12.68502647183,12.69390681883,12.77789608663,12.77789608673,12.77789608673,12.77789608669,12.77789608669,12.77789608669,12.77789608718,12.77789608718,12.77789608716,11.52414238436,12.03436111456,9.87685094351,10.81803463541,12.66987012099,12.69237264677,11.57677454998,12.77789608689,12.77789608689,12.77789608689,12.77789608679,12.77789608679,12.77789608701,12.45399403519,10.80389533098,10.76196311951,12.43249464281,12.77789608671,12.77789608674,12.77789608674,12.77789608671,12.47695819391,11.92843309601,12.77789608679,12.77789608679,12.777896086756,12.777896086756,12.777896086756,12.777896086756,12.777896086736,12.777896086736,12.777896086686,12.777896086686,12.777896086746,12.777896086746,12.777896086746,12.777896086746,12.777896087256,12.777896087316,12.777896087321,12.777896087321,12.777896087196,12.777896086796,12.148156774966,12.777896086866,12.777896086826,12.777896086826,12.777896086856,12.777896086856,11.23845739727,12.18673574616,12.36758456926,10.82047942311,12.77789608771,12.54308561152,12.77789608731,12.06393287291,12.777896086941,12.777896086941,9.73502517561,7.10830956411
"t135",7.0880222713,2.23697347191,2.15850438961,0,0.4532963564,3.0568192554,5.13590534615,4.07517324345,3.33706580945,3.68635460878,3.0821133419,6.7705153216,6.7705153216,5.1599295104,6.7705153215,8.3057643274,8.5737281856,6.7942587835,9.4893992253,8.7434781273,10.37172585076,9.34114317996,10.37172585126,7.91079250736,10.30439917166,10.37172585136,10.35983218942,10.12193167536,10.37172585136,10.37172585136,10.37172585136,10.37172585176,10.37172585136,9.51146642226,7.27613457406,6.5247864856,10.25993489949,9.1310090361,8.84710463999,9.00408919729,7.36030887815,9.59248437819,10.87680364919,12.01342306669,13.23616097774,12.81441476707,13.23616097777,13.02518796437,13.23616097777,11.98923801435,12.62309579904,13.23616097781,13.23616097781,12.90740471363,13.23616097764,13.23616097764,13.23616097774,13.23616097784,13.23616097784,13.23616097784,11.97206369325,10.11103622611,11.06732737051,10.96522093321,9.78525965407,10.91530569019,13.23616097819,13.236160977838,13.236160977838,13.236160977838,13.23616097789,13.23616097783,13.23616097783,12.96496591737,13.23616097779,13.23616097784,13.23616097784,13.23616097779,13.23616097829,12.31696002509,9.55097638599,9.043737512,9.7244957738,10.4999109504,12.05294258925,13.23616097775,13.00279353115,13.23616097765,13.23616097765,13.23616097735,13.23616097715,12.817228371112,13.236160977162,13.236160977162,13.081240566562,11.87842085235,13.23616097765,13.23616097801,13.23616097801,13.23616097801,11.95605358152,12.77989140305,13.23616097745,13.23616097745,13.23616097742,13.14329136262,13.15217170962,13.23616097742,13.23616097752,13.23616097752,13.23616097748,13.23616097748,13.23616097748,13.23616097797,13.23616097797,13.23616097795,11.98240727515,12.49262600535,10.3351158343,11.2762995262,13.12813501178,13.15063753756,12.03503944077,13.23616097768,13.23616097768,13.23616097768,13.23616097758,13.23616097758,13.2361609778,12.91225892598,11.26216022177,11.2202280103,12.8907595336,13.2361609775,13.23616097753,13.23616097753,13.2361609775,12.9352230847,12.3866979868,13.23616097758,13.23616097758,13.236160977546,13.236160977546,13.236160977546,13.236160977546,13.236160977526,13.236160977526,13.236160977476,13.236160977476,13.236160977536,13.236160977536,13.236160977536,13.236160977536,13.236160978046,13.236160978106,13.236160978111,13.236160978111,13.236160977986,13.236160977586,12.606421665756,13.236160977656,13.236160977616,13.236160977616,13.236160977646,13.236160977646,11.69672228806,12.64500063695,12.82584946005,11.2787443139,13.2361609785,13.00135050231,13.2361609781,12.5221977637,13.236160977731,13.236160977731,10.1932900664,7.5665744549
"t136",7.0880222713,2.23697347191,2.15850438961,0.4532963564,0,3.0568192554,5.13590534615,4.07517324345,3.33706580945,3.68635460878,3.0821133419,6.7705153216,6.7705153216,5.1599295104,6.7705153215,8.3057643274,8.5737281856,6.7942587835,9.4893992253,8.7434781273,10.37172585076,9.34114317996,10.37172585126,7.91079250736,10.30439917166,10.37172585136,10.35983218942,10.12193167536,10.37172585136,10.37172585136,10.37172585136,10.37172585176,10.37172585136,9.51146642226,7.27613457406,6.5247864856,10.25993489949,9.1310090361,8.84710463999,9.00408919729,7.36030887815,9.59248437819,10.87680364919,12.01342306669,13.23616097774,12.81441476707,13.23616097777,13.02518796437,13.23616097777,11.98923801435,12.62309579904,13.23616097781,13.23616097781,12.90740471363,13.23616097764,13.23616097764,13.23616097774,13.23616097784,13.23616097784,13.23616097784,11.97206369325,10.11103622611,11.06732737051,10.96522093321,9.78525965407,10.91530569019,13.23616097819,13.236160977838,13.236160977838,13.236160977838,13.23616097789,13.23616097783,13.23616097783,12.96496591737,13.23616097779,13.23616097784,13.23616097784,13.23616097779,13.23616097829,12.31696002509,9.55097638599,9.043737512,9.7244957738,10.4999109504,12.05294258925,13.23616097775,13.00279353115,13.23616097765,13.23616097765,13.23616097735,13.23616097715,12.817228371112,13.236160977162,13.236160977162,13.081240566562,11.87842085235,13.23616097765,13.23616097801,13.23616097801,13.23616097801,11.95605358152,12.77989140305,13.23616097745,13.23616097745,13.23616097742,13.14329136262,13.15217170962,13.23616097742,13.23616097752,13.23616097752,13.23616097748,13.23616097748,13.23616097748,13.23616097797,13.23616097797,13.23616097795,11.98240727515,12.49262600535,10.3351158343,11.2762995262,13.12813501178,13.15063753756,12.03503944077,13.23616097768,13.23616097768,13.23616097768,13.23616097758,13.23616097758,13.2361609778,12.91225892598,11.26216022177,11.2202280103,12.8907595336,13.2361609775,13.23616097753,13.23616097753,13.2361609775,12.9352230847,12.3866979868,13.23616097758,13.23616097758,13.236160977546,13.236160977546,13.236160977546,13.236160977546,13.236160977526,13.236160977526,13.236160977476,13.236160977476,13.236160977536,13.236160977536,13.236160977536,13.236160977536,13.236160978046,13.236160978106,13.236160978111,13.236160978111,13.236160977986,13.236160977586,12.606421665756,13.236160977656,13.236160977616,13.236160977616,13.236160977646,13.236160977646,11.69672228806,12.64500063695,12.82584946005,11.2787443139,13.2361609785,13.00135050231,13.2361609781,12.5221977637,13.236160977731,13.236160977731,10.1932900664,7.5665744549
"t36",5.0089361803,2.67702344691,2.59855436461,3.0568192554,3.0568192554,0,2.12080998185,1.06007787915,0.32197044515,0.83371175822,0.2554544559,4.6914292306,4.6914292306,3.0808434194,4.6914292305,6.2266782364,6.4946420946,4.7151726925,7.4103131343,6.6643920363,8.29263975976,7.26205708896,8.29263976026,5.83170641636,8.22531308066,8.29263976036,8.28074609842,8.04284558436,8.29263976036,8.29263976036,8.29263976036,8.29263976076,8.29263976036,7.43238033126,5.19704848306,4.4457003946,8.18084880849,7.0519229451,6.76801854899,6.92500310629,5.28122278715,7.51339828719,8.79771755819,9.93433697569,11.15707488674,10.73532867607,11.15707488677,10.94610187337,11.15707488677,9.91015192335,10.54400970804,11.15707488681,11.15707488681,10.82831862263,11.15707488664,11.15707488664,11.15707488674,11.15707488684,11.15707488684,11.15707488684,9.89297760225,8.03195013511,8.98824127951,8.88613484221,7.70617356307,8.83621959919,11.15707488719,11.157074886838,11.157074886838,11.157074886838,11.15707488689,11.15707488683,11.15707488683,10.88587982637,11.15707488679,11.15707488684,11.15707488684,11.15707488679,11.15707488729,10.23787393409,7.47189029499,6.964651421,7.6454096828,8.4208248594,9.97385649825,11.15707488675,10.92370744015,11.15707488665,11.15707488665,11.15707488635,11.15707488615,10.738142280112,11.157074886162,11.157074886162,11.002154475562,9.79933476135,11.15707488665,11.15707488701,11.15707488701,11.15707488701,9.87696749052,10.70080531205,11.15707488645,11.15707488645,11.15707488642,11.06420527162,11.07308561862,11.15707488642,11.15707488652,11.15707488652,11.15707488648,11.15707488648,11.15707488648,11.15707488697,11.15707488697,11.15707488695,9.90332118415,10.41353991435,8.2560297433,9.1972134352,11.04904892078,11.07155144656,9.95595334977,11.15707488668,11.15707488668,11.15707488668,11.15707488658,11.15707488658,11.1570748868,10.83317283498,9.18307413077,9.1411419193,10.8116734426,11.1570748865,11.15707488653,11.15707488653,11.1570748865,10.8561369937,10.3076118958,11.15707488658,11.15707488658,11.157074886546,11.157074886546,11.157074886546,11.157074886546,11.157074886526,11.157074886526,11.157074886476,11.157074886476,11.157074886536,11.157074886536,11.157074886536,11.157074886536,11.157074887046,11.157074887106,11.157074887111,11.157074887111,11.157074886986,11.157074886586,10.527335574756,11.157074886656,11.157074886616,11.157074886616,11.157074886646,11.157074886646,9.61763619706,10.56591454595,10.74676336905,9.1996582229,11.1570748875,10.92226441131,11.1570748871,10.4431116727,11.157074886731,11.157074886731,8.1142039754,5.4874883639
"t48",7.08802227105,4.75610953766,4.67764045536,5.13590534615,5.13590534615,2.12080998185,0,2.3100336433,2.2779982015,2.91279784897,2.33454054665,6.77051532135,6.77051532135,5.15992951015,6.77051532125,8.30576432715,8.57372818535,6.79425878325,9.48939922505,8.74347812705,10.37172585051,9.34114317971,10.37172585101,7.91079250711,10.30439917141,10.37172585111,10.35983218917,10.12193167511,10.37172585111,10.37172585111,10.37172585111,10.37172585151,10.37172585111,9.51146642201,7.27613457381,6.52478648535,10.25993489924,9.13100903585,8.84710463974,9.00408919704,7.3603088779,9.59248437794,10.87680364894,12.01342306644,13.23616097749,12.81441476682,13.23616097752,13.02518796412,13.23616097752,11.9892380141,12.62309579879,13.23616097756,13.23616097756,12.90740471338,13.23616097739,13.23616097739,13.23616097749,13.23616097759,13.23616097759,13.23616097759,11.972063693,10.11103622586,11.06732737026,10.96522093296,9.78525965382,10.91530568994,13.23616097794,13.236160977588,13.236160977588,13.236160977588,13.23616097764,13.23616097758,13.23616097758,12.96496591712,13.23616097754,13.23616097759,13.23616097759,13.23616097754,13.23616097804,12.31696002484,9.55097638574,9.04373751175,9.72449577355,10.49991095015,12.052942589,13.2361609775,13.0027935309,13.2361609774,13.2361609774,13.2361609771,13.2361609769,12.817228370862,13.236160976912,13.236160976912,13.081240566312,11.8784208521,13.2361609774,13.23616097776,13.23616097776,13.23616097776,11.95605358127,12.7798914028,13.2361609772,13.2361609772,13.23616097717,13.14329136237,13.15217170937,13.23616097717,13.23616097727,13.23616097727,13.23616097723,13.23616097723,13.23616097723,13.23616097772,13.23616097772,13.2361609777,11.9824072749,12.4926260051,10.33511583405,11.27629952595,13.12813501153,13.15063753731,12.03503944052,13.23616097743,13.23616097743,13.23616097743,13.23616097733,13.23616097733,13.23616097755,12.91225892573,11.26216022152,11.22022801005,12.89075953335,13.23616097725,13.23616097728,13.23616097728,13.23616097725,12.93522308445,12.38669798655,13.23616097733,13.23616097733,13.236160977296,13.236160977296,13.236160977296,13.236160977296,13.236160977276,13.236160977276,13.236160977226,13.236160977226,13.236160977286,13.236160977286,13.236160977286,13.236160977286,13.236160977796,13.236160977856,13.236160977861,13.236160977861,13.236160977736,13.236160977336,12.606421665506,13.236160977406,13.236160977366,13.236160977366,13.236160977396,13.236160977396,11.69672228781,12.6450006367,12.8258494598,11.27874431365,13.23616097825,13.00135050206,13.23616097785,12.52219776345,13.236160977481,13.236160977481,10.19329006615,7.56657445465
"t49",6.02729016835,3.69537743496,3.61690835266,4.07517324345,4.07517324345,1.06007787915,2.3100336433,0,1.2172660988,1.85206574627,1.27380844395,5.70978321865,5.70978321865,4.09919740745,5.70978321855,7.24503222445,7.51299608265,5.73352668055,8.42866712235,7.68274602435,9.31099374781,8.28041107701,9.31099374831,6.85006040441,9.24366706871,9.31099374841,9.29910008647,9.06119957241,9.31099374841,9.31099374841,9.31099374841,9.31099374881,9.31099374841,8.45073431931,6.21540247111,5.46405438265,9.19920279654,8.07027693315,7.78637253704,7.94335709434,6.2995767752,8.53175227524,9.81607154624,10.95269096374,12.17542887479,11.75368266412,12.17542887482,11.96445586142,12.17542887482,10.9285059114,11.56236369609,12.17542887486,12.17542887486,11.84667261068,12.17542887469,12.17542887469,12.17542887479,12.17542887489,12.17542887489,12.17542887489,10.9113315903,9.05030412316,10.00659526756,9.90448883026,8.72452755112,9.85457358724,12.17542887524,12.175428874888,12.175428874888,12.175428874888,12.17542887494,12.17542887488,12.17542887488,11.90423381442,12.17542887484,12.17542887489,12.17542887489,12.17542887484,12.17542887534,11.25622792214,8.49024428304,7.98300540905,8.66376367085,9.43917884745,10.9922104863,12.1754288748,11.9420614282,12.1754288747,12.1754288747,12.1754288744,12.1754288742,11.756496268162,12.175428874212,12.175428874212,12.020508463612,10.8176887494,12.1754288747,12.17542887506,12.17542887506,12.17542887506,10.89532147857,11.7191593001,12.1754288745,12.1754288745,12.17542887447,12.08255925967,12.09143960667,12.17542887447,12.17542887457,12.17542887457,12.17542887453,12.17542887453,12.17542887453,12.17542887502,12.17542887502,12.175428875,10.9216751722,11.4318939024,9.27438373135,10.21556742325,12.06740290883,12.08990543461,10.97430733782,12.17542887473,12.17542887473,12.17542887473,12.17542887463,12.17542887463,12.17542887485,11.85152682303,10.20142811882,10.15949590735,11.83002743065,12.17542887455,12.17542887458,12.17542887458,12.17542887455,11.87449098175,11.32596588385,12.17542887463,12.17542887463,12.175428874596,12.175428874596,12.175428874596,12.175428874596,12.175428874576,12.175428874576,12.175428874526,12.175428874526,12.175428874586,12.175428874586,12.175428874586,12.175428874586,12.175428875096,12.175428875156,12.175428875161,12.175428875161,12.175428875036,12.175428874636,11.545689562806,12.175428874706,12.175428874666,12.175428874666,12.175428874696,12.175428874696,10.63599018511,11.584268534,11.7651173571,10.21801221095,12.17542887555,11.94061839936,12.17542887515,11.46146566075,12.175428874781,12.175428874781,9.13255796345,6.50584235195
"t39",5.28918273435,2.95727000096,2.87880091866,3.33706580945,3.33706580945,0.32197044515,2.2779982015,1.2172660988,0,1.11395831227,0.53570100995,4.97167578465,4.97167578465,3.36108997345,4.97167578455,6.50692479045,6.77488864865,4.99541924655,7.69055968835,6.94463859035,8.57288631381,7.54230364301,8.57288631431,6.11195297041,8.50555963471,8.57288631441,8.56099265247,8.32309213841,8.57288631441,8.57288631441,8.57288631441,8.57288631481,8.57288631441,7.71262688531,5.47729503711,4.72594694865,8.46109536254,7.33216949915,7.04826510304,7.20524966034,5.5614693412,7.79364484124,9.07796411224,10.21458352974,11.43732144079,11.01557523012,11.43732144082,11.22634842742,11.43732144082,10.1903984774,10.82425626209,11.43732144086,11.43732144086,11.10856517668,11.43732144069,11.43732144069,11.43732144079,11.43732144089,11.43732144089,11.43732144089,10.1732241563,8.31219668916,9.26848783356,9.16638139626,7.98642011712,9.11646615324,11.43732144124,11.437321440888,11.437321440888,11.437321440888,11.43732144094,11.43732144088,11.43732144088,11.16612638042,11.43732144084,11.43732144089,11.43732144089,11.43732144084,11.43732144134,10.51812048814,7.75213684904,7.24489797505,7.92565623685,8.70107141345,10.2541030523,11.4373214408,11.2039539942,11.4373214407,11.4373214407,11.4373214404,11.4373214402,11.018388834162,11.437321440212,11.437321440212,11.282401029612,10.0795813154,11.4373214407,11.43732144106,11.43732144106,11.43732144106,10.15721404457,10.9810518661,11.4373214405,11.4373214405,11.43732144047,11.34445182567,11.35333217267,11.43732144047,11.43732144057,11.43732144057,11.43732144053,11.43732144053,11.43732144053,11.43732144102,11.43732144102,11.437321441,10.1835677382,10.6937864684,8.53627629735,9.47745998925,11.32929547483,11.35179800061,10.23619990382,11.43732144073,11.43732144073,11.43732144073,11.43732144063,11.43732144063,11.43732144085,11.11341938903,9.46332068482,9.42138847335,11.09191999665,11.43732144055,11.43732144058,11.43732144058,11.43732144055,11.13638354775,10.58785844985,11.43732144063,11.43732144063,11.437321440596,11.437321440596,11.437321440596,11.437321440596,11.437321440576,11.437321440576,11.437321440526,11.437321440526,11.437321440586,11.437321440586,11.437321440586,11.437321440586,11.437321441096,11.437321441156,11.437321441161,11.437321441161,11.437321441036,11.437321440636,10.807582128806,11.437321440706,11.437321440666,11.437321440666,11.437321440696,11.437321440696,9.89788275111,10.8461611,11.0270099231,9.47990477695,11.43732144155,11.20251096536,11.43732144115,10.72335822675,11.437321440781,11.437321440781,8.39445052945,5.76773491795
"t34",5.63847153368,3.30655880029,3.22808971799,3.68635460878,3.68635460878,0.83371175822,2.91279784897,1.85206574627,1.11395831227,0,0.88498980928,5.32096458398,5.32096458398,3.71037877278,5.32096458388,6.85621358978,7.12417744798,5.34470804588,8.03984848768,7.29392738968,8.92217511314,7.89159244234,8.92217511364,6.46124176974,8.85484843404,8.92217511374,8.9102814518,8.67238093774,8.92217511374,8.92217511374,8.92217511374,8.92217511414,8.92217511374,8.06191568464,5.82658383644,5.07523574798,8.81038416187,7.68145829848,7.39755390237,7.55453845967,5.91075814053,8.14293364057,9.42725291157,10.56387232907,11.78661024012,11.36486402945,11.78661024015,11.57563722675,11.78661024015,10.53968727673,11.17354506142,11.78661024019,11.78661024019,11.45785397601,11.78661024002,11.78661024002,11.78661024012,11.78661024022,11.78661024022,11.78661024022,10.52251295563,8.66148548849,9.61777663289,9.51567019559,8.33570891645,9.46575495257,11.78661024057,11.786610240218,11.786610240218,11.786610240218,11.78661024027,11.78661024021,11.78661024021,11.51541517975,11.78661024017,11.78661024022,11.78661024022,11.78661024017,11.78661024067,10.86740928747,8.10142564837,7.59418677438,8.27494503618,9.05036021278,10.60339185163,11.78661024013,11.55324279353,11.78661024003,11.78661024003,11.78661023973,11.78661023953,11.367677633492,11.786610239542,11.786610239542,11.631689828942,10.42887011473,11.78661024003,11.78661024039,11.78661024039,11.78661024039,10.5065028439,11.33034066543,11.78661023983,11.78661023983,11.7866102398,11.693740625,11.702620972,11.7866102398,11.7866102399,11.7866102399,11.78661023986,11.78661023986,11.78661023986,11.78661024035,11.78661024035,11.78661024033,10.53285653753,11.04307526773,8.88556509668,9.82674878858,11.67858427416,11.70108679994,10.58548870315,11.78661024006,11.78661024006,11.78661024006,11.78661023996,11.78661023996,11.78661024018,11.46270818836,9.81260948415,9.77067727268,11.44120879598,11.78661023988,11.78661023991,11.78661023991,11.78661023988,11.48567234708,10.93714724918,11.78661023996,11.78661023996,11.786610239926,11.786610239926,11.786610239926,11.786610239926,11.786610239906,11.786610239906,11.786610239856,11.786610239856,11.786610239916,11.786610239916,11.786610239916,11.786610239916,11.786610240426,11.786610240486,11.786610240491,11.786610240491,11.786610240366,11.786610239966,11.156870928136,11.786610240036,11.786610239996,11.786610239996,11.786610240026,11.786610240026,10.24717155044,11.19544989933,11.37629872243,9.82919357628,11.78661024088,11.55179976469,11.78661024048,11.07264702608,11.786610240111,11.786610240111,8.74373932878,6.11702371728
