,Ev Model,corHMM,picante,phylnn_fill_means,logit_eigenvecs,logit_umap,logit_umap_supervised,logit_autoencoded,logit_autoenc_supervised,xgb_eigenvecs,xgb_umap,xgb_umap_supervised,xgb_autoencoded,xgb_autoenc_supervised,EV Model,Missing Type
count,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100
unique,1,,,,,,,,,,,,,,1,1
top,BISSE,,,,,,,,,,,,,,BISSE,mcar
freq,100,,,,,,,,,,,,,,100,100
mean,,0.14300799729862326,0.1545766914672131,0.1751683358491584,0.18205204242237033,0.18387077168542795,0.1920771174801326,0.18127361703068254,0.18280943178186126,0.162552608744163,0.17990061485823056,0.23185295661962896,0.17222021722983816,0.17086278739738422,,
std,,0.08350967398861237,0.08938998922017224,0.10348891775819055,0.08088212601793215,0.0832306567426886,0.09648084803437754,0.08435864404563112,0.08422399738457341,0.09328145032099902,0.09915468280415643,0.1421672871272179,0.09425020373175116,0.09248089106797382,,
min,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
25%,,0.08743237568497167,0.09705586244991751,0.09568470558375194,0.12186251054007413,0.1308542295248968,0.11684443590090005,0.11537565094769445,0.11579466860226831,0.09187061826970407,0.0994903576630124,0.12139864985024659,0.09946308438861144,0.10082145491841168,,
50%,,0.1427681424243809,0.16580472368390195,0.1885925925925926,0.19139411411420723,0.1962966603919432,0.19314428462664968,0.19183467037709973,0.1980636323157591,0.17271835518310935,0.19280475537992858,0.23714719435419596,0.17263188565993032,0.18200014590006663,,
75%,,0.19991685280982321,0.21054579821546626,0.2522111945635036,0.2454508105579888,0.24310713174084336,0.25318003473632367,0.23920584441834342,0.24411169015612602,0.2197025357494698,0.24306661923641745,0.3106175742866258,0.24141832120032036,0.2403419789091619,,
max,,0.35881567477046683,0.39642881774649036,0.490349077925862,0.32970376455599726,0.34497678031822465,0.4185283901853748,0.3511616836368411,0.3247926567866733,0.37541485584774015,0.4307624975834125,0.5730747268971048,0.3831200716511548,0.40209162922859515,,
