"","t90","t97","t116","t117","t81","t24","t98","t99","t128","t129","t30","t95","t108","t109","t72","t86","t87","t38","t5","t1","t69","t82","t83","t8","t2","t41","t56","t57","t62","t63","t23","t43","t68","t112","t113","t80","t93","t94","t124","t125","t85","t28","t36","t37","t10","t11","t16","t17","t64","t100","t101","t55","t91","t92","t22","t51","t52","t104","t105","t4","t6","t73","t74","t42","t88","t89","t29","t15","t14","t122","t123","t96","t26","t49","t50","t66","t118","t119","t102","t103","t84","t65","t120","t121","t110","t111","t70","t71","t39","t40","t3","t9","t34","t35","t12","t13","t18","t19","t7","t44","t47","t48","t45","t46","t33","t32","t53","t54","t31","t114","t115","t106","t107","t25","t60","t61","t59","t27","t78","t79","t67","t76","t77","t75","t58","t126","t127","t21","t20"
"t90",0,0.31494888516,0.31494888516,0.31494888516,0.4872949566,2.7771823533,3.21440628688,3.21440628688,3.21440628683,3.21440628683,3.2144062869,3.2144062869,3.2144062869,3.2144062869,3.2144062869,4.0436213073,3.91840733039,3.7805291615,2.8094001138,2.9826761452,5.2983943674,5.2983943674,5.2983943674,5.2983943665,4.1511276441,5.2729245532,5.7832112265,5.7832112265,5.7832112264,5.7832112264,4.83308116141,5.71709892084,5.4692766225,5.7832112264,5.7832112264,5.78321122646,5.78321122646,5.78321122646,5.783211226446,5.783211226446,5.78321122648,5.78321122646,5.78321122646,5.78321122646,4.79734965564,5.41064204654,5.7832112261,4.9616097973,5.78321122656,5.78321122646,5.78321122646,5.78321122646,5.78321122646,5.78321122646,5.78321122696,5.78321122646,5.78321122646,5.78321122635,5.78321122635,5.77869588016,5.6709928657,5.573889200458,5.783211226658,5.783211226458,5.783211226458,5.783211226458,5.161346007758,4.5348125045,5.7832112262,5.783211227033,5.783211227033,5.783211227,5.7832112265,5.7832112265,5.7832112265,5.7832112266,5.78321122652,5.78321122652,5.78321122653,5.78321122653,5.7832112265,5.7832112266,5.78321122659,5.78321122659,5.78321122657,5.78321122657,5.54634690523,5.7832112266,5.78321122656,5.78321122656,6.4847399537,6.7151312924633,7.7793589991633,7.5753463494633,7.7793589993233,7.7793589993233,7.7793589994433,6.9156298368433,7.7793589994033,7.7793589991643,7.7793589991543,7.7793589991543,7.7793589992343,7.7793589992343,7.0754482574143,7.7793589992033,7.7793589991033,7.7793589991033,7.7793589991033,7.7793589991033,7.7793589991033,7.77935899951,7.77935899951,7.7793589996,7.77935899957,7.44365900567,7.7793589995,6.9685039923,7.7793589996,7.7153023137,7.7793589996,7.779358999551,7.779358999551,7.7793589996,7.7793589996,7.779358999399,7.779358999399,7.484333357415,7.4831179562
"t97",0.31494888516,0,0.2514771336,0.2514771336,0.48729495656,2.77718235326,3.21440628684,3.21440628684,3.21440628679,3.21440628679,3.21440628686,3.21440628686,3.21440628686,3.21440628686,3.21440628686,4.04362130726,3.91840733035,3.78052916146,2.80940011376,2.98267614516,5.29839436736,5.29839436736,5.29839436736,5.29839436646,4.15112764406,5.27292455316,5.78321122646,5.78321122646,5.78321122636,5.78321122636,4.83308116137,5.7170989208,5.46927662246,5.78321122636,5.78321122636,5.78321122642,5.78321122642,5.78321122642,5.783211226406,5.783211226406,5.78321122644,5.78321122642,5.78321122642,5.78321122642,4.7973496556,5.4106420465,5.78321122606,4.96160979726,5.78321122652,5.78321122642,5.78321122642,5.78321122642,5.78321122642,5.78321122642,5.78321122692,5.78321122642,5.78321122642,5.78321122631,5.78321122631,5.77869588012,5.67099286566,5.573889200418,5.783211226618,5.783211226418,5.783211226418,5.783211226418,5.161346007718,4.53481250446,5.78321122616,5.783211226993,5.783211226993,5.78321122696,5.78321122646,5.78321122646,5.78321122646,5.78321122656,5.78321122648,5.78321122648,5.78321122649,5.78321122649,5.78321122646,5.78321122656,5.78321122655,5.78321122655,5.78321122653,5.78321122653,5.54634690519,5.78321122656,5.78321122652,5.78321122652,6.48473995366,6.7151312924233,7.7793589991233,7.5753463494233,7.7793589992833,7.7793589992833,7.7793589994033,6.9156298368033,7.7793589993633,7.7793589991243,7.7793589991143,7.7793589991143,7.7793589991943,7.7793589991943,7.0754482573743,7.7793589991633,7.7793589990633,7.7793589990633,7.7793589990633,7.7793589990633,7.7793589990633,7.77935899947,7.77935899947,7.77935899956,7.77935899953,7.44365900563,7.77935899946,6.96850399226,7.77935899956,7.71530231366,7.77935899956,7.779358999511,7.779358999511,7.77935899956,7.77935899956,7.779358999359,7.779358999359,7.484333357375,7.48311795616
"t116",0.31494888516,0.2514771336,0,0.06166143082,0.48729495656,2.77718235326,3.21440628684,3.21440628684,3.21440628679,3.21440628679,3.21440628686,3.21440628686,3.21440628686,3.21440628686,3.21440628686,4.04362130726,3.91840733035,3.78052916146,2.80940011376,2.98267614516,5.29839436736,5.29839436736,5.29839436736,5.29839436646,4.15112764406,5.27292455316,5.78321122646,5.78321122646,5.78321122636,5.78321122636,4.83308116137,5.7170989208,5.46927662246,5.78321122636,5.78321122636,5.78321122642,5.78321122642,5.78321122642,5.783211226406,5.783211226406,5.78321122644,5.78321122642,5.78321122642,5.78321122642,4.7973496556,5.4106420465,5.78321122606,4.96160979726,5.78321122652,5.78321122642,5.78321122642,5.78321122642,5.78321122642,5.78321122642,5.78321122692,5.78321122642,5.78321122642,5.78321122631,5.78321122631,5.77869588012,5.67099286566,5.573889200418,5.783211226618,5.783211226418,5.783211226418,5.783211226418,5.161346007718,4.53481250446,5.78321122616,5.783211226993,5.783211226993,5.78321122696,5.78321122646,5.78321122646,5.78321122646,5.78321122656,5.78321122648,5.78321122648,5.78321122649,5.78321122649,5.78321122646,5.78321122656,5.78321122655,5.78321122655,5.78321122653,5.78321122653,5.54634690519,5.78321122656,5.78321122652,5.78321122652,6.48473995366,6.7151312924233,7.7793589991233,7.5753463494233,7.7793589992833,7.7793589992833,7.7793589994033,6.9156298368033,7.7793589993633,7.7793589991243,7.7793589991143,7.7793589991143,7.7793589991943,7.7793589991943,7.0754482573743,7.7793589991633,7.7793589990633,7.7793589990633,7.7793589990633,7.7793589990633,7.7793589990633,7.77935899947,7.77935899947,7.77935899956,7.77935899953,7.44365900563,7.77935899946,6.96850399226,7.77935899956,7.71530231366,7.77935899956,7.779358999511,7.779358999511,7.77935899956,7.77935899956,7.779358999359,7.779358999359,7.484333357375,7.48311795616
"t117",0.31494888516,0.2514771336,0.06166143082,0,0.48729495656,2.77718235326,3.21440628684,3.21440628684,3.21440628679,3.21440628679,3.21440628686,3.21440628686,3.21440628686,3.21440628686,3.21440628686,4.04362130726,3.91840733035,3.78052916146,2.80940011376,2.98267614516,5.29839436736,5.29839436736,5.29839436736,5.29839436646,4.15112764406,5.27292455316,5.78321122646,5.78321122646,5.78321122636,5.78321122636,4.83308116137,5.7170989208,5.46927662246,5.78321122636,5.78321122636,5.78321122642,5.78321122642,5.78321122642,5.783211226406,5.783211226406,5.78321122644,5.78321122642,5.78321122642,5.78321122642,4.7973496556,5.4106420465,5.78321122606,4.96160979726,5.78321122652,5.78321122642,5.78321122642,5.78321122642,5.78321122642,5.78321122642,5.78321122692,5.78321122642,5.78321122642,5.78321122631,5.78321122631,5.77869588012,5.67099286566,5.573889200418,5.783211226618,5.783211226418,5.783211226418,5.783211226418,5.161346007718,4.53481250446,5.78321122616,5.783211226993,5.783211226993,5.78321122696,5.78321122646,5.78321122646,5.78321122646,5.78321122656,5.78321122648,5.78321122648,5.78321122649,5.78321122649,5.78321122646,5.78321122656,5.78321122655,5.78321122655,5.78321122653,5.78321122653,5.54634690519,5.78321122656,5.78321122652,5.78321122652,6.48473995366,6.7151312924233,7.7793589991233,7.5753463494233,7.7793589992833,7.7793589992833,7.7793589994033,6.9156298368033,7.7793589993633,7.7793589991243,7.7793589991143,7.7793589991143,7.7793589991943,7.7793589991943,7.0754482573743,7.7793589991633,7.7793589990633,7.7793589990633,7.7793589990633,7.7793589990633,7.7793589990633,7.77935899947,7.77935899947,7.77935899956,7.77935899953,7.44365900563,7.77935899946,6.96850399226,7.77935899956,7.71530231366,7.77935899956,7.779358999511,7.779358999511,7.77935899956,7.77935899956,7.779358999359,7.779358999359,7.484333357375,7.48311795616
"t81",0.4872949566,0.48729495656,0.48729495656,0.48729495656,0,2.7771823533,3.21440628688,3.21440628688,3.21440628683,3.21440628683,3.2144062869,3.2144062869,3.2144062869,3.2144062869,3.2144062869,4.0436213073,3.91840733039,3.7805291615,2.8094001138,2.9826761452,5.2983943674,5.2983943674,5.2983943674,5.2983943665,4.1511276441,5.2729245532,5.7832112265,5.7832112265,5.7832112264,5.7832112264,4.83308116141,5.71709892084,5.4692766225,5.7832112264,5.7832112264,5.78321122646,5.78321122646,5.78321122646,5.783211226446,5.783211226446,5.78321122648,5.78321122646,5.78321122646,5.78321122646,4.79734965564,5.41064204654,5.7832112261,4.9616097973,5.78321122656,5.78321122646,5.78321122646,5.78321122646,5.78321122646,5.78321122646,5.78321122696,5.78321122646,5.78321122646,5.78321122635,5.78321122635,5.77869588016,5.6709928657,5.573889200458,5.783211226658,5.783211226458,5.783211226458,5.783211226458,5.161346007758,4.5348125045,5.7832112262,5.783211227033,5.783211227033,5.783211227,5.7832112265,5.7832112265,5.7832112265,5.7832112266,5.78321122652,5.78321122652,5.78321122653,5.78321122653,5.7832112265,5.7832112266,5.78321122659,5.78321122659,5.78321122657,5.78321122657,5.54634690523,5.7832112266,5.78321122656,5.78321122656,6.4847399537,6.7151312924633,7.7793589991633,7.5753463494633,7.7793589993233,7.7793589993233,7.7793589994433,6.9156298368433,7.7793589994033,7.7793589991643,7.7793589991543,7.7793589991543,7.7793589992343,7.7793589992343,7.0754482574143,7.7793589992033,7.7793589991033,7.7793589991033,7.7793589991033,7.7793589991033,7.7793589991033,7.77935899951,7.77935899951,7.7793589996,7.77935899957,7.44365900567,7.7793589995,6.9685039923,7.7793589996,7.7153023137,7.7793589996,7.779358999551,7.779358999551,7.7793589996,7.7793589996,7.779358999399,7.779358999399,7.484333357415,7.4831179562
"t24",2.7771823533,2.77718235326,2.77718235326,2.77718235326,2.7771823533,0,1.55598111038,1.55598111038,1.55598111033,1.55598111033,2.2829013702,2.2829013702,2.2829013702,2.2829013702,2.2829013702,3.606397374,3.48118339709,3.3433052282,2.3721761805,2.5454522119,4.8611704341,4.8611704341,4.8611704341,4.8611704332,3.7139037108,4.8357006199,5.3459872932,5.3459872932,5.3459872931,5.3459872931,4.39585722811,5.27987498754,5.0320526892,5.3459872931,5.3459872931,5.34598729316,5.34598729316,5.34598729316,5.345987293146,5.345987293146,5.34598729318,5.34598729316,5.34598729316,5.34598729316,4.36012572234,4.97341811324,5.3459872928,4.524385864,5.34598729326,5.34598729316,5.34598729316,5.34598729316,5.34598729316,5.34598729316,5.34598729366,5.34598729316,5.34598729316,5.34598729305,5.34598729305,5.34147194686,5.2337689324,5.136665267158,5.345987293358,5.345987293158,5.345987293158,5.345987293158,4.724122074458,4.0975885712,5.3459872929,5.345987293733,5.345987293733,5.3459872937,5.3459872932,5.3459872932,5.3459872932,5.3459872933,5.34598729322,5.34598729322,5.34598729323,5.34598729323,5.3459872932,5.3459872933,5.34598729329,5.34598729329,5.34598729327,5.34598729327,5.10912297193,5.3459872933,5.34598729326,5.34598729326,6.0475160204,6.2779073591633,7.3421350658633,7.1381224161633,7.3421350660233,7.3421350660233,7.3421350661433,6.4784059035433,7.3421350661033,7.3421350658643,7.3421350658543,7.3421350658543,7.3421350659343,7.3421350659343,6.6382243241143,7.3421350659033,7.3421350658033,7.3421350658033,7.3421350658033,7.3421350658033,7.3421350658033,7.34213506621,7.34213506621,7.3421350663,7.34213506627,7.00643507237,7.3421350662,6.531280059,7.3421350663,7.2780783804,7.3421350663,7.342135066251,7.342135066251,7.3421350663,7.3421350663,7.342135066099,7.342135066099,7.047109424115,7.0458940229
"t98",3.21440628688,3.21440628684,3.21440628684,3.21440628684,3.21440628688,1.55598111038,0,0.2478555562,0.31980678251,0.31980678251,2.72012530378,2.72012530378,2.72012530378,2.72012530378,2.72012530378,4.04362130758,3.91840733067,3.78052916178,2.80940011408,2.98267614548,5.29839436768,5.29839436768,5.29839436768,5.29839436678,4.15112764438,5.27292455348,5.78321122678,5.78321122678,5.78321122668,5.78321122668,4.83308116169,5.71709892112,5.46927662278,5.78321122668,5.78321122668,5.78321122674,5.78321122674,5.78321122674,5.783211226726,5.783211226726,5.78321122676,5.78321122674,5.78321122674,5.78321122674,4.79734965592,5.41064204682,5.78321122638,4.96160979758,5.78321122684,5.78321122674,5.78321122674,5.78321122674,5.78321122674,5.78321122674,5.78321122724,5.78321122674,5.78321122674,5.78321122663,5.78321122663,5.77869588044,5.67099286598,5.573889200738,5.783211226938,5.783211226738,5.783211226738,5.783211226738,5.161346008038,4.53481250478,5.78321122648,5.783211227313,5.783211227313,5.78321122728,5.78321122678,5.78321122678,5.78321122678,5.78321122688,5.7832112268,5.7832112268,5.78321122681,5.78321122681,5.78321122678,5.78321122688,5.78321122687,5.78321122687,5.78321122685,5.78321122685,5.54634690551,5.78321122688,5.78321122684,5.78321122684,6.48473995398,6.7151312927433,7.7793589994433,7.5753463497433,7.7793589996033,7.7793589996033,7.7793589997233,6.9156298371233,7.7793589996833,7.7793589994443,7.7793589994343,7.7793589994343,7.7793589995143,7.7793589995143,7.0754482576943,7.7793589994833,7.7793589993833,7.7793589993833,7.7793589993833,7.7793589993833,7.7793589993833,7.77935899979,7.77935899979,7.77935899988,7.77935899985,7.44365900595,7.77935899978,6.96850399258,7.77935899988,7.71530231398,7.77935899988,7.779358999831,7.779358999831,7.77935899988,7.77935899988,7.779358999679,7.779358999679,7.484333357695,7.48311795648
"t99",3.21440628688,3.21440628684,3.21440628684,3.21440628684,3.21440628688,1.55598111038,0.2478555562,0,0.31980678251,0.31980678251,2.72012530378,2.72012530378,2.72012530378,2.72012530378,2.72012530378,4.04362130758,3.91840733067,3.78052916178,2.80940011408,2.98267614548,5.29839436768,5.29839436768,5.29839436768,5.29839436678,4.15112764438,5.27292455348,5.78321122678,5.78321122678,5.78321122668,5.78321122668,4.83308116169,5.71709892112,5.46927662278,5.78321122668,5.78321122668,5.78321122674,5.78321122674,5.78321122674,5.783211226726,5.783211226726,5.78321122676,5.78321122674,5.78321122674,5.78321122674,4.79734965592,5.41064204682,5.78321122638,4.96160979758,5.78321122684,5.78321122674,5.78321122674,5.78321122674,5.78321122674,5.78321122674,5.78321122724,5.78321122674,5.78321122674,5.78321122663,5.78321122663,5.77869588044,5.67099286598,5.573889200738,5.783211226938,5.783211226738,5.783211226738,5.783211226738,5.161346008038,4.53481250478,5.78321122648,5.783211227313,5.783211227313,5.78321122728,5.78321122678,5.78321122678,5.78321122678,5.78321122688,5.7832112268,5.7832112268,5.78321122681,5.78321122681,5.78321122678,5.78321122688,5.78321122687,5.78321122687,5.78321122685,5.78321122685,5.54634690551,5.78321122688,5.78321122684,5.78321122684,6.48473995398,6.7151312927433,7.7793589994433,7.5753463497433,7.7793589996033,7.7793589996033,7.7793589997233,6.9156298371233,7.7793589996833,7.7793589994443,7.7793589994343,7.7793589994343,7.7793589995143,7.7793589995143,7.0754482576943,7.7793589994833,7.7793589993833,7.7793589993833,7.7793589993833,7.7793589993833,7.7793589993833,7.77935899979,7.77935899979,7.77935899988,7.77935899985,7.44365900595,7.77935899978,6.96850399258,7.77935899988,7.71530231398,7.77935899988,7.779358999831,7.779358999831,7.77935899988,7.77935899988,7.779358999679,7.779358999679,7.484333357695,7.48311795648
"t128",3.21440628683,3.21440628679,3.21440628679,3.21440628679,3.21440628683,1.55598111033,0.31980678251,0.31980678251,0,0.00515133926,2.72012530373,2.72012530373,2.72012530373,2.72012530373,2.72012530373,4.04362130753,3.91840733062,3.78052916173,2.80940011403,2.98267614543,5.29839436763,5.29839436763,5.29839436763,5.29839436673,4.15112764433,5.27292455343,5.78321122673,5.78321122673,5.78321122663,5.78321122663,4.83308116164,5.71709892107,5.46927662273,5.78321122663,5.78321122663,5.78321122669,5.78321122669,5.78321122669,5.783211226676,5.783211226676,5.78321122671,5.78321122669,5.78321122669,5.78321122669,4.79734965587,5.41064204677,5.78321122633,4.96160979753,5.78321122679,5.78321122669,5.78321122669,5.78321122669,5.78321122669,5.78321122669,5.78321122719,5.78321122669,5.78321122669,5.78321122658,5.78321122658,5.77869588039,5.67099286593,5.573889200688,5.783211226888,5.783211226688,5.783211226688,5.783211226688,5.161346007988,4.53481250473,5.78321122643,5.783211227263,5.783211227263,5.78321122723,5.78321122673,5.78321122673,5.78321122673,5.78321122683,5.78321122675,5.78321122675,5.78321122676,5.78321122676,5.78321122673,5.78321122683,5.78321122682,5.78321122682,5.7832112268,5.7832112268,5.54634690546,5.78321122683,5.78321122679,5.78321122679,6.48473995393,6.7151312926933,7.7793589993933,7.5753463496933,7.7793589995533,7.7793589995533,7.7793589996733,6.9156298370733,7.7793589996333,7.7793589993943,7.7793589993843,7.7793589993843,7.7793589994643,7.7793589994643,7.0754482576443,7.7793589994333,7.7793589993333,7.7793589993333,7.7793589993333,7.7793589993333,7.7793589993333,7.77935899974,7.77935899974,7.77935899983,7.7793589998,7.4436590059,7.77935899973,6.96850399253,7.77935899983,7.71530231393,7.77935899983,7.779358999781,7.779358999781,7.77935899983,7.77935899983,7.779358999629,7.779358999629,7.484333357645,7.48311795643
"t129",3.21440628683,3.21440628679,3.21440628679,3.21440628679,3.21440628683,1.55598111033,0.31980678251,0.31980678251,0.00515133926,0,2.72012530373,2.72012530373,2.72012530373,2.72012530373,2.72012530373,4.04362130753,3.91840733062,3.78052916173,2.80940011403,2.98267614543,5.29839436763,5.29839436763,5.29839436763,5.29839436673,4.15112764433,5.27292455343,5.78321122673,5.78321122673,5.78321122663,5.78321122663,4.83308116164,5.71709892107,5.46927662273,5.78321122663,5.78321122663,5.78321122669,5.78321122669,5.78321122669,5.783211226676,5.783211226676,5.78321122671,5.78321122669,5.78321122669,5.78321122669,4.79734965587,5.41064204677,5.78321122633,4.96160979753,5.78321122679,5.78321122669,5.78321122669,5.78321122669,5.78321122669,5.78321122669,5.78321122719,5.78321122669,5.78321122669,5.78321122658,5.78321122658,5.77869588039,5.67099286593,5.573889200688,5.783211226888,5.783211226688,5.783211226688,5.783211226688,5.161346007988,4.53481250473,5.78321122643,5.783211227263,5.783211227263,5.78321122723,5.78321122673,5.78321122673,5.78321122673,5.78321122683,5.78321122675,5.78321122675,5.78321122676,5.78321122676,5.78321122673,5.78321122683,5.78321122682,5.78321122682,5.7832112268,5.7832112268,5.54634690546,5.78321122683,5.78321122679,5.78321122679,6.48473995393,6.7151312926933,7.7793589993933,7.5753463496933,7.7793589995533,7.7793589995533,7.7793589996733,6.9156298370733,7.7793589996333,7.7793589993943,7.7793589993843,7.7793589993843,7.7793589994643,7.7793589994643,7.0754482576443,7.7793589994333,7.7793589993333,7.7793589993333,7.7793589993333,7.7793589993333,7.7793589993333,7.77935899974,7.77935899974,7.77935899983,7.7793589998,7.4436590059,7.77935899973,6.96850399253,7.77935899983,7.71530231393,7.77935899983,7.779358999781,7.779358999781,7.77935899983,7.77935899983,7.779358999629,7.779358999629,7.484333357645,7.48311795643
