,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
t1,14.362536,-2.5759664,-0.17697765,20.680696,5.184297,24.04997,-1.383998,-0.117712796,-0.85506505,20.0481,4.0005875,7.2540812,-0.06268843,4.4177837,-2.9831123,9.582325,-1.8694686
t43,23.884602,-4.57517,-0.9139654,35.97953,9.968948,42.627728,-2.3875773,-0.062440027,-0.8906749,39.567467,14.072961,15.1953,-0.008359609,16.667315,-4.989123,12.457652,-3.3706748
t163,24.457745,-4.7643204,-0.89115554,34.917862,10.299151,41.781517,-2.26887,-0.05364982,-0.5702931,39.23548,16.19686,15.667387,0.16311033,17.609747,-4.6420984,11.671621,-3.520066
t164,24.459995,-4.762368,-0.88966286,34.908997,10.297855,41.776222,-2.2691805,-0.051047053,-0.56887835,39.23831,16.194319,15.660269,0.16344412,17.612507,-4.641989,11.6819515,-3.5194051
t91,23.716791,-4.7090483,-0.8949095,34.61882,10.147123,41.290253,-2.2829702,0.05017512,-0.6396246,38.819042,15.396739,15.417822,-0.027924238,16.94796,-4.6141057,11.893437,-3.3912094
t92,23.95234,-4.6755877,-0.916755,34.994576,10.281393,41.709583,-2.340416,0.14932387,-0.66778135,39.276104,15.376143,15.676307,0.03253896,17.341143,-4.7234373,12.064236,-3.4318223
t76,15.446546,-3.4359028,-1.7141701,39.25707,-0.32441556,40.447144,-2.9391992,-0.8257459,-1.4362241,39.83411,6.200627,9.634972,2.1870074,12.745107,-6.848325,17.04744,-3.0066478
t77,13.620054,-3.1809123,-1.7029883,36.76739,-0.43414402,37.55503,-2.7601202,-0.7837985,-1.3646785,37.45767,5.7626853,8.797024,1.9597584,12.022371,-6.50377,15.73283,-2.7681708
t37,12.4970255,-3.0332515,-1.7933108,35.3444,-0.4969016,35.766052,-2.6095426,-0.7001277,-1.2822955,36.013496,5.511304,8.219816,2.0531802,11.841233,-6.2399583,14.705992,-2.61777
t17,8.972545,-2.4990337,-1.7193263,30.642374,-0.6832442,30.187906,-2.357033,-0.67911637,-1.1065936,30.664984,4.428536,6.980626,1.9692603,9.558334,-5.447562,11.995715,-2.166873
t31,8.755208,-2.5245807,-1.8527575,31.100975,-0.82180494,30.417435,-2.3848617,-0.7039544,-1.1237088,31.63442,4.282852,6.8100266,1.5153996,9.591514,-5.5440936,11.963613,-2.1925027
t39,12.300667,-3.0609615,-2.0361838,36.53455,-0.7091741,36.07022,-2.783539,-0.79424524,-1.2607846,37.28112,5.075394,8.216843,1.3573405,11.295742,-6.406303,14.75712,-2.7084005
t40,12.728604,-3.109505,-2.0340936,36.642197,-0.6229896,36.570995,-2.7424712,-0.7678403,-1.2363497,37.50498,5.1444545,8.527743,1.3318697,11.687939,-6.3654294,14.906786,-2.7935417
t115,14.687483,-3.4443386,-2.3415446,40.933304,-0.5578564,40.77909,-3.1172004,-0.8121813,-1.4379897,42.211105,5.59712,9.989163,1.153135,12.95816,-7.1598725,16.108984,-3.1084583
t116,14.765624,-3.4279542,-2.338866,41.05374,-0.5755461,41.024,-3.0901935,-0.81006193,-1.4134821,42.188087,5.7407107,9.984072,1.3720795,13.145815,-7.152101,15.971924,-3.1083372
t119,14.774245,-3.3876088,-2.3447313,40.849617,-0.6001564,40.72502,-3.0806842,-0.8234183,-1.4288182,42.28623,5.600042,9.770696,1.1116606,13.127609,-7.16456,15.885704,-3.108866
t120,14.802721,-3.4200451,-2.341379,40.871315,-0.56978035,40.77259,-3.1097999,-0.8198018,-1.4292666,42.335434,5.543832,9.858135,1.109532,13.001064,-7.1762285,15.976049,-3.1271684
t19,8.949968,-2.470043,-1.6946753,30.524641,-0.7541939,30.192259,-2.3621147,-0.70658773,-1.0784367,30.82776,4.507171,6.8029547,1.8689638,9.634759,-5.431545,12.071964,-2.1838412
t90,8.572008,-2.9845912,-1.9302438,41.981052,-1.0619938,36.18672,-3.1910753,-0.36468747,-1.1904218,39.362137,8.154925,7.8067093,7.297628,16.18383,-7.59692,20.331194,-2.434355
t169,8.116432,-2.9731727,-1.9049227,42.242325,-1.1367972,35.921906,-3.2375832,-0.37444022,-1.1559609,39.14,8.300757,7.477911,7.8516154,16.29842,-7.618145,20.810507,-2.3370292
t170,8.116422,-2.9731038,-1.9051636,42.24279,-1.1368922,35.922882,-3.2376676,-0.3749513,-1.1565489,39.14119,8.298064,7.4774184,7.8491664,16.29641,-7.6184654,20.810305,-2.3370883
t167,8.114399,-2.9616306,-1.9581158,42.161167,-1.1548913,36.015507,-3.2133603,-0.37082142,-1.1524557,39.13711,8.289064,7.5350213,7.8337016,16.388256,-7.603856,20.609661,-2.3723269
t168,8.114243,-2.9613893,-1.9586375,42.161163,-1.156098,36.012856,-3.2131486,-0.37035915,-1.1525706,39.139072,8.2853155,7.531223,7.8345184,16.385359,-7.604052,20.606937,-2.3725078
t121,8.047848,-2.9582984,-1.9185041,42.200916,-1.137771,35.92518,-3.216034,-0.34914172,-1.1372387,39.089523,8.3723345,7.516112,7.8098125,16.3648,-7.5974274,20.603746,-2.346783
t64,8.975054,-3.0413435,-1.9339561,42.22223,-1.0750688,36.391037,-3.1959276,-0.43327323,-1.1757324,39.164253,8.2797985,8.145859,7.1497836,15.90584,-7.485421,20.13757,-2.394039
t65,8.236995,-2.8986185,-1.8547096,40.695057,-1.0909376,35.429398,-3.05472,-0.36516088,-1.1678408,38.053043,7.963899,7.6575933,6.9213223,15.674351,-7.4023194,19.759483,-2.363668
t93,8.331973,-3.1433523,-1.8968738,42.0826,-1.0087694,36.12642,-3.2722936,-0.46501857,-1.2414502,39.357967,8.439923,8.082134,6.43244,15.895088,-7.598459,20.479147,-2.4135072
t137,8.144659,-3.1596882,-1.8810452,42.20957,-1.0039147,36.05117,-3.2811298,-0.4369428,-1.2250996,39.13853,8.543775,8.145712,6.8353934,15.816151,-7.6173058,20.77976,-2.434772
t138,7.9848294,-3.1743002,-1.9146216,42.210945,-1.0291965,35.954407,-3.284142,-0.4502697,-1.2204292,39.188133,8.521716,8.074713,6.7724357,15.84834,-7.620501,20.771456,-2.4149027
t108,8.317538,-3.1323938,-1.9162842,42.170044,-1.0229597,36.13865,-3.2334716,-0.4378073,-1.2151818,39.071205,8.542439,8.25993,7.0363708,15.983114,-7.602643,20.536686,-2.4637823
t100,7.897463,-2.9683478,-1.9587679,41.239685,-1.1140689,35.03646,-3.1294963,-0.45614615,-1.2501359,38.849113,7.8231883,7.463584,6.476897,15.844233,-7.4811234,19.895063,-2.289815
