"accepted_species","I1.1/1"
"t89","0"
"t90","1"
"t31","1"
"t73","1"
"t74","0"
"t95","1"
"t96","1"
"t37","1"
"t23","1"
"t49","1"
"t58","1"
"t59","0"
"t32","1"
"t12","0"
"t13","0"
"t2","1"
"t83","1"
"t84","1"
"t78","0"
"t24","1"
"t10","1"
"t81","1"
"t82","0"
"t48","1"
"t15","1"
"t97","0"
"t98","0"
"t69","0"
"t70","0"
"t4","0"
"t99","1"
"t100","1"
"t9","1"
"t46","1"
"t47","1"
"t44","0"
"t71","0"
"t72","0"
"t38","0"
"t75","1"
"t6","0"
"t79","1"
"t80","1"
"t20","1"
"t63","0"
"t64","1"
"t66","1"
"t67","1"
"t68","1"
"t1","0"
"t35","1"
"t54","1"
"t55","1"
"t60","0"
"t61","1"
"t11","0"
"t62","0"
"t85","1"
"t86","0"
"t65","0"
"t25","0"
"t26","0"
"t76","1"
"t77","0"
"t50","0"
"t51","0"
"t42","1"
"t93","0"
"t94","0"
"t43","1"
"t36","1"
"t21","1"
"t14","0"
"t7","0"
"t8","0"
"t5","1"
"t45","0"
"t29","1"
"t30","1"
"t52","1"
"t53","1"
"t19","1"
"t27","1"
"t28","1"
"t41","1"
"t56","0"
"t57","0"
"t18","1"
"t87","1"
"t88","1"
"t22","1"
"t91","1"
"t92","1"
"t33","0"
"t34","0"
"t39","1"
"t40","1"
"t3","0"
"t16","1"
"t17","1"
