"","t3","t70","t88","t103","t104","t83","t31","t120","t121","t118","t119","t105","t106","t40","t135","t136","t78","t126","t127","t96","t74","t101","t102","t39","t5","t75","t76","t92","t93","t86","t38","t57","t58","t65","t129","t130","t27","t28","t21","t22","t19","t17","t1","t2","t6","t7","t4","t16","t94","t95","t87","t97","t98","t59","t110","t111","t30","t116","t117","t89","t114","t115","t81","t55","t79","t80","t60","t107","t108","t64","t11","t13","t139","t140","t46","t47","t48","t61","t62","t52","t66","t67","t33","t68","t69","t56","t41","t42","t32","t84","t85","t43","t37","t44","t45","t137","t138","t112","t113","t109","t18","t9","t10","t8","t122","t123","t71","t90","t91","t36","t133","t134","t35","t23","t49","t72","t73","t63","t14","t15","t24","t54","t128","t143","t144","t99","t100","t82","t77","t131","t132","t12","t34","t50","t51","t141","t142","t29","t124","t125","t53","t20","t25","t26"
"t3",0,6.0416772185,6.04167721854,6.04167721854,6.04167721854,6.0416772185,4.5170191663,6.0416772189,6.0416772189,6.04167721903,6.04167721903,6.04167721896,6.04167721896,6.04167721853,6.04167721857,6.04167721857,5.75798685293,6.04167721863,6.04167721863,6.04167721863,5.75473374903,6.04167721863,6.04167721863,6.0416772184,4.0309134977,6.0416772186,5.8242148465,6.04167721858,6.04167721858,6.0416772186,5.32650048023,6.04167721863,6.04167721863,6.04167721863,6.04167721873,6.04167721873,4.275355531,4.4390614549,5.07431752054,4.97320273154,4.58499225936,3.9618940395,9.5555723551,4.4751710898,6.2544909916,8.1908288945,7.1724667042,7.2084833219,9.55557235455,9.55557235455,9.55557235448,9.55557235458,9.55557235458,8.90595953174,9.35824050883,9.55557235454,7.68008191215,9.5555723538,9.5555723538,9.55557235431,9.55557235431,9.55557235431,9.38164306539,8.94282206129,9.55557235429,9.55557235429,9.55557235429,9.55557235435,9.55557235435,9.55557235435,6.7004302316,7.57327617119,9.55557235384,9.55557235384,9.55557235478,9.55557235478,9.55557235388,9.55557235428,9.55557235428,9.35648682008,9.55557235428,9.35614788488,9.55557235458,9.55557235425,9.55557235425,9.55557235425,9.55557235455,9.55557235455,8.30943046675,9.55557235428,9.55557235428,9.55557235428,8.18830985956,8.65947131908,9.55557235438,9.55557235388,9.55557235388,9.55557235474,9.55557235474,9.55557235476,7.81635534216,6.71336993326,6.35140795246,7.48247515021,9.555572354,9.555572354,9.5555723538,9.5555723538,9.5555723538,9.5555723541,9.55557235384,9.55557235384,8.43702443018,7.32012983859,9.5555723546,9.5555723545,9.5555723545,9.5555723546,7.0561827112,7.2305544379,7.6022625904,9.5555723543,9.5555723544,9.55557235436,9.55557235436,9.55557235435,9.55557235435,9.55557235435,9.55557235434,9.55557235425,9.55557235425,6.7003030695,9.55557235467,9.5555723545,9.5555723545,9.5555723545,9.5555723545,7.89000524007,9.55557235437,9.55557235437,9.55557235427,8.32840833377,8.030353605,7.51051060518
"t70",6.0416772185,0,1.21734951664,1.21734951664,1.21734951664,1.2173495166,2.0055520624,4.4852936106,4.4852936106,4.48529361073,4.48529361073,4.48529361066,4.48529361066,6.85011759623,6.85011759627,6.85011759627,6.56642723063,6.85011759633,6.85011759633,6.85011759633,6.56317412673,6.85011759633,6.85011759633,6.8501175961,6.5224030806,8.5331668015,8.3157044294,8.53316680148,8.53316680148,8.5331668015,7.81799006313,8.53316680153,8.53316680153,8.53316680153,8.53316680163,8.53316680163,6.7668451139,6.9305510378,8.29511175304,8.19399696404,7.80578649186,7.182688272,13.0898800496,8.0094787843,9.7887986861,11.725136589,10.7067743987,10.7427910164,13.08988004905,13.08988004905,13.08988004898,13.08988004908,13.08988004908,12.44026722624,12.89254820333,13.08988004904,11.21438960665,13.0898800483,13.0898800483,13.08988004881,13.08988004881,13.08988004881,12.91595075989,12.47712975579,13.08988004879,13.08988004879,13.08988004879,13.08988004885,13.08988004885,13.08988004885,10.2347379261,11.10758386569,13.08988004834,13.08988004834,13.08988004928,13.08988004928,13.08988004838,13.08988004878,13.08988004878,12.89079451458,13.08988004878,12.89045557938,13.08988004908,13.08988004875,13.08988004875,13.08988004875,13.08988004905,13.08988004905,11.84373816125,13.08988004878,13.08988004878,13.08988004878,11.72261755406,12.19377901358,13.08988004888,13.08988004838,13.08988004838,13.08988004924,13.08988004924,13.08988004926,11.35066303666,10.24767762776,9.88571564696,11.01678284471,13.0898800485,13.0898800485,13.0898800483,13.0898800483,13.0898800483,13.0898800486,13.08988004834,13.08988004834,11.97133212468,10.85443753309,13.0898800491,13.089880049,13.089880049,13.0898800491,10.5904904057,10.7648621324,11.1365702849,13.0898800488,13.0898800489,13.08988004886,13.08988004886,13.08988004885,13.08988004885,13.08988004885,13.08988004884,13.08988004875,13.08988004875,10.234610764,13.08988004917,13.089880049,13.089880049,13.089880049,13.089880049,11.42431293457,13.08988004887,13.08988004887,13.08988004877,11.86271602827,11.5646612995,11.04481829968
"t88",6.04167721854,1.21734951664,0,0.7326245278,0.7326245278,0.80537985744,2.00555206244,4.48529361064,4.48529361064,4.48529361077,4.48529361077,4.4852936107,4.4852936107,6.85011759627,6.85011759631,6.85011759631,6.56642723067,6.85011759637,6.85011759637,6.85011759637,6.56317412677,6.85011759637,6.85011759637,6.85011759614,6.52240308064,8.53316680154,8.31570442944,8.53316680152,8.53316680152,8.53316680154,7.81799006317,8.53316680157,8.53316680157,8.53316680157,8.53316680167,8.53316680167,6.76684511394,6.93055103784,8.29511175308,8.19399696408,7.8057864919,7.18268827204,13.08988004964,8.00947878434,9.78879868614,11.72513658904,10.70677439874,10.74279101644,13.08988004909,13.08988004909,13.08988004902,13.08988004912,13.08988004912,12.44026722628,12.89254820337,13.08988004908,11.21438960669,13.08988004834,13.08988004834,13.08988004885,13.08988004885,13.08988004885,12.91595075993,12.47712975583,13.08988004883,13.08988004883,13.08988004883,13.08988004889,13.08988004889,13.08988004889,10.23473792614,11.10758386573,13.08988004838,13.08988004838,13.08988004932,13.08988004932,13.08988004842,13.08988004882,13.08988004882,12.89079451462,13.08988004882,12.89045557942,13.08988004912,13.08988004879,13.08988004879,13.08988004879,13.08988004909,13.08988004909,11.84373816129,13.08988004882,13.08988004882,13.08988004882,11.7226175541,12.19377901362,13.08988004892,13.08988004842,13.08988004842,13.08988004928,13.08988004928,13.0898800493,11.3506630367,10.2476776278,9.885715647,11.01678284475,13.08988004854,13.08988004854,13.08988004834,13.08988004834,13.08988004834,13.08988004864,13.08988004838,13.08988004838,11.97133212472,10.85443753313,13.08988004914,13.08988004904,13.08988004904,13.08988004914,10.59049040574,10.76486213244,11.13657028494,13.08988004884,13.08988004894,13.0898800489,13.0898800489,13.08988004889,13.08988004889,13.08988004889,13.08988004888,13.08988004879,13.08988004879,10.23461076404,13.08988004921,13.08988004904,13.08988004904,13.08988004904,13.08988004904,11.42431293461,13.08988004891,13.08988004891,13.08988004881,11.86271602831,11.56466129954,11.04481829972
"t103",6.04167721854,1.21734951664,0.7326245278,0,0.5309764706,0.80537985744,2.00555206244,4.48529361064,4.48529361064,4.48529361077,4.48529361077,4.4852936107,4.4852936107,6.85011759627,6.85011759631,6.85011759631,6.56642723067,6.85011759637,6.85011759637,6.85011759637,6.56317412677,6.85011759637,6.85011759637,6.85011759614,6.52240308064,8.53316680154,8.31570442944,8.53316680152,8.53316680152,8.53316680154,7.81799006317,8.53316680157,8.53316680157,8.53316680157,8.53316680167,8.53316680167,6.76684511394,6.93055103784,8.29511175308,8.19399696408,7.8057864919,7.18268827204,13.08988004964,8.00947878434,9.78879868614,11.72513658904,10.70677439874,10.74279101644,13.08988004909,13.08988004909,13.08988004902,13.08988004912,13.08988004912,12.44026722628,12.89254820337,13.08988004908,11.21438960669,13.08988004834,13.08988004834,13.08988004885,13.08988004885,13.08988004885,12.91595075993,12.47712975583,13.08988004883,13.08988004883,13.08988004883,13.08988004889,13.08988004889,13.08988004889,10.23473792614,11.10758386573,13.08988004838,13.08988004838,13.08988004932,13.08988004932,13.08988004842,13.08988004882,13.08988004882,12.89079451462,13.08988004882,12.89045557942,13.08988004912,13.08988004879,13.08988004879,13.08988004879,13.08988004909,13.08988004909,11.84373816129,13.08988004882,13.08988004882,13.08988004882,11.7226175541,12.19377901362,13.08988004892,13.08988004842,13.08988004842,13.08988004928,13.08988004928,13.0898800493,11.3506630367,10.2476776278,9.885715647,11.01678284475,13.08988004854,13.08988004854,13.08988004834,13.08988004834,13.08988004834,13.08988004864,13.08988004838,13.08988004838,11.97133212472,10.85443753313,13.08988004914,13.08988004904,13.08988004904,13.08988004914,10.59049040574,10.76486213244,11.13657028494,13.08988004884,13.08988004894,13.0898800489,13.0898800489,13.08988004889,13.08988004889,13.08988004889,13.08988004888,13.08988004879,13.08988004879,10.23461076404,13.08988004921,13.08988004904,13.08988004904,13.08988004904,13.08988004904,11.42431293461,13.08988004891,13.08988004891,13.08988004881,11.86271602831,11.56466129954,11.04481829972
"t104",6.04167721854,1.21734951664,0.7326245278,0.5309764706,0,0.80537985744,2.00555206244,4.48529361064,4.48529361064,4.48529361077,4.48529361077,4.4852936107,4.4852936107,6.85011759627,6.85011759631,6.85011759631,6.56642723067,6.85011759637,6.85011759637,6.85011759637,6.56317412677,6.85011759637,6.85011759637,6.85011759614,6.52240308064,8.53316680154,8.31570442944,8.53316680152,8.53316680152,8.53316680154,7.81799006317,8.53316680157,8.53316680157,8.53316680157,8.53316680167,8.53316680167,6.76684511394,6.93055103784,8.29511175308,8.19399696408,7.8057864919,7.18268827204,13.08988004964,8.00947878434,9.78879868614,11.72513658904,10.70677439874,10.74279101644,13.08988004909,13.08988004909,13.08988004902,13.08988004912,13.08988004912,12.44026722628,12.89254820337,13.08988004908,11.21438960669,13.08988004834,13.08988004834,13.08988004885,13.08988004885,13.08988004885,12.91595075993,12.47712975583,13.08988004883,13.08988004883,13.08988004883,13.08988004889,13.08988004889,13.08988004889,10.23473792614,11.10758386573,13.08988004838,13.08988004838,13.08988004932,13.08988004932,13.08988004842,13.08988004882,13.08988004882,12.89079451462,13.08988004882,12.89045557942,13.08988004912,13.08988004879,13.08988004879,13.08988004879,13.08988004909,13.08988004909,11.84373816129,13.08988004882,13.08988004882,13.08988004882,11.7226175541,12.19377901362,13.08988004892,13.08988004842,13.08988004842,13.08988004928,13.08988004928,13.0898800493,11.3506630367,10.2476776278,9.885715647,11.01678284475,13.08988004854,13.08988004854,13.08988004834,13.08988004834,13.08988004834,13.08988004864,13.08988004838,13.08988004838,11.97133212472,10.85443753313,13.08988004914,13.08988004904,13.08988004904,13.08988004914,10.59049040574,10.76486213244,11.13657028494,13.08988004884,13.08988004894,13.0898800489,13.0898800489,13.08988004889,13.08988004889,13.08988004889,13.08988004888,13.08988004879,13.08988004879,10.23461076404,13.08988004921,13.08988004904,13.08988004904,13.08988004904,13.08988004904,11.42431293461,13.08988004891,13.08988004891,13.08988004881,11.86271602831,11.56466129954,11.04481829972
"t83",6.0416772185,1.2173495166,0.80537985744,0.80537985744,0.80537985744,0,2.0055520624,4.4852936106,4.4852936106,4.48529361073,4.48529361073,4.48529361066,4.48529361066,6.85011759623,6.85011759627,6.85011759627,6.56642723063,6.85011759633,6.85011759633,6.85011759633,6.56317412673,6.85011759633,6.85011759633,6.8501175961,6.5224030806,8.5331668015,8.3157044294,8.53316680148,8.53316680148,8.5331668015,7.81799006313,8.53316680153,8.53316680153,8.53316680153,8.53316680163,8.53316680163,6.7668451139,6.9305510378,8.29511175304,8.19399696404,7.80578649186,7.182688272,13.0898800496,8.0094787843,9.7887986861,11.725136589,10.7067743987,10.7427910164,13.08988004905,13.08988004905,13.08988004898,13.08988004908,13.08988004908,12.44026722624,12.89254820333,13.08988004904,11.21438960665,13.0898800483,13.0898800483,13.08988004881,13.08988004881,13.08988004881,12.91595075989,12.47712975579,13.08988004879,13.08988004879,13.08988004879,13.08988004885,13.08988004885,13.08988004885,10.2347379261,11.10758386569,13.08988004834,13.08988004834,13.08988004928,13.08988004928,13.08988004838,13.08988004878,13.08988004878,12.89079451458,13.08988004878,12.89045557938,13.08988004908,13.08988004875,13.08988004875,13.08988004875,13.08988004905,13.08988004905,11.84373816125,13.08988004878,13.08988004878,13.08988004878,11.72261755406,12.19377901358,13.08988004888,13.08988004838,13.08988004838,13.08988004924,13.08988004924,13.08988004926,11.35066303666,10.24767762776,9.88571564696,11.01678284471,13.0898800485,13.0898800485,13.0898800483,13.0898800483,13.0898800483,13.0898800486,13.08988004834,13.08988004834,11.97133212468,10.85443753309,13.0898800491,13.089880049,13.089880049,13.0898800491,10.5904904057,10.7648621324,11.1365702849,13.0898800488,13.0898800489,13.08988004886,13.08988004886,13.08988004885,13.08988004885,13.08988004885,13.08988004884,13.08988004875,13.08988004875,10.234610764,13.08988004917,13.089880049,13.089880049,13.089880049,13.089880049,11.42431293457,13.08988004887,13.08988004887,13.08988004877,11.86271602827,11.5646612995,11.04481829968
"t31",4.5170191663,2.0055520624,2.00555206244,2.00555206244,2.00555206244,2.0055520624,0,2.9606355584,2.9606355584,2.96063555853,2.96063555853,2.96063555846,2.96063555846,5.32545954403,5.32545954407,5.32545954407,5.04176917843,5.32545954413,5.32545954413,5.32545954413,5.03851607453,5.32545954413,5.32545954413,5.3254595439,4.9977450284,7.0085087493,6.7910463772,7.00850874928,7.00850874928,7.0085087493,6.29333201093,7.00850874933,7.00850874933,7.00850874933,7.00850874943,7.00850874943,5.2421870617,5.4058929856,6.77045370084,6.66933891184,6.28112843966,5.6580302198,11.5652219974,6.4848207321,8.2641406339,10.2004785368,9.1821163465,9.2181329642,11.56522199685,11.56522199685,11.56522199678,11.56522199688,11.56522199688,10.91560917404,11.36789015113,11.56522199684,9.68973155445,11.5652219961,11.5652219961,11.56522199661,11.56522199661,11.56522199661,11.39129270769,10.95247170359,11.56522199659,11.56522199659,11.56522199659,11.56522199665,11.56522199665,11.56522199665,8.7100798739,9.58292581349,11.56522199614,11.56522199614,11.56522199708,11.56522199708,11.56522199618,11.56522199658,11.56522199658,11.36613646238,11.56522199658,11.36579752718,11.56522199688,11.56522199655,11.56522199655,11.56522199655,11.56522199685,11.56522199685,10.31908010905,11.56522199658,11.56522199658,11.56522199658,10.19795950186,10.66912096138,11.56522199668,11.56522199618,11.56522199618,11.56522199704,11.56522199704,11.56522199706,9.82600498446,8.72301957556,8.36105759476,9.49212479251,11.5652219963,11.5652219963,11.5652219961,11.5652219961,11.5652219961,11.5652219964,11.56522199614,11.56522199614,10.44667407248,9.32977948089,11.5652219969,11.5652219968,11.5652219968,11.5652219969,9.0658323535,9.2402040802,9.6119122327,11.5652219966,11.5652219967,11.56522199666,11.56522199666,11.56522199665,11.56522199665,11.56522199665,11.56522199664,11.56522199655,11.56522199655,8.7099527118,11.56522199697,11.5652219968,11.5652219968,11.5652219968,11.5652219968,9.89965488237,11.56522199667,11.56522199667,11.56522199657,10.33805797607,10.0400032473,9.52016024748
"t120",6.0416772189,4.4852936106,4.48529361064,4.48529361064,4.48529361064,4.4852936106,2.9606355584,0,0.3243493362,0.69873118313,0.69873118313,0.69873118306,0.69873118306,6.85011759663,6.85011759667,6.85011759667,6.56642723103,6.85011759673,6.85011759673,6.85011759673,6.56317412713,6.85011759673,6.85011759673,6.8501175965,6.522403081,8.5331668019,8.3157044298,8.53316680188,8.53316680188,8.5331668019,7.81799006353,8.53316680193,8.53316680193,8.53316680193,8.53316680203,8.53316680203,6.7668451143,6.9305510382,8.29511175344,8.19399696444,7.80578649226,7.1826882724,13.08988005,8.0094787847,9.7887986865,11.7251365894,10.7067743991,10.7427910168,13.08988004945,13.08988004945,13.08988004938,13.08988004948,13.08988004948,12.44026722664,12.89254820373,13.08988004944,11.21438960705,13.0898800487,13.0898800487,13.08988004921,13.08988004921,13.08988004921,12.91595076029,12.47712975619,13.08988004919,13.08988004919,13.08988004919,13.08988004925,13.08988004925,13.08988004925,10.2347379265,11.10758386609,13.08988004874,13.08988004874,13.08988004968,13.08988004968,13.08988004878,13.08988004918,13.08988004918,12.89079451498,13.08988004918,12.89045557978,13.08988004948,13.08988004915,13.08988004915,13.08988004915,13.08988004945,13.08988004945,11.84373816165,13.08988004918,13.08988004918,13.08988004918,11.72261755446,12.19377901398,13.08988004928,13.08988004878,13.08988004878,13.08988004964,13.08988004964,13.08988004966,11.35066303706,10.24767762816,9.88571564736,11.01678284511,13.0898800489,13.0898800489,13.0898800487,13.0898800487,13.0898800487,13.089880049,13.08988004874,13.08988004874,11.97133212508,10.85443753349,13.0898800495,13.0898800494,13.0898800494,13.0898800495,10.5904904061,10.7648621328,11.1365702853,13.0898800492,13.0898800493,13.08988004926,13.08988004926,13.08988004925,13.08988004925,13.08988004925,13.08988004924,13.08988004915,13.08988004915,10.2346107644,13.08988004957,13.0898800494,13.0898800494,13.0898800494,13.0898800494,11.42431293497,13.08988004927,13.08988004927,13.08988004917,11.86271602867,11.5646612999,11.04481830008
"t121",6.0416772189,4.4852936106,4.48529361064,4.48529361064,4.48529361064,4.4852936106,2.9606355584,0.3243493362,0,0.69873118313,0.69873118313,0.69873118306,0.69873118306,6.85011759663,6.85011759667,6.85011759667,6.56642723103,6.85011759673,6.85011759673,6.85011759673,6.56317412713,6.85011759673,6.85011759673,6.8501175965,6.522403081,8.5331668019,8.3157044298,8.53316680188,8.53316680188,8.5331668019,7.81799006353,8.53316680193,8.53316680193,8.53316680193,8.53316680203,8.53316680203,6.7668451143,6.9305510382,8.29511175344,8.19399696444,7.80578649226,7.1826882724,13.08988005,8.0094787847,9.7887986865,11.7251365894,10.7067743991,10.7427910168,13.08988004945,13.08988004945,13.08988004938,13.08988004948,13.08988004948,12.44026722664,12.89254820373,13.08988004944,11.21438960705,13.0898800487,13.0898800487,13.08988004921,13.08988004921,13.08988004921,12.91595076029,12.47712975619,13.08988004919,13.08988004919,13.08988004919,13.08988004925,13.08988004925,13.08988004925,10.2347379265,11.10758386609,13.08988004874,13.08988004874,13.08988004968,13.08988004968,13.08988004878,13.08988004918,13.08988004918,12.89079451498,13.08988004918,12.89045557978,13.08988004948,13.08988004915,13.08988004915,13.08988004915,13.08988004945,13.08988004945,11.84373816165,13.08988004918,13.08988004918,13.08988004918,11.72261755446,12.19377901398,13.08988004928,13.08988004878,13.08988004878,13.08988004964,13.08988004964,13.08988004966,11.35066303706,10.24767762816,9.88571564736,11.01678284511,13.0898800489,13.0898800489,13.0898800487,13.0898800487,13.0898800487,13.089880049,13.08988004874,13.08988004874,11.97133212508,10.85443753349,13.0898800495,13.0898800494,13.0898800494,13.0898800495,10.5904904061,10.7648621328,11.1365702853,13.0898800492,13.0898800493,13.08988004926,13.08988004926,13.08988004925,13.08988004925,13.08988004925,13.08988004924,13.08988004915,13.08988004915,10.2346107644,13.08988004957,13.0898800494,13.0898800494,13.0898800494,13.0898800494,11.42431293497,13.08988004927,13.08988004927,13.08988004917,11.86271602867,11.5646612999,11.04481830008
"t118",6.04167721903,4.48529361073,4.48529361077,4.48529361077,4.48529361077,4.48529361073,2.96063555853,0.69873118313,0.69873118313,0,0.334120729,0.63038115833,0.63038115833,6.85011759676,6.8501175968,6.8501175968,6.56642723116,6.85011759686,6.85011759686,6.85011759686,6.56317412726,6.85011759686,6.85011759686,6.85011759663,6.52240308113,8.53316680203,8.31570442993,8.53316680201,8.53316680201,8.53316680203,7.81799006366,8.53316680206,8.53316680206,8.53316680206,8.53316680216,8.53316680216,6.76684511443,6.93055103833,8.29511175357,8.19399696457,7.80578649239,7.18268827253,13.08988005013,8.00947878483,9.78879868663,11.72513658953,10.70677439923,10.74279101693,13.08988004958,13.08988004958,13.08988004951,13.08988004961,13.08988004961,12.44026722677,12.89254820386,13.08988004957,11.21438960718,13.08988004883,13.08988004883,13.08988004934,13.08988004934,13.08988004934,12.91595076042,12.47712975632,13.08988004932,13.08988004932,13.08988004932,13.08988004938,13.08988004938,13.08988004938,10.23473792663,11.10758386622,13.08988004887,13.08988004887,13.08988004981,13.08988004981,13.08988004891,13.08988004931,13.08988004931,12.89079451511,13.08988004931,12.89045557991,13.08988004961,13.08988004928,13.08988004928,13.08988004928,13.08988004958,13.08988004958,11.84373816178,13.08988004931,13.08988004931,13.08988004931,11.72261755459,12.19377901411,13.08988004941,13.08988004891,13.08988004891,13.08988004977,13.08988004977,13.08988004979,11.35066303719,10.24767762829,9.88571564749,11.01678284524,13.08988004903,13.08988004903,13.08988004883,13.08988004883,13.08988004883,13.08988004913,13.08988004887,13.08988004887,11.97133212521,10.85443753362,13.08988004963,13.08988004953,13.08988004953,13.08988004963,10.59049040623,10.76486213293,11.13657028543,13.08988004933,13.08988004943,13.08988004939,13.08988004939,13.08988004938,13.08988004938,13.08988004938,13.08988004937,13.08988004928,13.08988004928,10.23461076453,13.0898800497,13.08988004953,13.08988004953,13.08988004953,13.08988004953,11.4243129351,13.0898800494,13.0898800494,13.0898800493,11.8627160288,11.56466130003,11.04481830021
