,0,1,2,3,4,5,6,7,8,9,10,11,12,13
t3,30.18951,-3.4377859,-8.648305,65.94028,24.10527,-10.272706,11.815934,1.6462902,-4.3568234,-0.25964954,-2.563142,0.2033425,19.777987,-5.9913116
t70,40.514164,-3.811288,-12.153296,87.87834,36.316143,-14.016194,20.222261,-0.19770443,-5.489315,-0.36753663,-2.8316462,1.8510143,26.908924,-8.182954
t88,40.427822,-3.7061517,-12.135634,87.9306,36.38777,-14.022148,20.282106,-0.23745511,-5.5098643,-0.3922349,-2.8117013,1.6931926,26.802137,-8.165962
t103,40.25363,-3.662117,-12.127212,87.54657,36.577114,-14.016517,20.557781,-0.27202752,-5.4882793,-0.42174807,-2.8196323,1.6183864,26.91802,-8.169124
t104,40.21681,-3.6788316,-12.115625,87.68192,36.451202,-14.004676,20.48065,-0.26579794,-5.5057793,-0.41765568,-2.8399992,1.5619489,26.840374,-8.172774
t83,40.360138,-3.7180824,-12.148749,87.873535,36.428745,-14.023216,20.308847,-0.22012304,-5.5170083,-0.38658226,-2.7796712,1.8895456,26.75997,-8.172326
t31,34.998978,-3.1955256,-10.756215,76.524025,32.97016,-12.321034,18.200075,-0.257945,-4.8866324,-0.346024,-2.3258708,3.1234875,23.770517,-7.3485756
t120,41.91932,-3.634398,-12.414157,86.77338,37.16066,-13.945796,21.265116,-0.02317193,-5.465137,-0.25478065,-2.960639,2.3480186,27.253706,-8.274078
t121,41.93425,-3.6384416,-12.399674,86.80137,37.14329,-13.939855,21.271488,-0.03264077,-5.463708,-0.26424608,-2.973354,2.334731,27.26261,-8.269079
t118,41.833702,-3.5959861,-12.40832,86.57449,37.243454,-13.91407,21.163294,-0.02457879,-5.432693,-0.26194313,-2.9293754,2.3067179,27.275175,-8.213949
t119,41.860954,-3.597445,-12.41749,86.60361,37.238804,-13.911122,21.164513,-0.011604241,-5.44262,-0.24893653,-2.9388125,2.312728,27.254553,-8.229441
t105,41.9565,-3.6360843,-12.394091,86.83281,37.168243,-13.91645,21.15373,-0.023778656,-5.428517,-0.27419937,-2.9545138,2.2067633,27.353937,-8.210444
t106,41.958786,-3.6216621,-12.392856,86.82225,37.132927,-13.90468,21.17471,-0.0074881823,-5.4509106,-0.2555436,-2.9491813,2.3246517,27.246294,-8.224287
t40,40.960297,-3.7653356,-12.750714,86.749756,36.97335,-14.604373,19.56813,1.2945551,-5.393473,-0.11803558,-2.6526785,3.3558416,26.219742,-8.393846
t135,40.61389,-3.6844711,-12.817026,86.83344,37.924637,-14.554999,20.5333,0.088856086,-5.310037,-0.182108,-2.4365559,4.321722,26.203611,-8.447787
t136,40.653915,-3.6791005,-12.816126,86.82323,37.891296,-14.552521,20.527575,0.13497864,-5.3172116,-0.17767684,-2.434027,4.291662,26.181776,-8.444283
t78,39.39725,-3.487457,-12.545868,83.89727,37.241234,-14.339736,20.586004,0.106827125,-5.0733852,-0.15287712,-2.2229364,4.212922,25.528296,-8.154676
t126,40.354534,-3.5703232,-12.843661,86.093475,37.99728,-14.671669,20.905378,0.2835058,-5.1732655,-0.17962348,-2.300363,4.0198107,26.053009,-8.280709
t127,40.314514,-3.56622,-12.854472,86.0842,38.01512,-14.674596,20.846046,0.36958444,-5.1863523,-0.17482536,-2.2792006,4.0404863,26.036116,-8.278048
t96,40.352856,-3.5728962,-12.823539,86.11542,37.831367,-14.6595125,20.797874,0.45382726,-5.184361,-0.1747628,-2.3031993,3.9666348,25.966534,-8.259139
t74,39.36937,-3.5325978,-12.548278,84.050186,37.103485,-14.349382,20.588318,0.12356506,-5.0825634,-0.13058327,-2.2316978,4.070978,25.488459,-8.161462
t101,40.357338,-3.6206589,-12.825393,85.979294,37.80424,-14.66539,20.823427,0.31649244,-5.1863837,-0.13853844,-2.3211489,3.6851196,26.13939,-8.284092
t102,40.39125,-3.6336262,-12.823898,85.97516,37.791435,-14.651436,20.68008,0.39326894,-5.166414,-0.13930939,-2.3091605,3.7388296,26.173641,-8.244999
t39,40.620335,-3.6806073,-12.742998,87.0706,37.414185,-14.556226,19.63436,1.2076629,-5.4422226,-0.14089935,-2.617563,3.302845,26.254065,-8.369014
t5,33.812664,-3.5714753,-10.497825,75.68526,30.395256,-11.947717,14.163508,0.96241033,-4.7439413,-0.18125732,-2.6326587,2.4568677,22.735512,-7.1206384
t75,37.70391,-4.5566773,-12.685457,89.49562,38.27204,-14.385982,14.923612,-0.11946537,-5.901876,-0.19747894,-3.5119312,4.5661097,28.334358,-9.1845255
t76,36.853767,-4.404331,-12.4727955,87.72479,37.922707,-14.105896,14.736448,-0.15594362,-5.817996,-0.22728355,-3.400542,4.6934776,27.935108,-9.038637
t92,37.799713,-4.4206033,-12.712776,89.3849,38.99665,-14.327697,15.316753,-0.22528775,-5.8803673,-0.20712478,-3.402502,5.0422354,28.250645,-9.255405
t93,37.842056,-4.426373,-12.706657,89.41069,38.920227,-14.346352,15.435291,-0.215825,-5.90661,-0.2163224,-3.4297454,5.0292835,28.298107,-9.26142
t86,37.87996,-4.4304795,-12.686765,89.34049,38.858734,-14.3451,15.366592,-0.2177335,-5.918795,-0.21356209,-3.4704983,4.9705086,28.284012,-9.273809
t38,35.682663,-4.1205745,-12.014908,83.87485,36.801926,-13.409139,14.403425,-0.12352345,-5.4853473,-0.16391914,-3.0523424,5.356555,26.723967,-8.672549
t57,38.2461,-4.307134,-12.852262,88.885475,38.779926,-14.208556,14.312996,0.44411027,-5.8081927,-0.14960717,-3.3192909,4.3641815,28.330801,-9.037526
t58,38.121723,-4.2926407,-12.937853,89.01994,38.961464,-14.295133,14.4315815,0.48532236,-5.85922,-0.117154,-3.344263,4.627119,28.275087,-9.106801
t65,38.099136,-4.32189,-12.810826,89.093,38.6584,-14.287493,14.64058,0.10914169,-5.839149,-0.13255166,-3.3055012,4.9984083,28.043337,-9.07524
t129,38.007553,-4.288071,-12.803962,89.27209,38.934128,-14.233736,14.6185,-0.028436974,-5.840264,-0.115489654,-3.227654,5.0634537,28.186022,-9.098797
t130,37.97299,-4.2900515,-12.797854,89.29767,38.922222,-14.23204,14.657503,-0.043023422,-5.835993,-0.120051645,-3.2374082,5.068678,28.169487,-9.106242
t27,32.468246,-3.8014588,-10.77099,76.432816,33.05926,-12.247087,13.55928,-0.13051294,-5.0194526,-0.23438804,-2.672868,4.7396717,24.440691,-7.8183265
t28,33.116257,-3.848755,-10.917344,77.63336,33.558434,-12.397119,13.720637,-0.12079499,-5.0574617,-0.26297423,-2.6947606,4.5743356,24.85613,-7.864448
t21,39.769966,-4.372088,-11.162702,82.49721,29.822893,-13.348342,16.459694,2.1091597,-5.5180407,-0.20135657,-3.8150127,-0.16733207,25.15293,-7.62565
t22,39.40625,-4.3757305,-10.941167,82.16008,29.817877,-13.193825,16.426046,1.7122005,-5.4364123,-0.28042802,-3.7852345,-0.12749194,25.155245,-7.6105165
t19,37.853283,-4.2239423,-10.6430435,79.378815,28.880157,-12.719919,15.679786,1.7237619,-5.3163342,-0.20890014,-3.673352,0.02082259,24.149698,-7.4048395
t17,35.161583,-3.9064133,-9.971492,74.4198,27.77745,-11.936044,15.197295,1.0893253,-5.010036,-0.24955414,-3.298106,0.59770256,22.94451,-7.05523
t1,49.288948,-5.445422,-12.278953,96.13245,26.410885,-14.54363,12.039644,9.988726,-5.5877213,-0.06391037,-5.1379166,-2.5627563,25.524889,-6.441932
t2,29.36321,-3.5326135,-6.910686,56.55614,14.659876,-8.389117,6.4087043,5.988554,-3.3925703,-0.1168597,-2.9634771,-1.3417907,15.599912,-3.8372033
t6,30.98925,-3.9088616,-6.200584,51.91793,7.2638383,-7.356819,0.29456392,11.390416,-2.8029652,1.3049656,-3.268971,-2.3548796,12.669377,-2.3148994
t7,38.964935,-4.870376,-8.239454,66.32167,10.997258,-9.546714,1.3356405,13.6146965,-3.6353974,2.1705642,-4.0577807,-2.6226165,16.435213,-3.344525
t4,35.936752,-3.8535898,-7.9824023,52.90982,9.810997,-8.483359,-0.2093642,14.235142,-2.5493543,4.491774,-3.095896,-2.6845937,14.31462,-2.2749357
t16,36.5847,-3.362744,-9.17261,44.654354,10.333323,-8.668669,-0.7232983,18.232311,-1.7485799,9.771978,-2.1530473,-2.7135208,12.396535,-1.5996001
t94,46.518192,-4.1062336,-12.498585,54.846027,15.660663,-11.379332,-1.0345803,23.071331,-2.0621881,13.98004,-2.5754275,-3.2227654,16.372662,-2.418716
t95,46.48922,-4.118772,-12.488593,54.836178,15.678545,-11.36386,-1.0668876,23.115452,-2.0624063,13.95701,-2.550346,-3.2547176,16.503952,-2.4009402
t87,46.540688,-4.087338,-12.547126,54.916924,15.559932,-11.333358,-1.1175102,23.613348,-2.047826,14.079599,-2.4672596,-3.2603168,16.156189,-2.3362877
t97,46.59443,-4.1010356,-12.527737,54.77022,15.524378,-11.289344,-1.14148,23.656233,-2.0206456,14.131704,-2.4519966,-3.2487035,16.208431,-2.29451
