"accepted_species","I1.1/1"
"t55","1"
"t78",NA
"t79","1"
"t58","0"
"t59","0"
"t36","1"
"t62",NA
"t63","0"
"t31","1"
"t71","1"
"t72",NA
"t64","0"
"t65","0"
"t48","1"
"t49","1"
"t46","0"
"t53","1"
"t34","1"
"t35","0"
"t51","1"
"t52","1"
"t68","1"
"t69","0"
"t50","1"
"t70","1"
"t99","1"
"t100","1"
"t47","1"
"t44","1"
"t45",NA
"t27","1"
"t5","1"
"t1","0"
"t73","0"
"t74","0"
"t26","0"
"t24","0"
"t20","0"
"t30","1"
"t56","1"
"t57","1"
"t95","1"
"t96","1"
"t12","1"
"t40","1"
"t97","1"
"t98","1"
"t90","1"
"t89","1"
"t39","1"
"t3","0"
"t4",NA
"t28",NA
"t29","1"
"t75","1"
"t83","1"
"t84","1"
"t14","1"
"t43",NA
"t85","1"
"t86","1"
"t32","1"
"t2","0"
"t41","1"
"t42","1"
"t25","1"
"t17","1"
"t18","1"
"t9","1"
"t87","0"
"t88",NA
"t8","0"
"t11","0"
"t13","1"
"t33","0"
"t80","1"
"t93","1"
"t94","0"
"t19","1"
"t81","1"
"t82","1"
"t7","1"
"t6","1"
"t91",NA
"t92","0"
"t22","1"
"t23","1"
"t37","1"
"t38","1"
"t54","0"
"t66","0"
"t67","1"
"t76","1"
"t77","1"
"t60","0"
"t61","0"
"t21","1"
"t15","1"
"t16",NA
"t10","0"
