"","t3","t4","t2","t5","t14","t15","t1","t11","t23","t30","t68","t69","t42","t43","t59","t63","t115","t116","t81","t41","t33","t31","t27","t28","t21","t17","t92","t93","t82","t144","t145","t128","t129","t104","t83","t37","t126","t127","t74","t75","t55","t72","t73","t62","t56","t105","t106","t90","t91","t60","t24","t9","t7","t8","t70","t71","t65","t79","t80","t58","t76","t77","t22","t46","t95","t96","t97","t119","t120","t136","t137","t134","t135","t78","t20","t25","t26","t45","t100","t101","t10","t16","t64","t84","t102","t103","t142","t143","t113","t114","t121","t122","t98","t61","t117","t118","t99","t89","t140","t141","t48","t130","t131","t107","t108","t47","t44","t19","t150","t151","t123","t111","t112","t57","t29","t38","t39","t34","t49","t50","t51","t13","t66","t67","t52","t85","t86","t12","t32","t110","t138","t139","t109","t35","t36","t18","t40","t132","t133","t53","t54","t146","t147","t124","t125","t94","t87","t88","t148","t149","t6"
"t3",0,2.606342788,2.925018440982,3.799851986132,4.355526561022,5.094843321832,4.217095966302,4.118517325882,5.695924945482,5.634814095092,6.812921499192,6.681167723392,7.082976980282,5.796355052672,7.082976980122,7.082976980152,7.082976980152,7.082976980152,7.082976980152,7.082976979822,7.082976980122,7.082976980182,5.189936267035,7.082976980195,4.981462262655,4.972461717895,7.009897952295,7.082976980395,7.082976980495,7.082976980445,7.082976980445,7.082976980475,7.082976980475,7.082976980445,7.082976980445,7.082976980395,7.082976979795,7.082976979795,7.082976980382,7.082976980382,6.345075584382,6.527699010882,6.639893195382,6.745444274682,6.426765777782,7.082976979982,7.082976979982,7.082976979982,7.082976979982,6.341109915172,5.396252969482,5.326549374382,7.082976980052,4.781734106052,7.082976980272,7.082976980272,7.082976980272,7.082976980272,7.082976980272,7.082976980672,7.082976980672,7.082976980672,5.132461267002,7.082976980002,7.082976980102,7.082976980102,7.082976980132,7.082976980132,7.082976980132,7.082976980102,7.082976980102,7.082976980112,7.082976980112,7.082976980102,5.022336865542,5.590757830002,7.082976980202,6.337707476502,7.082976980102,7.082976980102,4.458912221902,5.721285774092,7.082976980122,7.082976980122,7.082976980122,7.082976980122,7.082976980082,7.082976980082,7.082976980112,7.082976980112,7.082976980212,7.082976980212,7.082976980212,6.786597716112,7.082976980012,7.082976980012,7.064561418112,7.082976980112,7.082976980102,7.082976980102,7.082976980512,7.082976979932,7.082976979932,7.082976980122,7.082976980122,7.082976980322,6.861598448622,5.590715240522,7.082976980062,7.082976980062,7.082976980102,7.082976980102,7.082976980102,7.082976980042,6.506709459942,6.087650481232,5.878125070632,5.782864613422,7.082976980122,6.186348908992,7.082976980202,5.259124349102,6.519611618312,7.082976980012,6.552196530312,7.082976980012,7.082976980012,5.091935826412,5.983191310712,7.082976980197,7.082976980227,7.082976980227,7.082976980212,6.567309241112,6.443808862412,5.014003936892,5.729410858992,7.082976979762,7.082976979762,7.082976980192,7.082976980192,7.082976980102,7.082976980102,7.082976980082,7.082976980082,7.082976980192,7.082976980092,7.082976980092,7.082976980162,7.082976980162,3.658208749102
"t4",2.606342788,0,2.426221376982,3.301054922132,3.856729497022,4.596046257832,3.718298902302,3.619720261882,5.197127881482,5.136017031092,6.314124435192,6.182370659392,6.584179916282,5.297557988672,6.584179916122,6.584179916152,6.584179916152,6.584179916152,6.584179916152,6.584179915822,6.584179916122,6.584179916182,4.691139203035,6.584179916195,4.482665198655,4.473664653895,6.511100888295,6.584179916395,6.584179916495,6.584179916445,6.584179916445,6.584179916475,6.584179916475,6.584179916445,6.584179916445,6.584179916395,6.584179915795,6.584179915795,6.584179916382,6.584179916382,5.846278520382,6.028901946882,6.141096131382,6.246647210682,5.927968713782,6.584179915982,6.584179915982,6.584179915982,6.584179915982,5.842312851172,4.897455905482,4.827752310382,6.584179916052,4.282937042052,6.584179916272,6.584179916272,6.584179916272,6.584179916272,6.584179916272,6.584179916672,6.584179916672,6.584179916672,4.633664203002,6.584179916002,6.584179916102,6.584179916102,6.584179916132,6.584179916132,6.584179916132,6.584179916102,6.584179916102,6.584179916112,6.584179916112,6.584179916102,4.523539801542,5.091960766002,6.584179916202,5.838910412502,6.584179916102,6.584179916102,3.960115157902,5.222488710092,6.584179916122,6.584179916122,6.584179916122,6.584179916122,6.584179916082,6.584179916082,6.584179916112,6.584179916112,6.584179916212,6.584179916212,6.584179916212,6.287800652112,6.584179916012,6.584179916012,6.565764354112,6.584179916112,6.584179916102,6.584179916102,6.584179916512,6.584179915932,6.584179915932,6.584179916122,6.584179916122,6.584179916322,6.362801384622,5.091918176522,6.584179916062,6.584179916062,6.584179916102,6.584179916102,6.584179916102,6.584179916042,6.007912395942,5.588853417232,5.379328006632,5.284067549422,6.584179916122,5.687551844992,6.584179916202,4.760327285102,6.020814554312,6.584179916012,6.053399466312,6.584179916012,6.584179916012,4.593138762412,5.484394246712,6.584179916197,6.584179916227,6.584179916227,6.584179916212,6.068512177112,5.945011798412,4.515206872892,5.230613794992,6.584179915762,6.584179915762,6.584179916192,6.584179916192,6.584179916102,6.584179916102,6.584179916082,6.584179916082,6.584179916192,6.584179916092,6.584179916092,6.584179916162,6.584179916162,3.159411685102
"t2",2.925018440982,2.426221376982,0,1.01417490751,1.5698494824,2.30916624321,2.07586295668,2.61629520686,4.19370282646,4.13259197607,5.31069938017,5.17894560437,5.58075486126,4.29413293365,5.5807548611,5.58075486113,5.58075486113,5.58075486113,5.58075486113,5.5807548608,5.5807548611,5.58075486116,3.687714148013,5.580754861173,3.479240143633,3.470239598873,5.507675833273,5.580754861373,5.580754861473,5.580754861423,5.580754861423,5.580754861453,5.580754861453,5.580754861423,5.580754861423,5.580754861373,5.580754860773,5.580754860773,5.58075486136,5.58075486136,4.84285346536,5.02547689186,5.13767107636,5.24322215566,4.92454365876,5.58075486096,5.58075486096,5.58075486096,5.58075486096,4.83888779615,3.89403085046,3.82432725536,5.58075486103,3.27951198703,5.58075486125,5.58075486125,5.58075486125,5.58075486125,5.58075486125,5.58075486165,5.58075486165,5.58075486165,3.63023914798,5.58075486098,5.58075486108,5.58075486108,5.58075486111,5.58075486111,5.58075486111,5.58075486108,5.58075486108,5.58075486109,5.58075486109,5.58075486108,3.52011474652,4.08853571098,5.58075486118,4.83548535748,5.58075486108,5.58075486108,2.95669010288,4.21906365507,5.5807548611,5.5807548611,5.5807548611,5.5807548611,5.58075486106,5.58075486106,5.58075486109,5.58075486109,5.58075486119,5.58075486119,5.58075486119,5.28437559709,5.58075486099,5.58075486099,5.56233929909,5.58075486109,5.58075486108,5.58075486108,5.58075486149,5.58075486091,5.58075486091,5.5807548611,5.5807548611,5.5807548613,5.3593763296,4.0884931215,5.58075486104,5.58075486104,5.58075486108,5.58075486108,5.58075486108,5.58075486102,5.00448734092,4.58542836221,4.37590295161,4.2806424944,5.5807548611,4.68412678997,5.58075486118,3.75690223008,5.01738949929,5.58075486099,5.04997441129,5.58075486099,5.58075486099,3.58971370739,4.48096919169,5.580754861175,5.580754861205,5.580754861205,5.58075486119,5.06508712209,4.94158674339,3.51178181787,4.22718873997,5.58075486074,5.58075486074,5.58075486117,5.58075486117,5.58075486108,5.58075486108,5.58075486106,5.58075486106,5.58075486117,5.58075486107,5.58075486107,5.58075486114,5.58075486114,2.15598663008
"t5",3.799851986132,3.301054922132,1.01417490751,0,2.36928909049,3.1086058513,2.95069650183,3.49112875201,5.06853637161,5.00742552122,6.18553292532,6.05377914952,6.45558840641,5.1689664788,6.45558840625,6.45558840628,6.45558840628,6.45558840628,6.45558840628,6.45558840595,6.45558840625,6.45558840631,4.562547693163,6.455588406323,4.354073688783,4.345073144023,6.382509378423,6.455588406523,6.455588406623,6.455588406573,6.455588406573,6.455588406603,6.455588406603,6.455588406573,6.455588406573,6.455588406523,6.455588405923,6.455588405923,6.45558840651,6.45558840651,5.71768701051,5.90031043701,6.01250462151,6.11805570081,5.79937720391,6.45558840611,6.45558840611,6.45558840611,6.45558840611,5.7137213413,4.76886439561,4.69916080051,6.45558840618,4.15434553218,6.4555884064,6.4555884064,6.4555884064,6.4555884064,6.4555884064,6.4555884068,6.4555884068,6.4555884068,4.50507269313,6.45558840613,6.45558840623,6.45558840623,6.45558840626,6.45558840626,6.45558840626,6.45558840623,6.45558840623,6.45558840624,6.45558840624,6.45558840623,4.39494829167,4.96336925613,6.45558840633,5.71031890263,6.45558840623,6.45558840623,3.83152364803,5.09389720022,6.45558840625,6.45558840625,6.45558840625,6.45558840625,6.45558840621,6.45558840621,6.45558840624,6.45558840624,6.45558840634,6.45558840634,6.45558840634,6.15920914224,6.45558840614,6.45558840614,6.43717284424,6.45558840624,6.45558840623,6.45558840623,6.45558840664,6.45558840606,6.45558840606,6.45558840625,6.45558840625,6.45558840645,6.23420987475,4.96332666665,6.45558840619,6.45558840619,6.45558840623,6.45558840623,6.45558840623,6.45558840617,5.87932088607,5.46026190736,5.25073649676,5.15547603955,6.45558840625,5.55896033512,6.45558840633,4.63173577523,5.89222304444,6.45558840614,5.92480795644,6.45558840614,6.45558840614,4.46454725254,5.35580273684,6.455588406325,6.455588406355,6.455588406355,6.45558840634,5.93992066724,5.81642028854,4.38661536302,5.10202228512,6.45558840589,6.45558840589,6.45558840632,6.45558840632,6.45558840623,6.45558840623,6.45558840621,6.45558840621,6.45558840632,6.45558840622,6.45558840622,6.45558840629,6.45558840629,3.03082017523
"t14",4.355526561022,3.856729497022,1.5698494824,2.36928909049,0,0.86336748419,3.50637107672,4.0468033269,5.6242109465,5.56310009611,6.74120750021,6.60945372441,7.0112629813,5.72464105369,7.01126298114,7.01126298117,7.01126298117,7.01126298117,7.01126298117,7.01126298084,7.01126298114,7.0112629812,5.118222268053,7.011262981213,4.909748263673,4.900747718913,6.938183953313,7.011262981413,7.011262981513,7.011262981463,7.011262981463,7.011262981493,7.011262981493,7.011262981463,7.011262981463,7.011262981413,7.011262980813,7.011262980813,7.0112629814,7.0112629814,6.2733615854,6.4559850119,6.5681791964,6.6737302757,6.3550517788,7.011262981,7.011262981,7.011262981,7.011262981,6.26939591619,5.3245389705,5.2548353754,7.01126298107,4.71002010707,7.01126298129,7.01126298129,7.01126298129,7.01126298129,7.01126298129,7.01126298169,7.01126298169,7.01126298169,5.06074726802,7.01126298102,7.01126298112,7.01126298112,7.01126298115,7.01126298115,7.01126298115,7.01126298112,7.01126298112,7.01126298113,7.01126298113,7.01126298112,4.95062286656,5.51904383102,7.01126298122,6.26599347752,7.01126298112,7.01126298112,4.38719822292,5.64957177511,7.01126298114,7.01126298114,7.01126298114,7.01126298114,7.0112629811,7.0112629811,7.01126298113,7.01126298113,7.01126298123,7.01126298123,7.01126298123,6.71488371713,7.01126298103,7.01126298103,6.99284741913,7.01126298113,7.01126298112,7.01126298112,7.01126298153,7.01126298095,7.01126298095,7.01126298114,7.01126298114,7.01126298134,6.78988444964,5.51900124154,7.01126298108,7.01126298108,7.01126298112,7.01126298112,7.01126298112,7.01126298106,6.43499546096,6.01593648225,5.80641107165,5.71115061444,7.01126298114,6.11463491001,7.01126298122,5.18741035012,6.44789761933,7.01126298103,6.48048253133,7.01126298103,7.01126298103,5.02022182743,5.91147731173,7.011262981215,7.011262981245,7.011262981245,7.01126298123,6.49559524213,6.37209486343,4.94228993791,5.65769686001,7.01126298078,7.01126298078,7.01126298121,7.01126298121,7.01126298112,7.01126298112,7.0112629811,7.0112629811,7.01126298121,7.01126298111,7.01126298111,7.01126298118,7.01126298118,3.58649475012
"t15",5.094843321832,4.596046257832,2.30916624321,3.1086058513,0.86336748419,0,4.24568783753,4.78612008771,6.36352770731,6.30241685692,7.48052426102,7.34877048522,7.75057974211,6.4639578145,7.75057974195,7.75057974198,7.75057974198,7.75057974198,7.75057974198,7.75057974165,7.75057974195,7.75057974201,5.857539028863,7.750579742023,5.649065024483,5.640064479723,7.677500714123,7.750579742223,7.750579742323,7.750579742273,7.750579742273,7.750579742303,7.750579742303,7.750579742273,7.750579742273,7.750579742223,7.750579741623,7.750579741623,7.75057974221,7.75057974221,7.01267834621,7.19530177271,7.30749595721,7.41304703651,7.09436853961,7.75057974181,7.75057974181,7.75057974181,7.75057974181,7.008712677,6.06385573131,5.99415213621,7.75057974188,5.44933686788,7.7505797421,7.7505797421,7.7505797421,7.7505797421,7.7505797421,7.7505797425,7.7505797425,7.7505797425,5.80006402883,7.75057974183,7.75057974193,7.75057974193,7.75057974196,7.75057974196,7.75057974196,7.75057974193,7.75057974193,7.75057974194,7.75057974194,7.75057974193,5.68993962737,6.25836059183,7.75057974203,7.00531023833,7.75057974193,7.75057974193,5.12651498373,6.38888853592,7.75057974195,7.75057974195,7.75057974195,7.75057974195,7.75057974191,7.75057974191,7.75057974194,7.75057974194,7.75057974204,7.75057974204,7.75057974204,7.45420047794,7.75057974184,7.75057974184,7.73216417994,7.75057974194,7.75057974193,7.75057974193,7.75057974234,7.75057974176,7.75057974176,7.75057974195,7.75057974195,7.75057974215,7.52920121045,6.25831800235,7.75057974189,7.75057974189,7.75057974193,7.75057974193,7.75057974193,7.75057974187,7.17431222177,6.75525324306,6.54572783246,6.45046737525,7.75057974195,6.85395167082,7.75057974203,5.92672711093,7.18721438014,7.75057974184,7.21979929214,7.75057974184,7.75057974184,5.75953858824,6.65079407254,7.750579742025,7.750579742055,7.750579742055,7.75057974204,7.23491200294,7.11141162424,5.68160669872,6.39701362082,7.75057974159,7.75057974159,7.75057974202,7.75057974202,7.75057974193,7.75057974193,7.75057974191,7.75057974191,7.75057974202,7.75057974192,7.75057974192,7.75057974199,7.75057974199,4.32581151093
"t1",4.217095966302,3.718298902302,2.07586295668,2.95069650183,3.50637107672,4.24568783753,0,3.90837273218,5.48578035178,5.42466950139,6.60277690549,6.47102312969,6.87283238658,5.58621045897,6.87283238642,6.87283238645,6.87283238645,6.87283238645,6.87283238645,6.87283238612,6.87283238642,6.87283238648,4.979791673333,6.872832386493,4.771317668953,4.762317124193,6.799753358593,6.872832386693,6.872832386793,6.872832386743,6.872832386743,6.872832386773,6.872832386773,6.872832386743,6.872832386743,6.872832386693,6.872832386093,6.872832386093,6.87283238668,6.87283238668,6.13493099068,6.31755441718,6.42974860168,6.53529968098,6.21662118408,6.87283238628,6.87283238628,6.87283238628,6.87283238628,6.13096532147,5.18610837578,5.11640478068,6.87283238635,4.57158951235,6.87283238657,6.87283238657,6.87283238657,6.87283238657,6.87283238657,6.87283238697,6.87283238697,6.87283238697,4.9223166733,6.8728323863,6.8728323864,6.8728323864,6.87283238643,6.87283238643,6.87283238643,6.8728323864,6.8728323864,6.87283238641,6.87283238641,6.8728323864,4.81219227184,5.3806132363,6.8728323865,6.1275628828,6.8728323864,6.8728323864,4.2487676282,5.51114118039,6.87283238642,6.87283238642,6.87283238642,6.87283238642,6.87283238638,6.87283238638,6.87283238641,6.87283238641,6.87283238651,6.87283238651,6.87283238651,6.57645312241,6.87283238631,6.87283238631,6.85441682441,6.87283238641,6.8728323864,6.8728323864,6.87283238681,6.87283238623,6.87283238623,6.87283238642,6.87283238642,6.87283238662,6.65145385492,5.38057064682,6.87283238636,6.87283238636,6.8728323864,6.8728323864,6.8728323864,6.87283238634,6.29656486624,5.87750588753,5.66798047693,5.57272001972,6.87283238642,5.97620431529,6.8728323865,5.0489797554,6.30946702461,6.87283238631,6.34205193661,6.87283238631,6.87283238631,4.88179123271,5.77304671701,6.872832386495,6.872832386525,6.872832386525,6.87283238651,6.35716464741,6.23366426871,4.80385934319,5.51926626529,6.87283238606,6.87283238606,6.87283238649,6.87283238649,6.8728323864,6.8728323864,6.87283238638,6.87283238638,6.87283238649,6.87283238639,6.87283238639,6.87283238646,6.87283238646,3.4480641554
"t11",4.118517325882,3.619720261882,2.61629520686,3.49112875201,4.0468033269,4.78612008771,3.90837273218,0,1.9671626912,1.90605184081,3.08415924491,2.95240546911,3.354214726,2.06759279839,3.35421472584,3.35421472587,3.35421472587,3.35421472587,3.35421472587,3.35421472554,3.35421472584,3.3542147259,1.461174012753,3.354214725913,1.252700008373,1.243699463613,3.281135698013,3.354214726113,3.354214726213,3.354214726163,3.354214726163,3.354214726193,3.354214726193,3.354214726163,3.354214726163,3.354214726113,3.354214725513,3.354214725513,3.5207061399,3.5207061399,2.7828047439,2.9654281704,3.0776223549,3.1831734342,2.8644949373,3.5207061395,3.5207061395,3.5207061395,3.5207061395,2.77883907469,1.833982129,2.3854099635,4.27461624993,1.97337337593,5.80579446455,5.80579446455,5.80579446455,5.80579446455,5.80579446455,5.80579446495,5.80579446495,5.80579446495,3.85527875128,5.80579446428,5.80579446438,5.80579446438,5.80579446441,5.80579446441,5.80579446441,5.80579446438,5.80579446438,5.80579446439,5.80579446439,5.80579446438,3.74515434982,4.31357531428,5.80579446448,5.06052496078,5.80579446438,5.80579446438,3.18172970618,4.44410325837,5.8057944644,5.8057944644,5.8057944644,5.8057944644,5.80579446436,5.80579446436,5.80579446439,5.80579446439,5.80579446449,5.80579446449,5.80579446449,5.50941520039,5.80579446429,5.80579446429,5.78737890239,5.80579446439,5.80579446438,5.80579446438,5.80579446479,5.80579446421,5.80579446421,5.8057944644,5.8057944644,5.8057944646,5.5844159329,4.3135327248,5.80579446434,5.80579446434,5.80579446438,5.80579446438,5.80579446438,5.80579446432,5.22952694422,4.81046796551,4.60094255491,4.5056820977,5.8057944644,4.90916639327,5.80579446448,3.98194183338,5.24242910259,5.80579446429,5.27501401459,5.80579446429,5.80579446429,3.81475331069,4.70600879499,5.805794464475,5.805794464505,5.805794464505,5.80579446449,5.29012672539,5.16662634669,3.73682142117,4.45222834327,5.80579446404,5.80579446404,5.80579446447,5.80579446447,5.80579446438,5.80579446438,5.80579446436,5.80579446436,5.80579446447,5.80579446437,5.80579446437,5.80579446444,5.80579446444,2.38102623338
"t23",5.695924945482,5.197127881482,4.19370282646,5.06853637161,5.6242109465,6.36352770731,5.48578035178,1.9671626912,0,1.18697195061,2.36507935471,2.23332557891,2.6351348358,1.34851290819,2.63513483564,2.63513483567,2.63513483567,2.63513483567,2.63513483567,2.63513483534,2.63513483564,2.6351348357,2.906290080553,4.799330793713,2.697816076173,2.688815531413,4.726251765813,4.799330793913,4.799330794013,4.799330793963,4.799330793963,4.799330793993,4.799330793993,4.799330793963,4.799330793963,4.799330793913,4.799330793313,4.799330793313,5.0981137595,5.0981137595,4.3602123635,4.54283579,4.6550299745,4.7605810538,4.4419025569,5.0981137591,5.0981137591,5.0981137591,5.0981137591,4.35624669429,3.4113897486,3.9628175831,5.85202386953,3.55078099553,7.38320208415,7.38320208415,7.38320208415,7.38320208415,7.38320208415,7.38320208455,7.38320208455,7.38320208455,5.43268637088,7.38320208388,7.38320208398,7.38320208398,7.38320208401,7.38320208401,7.38320208401,7.38320208398,7.38320208398,7.38320208399,7.38320208399,7.38320208398,5.32256196942,5.89098293388,7.38320208408,6.63793258038,7.38320208398,7.38320208398,4.75913732578,6.02151087797,7.383202084,7.383202084,7.383202084,7.383202084,7.38320208396,7.38320208396,7.38320208399,7.38320208399,7.38320208409,7.38320208409,7.38320208409,7.08682281999,7.38320208389,7.38320208389,7.36478652199,7.38320208399,7.38320208398,7.38320208398,7.38320208439,7.38320208381,7.38320208381,7.383202084,7.383202084,7.3832020842,7.1618235525,5.8909403444,7.38320208394,7.38320208394,7.38320208398,7.38320208398,7.38320208398,7.38320208392,6.80693456382,6.38787558511,6.17835017451,6.0830897173,7.383202084,6.48657401287,7.38320208408,5.55934945298,6.81983672219,7.38320208389,6.85242163419,7.38320208389,7.38320208389,5.39216093029,6.28341641459,7.383202084075,7.383202084105,7.383202084105,7.38320208409,6.86753434499,6.74403396629,5.31422904077,6.02963596287,7.38320208364,7.38320208364,7.38320208407,7.38320208407,7.38320208398,7.38320208398,7.38320208396,7.38320208396,7.38320208407,7.38320208397,7.38320208397,7.38320208404,7.38320208404,3.95843385298
"t30",5.634814095092,5.136017031092,4.13259197607,5.00742552122,5.56310009611,6.30241685692,5.42466950139,1.90605184081,1.18697195061,0,1.7486898055,1.6169360297,2.14153755081,0.8549156232,2.35145256505,2.35145256508,2.35145256508,2.35145256508,2.35145256508,2.35145256475,2.35145256505,2.35145256511,2.845179230163,4.738219943323,2.636705225783,2.627704681023,4.665140915423,4.738219943523,4.738219943623,4.738219943573,4.738219943573,4.738219943603,4.738219943603,4.738219943573,4.738219943573,4.738219943523,4.738219942923,4.738219942923,5.03700290911,5.03700290911,4.29910151311,4.48172493961,4.59391912411,4.69947020341,4.38079170651,5.03700290871,5.03700290871,5.03700290871,5.03700290871,4.2951358439,3.35027889821,3.90170673271,5.79091301914,3.48967014514,7.32209123376,7.32209123376,7.32209123376,7.32209123376,7.32209123376,7.32209123416,7.32209123416,7.32209123416,5.37157552049,7.32209123349,7.32209123359,7.32209123359,7.32209123362,7.32209123362,7.32209123362,7.32209123359,7.32209123359,7.3220912336,7.3220912336,7.32209123359,5.26145111903,5.82987208349,7.32209123369,6.57682172999,7.32209123359,7.32209123359,4.69802647539,5.96040002758,7.32209123361,7.32209123361,7.32209123361,7.32209123361,7.32209123357,7.32209123357,7.3220912336,7.3220912336,7.3220912337,7.3220912337,7.3220912337,7.0257119696,7.3220912335,7.3220912335,7.3036756716,7.3220912336,7.32209123359,7.32209123359,7.322091234,7.32209123342,7.32209123342,7.32209123361,7.32209123361,7.32209123381,7.10071270211,5.82982949401,7.32209123355,7.32209123355,7.32209123359,7.32209123359,7.32209123359,7.32209123353,6.74582371343,6.32676473472,6.11723932412,6.02197886691,7.32209123361,6.42546316248,7.32209123369,5.49823860259,6.7587258718,7.3220912335,6.7913107838,7.3220912335,7.3220912335,5.3310500799,6.2223055642,7.322091233685,7.322091233715,7.322091233715,7.3220912337,6.8064234946,6.6829231159,5.25311819038,5.96852511248,7.32209123325,7.32209123325,7.32209123368,7.32209123368,7.32209123359,7.32209123359,7.32209123357,7.32209123357,7.32209123368,7.32209123358,7.32209123358,7.32209123365,7.32209123365,3.89732300259
