,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t3,-1.1185735,-7.2104797,19.261292,-2.2981367,-1.5008873,5.8528852,40.310783,11.02992,11.986349,16.103838,-2.6317337,5.7416997,-6.076426,26.84353,-4.1334
t4,-0.9844565,-6.684569,17.829662,-2.1713846,-1.4858793,5.250707,37.743362,10.665313,11.059899,14.41304,-2.453619,5.4069853,-5.628967,24.727638,-3.9397275
t2,-0.8475813,-5.682068,15.063509,-1.8197533,-1.3154545,4.5084043,31.25384,7.908303,9.1748495,12.212253,-1.9659363,5.112871,-4.722768,20.394142,-3.3022754
t5,-1.0152088,-6.5627604,17.737526,-2.130924,-1.5690179,5.1352944,36.66169,9.338519,10.740858,13.900875,-2.2691536,5.617311,-5.451948,23.721552,-3.8331292
t14,-1.1875124,-7.2528415,18.787474,-2.3367481,-1.6628621,5.8410444,39.71783,10.407536,11.13219,15.379211,-2.5587234,6.3087635,-5.9676933,26.284513,-4.189683
t15,-1.3796366,-7.9922266,20.688889,-2.6545558,-1.834581,6.4350767,44.066772,11.880191,12.272829,17.180565,-2.8576248,6.8280244,-6.628022,29.456543,-4.6830707
t1,-1.0505106,-6.9488845,18.537014,-2.2218063,-1.5272815,5.5995455,38.93813,10.113668,10.920218,15.128109,-2.495128,5.5386343,-5.8124313,25.841604,-3.9987676
t11,1.2230358,-5.824069,19.301823,-0.76936245,-1.5362461,0.75208443,26.111353,3.8560755,14.002385,13.544771,-2.3010268,3.4207933,-5.5006843,19.864523,-3.7911267
t23,3.9436522,-8.026275,23.937359,-0.92475414,-2.298124,0.13827057,35.18693,1.2340481,13.390027,14.703007,-3.4156353,4.5325193,-7.123975,24.588581,-3.9298615
t30,4.6512337,-8.053043,23.95809,-0.82078743,-2.3983917,-0.11866623,34.563362,0.07008483,12.868098,13.878499,-3.4426003,4.6257186,-7.1853065,23.751204,-3.76986
t68,4.3106356,-9.202944,27.19852,-1.114368,-2.57029,0.16228004,41.39701,1.2419884,14.410653,16.504957,-4.006209,4.655646,-8.058652,27.877314,-4.254518
t69,4.1981163,-9.02894,26.866695,-1.1079334,-2.5646245,-0.024622068,40.5763,0.96285367,14.295338,16.231842,-3.9391308,4.6548266,-7.922878,27.468256,-4.1786494
t42,4.2799244,-9.740209,27.795494,-1.2090305,-2.8175142,0.062033847,43.324097,2.4569752,14.820275,16.938295,-4.2914557,4.7279544,-8.427733,29.811043,-4.522296
t43,4.7316194,-8.3042755,24.274105,-0.8141578,-2.457257,-0.0878266,35.598476,0.3617461,13.02307,14.262102,-3.561259,4.5385504,-7.31834,24.445797,-3.8393998
