"","t3","t4","t5","t91","t138","t139","t134","t135","t35","t38","t45","t46","t31","t47","t48","t161","t162","t57","t58","t140","t141","t63","t64","t66","t142","t143","t97","t36","t37","t39","t92","t93","t150","t151","t114","t115","t42","t68","t69","t44","t30","t24","t19","t12","t13","t25","t126","t127","t118","t22","t152","t153","t62","t107","t108","t51","t67","t90","t111","t119","t120","t61","t26","t23","t40","t74","t136","t137","t83","t116","t117","t71","t55","t56","t75","t86","t129","t130","t109","t28","t33","t101","t102","t43","t112","t113","t70","t144","t145","t87","t88","t80","t50","t32","t52","t53","t98","t99","t29","t11","t95","t96","t89","t146","t147","t123","t49","t59","t60","t20","t27","t54","t148","t149","t81","t82","t17","t18","t8","t9","t10","t21","t132","t133","t121","t122","t72","t73","t100","t128","t159","t160","t158","t110","t154","t155","t131","t34","t156","t157","t76","t77","t78","t16","t14","t163","t164","t124","t125","t94","t103","t104","t79","t41","t84","t105","t106","t85","t65","t15","t6","t7","t2","t1"
"t3",0,0.99516848624,2.10225929205,5.09209715495,5.09209715497,5.09209715497,4.9815061037,5.04370120467,3.63168829108,5.092097155,5.0920971554,5.0920971554,4.23751548775,4.13315396405,3.97746484055,5.092097154996,5.092097154996,5.092097155006,4.684735746406,5.092097155406,5.092097155406,5.047325769806,5.092097154906,5.092097154906,5.092097155006,5.092097155006,5.092097155006,3.904075810896,3.941588731096,3.95491251294,5.09209715509,5.09209715509,5.09209715471,5.09209715471,4.9728766406,5.0920971551,5.09209715489,4.352885516888,5.092097155039,4.005368060739,3.276347277925,4.10237927424,2.72851934675,2.875652980409,2.267229394909,5.09209715535,4.99593378177,5.09209715517,5.09209715515,3.26532213635,5.09209715549,5.09209715549,5.09209715545,5.09209715555,5.09209715555,4.00915299765,5.09209715507,5.09209715517,5.09209715507,4.92930830979,5.09209715509,4.91304908185,3.23169730535,3.85327312905,3.70713928875,5.09209715525,5.09209715514,5.09209715514,5.09209715524,5.09209715525,5.09209715525,5.09209715525,5.09209715531,5.09209715531,4.73850146685,4.83897807295,5.09209715516,5.09209715516,5.09209715525,3.688813215263,3.997141386663,5.092097154763,5.092097154763,4.030559651863,5.09209715515,5.09209715515,4.82586592564,5.09209715504,5.09209715504,5.09209715505,5.09209715505,5.09209715513,5.09209715473,3.83991205065,5.092097155,4.3641713292,5.09209715505,5.09209715505,3.32211401775,2.26814632005,5.09209715591,4.92599707391,5.092097155921,5.092097155851,5.092097155851,5.092097155921,5.09209715545,5.09209715585,5.09209715585,2.61335123587,5.101603182,5.54116661866,5.54116661864,5.54116661864,5.3661537125,5.5411666188,3.0860026765,2.94608612192,1.9428349892,4.2826568126,1.953040387404,4.8195944996,5.5411666187,5.5411666187,5.5411666188,5.5411666188,5.54116661838,5.54116661838,5.5411666184,5.5411666184,5.54116661836,5.54116661836,5.54116661836,5.5411666184,5.50699448521,5.54116661839,5.54116661846,5.5411666179,5.54116661839,5.54116661839,5.5411666183,5.5411666184,5.2992197506,4.3775550166,3.4867326415,5.5411666188235,5.5411666188235,5.54116661885,5.54116661885,5.54116661885,5.54116661875,5.54116661875,5.02941162972,4.50899447555,5.14008545545,5.24890297379,5.54116661881,5.54116661871,5.38485774215,4.01277403815,2.243621573,3.0759321565,0.8701182838,2.2501597771
"t4",0.99516848624,0,1.22212609819,4.51253450589,4.51253450591,4.51253450591,4.40194345464,4.46413855561,3.05212564202,4.51253450594,4.51253450634,4.51253450634,3.65795283869,3.55359131499,3.39790219149,4.512534505936,4.512534505936,4.512534505946,4.105173097346,4.512534506346,4.512534506346,4.467763120746,4.512534505846,4.512534505846,4.512534505946,4.512534505946,4.512534505946,3.324513161836,3.362026082036,3.37534986388,4.51253450603,4.51253450603,4.51253450565,4.51253450565,4.39331399154,4.51253450604,4.51253450583,3.773322867828,4.512534505979,3.425805411679,2.696784628865,3.52281662518,2.14895669769,2.296090331349,1.687666745849,4.51253450629,4.41637113271,4.51253450611,4.51253450609,2.68575948729,4.51253450643,4.51253450643,4.51253450639,4.51253450649,4.51253450649,3.42959034859,4.51253450601,4.51253450611,4.51253450601,4.34974566073,4.51253450603,4.33348643279,2.65213465629,3.27371047999,3.12757663969,4.51253450619,4.51253450608,4.51253450608,4.51253450618,4.51253450619,4.51253450619,4.51253450619,5.57974810925,5.57974810925,5.22615242079,5.32662902689,5.5797481091,5.5797481091,5.57974810919,4.176464169203,4.484792340603,5.579748108703,5.579748108703,4.518210605803,5.57974810909,5.57974810909,5.31351687958,5.57974810898,5.57974810898,5.57974810899,5.57974810899,5.57974810907,5.57974810867,4.32756300459,5.57974810894,4.85182228314,5.57974810899,5.57974810899,3.80976497169,2.75579727399,5.57974810985,5.41364802785,5.579748109861,5.579748109791,5.579748109791,5.579748109861,5.57974810939,5.57974810979,5.57974810979,3.10100218981,5.65139074884,6.0909541855,6.09095418548,6.09095418548,5.91594127934,6.09095418564,3.63579024334,3.49587368876,2.49262255604,4.83244437944,2.502827954244,5.36938206644,6.09095418554,6.09095418554,6.09095418564,6.09095418564,6.09095418522,6.09095418522,6.09095418524,6.09095418524,6.0909541852,6.0909541852,6.0909541852,6.09095418524,6.05678205205,6.09095418523,6.0909541853,6.09095418474,6.09095418523,6.09095418523,6.09095418514,6.09095418524,5.84900731744,4.92734258344,4.03652020834,6.0909541856635,6.0909541856635,6.09095418569,6.09095418569,6.09095418569,6.09095418559,6.09095418559,5.57919919656,5.05878204239,5.68987302229,5.79869054063,6.09095418565,6.09095418555,5.93464530899,4.56256160499,2.79340913984,3.62571972334,1.41990585064,2.79994734394
"t5",2.10225929205,1.22212609819,0,5.6196253117,5.61962531172,5.61962531172,5.50903426045,5.57122936142,4.15921644783,5.61962531175,5.61962531215,5.61962531215,4.7650436445,4.6606821208,4.5049929973,5.619625311746,5.619625311746,5.619625311756,5.212263903156,5.619625312156,5.619625312156,5.574853926556,5.619625311656,5.619625311656,5.619625311756,5.619625311756,5.619625311756,4.431603967646,4.469116887846,4.48244066969,5.61962531184,5.61962531184,5.61962531146,5.61962531146,5.50040479735,5.61962531185,5.61962531164,4.880413673638,5.619625311789,4.532896217489,3.803875434675,4.62990743099,3.2560475035,3.403181137159,2.794757551659,5.6196253121,5.52346193852,5.61962531192,5.6196253119,3.7928502931,5.61962531224,5.61962531224,5.6196253122,5.6196253123,5.6196253123,4.5366811544,5.61962531182,5.61962531192,5.61962531182,5.45683646654,5.61962531184,5.4405772386,3.7592254621,4.3808012858,4.2346674455,5.619625312,5.61962531189,5.61962531189,5.61962531199,5.619625312,5.619625312,5.619625312,6.68683891506,6.68683891506,6.3332432266,6.4337198327,6.68683891491,6.68683891491,6.686838915,5.283554975013,5.591883146413,6.686838914513,6.686838914513,5.625301411613,6.6868389149,6.6868389149,6.42060768539,6.68683891479,6.68683891479,6.6868389148,6.6868389148,6.68683891488,6.68683891448,5.4346538104,6.68683891475,5.95891308895,6.6868389148,6.6868389148,4.9168557775,3.8628880798,6.68683891566,6.52073883366,6.686838915671,6.686838915601,6.686838915601,6.686838915671,6.6868389152,6.6868389156,6.6868389156,4.20809299562,6.75848155465,7.19804499131,7.19804499129,7.19804499129,7.02303208515,7.19804499145,4.74288104915,4.60296449457,3.59971336185,5.93953518525,3.609918760054,6.47647287225,7.19804499135,7.19804499135,7.19804499145,7.19804499145,7.19804499103,7.19804499103,7.19804499105,7.19804499105,7.19804499101,7.19804499101,7.19804499101,7.19804499105,7.16387285786,7.19804499104,7.19804499111,7.19804499055,7.19804499104,7.19804499104,7.19804499095,7.19804499105,6.95609812325,6.03443338925,5.14361101415,7.1980449914735,7.1980449914735,7.1980449915,7.1980449915,7.1980449915,7.1980449914,7.1980449914,6.68629000237,6.1658728482,6.7969638281,6.90578134644,7.19804499146,7.19804499136,7.0417361148,5.6696524108,3.90049994565,4.73281052915,2.52699665645,3.90703814975
"t91",5.09209715495,4.51253450589,5.6196253117,0,0.79852116462,0.79852116462,0.68793011335,0.75012521432,3.21947001073,4.67987887465,4.67987887505,4.67987887505,3.8252972074,3.7209356837,3.5652465602,4.679878874646,4.679878874646,4.679878874656,4.272517466056,4.679878875056,4.679878875056,4.635107489456,4.679878874556,4.679878874556,4.679878874656,4.679878874656,4.679878874656,3.491857530546,3.529370450746,3.54269423259,4.67987887474,4.67987887474,4.67987887436,4.67987887436,4.56065836025,4.67987887475,4.67987887454,3.940667236538,4.679878874689,3.593149780389,2.864128997575,3.69016099389,2.86345022,3.907293852059,3.298870266559,8.267765183,8.17160180942,8.26776518282,8.2677651828,6.440990164,8.26776518314,8.26776518314,8.2677651831,8.2677651832,8.2677651832,7.1848210253,8.26776518272,8.26776518282,8.26776518272,8.10497633744,8.26776518274,8.0887171095,6.407365333,7.0289411567,6.8828073164,8.2677651829,8.26776518279,8.26776518279,8.26776518289,8.2677651829,8.2677651829,8.2677651829,9.67667677796,9.67667677796,9.3230810895,9.4235576956,9.67667677781,9.67667677781,9.6766767779,8.273392837913,8.581721009313,9.676676777413,9.676676777413,8.615139274513,9.6766767778,9.6766767778,9.41044554829,9.67667677769,9.67667677769,9.6766767777,9.6766767777,9.67667677778,9.67667677738,8.4244916733,9.67667677765,8.94875095185,9.6766767777,9.6766767777,7.9066936404,6.8527259427,9.67667677856,9.51057669656,9.676676778571,9.676676778501,9.676676778501,9.676676778571,9.6766767781,9.6766767785,9.6766767785,7.19793085852,9.74831941755,10.18788285421,10.18788285419,10.18788285419,10.01286994805,10.18788285435,7.73271891205,7.59280235747,6.58955122475,8.92937304815,6.599756622954,9.46631073515,10.18788285425,10.18788285425,10.18788285435,10.18788285435,10.18788285393,10.18788285393,10.18788285395,10.18788285395,10.18788285391,10.18788285391,10.18788285391,10.18788285395,10.15371072076,10.18788285394,10.18788285401,10.18788285345,10.18788285394,10.18788285394,10.18788285385,10.18788285395,9.94593598615,9.02427125215,8.13344887705,10.1878828543735,10.1878828543735,10.1878828544,10.1878828544,10.1878828544,10.1878828543,10.1878828543,9.67612786527,9.1557107111,9.786801691,9.89561920934,10.18788285436,10.18788285426,10.0315739777,8.6594902737,6.89033780855,7.72264839205,5.51683451935,6.89687601265
"t138",5.09209715497,4.51253450591,5.61962531172,0.79852116462,0,0.3400379312,0.62859190553,0.6907870065,3.21947001075,4.67987887467,4.67987887507,4.67987887507,3.82529720742,3.72093568372,3.56524656022,4.679878874666,4.679878874666,4.679878874676,4.272517466076,4.679878875076,4.679878875076,4.635107489476,4.679878874576,4.679878874576,4.679878874676,4.679878874676,4.679878874676,3.491857530566,3.529370450766,3.54269423261,4.67987887476,4.67987887476,4.67987887438,4.67987887438,4.56065836027,4.67987887477,4.67987887456,3.940667236558,4.679878874709,3.593149780409,2.864128997595,3.69016099391,2.86345022002,3.907293852079,3.298870266579,8.26776518302,8.17160180944,8.26776518284,8.26776518282,6.44099016402,8.26776518316,8.26776518316,8.26776518312,8.26776518322,8.26776518322,7.18482102532,8.26776518274,8.26776518284,8.26776518274,8.10497633746,8.26776518276,8.08871710952,6.40736533302,7.02894115672,6.88280731642,8.26776518292,8.26776518281,8.26776518281,8.26776518291,8.26776518292,8.26776518292,8.26776518292,9.67667677798,9.67667677798,9.32308108952,9.42355769562,9.67667677783,9.67667677783,9.67667677792,8.273392837933,8.581721009333,9.676676777433,9.676676777433,8.615139274533,9.67667677782,9.67667677782,9.41044554831,9.67667677771,9.67667677771,9.67667677772,9.67667677772,9.6766767778,9.6766767774,8.42449167332,9.67667677767,8.94875095187,9.67667677772,9.67667677772,7.90669364042,6.85272594272,9.67667677858,9.51057669658,9.676676778591,9.676676778521,9.676676778521,9.676676778591,9.67667677812,9.67667677852,9.67667677852,7.19793085854,9.74831941757,10.18788285423,10.18788285421,10.18788285421,10.01286994807,10.18788285437,7.73271891207,7.59280235749,6.58955122477,8.92937304817,6.599756622974,9.46631073517,10.18788285427,10.18788285427,10.18788285437,10.18788285437,10.18788285395,10.18788285395,10.18788285397,10.18788285397,10.18788285393,10.18788285393,10.18788285393,10.18788285397,10.15371072078,10.18788285396,10.18788285403,10.18788285347,10.18788285396,10.18788285396,10.18788285387,10.18788285397,9.94593598617,9.02427125217,8.13344887707,10.1878828543935,10.1878828543935,10.18788285442,10.18788285442,10.18788285442,10.18788285432,10.18788285432,9.67612786529,9.15571071112,9.78680169102,9.89561920936,10.18788285438,10.18788285428,10.03157397772,8.65949027372,6.89033780857,7.72264839207,5.51683451937,6.89687601267
"t139",5.09209715497,4.51253450591,5.61962531172,0.79852116462,0.3400379312,0,0.62859190553,0.6907870065,3.21947001075,4.67987887467,4.67987887507,4.67987887507,3.82529720742,3.72093568372,3.56524656022,4.679878874666,4.679878874666,4.679878874676,4.272517466076,4.679878875076,4.679878875076,4.635107489476,4.679878874576,4.679878874576,4.679878874676,4.679878874676,4.679878874676,3.491857530566,3.529370450766,3.54269423261,4.67987887476,4.67987887476,4.67987887438,4.67987887438,4.56065836027,4.67987887477,4.67987887456,3.940667236558,4.679878874709,3.593149780409,2.864128997595,3.69016099391,2.86345022002,3.907293852079,3.298870266579,8.26776518302,8.17160180944,8.26776518284,8.26776518282,6.44099016402,8.26776518316,8.26776518316,8.26776518312,8.26776518322,8.26776518322,7.18482102532,8.26776518274,8.26776518284,8.26776518274,8.10497633746,8.26776518276,8.08871710952,6.40736533302,7.02894115672,6.88280731642,8.26776518292,8.26776518281,8.26776518281,8.26776518291,8.26776518292,8.26776518292,8.26776518292,9.67667677798,9.67667677798,9.32308108952,9.42355769562,9.67667677783,9.67667677783,9.67667677792,8.273392837933,8.581721009333,9.676676777433,9.676676777433,8.615139274533,9.67667677782,9.67667677782,9.41044554831,9.67667677771,9.67667677771,9.67667677772,9.67667677772,9.6766767778,9.6766767774,8.42449167332,9.67667677767,8.94875095187,9.67667677772,9.67667677772,7.90669364042,6.85272594272,9.67667677858,9.51057669658,9.676676778591,9.676676778521,9.676676778521,9.676676778591,9.67667677812,9.67667677852,9.67667677852,7.19793085854,9.74831941757,10.18788285423,10.18788285421,10.18788285421,10.01286994807,10.18788285437,7.73271891207,7.59280235749,6.58955122477,8.92937304817,6.599756622974,9.46631073517,10.18788285427,10.18788285427,10.18788285437,10.18788285437,10.18788285395,10.18788285395,10.18788285397,10.18788285397,10.18788285393,10.18788285393,10.18788285393,10.18788285397,10.15371072078,10.18788285396,10.18788285403,10.18788285347,10.18788285396,10.18788285396,10.18788285387,10.18788285397,9.94593598617,9.02427125217,8.13344887707,10.1878828543935,10.1878828543935,10.18788285442,10.18788285442,10.18788285442,10.18788285432,10.18788285432,9.67612786529,9.15571071112,9.78680169102,9.89561920936,10.18788285438,10.18788285428,10.03157397772,8.65949027372,6.89033780857,7.72264839207,5.51683451937,6.89687601267
"t134",4.9815061037,4.40194345464,5.50903426045,0.68793011335,0.62859190553,0.62859190553,0,0.22879486363,3.10887895948,4.5692878234,4.5692878238,4.5692878238,3.71470615615,3.61034463245,3.45465550895,4.569287823396,4.569287823396,4.569287823406,4.161926414806,4.569287823806,4.569287823806,4.524516438206,4.569287823306,4.569287823306,4.569287823406,4.569287823406,4.569287823406,3.381266479296,3.418779399496,3.43210318134,4.56928782349,4.56928782349,4.56928782311,4.56928782311,4.450067309,4.5692878235,4.56928782329,3.830076185288,4.569287823439,3.482558729139,2.753537946325,3.57956994264,2.75285916875,3.796702800809,3.188279215309,8.15717413175,8.06101075817,8.15717413157,8.15717413155,6.33039911275,8.15717413189,8.15717413189,8.15717413185,8.15717413195,8.15717413195,7.07422997405,8.15717413147,8.15717413157,8.15717413147,7.99438528619,8.15717413149,7.97812605825,6.29677428175,6.91835010545,6.77221626515,8.15717413165,8.15717413154,8.15717413154,8.15717413164,8.15717413165,8.15717413165,8.15717413165,9.56608572671,9.56608572671,9.21249003825,9.31296664435,9.56608572656,9.56608572656,9.56608572665,8.162801786663,8.471129958063,9.566085726163,9.566085726163,8.504548223263,9.56608572655,9.56608572655,9.29985449704,9.56608572644,9.56608572644,9.56608572645,9.56608572645,9.56608572653,9.56608572613,8.31390062205,9.5660857264,8.8381599006,9.56608572645,9.56608572645,7.79610258915,6.74213489145,9.56608572731,9.39998564531,9.566085727321,9.566085727251,9.566085727251,9.566085727321,9.56608572685,9.56608572725,9.56608572725,7.08733980727,9.6377283663,10.07729180296,10.07729180294,10.07729180294,9.9022788968,10.0772918031,7.6221278608,7.48221130622,6.4789601735,8.8187819969,6.489165571704,9.3557196839,10.077291803,10.077291803,10.0772918031,10.0772918031,10.07729180268,10.07729180268,10.0772918027,10.0772918027,10.07729180266,10.07729180266,10.07729180266,10.0772918027,10.04311966951,10.07729180269,10.07729180276,10.0772918022,10.07729180269,10.07729180269,10.0772918026,10.0772918027,9.8353449349,8.9136802009,8.0228578258,10.0772918031235,10.0772918031235,10.07729180315,10.07729180315,10.07729180315,10.07729180305,10.07729180305,9.56553681402,9.04511965985,9.67621063975,9.78502815809,10.07729180311,10.07729180301,9.92098292645,8.54889922245,6.7797467573,7.6120573408,5.4062434681,6.7862849614
"t135",5.04370120467,4.46413855561,5.57122936142,0.75012521432,0.6907870065,0.6907870065,0.22879486363,0,3.17107406045,4.63148292437,4.63148292477,4.63148292477,3.77690125712,3.67253973342,3.51685060992,4.631482924366,4.631482924366,4.631482924376,4.224121515776,4.631482924776,4.631482924776,4.586711539176,4.631482924276,4.631482924276,4.631482924376,4.631482924376,4.631482924376,3.443461580266,3.480974500466,3.49429828231,4.63148292446,4.63148292446,4.63148292408,4.63148292408,4.51226240997,4.63148292447,4.63148292426,3.892271286258,4.631482924409,3.544753830109,2.815733047295,3.64176504361,2.81505426972,3.858897901779,3.250474316279,8.21936923272,8.12320585914,8.21936923254,8.21936923252,6.39259421372,8.21936923286,8.21936923286,8.21936923282,8.21936923292,8.21936923292,7.13642507502,8.21936923244,8.21936923254,8.21936923244,8.05658038716,8.21936923246,8.04032115922,6.35896938272,6.98054520642,6.83441136612,8.21936923262,8.21936923251,8.21936923251,8.21936923261,8.21936923262,8.21936923262,8.21936923262,9.62828082768,9.62828082768,9.27468513922,9.37516174532,9.62828082753,9.62828082753,9.62828082762,8.224996887633,8.533325059033,9.628280827133,9.628280827133,8.566743324233,9.62828082752,9.62828082752,9.36204959801,9.62828082741,9.62828082741,9.62828082742,9.62828082742,9.6282808275,9.6282808271,8.37609572302,9.62828082737,8.90035500157,9.62828082742,9.62828082742,7.85829769012,6.80432999242,9.62828082828,9.46218074628,9.628280828291,9.628280828221,9.628280828221,9.628280828291,9.62828082782,9.62828082822,9.62828082822,7.14953490824,9.69992346727,10.13948690393,10.13948690391,10.13948690391,9.96447399777,10.13948690407,7.68432296177,7.54440640719,6.54115527447,8.88097709787,6.551360672674,9.41791478487,10.13948690397,10.13948690397,10.13948690407,10.13948690407,10.13948690365,10.13948690365,10.13948690367,10.13948690367,10.13948690363,10.13948690363,10.13948690363,10.13948690367,10.10531477048,10.13948690366,10.13948690373,10.13948690317,10.13948690366,10.13948690366,10.13948690357,10.13948690367,9.89754003587,8.97587530187,8.08505292677,10.1394869040935,10.1394869040935,10.13948690412,10.13948690412,10.13948690412,10.13948690402,10.13948690402,9.62773191499,9.10731476082,9.73840574072,9.84722325906,10.13948690408,10.13948690398,9.98317802742,8.61109432342,6.84194185827,7.67425244177,5.46843856907,6.84848006237
"t35",3.63168829108,3.05212564202,4.15921644783,3.21947001073,3.21947001075,3.21947001075,3.10887895948,3.17107406045,0,1.57929799178,1.57929799218,1.57929799218,1.45050787053,1.34614634683,1.19045722333,2.943788506976,2.943788506976,2.943788506986,2.536427098386,2.943788507386,2.943788507386,2.899017121786,2.943788506886,2.943788506886,2.943788506986,2.943788506986,2.943788506986,1.755767162876,1.793280083076,1.80660386492,2.94378850707,2.94378850707,2.94378850669,2.94378850669,2.82456799258,2.94378850708,2.94378850687,2.204576868868,2.943788507019,1.857059412719,1.128038629905,1.95407062622,1.40304135613,2.446884988189,1.838461402689,6.80735631913,6.71119294555,6.80735631895,6.80735631893,4.98058130013,6.80735631927,6.80735631927,6.80735631923,6.80735631933,6.80735631933,5.72441216143,6.80735631885,6.80735631895,6.80735631885,6.64456747357,6.80735631887,6.62830824563,4.94695646913,5.56853229283,5.42239845253,6.80735631903,6.80735631892,6.80735631892,6.80735631902,6.80735631903,6.80735631903,6.80735631903,8.21626791409,8.21626791409,7.86267222563,7.96314883173,8.21626791394,8.21626791394,8.21626791403,6.812983974043,7.121312145443,8.216267913543,8.216267913543,7.154730410643,8.21626791393,8.21626791393,7.95003668442,8.21626791382,8.21626791382,8.21626791383,8.21626791383,8.21626791391,8.21626791351,6.96408280943,8.21626791378,7.48834208798,8.21626791383,8.21626791383,6.44628477653,5.39231707883,8.21626791469,8.05016783269,8.216267914701,8.216267914631,8.216267914631,8.216267914701,8.21626791423,8.21626791463,8.21626791463,5.73752199465,8.28791055368,8.72747399034,8.72747399032,8.72747399032,8.55246108418,8.72747399048,6.27231004818,6.1323934936,5.12914236088,7.46896418428,5.139347759084,8.00590187128,8.72747399038,8.72747399038,8.72747399048,8.72747399048,8.72747399006,8.72747399006,8.72747399008,8.72747399008,8.72747399004,8.72747399004,8.72747399004,8.72747399008,8.69330185689,8.72747399007,8.72747399014,8.72747398958,8.72747399007,8.72747399007,8.72747398998,8.72747399008,8.48552712228,7.56386238828,6.67304001318,8.7274739905035,8.7274739905035,8.72747399053,8.72747399053,8.72747399053,8.72747399043,8.72747399043,8.2157190014,7.69530184723,8.32639282713,8.43521034547,8.72747399049,8.72747399039,8.57116511383,7.19908140983,5.42992894468,6.26223952818,4.05642565548,5.43646714878
"t38",5.092097155,4.51253450594,5.61962531175,4.67987887465,4.67987887467,4.67987887467,4.5692878234,4.63148292437,1.57929799178,0,2.9186534164,2.9186534164,2.91091673445,2.80655521075,2.65086608725,4.404197370896,4.404197370896,4.404197370906,3.996835962306,4.404197371306,4.404197371306,4.359425985706,4.404197370806,4.404197370806,4.404197370906,4.404197370906,4.404197370906,3.216176026796,3.253688946996,3.26701272884,4.40419737099,4.40419737099,4.40419737061,4.40419737061,4.2849768565,4.404197371,4.40419737079,3.664985732788,4.404197370939,3.317468276639,2.588447493825,3.41447949014,2.86345022005,3.907293852109,3.298870266609,8.26776518305,8.17160180947,8.26776518287,8.26776518285,6.44099016405,8.26776518319,8.26776518319,8.26776518315,8.26776518325,8.26776518325,7.18482102535,8.26776518277,8.26776518287,8.26776518277,8.10497633749,8.26776518279,8.08871710955,6.40736533305,7.02894115675,6.88280731645,8.26776518295,8.26776518284,8.26776518284,8.26776518294,8.26776518295,8.26776518295,8.26776518295,9.67667677801,9.67667677801,9.32308108955,9.42355769565,9.67667677786,9.67667677786,9.67667677795,8.273392837963,8.581721009363,9.676676777463,9.676676777463,8.615139274563,9.67667677785,9.67667677785,9.41044554834,9.67667677774,9.67667677774,9.67667677775,9.67667677775,9.67667677783,9.67667677743,8.42449167335,9.6766767777,8.9487509519,9.67667677775,9.67667677775,7.90669364045,6.85272594275,9.67667677861,9.51057669661,9.676676778621,9.676676778551,9.676676778551,9.676676778621,9.67667677815,9.67667677855,9.67667677855,7.19793085857,9.7483194176,10.18788285426,10.18788285424,10.18788285424,10.0128699481,10.1878828544,7.7327189121,7.59280235752,6.5895512248,8.9293730482,6.599756623004,9.4663107352,10.1878828543,10.1878828543,10.1878828544,10.1878828544,10.18788285398,10.18788285398,10.187882854,10.187882854,10.18788285396,10.18788285396,10.18788285396,10.187882854,10.15371072081,10.18788285399,10.18788285406,10.1878828535,10.18788285399,10.18788285399,10.1878828539,10.187882854,9.9459359862,9.0242712522,8.1334488771,10.1878828544235,10.1878828544235,10.18788285445,10.18788285445,10.18788285445,10.18788285435,10.18788285435,9.67612786532,9.15571071115,9.78680169105,9.89561920939,10.18788285441,10.18788285431,10.03157397775,8.65949027375,6.8903378086,7.7226483921,5.5168345194,6.8968760127
