"accepted_species","Medicinal"
"Sabatia_campanulata",1
"Appunia_morindoides",0
"Oldenlandia_lechleriana",0
"Ceropegia_sandersoniana",0
"Spermacoce_congensis",0
"Ceropegia_occidens",0
"Pachycarpus_spurius",1
"Argostemma_lanceolarium",0
"Vincetoxicum_biondioides",0
"Knoxia_lineata",0
"Pavetta_cinerascens",0
"Curtia_obtusifolia",0
"Vangueria_coerulea",0
"Gynochthodes_retusa",0
"Vangueriella_rufa",0
"Vincetoxicum_sui",0
"Spermacoce_pumilio",0
"Tassadia_aristata",0
"Palicourea_formosa",0
"Leichhardtia_jensenii",0
"Palicourea_polycephala",0
"Matelea_tuerckheimii",0
"Gentianella_gilgiana",1
"Palicourea_concinna",0
"Plumeria_filifolia",0
"Plumeria_montana",0
"Empogona_discolor",0
"Palicourea_prancei",0
"Gonzalagunia_panamensis",1
"Emplectanthus_dalzellii",0
"Asclepias_stenophylla",1
"Urophyllum_pilosum",0
"Phialiphora_bevazahensis",0
"Pachypodium_ambongense",0
"Duroia_paraensis",0
"Rondeletia_erythroneura",0
"Psychotria_myrstiphyllum",0
"Psychotria_paloensis",0
"Exochaenium_primuliflorum",0
"Psychotria_nerei",0
"Fockea_multiflora",1
"Psychotria_cinerea",0
"Psychotria_banahaensis",0
"Galium_diabolense",0
"Psychotria_pseudoplatyphylla",0
"Psychotria_zepelaciana",0
"Manettia_corticifer",0
"Ixora_mollirama",0
"Ixora_scortechinii",0
"Hoya_kapuasensis",0
"Hoya_wariana",0
"Hedyotis_plantaginifolia",0
"Mussaenda_pingbianensis",0
"Tabernaemontana_angulata",1
"Mussaenda_malacotricha",0
"Hymenodictyon_obovatum",1
"Tabernaemontana_stapfiana",1
"Coffea_semsei",0
"Palicourea_adderleyi",0
"Warszewiczia_ambigua",0
"Coffea_namorokensis",0
"Coffea_decaryana",0
"Rauvolfia_nukuhivensis",0
"Paracarphalea_kirondron",0
"Faramea_erythropoda",0
"Palicourea_hollinensis",0
"Coussarea_vasqueziana",0
"Heterostemma_trilobatum",0
"Dolicholobium_barbatum",0
"Secamone_coronata",0
"Fadogia_verdcourtii",0
"Matelea_sylvicola",0
"Canthium_horridum",1
"Matelea_violacea",0
"Mexotis_lorencei",0
"Gonolobus_nemorosus",0
"Gonolobus_uniflorus",0
"Gonolobus_aristolochioides",0
"Galianthe_elegans",0
"Timonius_rotundus",0
"Scolosanthus_granulatus",0
"Streblosa_lampongensis",0
"Lasianthus_oligoneurus",0
"Isidorea_rheedioides",0
"Rudgea_barbosae",0
"Gardneria_ovata",0
"Tricalysia_orientalis",0
"Zygostelma_benthamii",0
"Sabicea_longepetiolata",0
"Ophiorrhiza_medogensis",0
"Oldenlandia_paniculata",1
"Ophiorrhiza_longipes",0
"Gentiana_lycopodioides",0
"Chassalia_moramangensis",0
"Portlandia_microsepala",0
"Gentiana_septemfida",0
"Praravinia_hexamera",0
"Gentiana_davidi",1
"Faramea_yutajensis",0
"Trichosandra_borbonica",0
