"accepted_species","I1.1/1"
"t99",NA
"t100","0"
"t43","0"
"t44","0"
"t54","0"
"t49","0"
"t36","0"
"t37",NA
"t85","1"
"t55","1"
"t56","1"
"t74","1"
"t75","1"
"t97","0"
"t98",NA
"t69","0"
"t48","0"
"t70","0"
"t71","0"
"t66",NA
"t33","0"
"t34","0"
"t28","1"
"t8","1"
"t6","1"
"t59","0"
"t60","0"
"t76","0"
"t77","0"
"t50","0"
"t51","0"
"t47","1"
"t19",NA
"t38","0"
"t61","0"
"t62",NA
"t9","0"
"t93","0"
"t94","0"
"t42","1"
"t82","1"
"t83","1"
"t14","0"
"t15","1"
"t67","0"
"t68","0"
"t52","0"
"t53","0"
"t4","0"
"t12","1"
"t57","1"
"t58",NA
"t80","1"
"t81","1"
"t89","0"
"t90",NA
"t65","0"
"t17","0"
"t1","0"
"t84","0"
"t91","0"
"t92","0"
"t24","0"
"t86",NA
"t2","1"
"t20","0"
"t35","0"
"t87","0"
"t88","0"
"t45","0"
"t46","0"
"t23","1"
"t78","0"
"t79","1"
"t27","0"
"t3","1"
"t5","1"
"t10","1"
"t95","1"
"t96","1"
"t25","1"
"t26","1"
"t11","1"
"t72","1"
"t73","1"
"t41","0"
"t29","1"
"t30",NA
"t18","1"
"t21","1"
"t39","1"
"t40","1"
"t63","1"
"t64","1"
"t16","1"
"t13","1"
"t7","1"
"t22","1"
"t31","1"
"t32","1"
