"accepted_species","I1.1/1"
"t4","1"
"t30","1"
"t31","1"
"t27",NA
"t39","1"
"t40",NA
"t74","1"
"t97","1"
"t98","1"
"t47","1"
"t21","1"
"t48","1"
"t49","1"
"t44","1"
"t45","1"
"t15","0"
"t10","1"
"t51","1"
"t55","1"
"t56","1"
"t11","1"
"t54","0"
"t69","1"
"t70","1"
"t22",NA
"t87","1"
"t88","0"
"t7",NA
"t8",NA
"t18","1"
"t63",NA
"t64","0"
"t67","0"
"t68","1"
"t9","0"
"t19","0"
"t20","0"
"t3","1"
"t5","0"
"t93","1"
"t94","0"
"t77","0"
"t91","0"
"t92","0"
"t89","1"
"t90","0"
"t71","0"
"t81","0"
"t82","0"
"t36",NA
"t75","1"
"t76","0"
"t83","0"
"t84",NA
"t57","0"
"t41","0"
"t1","0"
"t59","1"
"t60","0"
"t26","0"
"t32","0"
"t25","0"
"t16","0"
"t17","0"
"t33","0"
"t99","1"
"t100","1"
"t78","0"
"t79","1"
"t80","1"
"t46",NA
"t85","0"
"t86","0"
"t28","1"
"t34","1"
"t35","1"
"t65","0"
"t66","0"
"t12","1"
"t23","0"
"t52","0"
"t53","0"
"t50","1"
"t62",NA
"t72","1"
"t73","1"
"t61","0"
"t58","1"
"t29","1"
"t13","0"
"t14","0"
"t95","0"
"t96","0"
"t37","0"
"t38","0"
"t2","0"
"t6","0"
"t24","0"
"t42","0"
"t43","1"
