,0,1,2,3,4,5,6,7,8,9,10,11,12
t84,0.20414571,2.868973,4.3350434,3.3221514,-0.25963375,5.332705,6.604682,4.5866823,6.440296,6.3223734,4.963413,4.396021,6.4639506
t131,0.16140638,2.966995,4.3601995,3.414237,-0.33868638,5.3551655,6.599222,4.6058273,6.413267,6.3143373,4.8958006,4.404126,6.443194
t132,0.20820965,3.0277557,4.3125753,3.354602,-0.32100573,5.4319234,6.5763354,4.714362,6.409896,6.2986317,4.795926,4.286711,6.3483624
t96,0.3135842,2.952793,4.433117,3.4577534,-0.17352186,5.2928696,6.5835094,4.751929,6.502748,6.30339,4.8144197,4.4339066,6.360281
t97,0.2761333,2.9287302,4.3948913,3.427521,-0.22942539,5.30494,6.632244,4.7000504,6.468482,6.3503146,4.8458047,4.4108086,6.4295897
t58,0.16218539,2.996633,4.339624,3.4198732,-0.37275255,5.240752,6.4370017,4.628224,6.381984,6.1462283,4.87647,4.550448,6.428878
t8,0.14091048,3.6393366,4.497543,3.7299962,-0.3550474,5.352269,6.178735,4.745648,6.1578374,5.8977113,4.7347145,4.4794555,6.0897775
t73,0.79262966,10.03718,7.819137,2.4408622,2.5800757,6.88764,4.1167803,8.196119,1.4438689,3.785298,8.266999,3.7019415,9.401861
t74,0.7836534,10.041988,7.8018184,2.4312768,2.5352187,6.8834834,4.1425505,8.211153,1.4735799,3.7939885,8.256415,3.7074246,9.402837
t114,0.8391082,10.03444,7.9214315,2.3218722,2.5739758,6.8893547,3.9664416,8.153228,1.5040877,3.9100273,8.16337,3.7874055,9.327481
t115,0.7866014,10.061085,7.8870883,2.3817675,2.562623,6.9169292,4.022078,8.153163,1.5117694,3.8727927,8.168873,3.7860217,9.3672905
t100,0.7040516,10.124041,7.812639,2.3994257,2.4717102,6.9542465,4.1518764,8.172156,1.6068913,3.8642485,8.125782,3.8183727,9.408585
t101,0.87293875,9.989962,7.8836684,2.334654,2.5724068,6.812748,4.0599613,8.234865,1.4455923,3.8543446,8.240416,3.7167609,9.333603
t119,0.80989873,10.221042,7.9634867,2.5503309,2.5548663,6.823135,4.0340996,8.363463,1.7984538,3.926979,7.943378,3.9815893,9.300207
t120,0.80017996,10.279572,8.031583,2.7482543,2.458209,6.767507,4.0055776,8.515218,1.8007153,3.981245,8.040725,3.9475086,9.187295
t94,0.9438806,10.104412,8.005024,2.5911043,2.573124,6.6758604,4.143057,8.495293,1.7521935,3.7837312,7.955313,4.0058007,9.355957
t95,0.9066125,10.171075,8.000588,2.623528,2.5636861,6.7105613,4.1347036,8.487676,1.8043624,3.8103461,7.9218726,4.0329823,9.33347
t24,0.88219124,10.226532,7.9659696,2.7245727,2.5233133,6.7310243,4.0779433,8.5116205,1.8234088,3.900024,7.960197,3.9852178,9.242961
t83,0.69019645,10.307294,7.876383,2.8565488,2.664504,6.9114566,4.2631164,8.35108,1.7894773,3.6593914,7.925224,4.0611234,9.39025
t102,0.7489149,10.251829,7.886276,2.9274716,2.6968923,6.839119,4.2505894,8.430737,1.7736357,3.61999,7.9458547,4.060772,9.39145
t103,0.6154022,10.285402,7.980196,2.804756,2.772096,6.9182286,4.2108893,8.330328,1.7428252,3.6154392,7.9646845,4.06528,9.5100355
t23,0.78936857,10.14847,7.929164,2.7957618,2.695203,6.808961,4.123426,8.400443,1.6575726,3.7249515,8.06184,3.937321,9.393284
t117,0.7826666,10.200541,7.846797,2.9520833,2.6691918,6.8079,4.2754197,8.442275,1.6377634,3.599335,8.09354,3.9255788,9.406648
t118,0.7744247,10.222744,7.8923745,2.9214158,2.6423573,6.7888207,4.209895,8.456573,1.6768999,3.6929085,8.111507,3.9135766,9.353246
t54,-0.6437102,3.4512365,4.647963,5.305292,-0.007931521,6.8153605,7.370976,4.7676897,8.327499,6.6335797,5.5378714,3.871601,5.7571063
t55,-0.6001052,3.4512048,4.6260576,5.3534822,-0.040535882,6.8876824,7.3754487,4.7258854,8.419014,6.617316,5.5564566,3.8501458,5.712806
t51,-0.7155194,3.4415057,4.657973,5.2149315,-0.10792308,6.6988497,7.2416453,4.8119464,8.151782,6.6716003,5.439304,3.8774433,5.773474
t123,-0.8479104,3.3654451,4.441628,5.3200665,-0.2172602,6.920483,7.1972775,4.8622174,8.428421,6.5813932,5.5060844,3.6391,5.8797812
t124,-0.8256589,3.316965,4.437268,5.249946,-0.1808154,6.893219,7.1968384,4.7676806,8.382941,6.5970244,5.532652,3.6408,5.7607875
t133,-0.85850894,3.3515542,4.4033103,5.349499,-0.27524057,7.0193334,7.144709,4.8432074,8.492706,6.6006036,5.5280585,3.594901,5.800353
t134,-0.75366825,3.4211829,4.524683,5.3870807,-0.17035878,6.9922843,7.255665,4.8263454,8.489424,6.637061,5.5539455,3.72519,5.8055906
t116,-0.80229306,3.354618,4.4819217,5.2944326,-0.14626971,6.990781,7.232929,4.7457867,8.494171,6.5500965,5.6523027,3.6726658,5.6897984
t33,-0.48484907,3.5531301,4.8800454,5.4525857,0.11202798,6.7726393,7.573947,4.7033863,8.251405,6.75628,5.587238,4.1524262,5.79655
t47,-0.4028018,3.4709532,4.8383703,5.0978413,0.01046005,6.330384,7.2868485,4.704743,7.825239,6.73366,5.2280173,4.230484,5.8736067
t75,-0.4500249,3.5028853,4.8474746,5.250231,0.024048379,6.5503,7.4735217,4.7575502,8.371511,6.7650247,5.4211197,4.210427,5.970829
t106,-0.3947013,3.4544027,4.8379803,5.2952423,-0.097825326,6.5063305,7.4354033,4.630034,8.358769,6.7991223,5.390464,4.30272,5.9267697
t107,-0.46227032,3.4353497,4.7546244,5.185519,0.059483707,6.5103135,7.4153666,4.747811,8.261471,6.736455,5.3910575,4.1267796,5.9682984
t93,-0.42039946,3.4467695,4.796884,5.208853,0.027117943,6.509467,7.434195,4.7059174,8.313837,6.7798543,5.3803287,4.1828365,5.983285
t34,-0.52183974,3.4955506,4.782173,5.413199,0.10858616,6.738747,7.529154,4.7858663,8.384235,6.689689,5.506053,4.1115766,5.8899083
t35,-0.49501845,3.512213,4.8101344,5.5359144,-0.037579373,6.828402,7.4326878,4.7301974,8.411136,6.7413006,5.471605,4.1338882,5.7844305
t29,-0.450886,3.5658786,4.9274087,5.172605,0.08654873,6.4077716,7.348525,4.773717,7.8199825,6.766397,5.30398,4.2421317,5.772145
t36,-0.5287473,3.5372612,4.814776,5.464991,0.13057935,6.7963433,7.5652413,4.7883224,8.387514,6.665243,5.5603366,4.1172533,5.8176923
t37,-0.32255024,3.643032,5.0256557,5.093696,0.12070744,6.3959517,7.2883844,4.926052,7.858509,6.6125336,5.2918687,4.399644,5.764099
t14,-0.38810545,3.5447688,4.92645,5.124784,0.07945212,6.3399677,7.3081713,4.7741327,7.778122,6.7350907,5.2498136,4.2812014,5.8199167
t38,1.0165045,10.258679,7.8536544,3.4018896,2.4416363,6.515486,4.406997,8.728883,1.7301488,3.5940356,7.9972577,3.945519,9.067385
t78,1.0027945,10.260268,7.8517275,3.3613918,2.4621305,6.5347404,4.352957,8.716149,1.710526,3.6128085,8.004297,3.922983,9.093132
t79,0.97382385,10.322518,7.8447213,3.3645062,2.4961603,6.563379,4.4028697,8.686548,1.7150161,3.597327,8.0562525,3.920293,9.12528
t52,1.0175463,10.364323,7.783575,3.3961048,2.460742,6.5244617,4.401819,8.71922,1.684121,3.5884497,8.083088,3.8511364,9.089365
t7,0.2105669,3.4853919,5.0758233,4.4995937,0.15463966,5.4677224,6.747063,4.906953,6.79078,6.437208,4.675065,4.487039,5.909063
t5,0.7977955,3.8330686,5.7612786,4.5457916,0.5782355,4.949569,6.666841,5.1411557,6.512262,6.6029186,4.055083,4.506403,5.794332
t6,0.79693913,3.8300223,5.7651405,4.5670266,0.5748691,4.952168,6.6832757,5.139814,6.5241036,6.593682,4.0541368,4.4970546,5.7854056
t43,1.5588322,4.3083076,6.286297,4.3201647,0.79095024,4.405026,6.731094,5.3707914,6.415781,6.949223,3.2851663,4.4266353,5.903139
t48,1.4261643,4.1926374,6.2664285,4.415931,0.73976374,4.351421,6.723287,5.312852,6.3961263,6.904925,3.4132254,4.3657722,5.929268
t49,1.4653615,4.2716103,6.262307,4.402124,0.8286563,4.444216,6.6954303,5.3295135,6.4114113,6.892073,3.3617084,4.4603324,5.880027
t9,1.3556007,4.255842,6.189448,4.3995695,0.8640956,4.5484276,6.6101584,5.3321314,6.2940145,6.8041964,3.353423,4.563642,5.7751555
t108,1.4742678,4.401136,6.3960714,4.50341,1.0078824,4.4134297,6.6078186,5.306507,6.392906,6.943281,3.378561,4.6041923,5.9201546
t109,1.3847299,4.467148,6.3451962,4.5938773,1.1185222,4.4948897,6.7031207,5.4009056,6.3594465,6.87707,3.3707554,4.6304784,5.9800153
t21,1.3593022,4.2937164,6.3113637,4.573806,0.9563214,4.4816723,6.7123466,5.325326,6.4342527,6.8868365,3.5203276,4.533637,5.922814
t19,1.3014643,4.319703,6.276171,4.5723615,1.021332,4.551297,6.634317,5.336946,6.351158,6.819375,3.4773285,4.642088,5.8465066
t20,1.3190845,4.364278,6.324203,4.627501,1.0883892,4.5369544,6.694833,5.391,6.3277974,6.842214,3.4605408,4.632778,5.8554897
t13,1.3570263,4.2717423,6.2917323,4.569025,0.92817366,4.487965,6.7090693,5.3008366,6.4515743,6.880367,3.5374305,4.514914,5.928434
t104,1.6720614,4.349464,6.229203,4.372699,0.8119161,4.4973726,6.3896637,5.150299,6.308668,7.032552,3.0890737,4.4679127,6.0089283
t105,1.6040729,4.435055,6.2694993,4.3678412,0.8872291,4.4922895,6.4716682,5.1698437,6.4417305,6.9152637,3.15429,4.578557,5.9735007
t26,1.8136964,4.435878,6.3166637,4.2201834,0.8714262,4.4399495,6.3998327,5.250094,6.338605,7.0384555,2.9128728,4.5590806,5.851979
t27,1.7074392,4.3402104,6.222873,4.2031903,0.8088719,4.4722285,6.4479966,5.2517104,6.29961,7.0049524,3.0271904,4.4921775,5.848569
t129,1.7916634,4.5080123,6.309844,4.161318,0.9344021,4.608437,6.348951,5.220686,6.3920503,6.963406,2.9063587,4.6949186,5.727507
t130,1.7086111,4.405806,6.2630997,4.257388,0.93769604,4.5826926,6.342692,5.2086525,6.3069215,6.9931893,2.9882028,4.6734233,5.797067
t76,1.7013478,4.460781,6.2895966,4.2364926,0.9843766,4.569263,6.4909577,5.2650337,6.3772383,6.9264627,2.9957592,4.6580715,5.814488
t77,1.8177159,4.465807,6.258878,4.1624765,0.83396816,4.4535284,6.3735905,5.203882,6.362927,6.9820395,2.8596845,4.546781,5.9271197
t28,1.6891001,4.507941,6.356543,4.30067,0.9376195,4.563025,6.5522313,5.173041,6.4920015,6.90008,2.9878802,4.5825186,5.9484425
t60,9.025349,4.4448376,7.8344007,11.92356,8.839746,11.258096,6.4110823,5.5121837,4.7578487,2.1817417,0.9191589,6.469293,5.6635895
t61,9.080398,4.4279027,7.8850083,11.747062,8.7748995,11.207906,6.467732,5.3625846,4.9201155,2.2083683,0.9018248,6.625199,5.7122626
t32,9.079772,4.4551373,7.8544965,11.806762,8.804308,11.1662035,6.429531,5.4552264,4.78926,2.1623642,0.9045045,6.5150576,5.679875
t16,9.091676,4.43179,7.876786,11.9230175,8.787239,11.225255,6.4757996,5.540851,4.7375484,2.2100525,0.92431587,6.4525,5.731514
t30,8.998589,4.371942,7.8633385,11.861518,8.8181505,11.311035,6.4716163,5.3913374,4.908667,2.24368,0.9525354,6.608841,5.7464786
t63,9.197183,4.4565434,7.878351,11.806498,8.6528,11.087481,6.4238687,5.411583,4.786896,2.1401958,0.879305,6.589546,5.6771965
t64,9.082732,4.48919,7.9538856,11.859871,8.788375,11.25202,6.533815,5.4406166,4.850496,2.1319351,0.8433295,6.5584345,5.789322
t25,9.018515,4.3630424,7.811155,11.859925,8.754671,11.232386,6.3506055,5.4008646,4.886495,2.2386532,0.9618871,6.5968328,5.605643
t127,8.579345,8.417867,3.5488238,13.57261,1.2029232,9.827795,7.6209598,0.43823567,4.208264,-0.7078307,1.6198169,5.73419,7.564044
t128,8.58035,8.4448805,3.5277393,13.540113,1.204872,9.877974,7.671277,0.42486238,4.2594624,-0.7632893,1.6725569,5.78902,7.6093116
t67,8.522981,8.278029,3.7066598,13.618594,1.2719693,9.906636,7.6610475,0.47758767,4.2858853,-0.84245616,1.574747,5.8493943,7.3981647
t71,8.614637,8.404302,3.6288877,13.562946,1.2308786,9.821216,7.569883,0.4003772,4.1779304,-0.68851846,1.5271707,5.682332,7.457488
t72,8.562117,8.356754,3.679483,13.610298,1.2792668,9.8173895,7.570835,0.40793204,4.190897,-0.7499347,1.4997596,5.758696,7.3961916
t98,8.776761,8.356841,3.585823,13.377403,1.0047723,9.8992605,7.709941,0.30498114,4.2406316,-0.6873216,1.5600019,5.7174044,7.526714
t99,8.736825,8.363667,3.5984316,13.390713,1.0666736,9.918963,7.7359576,0.3565465,4.308205,-0.8426338,1.6322668,5.851024,7.5002303
t90,8.87028,8.367699,3.5697,13.267953,0.9174385,9.961554,7.804563,0.24113531,4.2905493,-0.7048471,1.5942936,5.7735276,7.5828166
t112,8.79177,8.396973,3.447907,13.327704,0.9019119,9.942611,7.8288198,0.3186877,4.2896543,-0.6252388,1.7394052,5.715174,7.7382455
t113,8.759664,8.414684,3.450314,13.352563,0.9473153,9.937713,7.8202496,0.33612105,4.2960887,-0.66577786,1.7516992,5.739227,7.7194695
t80,8.852097,8.37834,3.4749377,13.270825,0.8557924,9.949402,7.8621397,0.2590551,4.280723,-0.6062354,1.6999104,5.721317,7.7274117
t125,8.735324,8.41713,3.3945432,13.4028015,0.9158553,9.947758,7.7146735,0.43127766,4.3192697,-0.6582421,1.7769607,5.6347523,7.7727747
t126,8.714613,8.269462,3.4802408,13.446513,0.8816369,9.886895,7.651715,0.47573078,4.265464,-0.57028186,1.7064553,5.585117,7.699563
t15,8.870263,8.379453,3.4744549,13.302984,0.88508576,10.076191,7.703092,0.37050134,4.4101667,-0.73094004,1.6584724,5.5893598,7.7111917
t2,-1.134647,0.018653484,9.050527,7.5599194,2.777988,5.8317533,6.944852,6.696241,6.473945,4.6040525,7.41621,4.330654,-0.20610695
t3,-1.1587124,-0.053528786,8.997322,7.4269943,2.7745318,5.739724,6.947865,6.6224017,6.4675026,4.7312346,7.467607,4.24725,-0.24402541
