,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t20,0.66159767,7.993601,7.212555,6.1974754,7.1350036,5.674343,2.3726406,4.9005136,4.4716334,4.4506903,2.9228656,4.4269567,4.9412546,6.443544,6.38709
t122,0.59669286,7.947095,7.2668586,6.2464113,7.1308084,5.7295346,2.3067617,4.8504014,4.4595356,4.4332137,2.8938665,4.3504333,4.8992577,6.482803,6.4086566
t123,0.57634085,7.938817,7.288946,6.2980704,7.074096,5.7691903,2.2544186,4.869186,4.4918146,4.475413,2.9315407,4.328887,4.884101,6.460647,6.376983
t31,0.59387916,7.933402,7.276053,6.2339168,7.147265,5.7295847,2.316998,4.8284755,4.4341483,4.406758,2.868458,4.3403325,4.8916063,6.5043936,6.434014
t15,0.2084956,8.057349,7.275054,6.586532,7.156699,5.6701813,1.9420482,4.6286783,4.744045,4.6133456,3.024125,4.1024427,5.0236864,6.5338507,6.1534734
t71,0.5402765,7.9293323,7.23174,6.1726985,7.3121834,5.699234,2.3297632,4.9343543,4.4457827,4.329752,2.8000257,4.398556,4.9004445,6.4041824,6.4565363
t72,0.50990385,7.964441,7.239068,6.255262,7.2934566,5.6997323,2.2529325,4.9510117,4.5520086,4.4026723,2.8748114,4.395649,4.9091635,6.37015,6.3643227
t27,0.50106794,7.9691215,7.2574315,6.2938952,7.272443,5.6977487,2.22422,4.9187713,4.5734477,4.4249244,2.8984303,4.366126,4.913172,6.388972,6.3395286
t3,0.11686376,8.035871,7.3185244,6.7022376,7.0860415,5.6741,1.8803974,4.529125,4.8149977,4.655394,3.0098677,3.9979706,5.0882316,6.507573,6.1122637
t4,-0.034766596,8.084707,7.245666,6.7575245,7.1056614,5.6800456,1.7623202,4.473538,4.83605,4.712922,3.0549166,3.945892,5.1163583,6.5795674,6.044375
t1,0.11431207,8.060443,7.3517175,6.7347274,7.176499,5.610123,1.8327672,4.5427437,4.9079876,4.7108254,3.1196969,3.9588714,5.0055532,6.551068,6.069321
